日期	平原产水	其他外供	河网供水	水库供水	合计来水	农业需水	其他生态需水	非农需水	需水量	生态需水	总需水量	净流量	目标容积	日初容积	日中容积	日末容积	排末容积	初河蓄水	蓄水消后	缺水(浙东需供)	末河蓄水	排河蓄水	排水容积	河区排水	容积变化	排后变化	纳蓄能力	低水位以上蓄水量	总蓄水量	水位生态需水	本地可供水量
2026/03/03	9.59	0.0	2.526	0.0	2.526	6.45	4.45	1.7951	8.2451	4.45	12.6951	-10.1691	852.0	0.0	-10.1691	0.0	0.0	0.0	0.0	10.1691	0.0	0.0	946.0	0.0	-10.1691	-10.1691	852.0	0.0	0.0	0.0	2.526
2026/03/04	0.0	0.0	1.463	0.0	1.463	6.45	4.45	1.7951	8.2451	4.45	12.6951	-11.2321	852.0	0.0	-11.2321	0.0	0.0	0.0	0.0	11.2321	0.0	0.0	946.0	0.0	-11.2321	-11.2321	852.0	0.0	0.0	0.0	1.463
2026/03/05	31.3	0.0	1.254	0.0	1.254	6.45	4.45	1.7951	8.2451	4.45	12.6951	-11.4411	852.0	0.0	-11.4411	0.0	0.0	0.0	0.0	11.4411	0.0	0.0	946.0	0.0	-11.4411	-11.4411	852.0	0.0	0.0	0.0	1.254
2026/03/06	0.85	0.0	1.09	0.0	1.09	6.45	4.45	1.7951	8.2451	4.45	12.6951	-11.6051	852.0	0.0	-11.6051	0.0	0.0	0.0	0.0	11.6051	0.0	0.0	946.0	0.0	-11.6051	-11.6051	852.0	0.0	0.0	0.0	1.09
2026/03/07	0.56	0.0	0.959	0.0	0.959	6.45	4.45	1.7951	8.2451	4.45	12.6951	-11.7361	852.0	0.0	-11.7361	0.0	0.0	0.0	0.0	11.7361	0.0	0.0	946.0	0.0	-11.7361	-11.7361	852.0	0.0	0.0	0.0	0.959
2026/03/08	5.36	0.0	0.866	0.0	0.866	6.45	4.45	1.7951	8.2451	4.45	12.6951	-11.8291	852.0	0.0	-11.8291	0.0	0.0	0.0	0.0	11.8291	0.0	0.0	946.0	0.0	-11.8291	-11.8291	852.0	0.0	0.0	0.0	0.866
2026/03/09	2.54	0.0	0.791	0.0	0.791	6.45	4.45	1.7951	8.2451	4.45	12.6951	-11.9041	852.0	0.0	-11.9041	0.0	0.0	0.0	0.0	11.9041	0.0	0.0	946.0	0.0	-11.9041	-11.9041	852.0	0.0	0.0	0.0	0.791
2026/03/10	5.36	0.0	0.738	0.0	0.738	6.45	4.45	1.7951	8.2451	4.45	12.6951	-11.9571	852.0	0.0	-11.9571	0.0	0.0	0.0	0.0	11.9571	0.0	0.0	946.0	0.0	-11.9571	-11.9571	852.0	0.0	0.0	0.0	0.738
2026/03/11	41.4	0.0	0.778	0.0	0.778	6.45	4.45	1.7951	8.2451	4.45	12.6951	-11.9171	852.0	0.0	-11.9171	0.0	0.0	0.0	0.0	11.9171	0.0	0.0	946.0	0.0	-11.9171	-11.9171	852.0	0.0	0.0	0.0	0.778
2026/03/12	21.11	0.0	0.823	0.0	0.823	6.45	4.45	1.7951	8.2451	4.45	12.6951	-11.8721	852.0	0.0	-11.8721	0.0	0.0	0.0	0.0	11.8721	0.0	0.0	946.0	0.0	-11.8721	-11.8721	852.0	0.0	0.0	0.0	0.823
