日期	平原产水	其他外供	河网供水	水库供水	合计来水	农业需水	其他生态需水	非农需水	需水量	生态需水	总需水量	净流量	目标容积	日初容积	日中容积	日末容积	排末容积	初河蓄水	蓄水消后	缺水(浙东需供)	末河蓄水	排河蓄水	排水容积	河区排水	容积变化	排后变化	纳蓄能力	低水位以上蓄水量	总蓄水量	水位生态需水	本地可供水量
2026/03/03	4.05	0.0	2.526	0.95	3.476	5.58	2.83	0.403	5.9830000000000005	2.83	8.813	-5.337000000000001	2447.0	854.4715447154472	849.1345447154472	854.4715447154472	854.4715447154472	0.0	0.0	5.337000000000001	0.0	0.0	2688.0	0.0	-5.337000000000001	-5.337000000000001	1592.5284552845528	0.0	854.4715447154472	0.0	3.476
2026/03/04	0.0	0.0	1.463	0.95	2.4130000000000003	5.58	2.83	0.403	5.9830000000000005	2.83	8.813	-6.4	2447.0	854.4715447154472	848.0715447154472	854.4715447154472	854.4715447154472	0.0	0.0	6.4	0.0	0.0	2688.0	0.0	-6.4	-6.4	1592.5284552845528	0.0	854.4715447154472	0.0	2.4130000000000003
2026/03/05	13.21	0.0	1.254	0.95	2.2039999999999997	5.58	2.83	0.403	5.9830000000000005	2.83	8.813	-6.609000000000001	2447.0	854.4715447154472	847.8625447154471	854.4715447154472	854.4715447154472	0.0	0.0	6.609000000000001	0.0	0.0	2688.0	0.0	-6.609000000000001	-6.609000000000001	1592.5284552845528	0.0	854.4715447154472	0.0	2.2039999999999997
2026/03/06	0.36	0.0	1.09	0.95	2.04	5.58	2.83	0.403	5.9830000000000005	2.83	8.813	-6.773000000000001	2447.0	854.4715447154472	847.6985447154472	854.4715447154472	854.4715447154472	0.0	0.0	6.773000000000001	0.0	0.0	2688.0	0.0	-6.773000000000001	-6.773000000000001	1592.5284552845528	0.0	854.4715447154472	0.0	2.04
2026/03/07	0.24	0.0	0.959	0.95	1.909	5.58	2.83	0.403	5.9830000000000005	2.83	8.813	-6.904000000000001	2447.0	854.4715447154472	847.5675447154472	854.4715447154472	854.4715447154472	0.0	0.0	6.904000000000001	0.0	0.0	2688.0	0.0	-6.904000000000001	-6.904000000000001	1592.5284552845528	0.0	854.4715447154472	0.0	1.909
2026/03/08	2.26	0.0	0.866	0.95	1.816	5.58	2.83	0.403	5.9830000000000005	2.83	8.813	-6.997000000000001	2447.0	854.4715447154472	847.4745447154472	854.4715447154472	854.4715447154472	0.0	0.0	6.997000000000001	0.0	0.0	2688.0	0.0	-6.997000000000001	-6.997000000000001	1592.5284552845528	0.0	854.4715447154472	0.0	1.816
2026/03/09	1.07	0.0	0.791	0.95	1.741	5.58	2.83	0.403	5.9830000000000005	2.83	8.813	-7.072000000000001	2447.0	854.4715447154472	847.3995447154472	854.4715447154472	854.4715447154472	0.0	0.0	7.072000000000001	0.0	0.0	2688.0	0.0	-7.072000000000001	-7.072000000000001	1592.5284552845528	0.0	854.4715447154472	0.0	1.741
2026/03/10	2.26	0.0	0.738	0.95	1.688	5.58	2.83	0.403	5.9830000000000005	2.83	8.813	-7.125000000000001	2447.0	854.4715447154472	847.3465447154472	854.4715447154472	854.4715447154472	0.0	0.0	7.125000000000001	0.0	0.0	2688.0	0.0	-7.125000000000001	-7.125000000000001	1592.5284552845528	0.0	854.4715447154472	0.0	1.688
2026/03/11	25.76	0.0	0.778	0.95	1.728	5.58	2.83	0.403	5.9830000000000005	2.83	8.813	-7.085000000000001	2447.0	854.4715447154472	847.3865447154471	854.4715447154472	854.4715447154472	0.0	0.0	7.085000000000001	0.0	0.0	2688.0	0.0	-7.085000000000001	-7.085000000000001	1592.5284552845528	0.0	854.4715447154472	0.0	1.728
2026/03/12	15.06	0.0	0.823	0.95	1.773	5.58	2.83	0.403	5.9830000000000005	2.83	8.813	-7.040000000000001	2447.0	854.4715447154472	847.4315447154472	854.4715447154472	854.4715447154472	0.0	0.0	7.040000000000001	0.0	0.0	2688.0	0.0	-7.040000000000001	-7.040000000000001	1592.5284552845528	0.0	854.4715447154472	0.0	1.773
2026/03/13	0.59	0.0	0.83	0.95	1.7799999999999998	5.58	2.83	0.403	5.9830000000000005	2.83	8.813	-7.033000000000001	2447.0	854.4715447154472	847.4385447154472	854.4715447154472	854.4715447154472	0.0	0.0	7.033000000000001	0.0	0.0	2688.0	0.0	-7.033000000000001	-7.033000000000001	1592.5284552845528	0.0	854.4715447154472	0.0	1.7799999999999998
2026/03/14	0.71	0.0	0.816	0.95	1.766	5.58	2.83	0.403	5.9830000000000005	2.83	8.813	-7.047000000000001	2447.0	854.4715447154472	847.4245447154472	854.4715447154472	854.4715447154472	0.0	0.0	7.047000000000001	0.0	0.0	2688.0	0.0	-7.047000000000001	-7.047000000000001	1592.5284552845528	0.0	854.4715447154472	0.0	1.766
2026/03/15	13.6	0.0	0.827	0.95	1.777	5.58	2.83	0.403	5.9830000000000005	2.83	8.813	-7.0360000000000005	2447.0	854.4715447154472	847.4355447154472	854.4715447154472	854.4715447154472	0.0	0.0	7.0360000000000005	0.0	0.0	2688.0	0.0	-7.0360000000000005	-7.0360000000000005	1592.5284552845528	0.0	854.4715447154472	0.0	1.777
2026/03/16	0.0	0.0	0.809	0.95	1.759	5.58	2.83	0.403	5.9830000000000005	2.83	8.813	-7.054	2447.0	854.4715447154472	847.4175447154472	854.4715447154472	854.4715447154472	0.0	0.0	7.054	0.0	0.0	2688.0	0.0	-7.054	-7.054	1592.5284552845528	0.0	854.4715447154472	0.0	1.759
