日期	平原产水	其他外供	河网供水	水库供水	合计来水	农业需水	其他生态需水	非农需水	需水量	生态需水	总需水量	净流量	目标容积	日初容积	日中容积	日末容积	排末容积	初河蓄水	蓄水消后	缺水(浙东需供)	末河蓄水	排河蓄水	排水容积	河区排水	容积变化	排后变化	纳蓄能力	低水位以上蓄水量	总蓄水量	水位生态需水	本地可供水量
2026/03/03	17.92	0.0	2.526	0.0	2.526	12.64	6.82	0.1153	12.7553	6.82	19.5753	-17.0493	2870.0	0.0	-17.0493	0.0	0.0	0.0	0.0	17.0493	0.0	0.0	4728.499999999999	0.0	-17.0493	-17.0493	4109.0	0.0	0.0	0.0	2.526
2026/03/04	0.0	0.0	1.463	0.0	1.463	12.64	6.82	0.1153	12.7553	6.82	19.5753	-18.1123	2870.0	0.0	-18.1123	0.0	0.0	0.0	0.0	18.1123	0.0	0.0	4728.499999999999	0.0	-18.1123	-18.1123	4109.0	0.0	0.0	0.0	1.463
2026/03/05	58.5	0.0	1.254	0.0	1.254	12.64	6.82	0.1153	12.7553	6.82	19.5753	-18.321299999999997	2870.0	0.0	-18.321299999999997	0.0	0.0	0.0	0.0	18.321299999999997	0.0	0.0	4728.499999999999	0.0	-18.321299999999997	-18.321299999999997	4109.0	0.0	0.0	0.0	1.254
2026/03/06	1.58	0.0	1.09	0.0	1.09	12.64	6.82	0.1153	12.7553	6.82	19.5753	-18.4853	2870.0	0.0	-18.4853	0.0	0.0	0.0	0.0	18.4853	0.0	0.0	4728.499999999999	0.0	-18.4853	-18.4853	4109.0	0.0	0.0	0.0	1.09
2026/03/07	1.05	0.0	0.959	0.0	0.959	12.64	6.82	0.1153	12.7553	6.82	19.5753	-18.6163	2870.0	0.0	-18.6163	0.0	0.0	0.0	0.0	18.6163	0.0	0.0	4728.499999999999	0.0	-18.6163	-18.6163	4109.0	0.0	0.0	0.0	0.959
2026/03/08	10.01	0.0	0.866	0.0	0.866	12.64	6.82	0.1153	12.7553	6.82	19.5753	-18.7093	2870.0	0.0	-18.7093	0.0	0.0	0.0	0.0	18.7093	0.0	0.0	4728.499999999999	0.0	-18.7093	-18.7093	4109.0	0.0	0.0	0.0	0.866
2026/03/09	4.74	0.0	0.791	0.0	0.791	12.64	6.82	0.1153	12.7553	6.82	19.5753	-18.7843	2870.0	0.0	-18.7843	0.0	0.0	0.0	0.0	18.7843	0.0	0.0	4728.499999999999	0.0	-18.7843	-18.7843	4109.0	0.0	0.0	0.0	0.791
2026/03/10	10.01	0.0	0.738	0.0	0.738	12.64	6.82	0.1153	12.7553	6.82	19.5753	-18.8373	2870.0	0.0	-18.8373	0.0	0.0	0.0	0.0	18.8373	0.0	0.0	4728.499999999999	0.0	-18.8373	-18.8373	4109.0	0.0	0.0	0.0	0.738
2026/03/11	64.71	0.0	0.778	0.0	0.778	12.64	6.82	0.1153	12.7553	6.82	19.5753	-18.7973	2870.0	0.0	-18.7973	0.0	0.0	0.0	0.0	18.7973	0.0	0.0	4728.499999999999	0.0	-18.7973	-18.7973	4109.0	0.0	0.0	0.0	0.778
2026/03/12	30.03	0.0	0.823	0.0	0.823	12.64	6.82	0.1153	12.7553	6.82	19.5753	-18.7523	2870.0	0.0	-18.7523	0.0	0.0	0.0	0.0	18.7523	0.0	0.0	4728.499999999999	0.0	-18.7523	-18.7523	4109.0	0.0	0.0	0.0	0.823
2026/03/13	2.64	0.0	0.83	0.0	0.83	12.64	6.82	0.1153	12.7553	6.82	19.5753	-18.7453	2870.0	0.0	-18.7453	0.0	0.0	0.0	0.0	18.7453	0.0	0.0	4728.499999999999	0.0	-18.7453	-18.7453	4109.0	0.0	0.0	0.0	0.83
2026/03/14	3.16	0.0	0.816	0.0	0.816	12.64	6.82	0.1153	12.7553	6.82	19.5753	-18.7593	2870.0	0.0	-18.7593	0.0	0.0	0.0	0.0	18.7593	0.0	0.0	4728.499999999999	0.0	-18.7593	-18.7593	4109.0	0.0	0.0	0.0	0.816
2026/03/15	27.78	0.0	0.827	0.0	0.827	12.64	6.82	0.1153	12.7553	6.82	19.5753	-18.7483	2870.0	0.0	-18.7483	0.0	0.0	0.0	0.0	18.7483	0.0	0.0	4728.499999999999	0.0	-18.7483	-18.7483	4109.0	0.0	0.0	0.0	0.827
2026/03/16	0.0	0.0	0.809	0.0	0.809	12.64	6.82	0.1153	12.7553	6.82	19.5753	-18.7663	2870.0	0.0	-18.7663	0.0	0.0	0.0	0.0	18.7663	0.0	0.0	4728.499999999999	0.0	-18.7663	-18.7663	4109.0	0.0	0.0	0.0	0.809
2026/03/17	0.0	0.0	0.775	0.0	0.775	12.64	6.82	0.1153	12.7553	6.82	19.5753	-18.8003	2870.0	0.0	-18.8003	0.0	0.0	0.0	0.0	18.8003	0.0	0.0	4728.499999999999	0.0	-18.8003	-18.8003	4109.0	0.0	0.0	0.0	0.775
2026/03/18	0.0	0.0	0.731	0.0	0.731	12.64	6.82	0.1153	12.7553	6.82	19.5753	-18.844299999999997	2870.0	0.0	-18.844299999999997	0.0	0.0	0.0	0.0	18.844299999999997	0.0	0.0	4728.499999999999	0.0	-18.844299999999997	-18.844299999999997	4109.0	0.0	0.0	0.0	0.731
2026/03/19	0.0	0.0	0.684	0.0	0.684	12.64	6.82	0.1153	12.7553	6.82	19.5753	-18.8913	2870.0	0.0	-18.8913	0.0	0.0	0.0	0.0	18.8913	0.0	0.0	4728.499999999999	0.0	-18.8913	-18.8913	4109.0	0.0	0.0	0.0	0.684
2026/03/20	114.01	0.0	1.159	0.0	1.159	12.64	6.82	0.1153	12.7553	6.82	19.5753	-18.4163	2870.0	0.0	-18.4163	0.0	0.0	0.0	0.0	18.4163	0.0	0.0	4728.499999999999	0.0	-18.4163	-18.4163	4109.0	0.0	0.0	0.0	1.159
2026/03/21	103.51	0.0	3.359	0.0	3.359	12.64	6.82	0.1153	12.7553	6.82	19.5753	-16.216299999999997	2870.0	0.0	-16.216299999999997	0.0	0.0	0.0	0.0	16.216299999999997	0.0	0.0	4728.499999999999	0.0	-16.216299999999997	-16.216299999999997	4109.0	0.0	0.0	0.0	3.359
2026/03/22	0.53	0.0	1.727	0.0	1.727	12.64	6.82	0.1153	12.7553	6.82	19.5753	-17.8483	2870.0	0.0	-17.8483	0.0	0.0	0.0	0.0	17.8483	0.0	0.0	4728.499999999999	0.0	-17.8483	-17.8483	4109.0	0.0	0.0	0.0	1.727
2026/03/23	7.38	0.0	1.213	0.0	1.213	12.64	6.82	0.1153	12.7553	6.82	19.5753	-18.3623	2870.0	0.0	-18.3623	0.0	0.0	0.0	0.0	18.3623	0.0	0.0	4728.499999999999	0.0	-18.3623	-18.3623	4109.0	0.0	0.0	0.0	1.213
2026/03/24	91.52	0.0	3.487	0.0	3.487	12.64	6.82	0.1153	12.7553	6.82	19.5753	-16.088299999999997	2870.0	0.0	-16.088299999999997	0.0	0.0	0.0	0.0	16.088299999999997	0.0	0.0	4728.499999999999	0.0	-16.088299999999997	-16.088299999999997	4109.0	0.0	0.0	0.0	3.487
2026/03/25	0.53	0.0	1.823	0.0	1.823	12.64	6.82	0.1153	12.7553	6.82	19.5753	-17.752299999999998	2870.0	0.0	-17.752299999999998	0.0	0.0	0.0	0.0	17.752299999999998	0.0	0.0	4728.499999999999	0.0	-17.752299999999998	-17.752299999999998	4109.0	0.0	0.0	0.0	1.823
2026/03/26	87.02	0.0	3.981	0.0	3.981	12.64	6.82	0.1153	12.7553	6.82	19.5753	-15.5943	2870.0	0.0	-15.5943	0.0	0.0	0.0	0.0	15.5943	0.0	0.0	4728.499999999999	0.0	-15.5943	-15.5943	4109.0	0.0	0.0	0.0	3.981
2026/03/27	99.76	0.0	5.858	0.0	5.858	12.64	6.82	0.1153	12.7553	6.82	19.5753	-13.717299999999998	2870.0	0.0	-13.717299999999998	0.0	0.0	0.0	0.0	13.717299999999998	0.0	0.0	4728.499999999999	0.0	-13.717299999999998	-13.717299999999998	4109.0	0.0	0.0	0.0	5.858
2026/03/28	10.54	0.0	3.588	0.0	3.588	12.64	6.82	0.1153	12.7553	6.82	19.5753	-15.987299999999998	2870.0	0.0	-15.987299999999998	0.0	0.0	0.0	0.0	15.987299999999998	0.0	0.0	4728.499999999999	0.0	-15.987299999999998	-15.987299999999998	4109.0	0.0	0.0	0.0	3.588
2026/03/29	56.28	0.0	4.368	0.0	4.368	12.64	6.82	0.1153	12.7553	6.82	19.5753	-15.207299999999998	2870.0	0.0	-15.207299999999998	0.0	0.0	0.0	0.0	15.207299999999998	0.0	0.0	4728.499999999999	0.0	-15.207299999999998	-15.207299999999998	4109.0	0.0	0.0	0.0	4.368
2026/03/30	63.02	0.0	5.227	0.0	5.227	12.64	6.82	0.1153	12.7553	6.82	19.5753	-14.348299999999998	2870.0	0.0	-14.348299999999998	0.0	0.0	0.0	0.0	14.348299999999998	0.0	0.0	4728.499999999999	0.0	-14.348299999999998	-14.348299999999998	4109.0	0.0	0.0	0.0	5.227
2026/03/31	0.0	0.0	2.718	0.0	2.718	12.64	6.82	0.1153	12.7553	6.82	19.5753	-16.8573	2870.0	0.0	-16.8573	0.0	0.0	0.0	0.0	16.8573	0.0	0.0	4728.499999999999	0.0	-16.8573	-16.8573	4109.0	0.0	0.0	0.0	2.718
2026/04/01	0.0	0.0	1.484	0.0	1.484	12.64	8.73	0.1153	12.7553	8.73	21.485300000000002	-20.0013	2870.0	0.0	-20.0013	0.0	0.0	0.0	0.0	20.0013	0.0	0.0	4728.499999999999	0.0	-20.0013	-20.0013	4109.0	0.0	0.0	0.0	1.484
2026/04/02	0.0	0.0	1.21	0.0	1.21	12.64	8.73	0.1153	12.7553	8.73	21.485300000000002	-20.2753	2870.0	0.0	-20.2753	0.0	0.0	0.0	0.0	20.2753	0.0	0.0	4728.499999999999	0.0	-20.2753	-20.2753	4109.0	0.0	0.0	0.0	1.21
2026/04/03	0.0	0.0	1.097	0.0	1.097	0.0	8.73	0.1153	0.1153	8.73	8.8453	-7.7483	2870.0	0.0	-7.7483	0.0	0.0	0.0	0.0	7.7483	0.0	0.0	4728.499999999999	0.0	-7.7483	-7.7483	4109.0	0.0	0.0	0.0	1.097
