日期	余姚平原上河区	慈溪平原西河区	慈溪平原中河区	慈溪平原东河区	日引水量(万m3)	日均引水流量(m3/s)
2026/03/03	10.1691	17.0493	21.2933	23.2623	71.774	8.307175925925925
2026/03/04	11.2321	18.1123	22.356299999999997	24.3253	76.026	8.799305555555554
2026/03/05	11.4411	18.321299999999997	22.565299999999997	24.5343	76.862	8.896064814814814
2026/03/06	11.6051	18.4853	22.7293	24.6983	77.518	8.97199074074074
2026/03/07	11.7361	18.6163	22.8603	24.8293	78.042	9.032638888888888
2026/03/08	11.8291	18.7093	22.9533	24.9223	78.41399999999999	9.075694444444443
2026/03/09	11.9041	18.7843	23.0283	24.9973	78.714	9.110416666666666
2026/03/10	11.9571	18.8373	23.0813	25.0503	78.92599999999999	9.134953703703701
2026/03/11	11.9171	18.7973	23.0413	25.0103	78.76599999999999	9.116435185185184
2026/03/12	11.8721	18.7523	22.9963	24.9653	78.586	9.095601851851852
2026/03/13	11.8651	18.7453	22.9893	24.9583	78.55799999999999	9.09236111111111
2026/03/14	11.8791	18.7593	23.0033	24.9723	78.614	9.098842592592593
2026/03/15	11.8681	18.7483	22.9923	24.9613	78.57	9.093749999999998
2026/03/16	11.8861	18.7663	23.010299999999997	24.9793	78.642	9.102083333333333
2026/03/17	11.9201	18.8003	23.0443	25.0133	78.77799999999999	9.117824074074072
2026/03/18	11.9641	18.844299999999997	23.088299999999997	25.0573	78.954	9.138194444444443
2026/03/19	12.0111	18.8913	23.135299999999997	25.1043	79.142	9.159953703703703
2026/03/20	11.5361	18.4163	22.6603	24.6293	77.24199999999999	8.940046296296295
2026/03/21	9.3361	16.216299999999997	20.460299999999997	22.4293	68.442	7.921527777777777
2026/03/22	10.9681	17.8483	22.0923	24.0613	74.97	8.677083333333332
2026/03/23	11.4821	18.3623	22.606299999999997	24.5753	77.026	8.915046296296294
2026/03/24	9.2081	16.088299999999997	20.332299999999996	22.3013	67.92999999999999	7.862268518518517
2026/03/25	10.8721	17.752299999999998	21.9963	23.9653	74.586	8.632638888888888
2026/03/26	8.7141	15.5943	19.838299999999997	21.8073	65.954	7.633564814814814
2026/03/27	6.8371	13.717299999999998	17.961299999999998	19.9303	58.446	6.7645833333333325
2026/03/28	9.1071	15.987299999999998	20.231299999999997	22.2003	67.526	7.815509259259258
2026/03/29	8.3271	15.207299999999998	19.451299999999996	21.420299999999997	64.40599999999999	7.4543981481481465
2026/03/30	7.4681	14.348299999999998	18.5923	20.5613	60.97	7.056712962962963
2026/03/31	9.9771	16.8573	21.1013	23.0703	71.006	8.218287037037037
2026/04/01	13.0311	20.0013	23.6053	25.2843	81.922	9.481712962962963
2026/04/02	13.3051	20.2753	23.879299999999997	25.5583	83.018	9.608564814814814
2026/04/03	6.9681	7.7483	5.0123	3.841300000000001	23.57	2.728009259259259
