日期	四明湖水库	梁辉水库	陆埠水库	双溪口水库
2026/03/03	2.333	0.778	1.296	0.95
2026/03/04	2.333	0.778	1.296	0.95
2026/03/05	2.333	0.778	1.296	0.95
2026/03/06	2.333	0.778	1.296	0.95
2026/03/07	2.333	0.778	1.296	0.95
2026/03/08	2.333	0.778	1.296	0.95
2026/03/09	2.333	0.778	1.296	0.95
2026/03/10	2.333	0.778	1.296	0.95
2026/03/11	2.333	0.778	1.296	0.95
2026/03/12	2.333	0.778	1.296	0.95
2026/03/13	2.333	0.778	1.296	0.95
2026/03/14	2.333	0.778	1.296	0.95
2026/03/15	2.333	0.778	1.296	0.95
2026/03/16	2.333	0.778	1.296	0.95
2026/03/17	2.333	0.778	1.296	0.95
2026/03/18	2.333	0.778	1.296	0.95
2026/03/19	2.333	0.778	1.296	0.95
2026/03/20	2.333	0.778	1.296	0.95
2026/03/21	2.333	0.778	1.296	0.95
2026/03/22	2.333	0.778	1.296	0.95
2026/03/23	2.333	0.778	1.296	0.95
2026/03/24	2.333	0.778	1.296	0.95
2026/03/25	2.333	0.778	1.296	0.95
2026/03/26	2.333	0.778	1.296	0.95
2026/03/27	2.333	0.778	1.296	0.95
2026/03/28	2.333	0.778	1.296	0.95
2026/03/29	2.333	0.778	1.296	0.95
2026/03/30	2.333	0.778	1.296	0.95
2026/03/31	2.333	0.778	1.296	0.95
2026/04/01	2.333	0.778	1.296	0.95
2026/04/02	2.333	0.778	1.296	0.95
2026/04/03	2.333	0.778	1.296	0.95
