日期	丰惠平原区	余姚平原上河区	余姚平原下河区	余姚平原姚江上游区	余姚平原姚江下游区	南沙平原区	姚江沿线大工业用水区	慈溪平原西河区	慈溪平原中河区	慈溪平原东河区	江北镇海平原区	海曙平原区	绍虞平原区	舟山大陆用水区	虞北平原上河区	虞北平原中河区	蜀山平原区	鄞州调水区	余姚平原马渚中河区
2026/03/03	0.0651	1.7951	0.7375	1.3781	0.403	20.9032	0.0	0.1153	0.2993	0.4583	59.5128	0.0	86.278	0.0	6.7535	0.011	2.1336	0.0	0.0
2026/03/04	0.0651	1.7951	0.7375	1.3781	0.403	20.9032	0.0	0.1153	0.2993	0.4583	59.5128	0.0	86.278	0.0	6.7535	0.011	2.1336	0.0	0.0
2026/03/05	0.0651	1.7951	0.7375	1.3781	0.403	20.9032	0.0	0.1153	0.2993	0.4583	59.5128	0.0	86.278	0.0	6.7535	0.011	2.1336	0.0	0.0
2026/03/06	0.0651	1.7951	0.7375	1.3781	0.403	20.9032	0.0	0.1153	0.2993	0.4583	59.5128	0.0	86.278	0.0	6.7535	0.011	2.1336	0.0	0.0
2026/03/07	0.0651	1.7951	0.7375	1.3781	0.403	20.9032	0.0	0.1153	0.2993	0.4583	59.5128	0.0	86.278	0.0	6.7535	0.011	2.1336	0.0	0.0
2026/03/08	0.0651	1.7951	0.7375	1.3781	0.403	20.9032	0.0	0.1153	0.2993	0.4583	59.5128	0.0	86.278	0.0	6.7535	0.011	2.1336	0.0	0.0
2026/03/09	0.0651	1.7951	0.7375	1.3781	0.403	20.9032	0.0	0.1153	0.2993	0.4583	59.5128	0.0	86.278	0.0	6.7535	0.011	2.1336	0.0	0.0
2026/03/10	0.0651	1.7951	0.7375	1.3781	0.403	20.9032	0.0	0.1153	0.2993	0.4583	59.5128	0.0	86.278	0.0	6.7535	0.011	2.1336	0.0	0.0
2026/03/11	0.0651	1.7951	0.7375	1.3781	0.403	20.9032	0.0	0.1153	0.2993	0.4583	59.5128	0.0	86.278	0.0	6.7535	0.011	2.1336	0.0	0.0
2026/03/12	0.0651	1.7951	0.7375	1.3781	0.403	20.9032	0.0	0.1153	0.2993	0.4583	59.5128	0.0	86.278	0.0	6.7535	0.011	2.1336	0.0	0.0
2026/03/13	0.0651	1.7951	0.7375	1.3781	0.403	20.9032	0.0	0.1153	0.2993	0.4583	59.5128	0.0	86.278	0.0	6.7535	0.011	2.1336	0.0	0.0
