日期	丰惠平原区	余姚平原上河区	余姚平原下河区	余姚平原姚江上游区	余姚平原姚江下游区	南沙平原区	姚江沿线大工业用水区	慈溪平原西河区	慈溪平原中河区	慈溪平原东河区	江北镇海平原区	海曙平原区	绍虞平原区	舟山大陆用水区	虞北平原上河区	虞北平原中河区	蜀山平原区	鄞州调水区	余姚平原马渚中河区
2026/03/03	0.63	4.45	2.23	2.91	2.83	1.97	0.0	6.82	4.54	3.5	1.66	11.49	6.36	0.0	10.76	0.57	1.28	0.0	0.37
2026/03/04	0.63	4.45	2.23	2.91	2.83	1.97	0.0	6.82	4.54	3.5	1.66	11.49	6.36	0.0	10.76	0.57	1.28	0.0	0.37
2026/03/05	0.63	4.45	2.23	2.91	2.83	1.97	0.0	6.82	4.54	3.5	1.66	11.49	6.36	0.0	10.76	0.57	1.28	0.0	0.37
2026/03/06	0.63	4.45	2.23	2.91	2.83	1.97	0.0	6.82	4.54	3.5	1.66	11.49	6.36	0.0	10.76	0.57	1.28	0.0	0.37
2026/03/07	0.63	4.45	2.23	2.91	2.83	1.97	0.0	6.82	4.54	3.5	1.66	11.49	6.36	0.0	10.76	0.57	1.28	0.0	0.37
2026/03/08	0.63	4.45	2.23	2.91	2.83	1.97	0.0	6.82	4.54	3.5	1.66	11.49	6.36	0.0	10.76	0.57	1.28	0.0	0.37
2026/03/09	0.63	4.45	2.23	2.91	2.83	1.97	0.0	6.82	4.54	3.5	1.66	11.49	6.36	0.0	10.76	0.57	1.28	0.0	0.37
2026/03/10	0.63	4.45	2.23	2.91	2.83	1.97	0.0	6.82	4.54	3.5	1.66	11.49	6.36	0.0	10.76	0.57	1.28	0.0	0.37
2026/03/11	0.63	4.45	2.23	2.91	2.83	1.97	0.0	6.82	4.54	3.5	1.66	11.49	6.36	0.0	10.76	0.57	1.28	0.0	0.37
2026/03/12	0.63	4.45	2.23	2.91	2.83	1.97	0.0	6.82	4.54	3.5	1.66	11.49	6.36	0.0	10.76	0.57	1.28	0.0	0.37
2026/03/13	0.63	4.45	2.23	2.91	2.83	1.97	0.0	6.82	4.54	3.5	1.66	11.49	6.36	0.0	10.76	0.57	1.28	0.0	0.37
