日期	平原产水	其他外供	河网供水	水库供水	合计来水	农业需水	其他生态需水	非农需水	需水量	生态需水	总需水量	净流量	目标容积	日初容积	日中容积	日末容积	排末容积	初河蓄水	蓄水消后	缺水(浙东需供)	末河蓄水	排河蓄水	排水容积	河区排水	容积变化	排后变化	纳蓄能力	低水位以上蓄水量	总蓄水量	水位生态需水	本地可供水量
2026/03/03	6.97	0.0	2.526	0.0	2.526	7.09	2.23	0.7375	7.8275	2.23	10.0575	-7.531499999999999	3006.0	0.0	-7.531499999999999	0.0	0.0	0.0	0.0	7.531499999999999	0.0	0.0	3333.333333333333	0.0	-7.531499999999999	-7.531499999999999	3006.0	0.0	0.0	0.0	2.526
2026/03/04	0.0	0.0	1.463	0.0	1.463	7.09	2.23	0.7375	7.8275	2.23	10.0575	-8.5945	3006.0	0.0	-8.5945	0.0	0.0	0.0	0.0	8.5945	0.0	0.0	3333.333333333333	0.0	-8.5945	-8.5945	3006.0	0.0	0.0	0.0	1.463
2026/03/05	22.75	0.0	1.254	0.0	1.254	7.09	2.23	0.7375	7.8275	2.23	10.0575	-8.8035	3006.0	0.0	-8.8035	0.0	0.0	0.0	0.0	8.8035	0.0	0.0	3333.333333333333	0.0	-8.8035	-8.8035	3006.0	0.0	0.0	0.0	1.254
2026/03/06	0.61	0.0	1.09	0.0	1.09	7.09	2.23	0.7375	7.8275	2.23	10.0575	-8.9675	3006.0	0.0	-8.9675	0.0	0.0	0.0	0.0	8.9675	0.0	0.0	3333.333333333333	0.0	-8.9675	-8.9675	3006.0	0.0	0.0	0.0	1.09
2026/03/07	0.41	0.0	0.959	0.0	0.959	7.09	2.23	0.7375	7.8275	2.23	10.0575	-9.0985	3006.0	0.0	-9.0985	0.0	0.0	0.0	0.0	9.0985	0.0	0.0	3333.333333333333	0.0	-9.0985	-9.0985	3006.0	0.0	0.0	0.0	0.959
2026/03/08	3.89	0.0	0.866	0.0	0.866	7.09	2.23	0.7375	7.8275	2.23	10.0575	-9.1915	3006.0	0.0	-9.1915	0.0	0.0	0.0	0.0	9.1915	0.0	0.0	3333.333333333333	0.0	-9.1915	-9.1915	3006.0	0.0	0.0	0.0	0.866
2026/03/09	1.84	0.0	0.791	0.0	0.791	7.09	2.23	0.7375	7.8275	2.23	10.0575	-9.2665	3006.0	0.0	-9.2665	0.0	0.0	0.0	0.0	9.2665	0.0	0.0	3333.333333333333	0.0	-9.2665	-9.2665	3006.0	0.0	0.0	0.0	0.791
2026/03/10	3.89	0.0	0.738	0.0	0.738	7.09	2.23	0.7375	7.8275	2.23	10.0575	-9.3195	3006.0	0.0	-9.3195	0.0	0.0	0.0	0.0	9.3195	0.0	0.0	3333.333333333333	0.0	-9.3195	-9.3195	3006.0	0.0	0.0	0.0	0.738
2026/03/11	37.5	0.0	0.778	0.0	0.778	7.09	2.23	0.7375	7.8275	2.23	10.0575	-9.2795	3006.0	0.0	-9.2795	0.0	0.0	0.0	0.0	9.2795	0.0	0.0	3333.333333333333	0.0	-9.2795	-9.2795	3006.0	0.0	0.0	0.0	0.778
2026/03/12	20.84	0.0	0.823	0.0	0.823	7.09	2.23	0.7375	7.8275	2.23	10.0575	-9.2345	3006.0	0.0	-9.2345	0.0	0.0	0.0	0.0	9.2345	0.0	0.0	3333.333333333333	0.0	-9.2345	-9.2345	3006.0	0.0	0.0	0.0	0.823
