日期	平原产水	其他外供	河网供水	水库供水	合计来水	农业需水	其他生态需水	非农需水	需水量	净流量	目标容积	日初容积	日中容积	日末容积	排末容积	水位生态需水	初河蓄水	蓄水消后	缺水(浙东需供)	末河蓄水	排河蓄水	排水容积	河区排水	容积变化	排后变化	纳蓄能力	低水位以上蓄水量	总蓄水量	生态需水	总需水量	本地可供水量	展示本地可供水量	累积时段
2026/03/03	252.5	178.9398	41.69699999999999	5.357	225.99380000000002	147.68	62.36999999999999	180.8438	328.52379999999994	-164.90000000000003	63315.57534246575	3619.576246265859	3454.676246265859	3623.8272462658592	3623.8272462658592	0.0	0.0	0.0	169.151	0.0	0.0	74231.66666666667	0.0	4.251000000000204	4.251000000000204	62315.17275373415	0.0	3623.8272462658592	62.36999999999999	390.89379999999994	225.99380000000002	221.74279999999993	2026/03/03至2026/03/03
2026/03/04	271.12	359.4706	69.047	10.714	439.23159999999996	295.36	124.73999999999998	361.6876	657.0475999999999	-342.55600000000004	126631.1506849315	7243.403492531718	6900.847492531719	7249.916492531718	7249.916492531718	0.0	0.0	0.0	349.0690000000001	0.0	0.0	148463.33333333334	0.0	6.51299999999992	6.51299999999992	124628.0835074683	0.0	7249.916492531718	124.73999999999998	781.7875999999999	439.23159999999996	432.7185999999998	2026/03/03至2026/03/04
2026/03/05	1019.96	541.7914	92.099	16.071	649.9613999999999	443.04	187.10999999999996	542.5314	985.5713999999998	-522.72	189946.72602739726	10869.492738797577	10346.77273879758	10878.058738797577	10878.058738797577	0.0	0.0	0.0	531.2860000000001	0.0	0.0	222695.0	0.0	8.566000000000258	8.566000000000258	186938.94126120245	0.0	10878.058738797577	187.10999999999996	1172.6814	649.9613999999999	641.3953999999998	2026/03/03至2026/03/05
2026/03/06	1040.8700000000001	725.8782	111.417	21.428	858.7231999999999	590.72	249.47999999999996	723.3752	1314.0951999999997	-704.852	253262.301369863	14497.634985063436	13792.782985063437	14508.089985063436	14508.089985063436	0.0	0.0	0.0	715.307	0.0	0.0	296926.6666666667	0.0	10.454999999999927	10.454999999999927	249247.91001493658	0.0	14508.089985063436	249.47999999999996	1563.5751999999998	858.7231999999999	848.2681999999998	2026/03/03至2026/03/06
2026/03/07	1104.48	911.17	127.958	26.785	1065.913	738.4000000000001	311.84999999999997	904.2189999999999	1642.6189999999997	-888.5559999999999	316577.87671232875	18127.666231329295	17239.110231329294	18139.879231329294	18139.879231329294	0.0	0.0	0.0	900.769	0.0	0.0	371158.3333333334	0.0	12.213000000000193	12.213000000000193	311555.12076867075	0.0	18139.879231329294	311.84999999999997	1954.4689999999996	1065.913	1053.6999999999998	2026/03/03至2026/03/07
2026/03/08	1323.82	1096.8458	142.999	32.142	1271.9868000000001	886.0800000000002	374.21999999999997	1085.0628	1971.1427999999996	-1073.376	379893.4520547945	21759.455477595155	20686.079477595154	21773.33347759515	21773.33347759515	0.0	0.0	0.0	1087.2540000000001	0.0	0.0	445390.00000000006	0.0	13.878000000000156	13.878000000000156	373860.6665224049	0.0	21773.33347759515	374.21999999999997	2345.3627999999994	1271.9868000000001	1258.1087999999997	2026/03/03至2026/03/08
2026/03/09	1377.22	1283.2116	156.45	37.499	1477.1606000000002	1033.7600000000002	436.59	1265.9065999999998	2299.6665999999996	-1259.096	443209.0273972603	25392.909723861012	24133.813723861014	25408.37772386101	25408.37772386101	0.0	0.0	0.0	1274.564	0.0	0.0	519621.66666666674	0.0	15.467999999999847	15.467999999999847	436164.62227613904	0.0	25408.37772386101	436.59	2736.2565999999993	1477.1606000000002	1461.6925999999996	2026/03/03至2026/03/09
2026/03/10	1651.6399999999999	1469.3934000000002	169.44899999999998	42.856	1681.6984000000002	1181.4400000000003	498.96	1446.7504	2628.1903999999995	-1445.452	506524.6027397261	29027.95397012687	27582.501970126872	29044.958970126867	29044.958970126867	0.0	0.0	0.0	1462.457	0.0	0.0	593853.3333333334	0.0	17.00500000000011	17.00500000000011	498467.0410298732	0.0	29044.958970126867	498.96	3127.150399999999	1681.6984000000002	1664.6933999999997	2026/03/03至2026/03/10
2026/03/11	2819.5	1653.9152000000001	184.588	48.213	1886.7162000000003	1329.1200000000003	561.3299999999999	1627.5942	2956.7141999999994	-1631.328	569840.1780821919	32664.535216392727	31033.20721639273	32683.117216392726	32683.117216392726	0.0	0.0	0.0	1649.91	0.0	0.0	668085.0	0.0	18.582000000000335	18.582000000000335	560767.8827836073	0.0	32683.117216392726	561.3299999999999	3518.044199999999	1886.7162000000003	1868.1341999999995	2026/03/03至2026/03/11
2026/03/12	3343.47	1837.7110000000002	200.993	53.57	2092.2740000000003	1476.8000000000004	623.6999999999999	1808.438	3285.2379999999994	-1816.664	633155.7534246576	36302.693462658586	34486.02946265859	36322.897462658584	36322.897462658584	0.0	0.0	0.0	1836.8680000000002	0.0	0.0	742316.6666666666	0.0	20.20400000000018	20.20400000000018	623067.1025373415	0.0	36322.897462658584	623.6999999999999	3908.9379999999987	2092.2740000000003	2072.0699999999993	2026/03/03至2026/03/12
