时间段	平原产水	其他外供	河网供水	水库供水	合计来水	农业需水	其他生态需水	非农需水	需水量	生态需水	总需水量	净流量	目标容积	日初容积	日中容积	日末容积	排末容积	初河蓄水	蓄水消后	缺水(浙东需供)	末河蓄水	排河蓄水	排水容积	河区排水	容积变化	排后变化	纳蓄能力	低水位以上蓄水量	总蓄水量	水位生态需水	本地可供水量
2026/03/03至2026/04/03	899.1999999999999	0.0	59.059	0.0	59.059	676.73	114.94	14.6656	691.3956000000001	114.94	806.3356	-747.2765999999999	126208.0	14853.179190751445	14105.902590751446	14853.179190751445	14853.179190751445	0.0	0.0	747.2765999999999	0.0	0.0	150336.0	0.0	-747.2765999999999	-747.2765999999999	111354.82080924856	0.0	14853.179190751445	0.0	59.059
2026/03/03至2026/04/03	866.23	0.0	59.059	0.0	59.059	391.84000000000003	223.97	3.6896	395.52959999999996	223.97	619.4996	-560.4406	91840.0	0.0	-560.4406	0.0	0.0	0.0	0.0	560.4406	0.0	0.0	151311.99999999997	0.0	-560.4406	-560.4406	131488.0	0.0	0.0	0.0	59.059
2026/03/03至2026/04/03	890.97	0.0	59.059	0.0	59.059	588.3800000000001	149.09	9.5776	597.9576	149.09	747.0476	-687.9885999999999	101824.0	12784.976525821598	12096.987925821597	12784.976525821598	12784.976525821598	0.0	0.0	687.9885999999999	0.0	0.0	123328.0	0.0	-687.9885999999999	-687.9885999999999	89039.02347417841	0.0	12784.976525821598	0.0	59.059
2026/03/03至2026/04/03	688.96	0.0	59.059	0.0	59.059	167.71	20.700000000000003	2.0832	169.7932	20.700000000000003	190.4932	-131.43420000000003	17600.0	0.0	-131.43420000000003	0.2218999999999998	0.2218999999999998	0.0	0.0	131.6561	0.0	0.0	19520.0	0.0	-131.43420000000003	-131.43420000000003	17599.7781	0.0	0.2218999999999998	0.0	59.059
2026/03/03至2026/04/03	0	308.621	59.059	0.0	367.68000000000006	0	367.68	0.0	0.0	367.68	367.68	5.329070518200751e-15	11090.410958904109	11090.410958904109	11090.410958904109	11090.410958904109	11090.410958904109	0.0	0.0	0.0	0.0	0.0	62261.33333333334	0.0	5.329070518200751e-15	5.329070518200751e-15	44301.58904109588	0.0	11090.410958904109	0.0	367.68000000000006
2026/03/03至2026/04/03	681.3499999999999	0.0	59.059	0.0	59.059	169.88	55.129999999999995	1904.4096	2074.2896	55.129999999999995	2129.4196	-2070.3606	37056.0	6582.113821138211	4511.753221138211	6582.113821138211	6582.113821138211	0.0	0.0	2070.3606	0.0	0.0	44512.0	0.0	-2070.3606	-2070.3606	30473.886178861787	0.0	6582.113821138211	0.0	59.059
2026/03/03至2026/04/03	2520.06	1557.5634	100.779	0.0	1658.3423999999998	924.4200000000001	65.02	668.9024	1593.3224	65.02	1658.3424	0.0	173440.0	6.394884621840902e-14	6.394884621840902e-14	7.105427357601002e-14	7.105427357601002e-14	0.0	0.0	7.105427357601002e-15	0.0	0.0	196480.0	0.0	0.0	0.0	173440.0	0.0	7.105427357601002e-14	0.0	1658.3423999999998
2026/03/03至2026/04/03	379.35	93.7562	100.779	0.0	194.53520000000003	84.00999999999999	42.25	68.2752	152.2852	42.25	194.53520000000003	1.7763568394002505e-15	78400.0	3.9968028886505635e-14	4.1744385725905886e-14	4.1744385725905886e-14	4.1744385725905886e-14	0.0	0.0	0.0	0.0	0.0	85866.66666666666	0.0	1.7763568394002505e-15	1.7763568394002505e-15	78400.0	0.0	4.1744385725905886e-14	0.0	194.53520000000003
2026/03/03至2026/04/03	3489.5999999999995	3345.637	100.779	0.0	3446.416	476.78	208.74	2760.896	3237.6760000000004	208.74	3446.416	0.0	892800.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	965760.0	0.0	0.0	0.0	892800.0	0.0	0.0	0.0	3446.416
2026/03/03至2026/04/03	2174.4300000000003	320.0	59.059	0.0	379.059	239.63	353.02	216.112	455.74199999999996	353.02	808.762	-429.7029999999999	81376.0	0.0	-429.7029999999999	0.0	0.0	0.0	0.0	429.7029999999999	0.0	0.0	91088.0	0.0	-429.7029999999999	-429.7029999999999	81376.0	0.0	0.0	0.0	379.059
