# 单季稻灌溉制度表

开始日期        结束日期        生长天数  蒸发系数  水位下限(mm)  设计蓄水位(mm)  水位上限(mm)
----------  ----------  ------  ----  --------  ---------  --------
2025/01/01  2025/07/14  195     0.5   -45.0     -25.0      0.0     
2025/07/15  2025/07/22  8       1.0   20.0      40.0       50.0    
2025/07/23  2025/07/31  9       1.0   10.0      30.0       40.0    
2025/08/01  2025/08/17  17      1.2   10.0      30.0       40.0    
2025/08/18  2025/08/29  12      1.3   5.0       25.0       45.0    
2025/08/30  2025/09/15  17      1.45  10.0      30.0       60.0    
2025/09/16  2025/09/25  10      1.5   10.0      30.0       60.0    
2025/09/26  2025/10/08  13      1.4   10.0      30.0       60.0    
2025/10/09  2025/11/10  33      0.8   -20.0     0.0        10.0    
2025/11/11  2025/12/31  51      0.5   -45.0     -25.0      0.0     
