# ============================================================
# 文件名称: static_irrigation_quota.txt
# 文件作用: 旱地作物月度灌溉定额
# 数据来源: 灌溉制度.xlsx（自动转换生成）
# 单位说明: 定额(m³/km²/月)，原始数据为 m³/亩 已乘以 1500
# 生成时间: 2026-01-19 07:55:27
# ============================================================

作物	保证率	1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月	合计
早稻	0.5	0	0	0	97500	82500	75000	45000	0	0	0	0	0	300000
早稻	0.75	0	0	0	108000	93000	88500	63000	0	0	0	0	0	352500
早稻	0.9	0	0	0	124500	126000	109500	82500	0	0	0	0	0	442500
单季晚稻	0.5	0	0	0	0	0	0	88500	133500	109500	81000	15000	0	427500
单季晚稻	0.75	0	0	0	0	0	0	111000	171000	132000	96000	22500	0	532500
单季晚稻	0.9	0	0	0	0	0	0	127500	202500	157500	97500	30000	0	615000
连作晚稻	0.5	0	0	0	0	0	0	90000	135000	112500	30000	0	0	367500
连作晚稻	0.75	0	0	0	0	0	0	100500	153000	123000	36000	0	0	412500
连作晚稻	0.9	0	0	0	0	0	0	132000	177000	141000	45000	0	0	495000
蔬菜	0.5	0	0	0	0	1500	1500	1500	1500	1500	0	0	0	7500
蔬菜	0.75	0	0	0	0	6000	7500	9000	13500	12000	0	0	0	48000
蔬菜	0.9	0	0	0	0	10500	13500	13500	15000	10500	0	0	0	63000
小麦	0.5	0	0	1500	1500	1500	0	0	0	0	1500	1500	0	7500
小麦	0.75	0	0	9000	12000	12000	0	0	0	0	13500	13500	0	60000
小麦	0.9	0	0	12000	15000	13500	0	0	0	0	16500	18000	0	75000
油菜	0.5	0	0	1500	1500	1500	0	0	0	0	1500	1500	0	7500
油菜	0.75	0	0	7500	9000	9000	0	0	0	0	13500	13500	0	52500
油菜	0.9	0	0	12000	12000	13500	0	0	0	0	15000	15000	0	67500
瓜果	0.5	0	0	0	0	9000	15000	13500	0	0	0	0	0	37500
瓜果	0.75	0	0	0	0	27000	37500	33000	0	0	0	0	0	97500
瓜果	0.9	0	0	0	0	33000	55500	54000	0	0	0	0	0	142500
豆类	0.5	0	0	0	1500	3000	3000	0	0	0	0	0	0	7500
豆类	0.75	0	0	0	9000	13500	15000	0	0	0	0	0	0	37500
豆类	0.9	0	0	0	12000	21000	19500	0	0	0	0	0	0	52500
