序号,市,县（市、区）,水资源分区,nan,水资源利用分区,面积（km2）,人口（万人）,nan,nan,国内地区生产总值  （亿元）,nan,nan,nan,工业增加值（亿元）,nan,nan,nan,火(核)电装机(万kW),nan,总耕地面积      （万亩）,有效灌溉面积   （万亩）,农田实灌面积（万亩）,nan,nan,nan,粮食产量（万吨）,林牧渔面积（万亩）,nan,nan,nan,牲畜(万头),nan,nan,地表水源供水量,nan,nan,nan,nan,nan,nan,地下水源供水量,nan,nan,nan,其他水源供水量,nan,nan,nan,总供水量,环境配水量,农田灌溉用水量,nan,nan,nan,nan,林牧渔畜用水量,nan,nan,nan,nan,nan,nan,nan,工业用水量,nan,nan,nan,nan,nan,城镇公共用水量,nan,nan,nan,居民生活用水量,nan,nan,nan,生态与环境用水量,nan,nan,nan,总用水量,nan,环境配水量,总计,总用水量（核算）,总供水量（核算）,总供水-总用水,nan,nan,nan
169,丽水市,莲都区,瓯江温溪以上,大溪,6,1374.8,37.31,10.16,47.47,19.55,123.39,245.65,388.59,0,91.21,0,91.21,0,0,23.78,16.71,14.03,1.86,0.78,16.67,3.26,0,4.12,0,0.42,0.1,7.28,7.38,0.7692,0.1666,0.3023,0,0,0,1.2381,0.0014,0,0,0.0014,0,0,0,0,1.2395,0,0.5266,0.0152,0.0084,0.5502,0,0,0.0261,0,0.0192,0.0004,0.0025,0.0482,0,0,0,0.1902,0,0.1902,0.0014,0.0493,0.1476,0.1969,0,0.1772,0.0375,0.2147,0,0.0349,0.0044,0.0393,0,1.2395,0.0014,0,1.2395,1.2395,1.2395,0,,,
170,丽水市,莲都区,瓯江温溪以上,小溪及瓯江青田段,6,127.2,0.01,0.86,0.87,1.02,0.01,0.01,1.04,0,0,0,0,0,0,1.3,0.87,0.82,0.02,0.03,0.87,0.18,0,0.2,0,0.02,0.02,0.12,0.14,0.0189,0.0118,0.0043,0,0,0,0.035,0,0,0,0,0,0,0,0,0.035,0,0.0285,0.0002,0.0004,0.0291,0,0,0.001,0,0.001,0.0001,0.0001,0.0022,0,0,0,0,0,0,0,0,0,0,0,0.0001,0.0033,0.0034,0,0,0.0003,0.0003,0,0.035,0,0,0.035,0.035,0.035,0,,,
171,丽水市,龙泉市,富春江坝址以上,衢江下游,6,316.1,1.3,0.87,2.17,1.53,4.61,7.53,13.67,0,1.66,0,1.66,0,0,2.71,2.43,1.72,0.42,0.2,2.34,0.46,0,0,0,0,0,0.84,0.84,0.0349,0.0285,0.0045,0,0,0,0.0679,0,0,0,0,0,0,0,0,0.0679,0,0.0475,0.0039,0.0023,0.0537,0,0,0,0,0,0,0.0004,0.0004,0,0,0,0,0.0037,0.0037,0,0,0.002,0.002,0,0.005,0.003,0.008,0,0.0001,0,0.0001,0,0.0679,0,0,0.0679,0.0679,0.0679,0,,,
172,丽水市,龙泉市,瓯江温溪以上,大溪,6,2438.8,10.68,6.12,16.8,10.65,36.35,53.85,100.85,0.34,30.3,0,30.64,0,3,27.89,16.48,12.64,2.08,0.9,15.62,5.38,0,0,0,0.12,0.34,5.86,6.2,0.2993,0.2191,0.0395,0,0,0,0.5579,0,0,0,0,0,0,0,0,0.5579,0,0.3541,0.0193,0.0104,0.3838,0,0,0,0,0.0045,0.0012,0.0025,0.0082,0,0,0.0078,0.0154,0.0505,0.0737,0,0.009,0.0197,0.0287,0,0.042,0.0208,0.0628,0,0.0007,0,0.0007,0,0.5579,0,0,0.5579,0.5579,0.5579,0,,,
173,丽水市,龙泉市,瓯江温溪以上,小溪及瓯江青田段,6,216.3,1.88,0.85,2.73,1.75,6.22,7.84,15.81,0,4.23,0,4.23,0,0,5.13,2.99,2.1,0.51,0.25,2.86,0.55,0,0,0,0,0.03,0.62,0.65,0.0456,0.0383,0.0062,0,0,0,0.0901,0,0,0,0,0,0,0,0,0.0901,0,0.058,0.0049,0.0029,0.0658,0,0,0,0,0,0.0001,0.0003,0.0004,0,0,0,0,0.0087,0.0087,0,0.0037,0.0012,0.0049,0,0.0072,0.003,0.0102,0,0.0001,0,0.0001,0,0.0901,0,0,0.0901,0.0901,0.0901,0,,,
174,丽水市,龙泉市,闽江上游,闽江,6,87.8,1.45,0.77,2.22,1.33,4.87,6.02,12.22,0,1.2,0,1.2,0,0,2.95,2.67,1.91,0.46,0.18,2.55,0.33,0,0,0,0.12,0.03,0.39,0.42,0.0418,0.0324,0.0053,0,0,0,0.0795,0,0,0,0,0,0,0,0,0.0795,0,0.0535,0.0044,0.002,0.0599,0,0,0,0,0.0046,0.0001,0.0002,0.0049,0,0,0,0,0.0025,0.0025,0,0,0.0039,0.0039,0,0.0056,0.0027,0.0083,0,0,0,0,0,0.0795,0,0,0.0795,0.0795,0.0795,0,,,
175,丽水市,青田县,瓯江温溪以上,大溪,6,1138.1,4.94,7.56,12.5,3.93,41.15,52.14,97.22,0,32.75,0,32.75,0,0,19.3,6.21,4.63,0.56,0.22,5.41,2.41,0,0.54,0,0.01,0.25,2.9,3.15,0.3837,0,0,0,0,0,0.3837,0,0,0,0,0,0,0,0,0.3837,0,0.2143,0.006,0.0029,0.2232,0,0,0.0034,0,0.0005,0.0009,0.0012,0.006,0,0,0,0.0644,0.0158,0.0802,0,0.0116,0.0167,0.0283,0,0.0188,0.0268,0.0456,0,0,0.0004,0.0004,0,0.3837,0,0,0.3837,0.3837,0.3837,0,,,
176,丽水市,青田县,瓯江温溪以上,小溪及瓯江青田段,6,1314.6,11.28,6.88,18.16,4.72,53.46,58.4,116.58,0,37.03,0,37.03,0,0,20.87,6.78,5.31,0.48,0.17,5.96,2.13,0,0.44,0,0.02,0.19,2.74,2.93,0.4707,0,0,0,0,0,0.4707,0,0,0,0,0,0,0,0,0.4707,0,0.2479,0.0051,0.0021,0.2551,0,0,0.0029,0,0.001,0.0007,0.001,0.0056,0,0,0,0.0665,0.017,0.0835,0,0.0181,0.0387,0.0568,0,0.0448,0.0239,0.0687,0,0.001,0,0.001,0,0.4707,0,0,0.4707,0.4707,0.4707,0,,,
177,丽水市,青田县,瓯江温溪以下,楠溪江,6,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
178,丽水市,青田县,瓯江温溪以下,瓯江下游干流,6,22.6,5.71,0,5.71,0.92,9.93,18.83,29.68,0,17.41,0,17.41,0,0,0.84,0.63,0.46,0.17,0,0.63,0.11,0,0.28,0,0,0.03,0.27,0.3,0.1206,0,0,0,0,0,0.1206,0,0,0,0,0,0,0,0,0.1206,0,0.0218,0.0018,0,0.0236,0,0,0.0017,0,0,0.0001,0.0001,0.0019,0,0,0,0.0353,0.0079,0.0432,0,0.0091,0.021,0.0301,0,0.0218,0,0.0218,0,0,0,0,0,0.1206,0,0,0.1206,0.1206,0.1206,0,,,
179,丽水市,青田县,瓯江温溪以下,飞云江,6,8.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
180,丽水市,云和县,瓯江温溪以上,大溪,6,819.7,8.21,2.9,11.11,3.95,44.65,28.23,76.83,0,23.96,16.04,40,0,0,11.45,8.735,7.02,0.76,0.32,8.1,1.35,0,0.25,0,0.05,0.18,1.52,1.67,0.311,0.0263,0.0004,0,0,0,0.3377,0,0,0,0,0,0,0,0,0.3377,0,0.2169,0.0072,0.0038,0.2279,0,0,0.0016,0,0.0017,0.0011,0.0007,0.0051,0,0,0,0.019,0.0214,0.0404,0,0.0011,0.0125,0.0136,0,0.0362,0.009,0.0452,0,0.005,0.0005,0.0055,0,0.3377,0,0,0.3377,0.3377,0.3377,0,,,
181,丽水市,云和县,瓯江温溪以上,小溪及瓯江青田段,6,164.3,0,0.4,0.4,0.9,0,5.2,6.1,0,0,0,0,0,0,2.49,1.69,1.08,0.27,0.21,1.56,0.4,0,0.05,0,0,0.02,0.4,0.41,0.0392,0.0027,0,0,0,0,0.0419,0,0,0,0,0,0,0,0,0.0419,0,0.0351,0.0026,0.0026,0.0403,0,0,0.0002,0,0,0.0001,0.0002,0.0005,0,0,0,0,0,0,0,0,0,0,0,0,0.0011,0.0011,0,0,0,0,0,0.0419,0,0,0.0419,0.0419,0.0419,0,,,
182,丽水市,庆元县,瓯江温溪以上,大溪,6,64,0.7,0.54,1.24,0.65,2.09,4.73,7.47,0,0,0,0,0,0,2.54,1.85,0.95,0.05,0.12,1.12,0.38,0,0,0,0,0,0,0,0.0088,0.0439,0,0,0,0,0.0527,0,0,0,0,0,0,0,0,0.0527,0,0.0448,0.0005,0.0015,0.0468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005,0.0009,0.0014,0,0.0026,0.0019,0.0045,0,0,0,0,0,0.0527,0,0,0.0527,0.0527,0.0527,0,,,
183,丽水市,庆元县,瓯江温溪以上,小溪及瓯江青田段,6,546.7,1.84,1.4,3.24,1.39,7.84,9.72,18.95,0,2.59,0,2.59,0,0,6.43,5.94,1.98,0.22,0.65,2.85,0.7,0.01,0.01,0,0,0.2,0.67,0.87,0.046,0.0789,0,0,0,0,0.1249,0,0,0,0,0,0,0,0,0.1249,0,0.0937,0.0023,0.0084,0.1044,0,0.0001,0.0001,0,0,0.0007,0.0003,0.0012,0,0,0,0,0.0032,0.0032,0,0.0018,0.0025,0.0043,0,0.0069,0.0049,0.0118,0,0,0,0,0,0.1249,0,0,0.1249,0.12490000000000001,0.1249,0,,,
184,丽水市,庆元县,闽东诸河,闽东诸河,6,247.3,1.03,0.6,1.63,1.13,3.48,5.75,10.36,0,0,0,0,0,0,3.67,3.38,1.06,0.18,0.28,1.52,0.42,0,0.01,0,0,0,0.4,0.4,0.0214,0.0443,0,0,0,0,0.0657,0,0,0,0,0,0,0,0,0.0657,0,0.051,0.0019,0.0037,0.0566,0,0,0.0001,0,0,0,0.0002,0.0003,0,0,0,0,0,0,0,0.001,0.0018,0.0028,0,0.0039,0.0021,0.006,0,0,0,0,0,0.0657,0,0,0.0657,0.0657,0.0657,0,,,
185,丽水市,庆元县,闽江上游,闽江,6,1040,4.34,3.47,7.81,3.68,16.14,21.78,41.6,0,18.65,0,18.65,0,0,11.18,9.8,3.91,0.24,0.48,4.63,1.65,0.09,0.08,0,0,0.09,1.48,1.57,0.0625,0.2032,0,0,0,0,0.2657,0.0002,0,0,0.0002,0,0,0,0,0.2659,0,0.1855,0.0025,0.0061,0.1941,0,0.0005,0.0008,0,0,0.0003,0.0008,0.0024,0,0,0,0.0159,0.0096,0.0255,0.0002,0.0048,0.0057,0.0105,0,0.0162,0.0122,0.0284,0,0.005,0,0.005,0,0.2659,0.0002,0,0.2659,0.2659,0.26589999999999997,0,,,
186,丽水市,缙云县,富春江坝址以上,金华江下游,6,298.7,7.53,5.1,12.63,2.89,34.13,17.78,54.8,0,28.59,0,28.59,0,0,10.65,4.27,3.53,0.44,0.24,4.21,1.05,0.07,0.28,0,0.12,0.06,2.23,2.29,0.1483,0.1113,0.0376,0,0,0,0.2972,0,0,0,0,0,0,0,0,0.2972,0,0.1472,0.0047,0.0033,0.1552,0,0.0003,0.0018,0,0.0052,0.0002,0.0009,0.0084,0,0,0,0.0395,0.0085,0.048,0,0.0023,0.0243,0.0266,0,0.0281,0.0175,0.0456,0,0.0128,0.0006,0.0134,0,0.2972,0,0,0.2972,0.2972000000000001,0.2972,0,,,
187,丽水市,缙云县,瓯江温溪以上,大溪,6,981.9,14.56,7.03,21.59,7.01,65.01,89.41,161.43,0,55.3,0,55.3,0,0,20.39,9.45,7.81,0.93,0.53,9.27,2.66,0.08,0.31,0,0.2,0.06,3.06,3.12,0.2993,0.1787,0.1097,0,0,0,0.5877,0,0,0,0,0,0,0,0,0.5877,0,0.3274,0.0097,0.0075,0.3446,0,0.0003,0.0021,0,0.0094,0.0002,0.0011,0.0131,0,0,0,0.0821,0.0154,0.0975,0,0.0046,0.0286,0.0332,0,0.0546,0.0246,0.0792,0,0.0191,0.001,0.0201,0,0.5877,0,0,0.5877,0.5877000000000001,0.5877,0,,,
188,丽水市,缙云县,瓯江温溪以下,永安溪,6,130.9,0,2.63,2.63,1.06,6.32,4.79,12.17,0,1,0,1,0,0,2.5,1.29,0.9,0.35,0,1.25,0.45,0,0,0,0,0.03,0.93,0.96,0.0366,0.0145,0.0032,0,0,0,0.0543,0,0,0,0,0,0,0,0,0.0543,0,0.0375,0.0037,0,0.0412,0,0,0,0,0,0.0001,0.0004,0.0005,0,0,0,0,0.0017,0.0017,0,0,0,0,0,0,0.0092,0.0092,0,0,0.0017,0.0017,0,0.0543,0,0,0.0543,0.0543,0.0543,0,,,
189,丽水市,缙云县,瓯江温溪以下,楠溪江,6,82.5,0,0.72,0.72,0.48,0.75,2.4,3.63,0,0.06,0,0.06,0,0,0.93,0.38,0.3,0.08,0,0.38,0.13,0,0,0,0,0,0.53,0.53,0.0085,0.0062,0.0027,0,0,0,0.0174,0,0,0,0,0,0,0,0,0.0174,0,0.0126,0.0008,0,0.0134,0,0,0,0,0,0,0.0002,0.0002,0,0,0,0,0.0001,0.0001,0,0,0,0,0,0,0.0026,0.0026,0,0,0.0011,0.0011,0,0.0174,0,0,0.0174,0.017400000000000002,0.0174,0,,,
190,丽水市,遂昌县,富春江坝址以上,衢江下游,6,1822,7.3,4.22,11.52,7.18,23.38,36.24,66.8,0,4.37,0,4.37,0,0,21.14,9.18,7.64,0.62,0.12,8.38,3.38,0.05,0.42,0,0.18,0.22,2.29,2.51,0.1911,0.1512,0.0175,0,0,0,0.3598,0,0,0,0,0,0,0,0,0.3598,0,0.2674,0.006,0.0015,0.2749,0,0.0002,0.0011,0,0.01,0.0008,0.0011,0.0132,0,0,0,0.0036,0.0048,0.0084,0,0.001,0.0205,0.0215,0,0.0269,0.0144,0.0413,0,0.0003,0.0002,0.0005,0,0.3598,0,0,0.3598,0.3598,0.3598,0,,,
191,丽水市,遂昌县,富春江坝址以上,金华江下游,6,27.5,0,0.03,0.03,0.04,0.06,0.02,0.12,0,0,0,0,0,0,0.41,0.03,0.02,0.01,0,0.03,0.01,0,0,0,0,0,0,0,0.0006,0.0003,0,0,0,0,0.0009,0,0,0,0,0,0,0,0,0.0009,0,0.0007,0.0001,0,0.0008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0.0001,0,0,0,0,0,0.0009,0,0,0.0009,0.0009000000000000001,0.0009,0,,,
192,丽水市,遂昌县,瓯江温溪以上,大溪,6,689.5,3.05,4.63,7.68,4.72,25.05,27.97,57.74,0,35.2,0,35.2,0,0,7.08,5.36,4.1,0.42,0.32,4.84,1.93,0.1,0.84,0,0.2,0.06,1.46,1.52,0.1529,0.1137,0.0133,0,0,0,0.2799,0,0,0,0,0,0,0,0,0.2799,0,0.1462,0.0041,0.0039,0.1542,0,0.0004,0.002,0,0.0119,0.0002,0.0007,0.0152,0,0,0,0.0621,0.0092,0.0713,0,0.0008,0.0101,0.0109,0,0.0114,0.0153,0.0267,0,0.0013,0.0003,0.0016,0,0.2799,0,0,0.2799,0.2799,0.2799,0,,,
193,丽水市,松阳县,瓯江温溪以上,大溪,6,1406,10.08,9.15,19.23,13.16,46.97,55.42,115.55,0.21,38.05,0,38.26,0,1.5,28.3,14.45,7.13,4.06,2.56,13.75,3.5,0,2.72,0,0.2,0.25,4.85,5.1,0.2003,0.2822,0.0303,0,0,0,0.5128,0,0,0,0,0,0,0,0,0.5128,0,0.2363,0.0416,0.0325,0.3104,0,0,0.018,0,0.008,0.0009,0.0022,0.0291,0,0,0.004,0.0465,0.0233,0.0738,0,0.0138,0.0172,0.031,0,0.0368,0.0301,0.0669,0,0.0016,0,0.0016,0,0.5128,0,0,0.5128,0.5128,0.5128,0,,,
