序号,市,县（市、区）,水资源分区,nan,水资源利用分区,面积（km2）,人口（万人）,nan,nan,国内地区生产总值  （亿元）,nan,nan,nan,工业增加值（亿元）,nan,nan,nan,火(核)电装机(万kW),nan,总耕地面积      （万亩）,有效灌溉面积   （万亩）,农田实灌面积（万亩）,nan,nan,nan,粮食产量（万吨）,林牧渔面积（万亩）,nan,nan,nan,牲畜(万头),nan,nan,地表水源供水量,nan,nan,nan,nan,nan,nan,地下水源供水量,nan,nan,nan,其他水源供水量,nan,nan,nan,总供水量,环境配水量,农田灌溉用水量,nan,nan,nan,nan,林牧渔畜用水量,nan,nan,nan,nan,nan,nan,nan,工业用水量,nan,nan,nan,nan,nan,城镇公共用水量,nan,nan,nan,居民生活用水量,nan,nan,nan,生态与环境用水量,nan,nan,nan,总用水量,nan,环境配水量,总计,总用水量（核算）,总供水量（核算）,总供水-总用水,nan,nan,nan
67,嘉兴市,南湖区,杭嘉湖平原,杭嘉湖平原,1,439,62.01,6.28,68.29,12.9,338.46,414.31,765.67,26.29,257.03,0,283.32,0,5.1,33.21,24.34,16.97,3,0,19.97,9.5524,0,0.69,0,1.07,0,67.65,67.65,0,0,1.8984,0,0,0,1.8984,0,0,0,0,0,0,0,0,1.8984,0,0.8149,0.0581,0,0.873,0,0,0.0078,0,0.0538,0,0.0044,0.066,0,0,0.0298,0.2737,0,0.3035,0,0.0632,0.193,0.2562,0,0.3121,0.0305,0.3426,0,0.0571,0,0.0571,0,1.8984,0,0,1.8984,1.8984,1.8984,0,,,
68,嘉兴市,秀洲区,杭嘉湖平原,杭嘉湖平原,1,548,40.35,22.55,62.9,13.2,338.19,325.19,676.58,6.55,297.75,0,304.3,0,18.6,43.44,33.98,24.73,2.63,0,27.36,13.7779,0,0,0,2.78,0.111,117.42,117.53,0,0,2.3083,0,0,0,2.3083,0,0,0,0,0,0,0,0,2.3083,0,1.1197,0.0374,0,1.1571,0,0,0,0,0.0166,0.0004,0.0049,0.0219,0,0,0.1296,0.4737,0,0.6033,0,0.0247,0.1767,0.2014,0,0.2038,0.1073,0.3111,0,0.0135,0,0.0135,0,2.3083,0,0,2.3083,2.3083,2.3083,0,,,
69,嘉兴市,嘉善县,杭嘉湖平原,杭嘉湖平原,1,507,38.15,21.05,59.2,23.25,330.94,272.8,626.99,7.93,287.82,0,295.75,0,9.9,39.86,33.6,29.78,1,0,30.78,13.1572,0,0.45,0,3.7,0.0407,40.62,40.66,0,0,2.413,0,0,0,2.413,0,0,0,0,0,0,0,0,2.413,0,1.3023,0.0177,0,1.32,0,0,0.0027,0,0.1222,0.0002,0.0012,0.1263,0,0,0.0594,0.3952,0,0.4546,0,0.0426,0.1023,0.1449,0,0.2127,0.1112,0.3239,0,0.0357,0.0076,0.0433,0,2.413,0,0,2.413,2.413,2.413,0,,,
70,嘉兴市,平湖市,杭嘉湖平原,杭嘉湖平原,1,554,45.63,24.72,70.35,12.55,468.5,284.91,765.96,28.03,406.03,0,434.06,530,18.2,43.85,34.69,23.07,5.07,0,28.14,18.494,0,0,0,1.5,0.0013,43.74,43.74,0,0,2.9058,0,0,0,2.9058,0,0,0,0,0,0,0,0,2.9058,0,1.2879,0.0972,0,1.3851,0,0,0,0,0.0135,0,0.002,0.0155,0,0.0806,0.0875,0.8432,0,1.0113,0,0.0299,0.1528,0.1827,0,0.2034,0.1039,0.3073,0,0.0039,0,0.0039,0,2.9058,0,0,2.9058,2.9058,2.9058,0,,,
71,嘉兴市,海盐县,杭嘉湖平原,杭嘉湖平原,1,530.8,28.3,16.8,45.1,17.21,324.95,197.63,539.79,125.93,174.35,0,300.28,342.8,39,38.92,33.45,28.89,4.3,0,33.19,13.92,0.09,3.3,0,1.96,0,359.79,359.79,0,0,2.1445,0,0,0,2.1445,0,0,0,0,0,0,0,0,2.1445,0,1.2509,0.0133,0,1.2642,0,0.0004,0.028,0,0.0575,0,0.0088,0.0947,0,0.1089,0.0254,0.3776,0,0.5119,0,0.0329,0.0425,0.0754,0,0.1187,0.0644,0.1831,0,0.0152,0,0.0152,0,2.1445,0,0,2.1445,2.1445,2.1445,0,,,
72,嘉兴市,海盐县,富春江坝址以下,钱塘江河口水域,1,54.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
73,嘉兴市,海宁市,杭嘉湖平原,杭嘉湖平原,1,730.4,56.45,31.38,87.83,18.27,581.03,427.56,1026.86,10.57,504.51,0,515.08,0,10.6,49.68,43.83,33.69,2.72,0,36.41,11.8813,0,3.08,0,2.34,0,277.16,277.16,0,0,3.0351,0,0,0,3.0351,0,0,0,0,0,0,0,0,3.0351,0,1.3213,0.0177,0,1.339,0,0,0.0022,0,0.1501,0,0.0197,0.172,0,0,0.0411,0.7869,0,0.828,0,0.0452,0.1775,0.2227,0,0.2669,0.1415,0.4084,0,0.065,0,0.065,0,3.0351,0,0,3.0351,3.0351,3.0351,0,,,
74,嘉兴市,海宁市,富春江坝址以下,钱塘江河口水域,1,132.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
75,嘉兴市,桐乡市,杭嘉湖平原,杭嘉湖平原,1,727,52.63,33.7,86.33,23.51,510.48,434.48,968.47,10.98,432.26,0,443.24,0,59.75,58.39,47.17,35.42,8.46,0,43.88,12.7794,0,0.57,0,2.48,0,202.29,202.29,0,0,3.146,0,0,0,3.146,0,0,0,0,0,0,0,0,3.146,0,1.4371,0.0679,0,1.505,0,0,0.0008,0,0.0985,0,0.021,0.1203,0,0,0.0739,0.6559,0,0.7298,0,0.0426,0.22,0.2626,0,0.2936,0.1807,0.4743,0,0.054,0,0.054,0,3.146,0,0,3.146,3.146,3.146,0,,,
4,嘉兴市,,,,,4223,323.52,156.48,480,120.89000000000001,2892.5499999999997,2356.88,5370.32,216.28,2359.75,0,2576.0299999999997,872.8,161.14999999999998,307.35,251.06,192.55,27.18,0,219.73,93.56219999999999,0.09,8.09,0,15.830000000000002,0.153,1108.67,1108.82,0,0,17.851100000000002,0,0,0,17.851100000000002,0,0,0,0,0,0,0,0,17.851100000000002,0,8.534099999999999,0.30929999999999996,0,8.843399999999999,0,0.0004,0.0415,0,0.5122,0.0006000000000000001,0.062,0.6167,0,0.1895,0.4467,3.8062,0,4.442399999999999,0,0.2811,1.0648,1.3458999999999999,0,1.6112000000000002,0.7394999999999999,2.3507,0,0.2444,0.0076,0.252,0,17.851100000000002,0,0,17.851100000000002,,,,,,
