序号,市,县（市、区）,水资源分区,nan,水资源利用分区,面积（km2）,人口（万人）,nan,nan,国内地区生产总值  （亿元）,nan,nan,nan,工业增加值（亿元）,nan,nan,nan,火(核)电装机(万kW),nan,总耕地面积      （万亩）,有效灌溉面积   （万亩）,农田实灌面积（万亩）,nan,nan,nan,粮食产量（万吨）,林牧渔面积（万亩）,nan,nan,nan,牲畜(万头),nan,nan,地表水源供水量,nan,nan,nan,nan,nan,nan,地下水源供水量,nan,nan,nan,其他水源供水量,nan,nan,nan,总供水量,环境配水量,农田灌溉用水量,nan,nan,nan,nan,林牧渔畜用水量,nan,nan,nan,nan,nan,nan,nan,工业用水量,nan,nan,nan,nan,nan,城镇公共用水量,nan,nan,nan,居民生活用水量,nan,nan,nan,生态与环境用水量,nan,nan,nan,总用水量,nan,环境配水量,总计,总用水量（核算）,总供水量（核算）,总供水-总用水,nan,nan,nan
1,杭州市,上城区,杭嘉湖平原,杭嘉湖平原,1,18,34.5,0,34.5,0,400,771.4,1171.4,0,363.5,17,380.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0309,0.8793,0,0,0.9102,0,0.0001,0,0.0001,0,0,0,0,0.9103,1.7145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3473,0.0156,0.3629,0.0001,0.0225,0.2976,0.3201,0,0.1956,0.0007,0.1963,0,0.031,0,0.031,0,0.9103,0.0001,1.7145,2.6248,0.9103000000000001,0.9103,0,,,
2,杭州市,下城区,杭嘉湖平原,杭嘉湖平原,1,31,52.6,0,52.6,0,42.1,1007.5,1049.6,0,9.8,4.6,14.4,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0311,0.8507,0,0,0.8818,0,0,0,0,0,0,0,0,0.8818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0154,0.0137,0.0291,0,0.0259,0.4865,0.5124,0,0.3082,0.001,0.3092,0,0.0311,0,0.0311,0,0.8818,0,0,0.8818,0.8818,0.8818,0,,,
3,杭州市,江干区,杭嘉湖平原,杭嘉湖平原,1,210,122.7,0,122.7,0.3,637.8,1094,1698.8,0,476,48.3,524.3,0,0,3.68,0.56,0,0.03,0.03,0.0599,0.03,0,0.04,0,0.2085,0.02,0,0.02,0,0.0189,0.07,1.6415,0,0,1.7304,0,0,0,0,0.292,0,0,0.292,2.0224,4.5452,0,0.0005,0.0005,0.001,0,0,0.0005,0,0.0173,0.0001,0,0.0179,0,0,0,0.6072,0.0147,0.6219,0,0.0385,0.6294,0.6679,0,0.6325,0.0118,0.6443,0,0.0694,0,0.0694,0,2.0224,0,4.5452,6.5676,2.0223999999999998,2.0223999999999998,0,,,
4,杭州市,拱墅区,杭嘉湖平原,杭嘉湖平原,1,88,57.9,0,57.9,0,139.6,522.6,662.2,0,103.7,5.5,109.3,0,268,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0768,0.7161,0,0,0.7929,0,0,0,0,0,0,0,0,0.7929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0463,0.0621,0.0136,0.122,0,0.0246,0.2935,0.3181,0,0.3156,0.0047,0.3203,0,0.0325,0,0.0325,0,0.7929,0,0,0.7929,0.7928999999999999,0.7929,0,,,
5,杭州市,西湖区,杭嘉湖平原,杭嘉湖平原,1,115.9,75,0.7,75.7,2.4,86.4,928.9,1017.8,0,45.9,9.2,55.3,0,0,1.51,0.91,0.56,0.02,0.34,0.92,0.05,0,0,0,0.1765,0,0,0,0.0554,0.0483,0.0136,0.8105,0,0,0.9278,0,0.0001,0,0.0001,0.1807,0,0,0.1807,1.1086,0,0.0271,0.0002,0.0057,0.033,0,0,0,0,0.0153,0,0,0.0153,0,0,0,0.0674,0.0091,0.0765,0.0001,0.0342,0.5362,0.5704,0,0.3963,0.0036,0.3999,0,0.0135,0,0.0135,0,1.1086,0.0001,0,1.1086,1.1086,1.1086,0,,,
6,杭州市,西湖区,富春江坝址以下,富春江下游段,1,147.1,16.3,1.8,18.1,1.1,37.8,406.6,445.4,0,24.7,7.1,31.6,0,0,3.86,3.13,2.2201,0.21,0.55,2.9801,0.05,1.81,0,0,0.4715,0,0,0,0.0466,0.1842,0.2379,0,0,0,0.4687,0,0,0,0,0,0,0,0,0.4687,3.3394,0.1066,0.0027,0.0082,0.1175,0,0.0258,0,0,0.0409,0,0,0.0667,0,0,0,0.0362,0.0074,0.0436,0,0.0393,0.0836,0.1229,0,0.0859,0.009,0.0949,0,0.0231,0,0.0231,0,0.4687,0,3.3394,3.8081,0.46869999999999995,0.4687,0,,,
7,杭州市,滨江区,富春江坝址以下,萧绍平原,2,73,45.5,0,45.5,0.7,743.6,847.9,1592.2,0,642.2,87.3,729.5,0,0,0.22,0.22,0,0,0.3,0.3,0.1,0,0,0,0.09,0,0,0,0,0.0132,0.9765,0,0,0,0.9897,0,0,0,0,0,0,0,0,0.9897,0,0,0,0.0057,0.0057,0,0,0,0,0.0075,0,0,0.0075,0,0,0,0.4102,0.0018,0.412,0,0.0559,0.2262,0.2821,0,0.2442,0.0065,0.2507,0,0.0317,0,0.0317,0,0.9897,0,0,0.9897,0.9896999999999999,0.9897,0,,,
8,杭州市,萧山区,富春江坝址以下,浦阳江,2,363.4,15.5,16.3,31.8,13.3,240.5,49,302.8,0,188.8,17.6,206.4,0,125,16.8,6.9885,7.4313,0,0.2836,7.7149,2.33,0,1.54,0,3.2642,0.0081,30.5121,30.5202,0,0.5761,0.6075,0,0,0,1.1836,0,0,0,0,0,0,0,0,1.1836,0.5033,0.3123,0,0.004,0.3163,0,0,0.0216,0,0.2199,0,0.0183,0.2598,0,0,0.0227,0.1894,0.0669,0.279,0,0.0201,0.0598,0.0799,0,0.0999,0.0862,0.1861,0,0.0514,0.0111,0.0625,0,1.1836,0,0.5033,1.6869,1.1836,1.1836,0,,,
9,杭州市,萧山区,富春江坝址以下,萧绍平原,2,368.4,97.6,29.1,126.7,45,526.2,973.7,1544.9,0,370.8,118.6,489.4,0,19,36.95,28.8155,26.6393,0,0.9758,27.6151,4.45,0,0.9,0,3.7093,0.0153,58.5658,58.5811,0,1.3191,2.4379,0,0,0,3.757,0,0,0,0,0.1171,0,0,0.1171,3.8741,9.4672,1.125,0,0.0137,1.1387,0,0,0.0126,0,0.2498,0.0001,0.035,0.2975,0,0,0.1922,0.757,0.1276,1.0768,0,0.1808,0.3153,0.4961,0,0.6316,0.1508,0.7824,0,0.0641,0.0185,0.0826,0,3.8741,0,9.4672,13.3413,3.8741000000000003,3.8741000000000003,0,,,
,杭州市,钱塘新区,富春江坝址以下,萧绍平原,2,422.2,18.9,4.4,23.3,13.4,258.1,45.9,350.8,0,222.1,28.1,250.2,0,108.9,20.29,30.26,26.355,0,0.555,26.91,2.43,0,0.4,0,2.1147,0,21.3968,21.3968,0,1.3963,0.9972,0,0,0,2.3935,0,0,0,0,0,0,0,0,2.3935,0,1.1521,0,0.0096,1.1617,0,0,0.0053,0,0.2157,0,0.0136,0.2346,0,0,0.0829,0.5994,0.0273,0.7096,0,0.043,0.0516,0.0946,0,0.0944,0.0204,0.1148,0,0.059,0.0192,0.0782,0,2.3935,0,0,2.3935,2.3934999999999995,2.3935,0,,,
