序号,市,县（市、区）,水资源分区,nan,水资源利用分区,面积（km2）,人口（万人）,nan,nan,国内地区生产总值  （亿元）,nan,nan,nan,工业增加值（亿元）,nan,nan,nan,火(核)电装机(万kW),nan,总耕地面积      （万亩）,有效灌溉面积   （万亩）,农田实灌面积（万亩）,nan,nan,nan,粮食产量（万吨）,林牧渔面积（万亩）,nan,nan,nan,牲畜(万头),nan,nan,地表水源供水量,nan,nan,nan,nan,nan,nan,地下水源供水量,nan,nan,nan,其他水源供水量,nan,nan,nan,总供水量,环境配水量,农田灌溉用水量,nan,nan,nan,nan,林牧渔畜用水量,nan,nan,nan,nan,nan,nan,nan,工业用水量,nan,nan,nan,nan,nan,城镇公共用水量,nan,nan,nan,居民生活用水量,nan,nan,nan,生态与环境用水量,nan,nan,nan,总用水量,nan,环境配水量,总计,总用水量（核算）,总供水量（核算）,总供水-总用水,nan,nan,nan
44,温州市,鹿城区,瓯江温溪以下,瓯江下游干流,5,289.9,114.32,11.94,126.26,1.83,276.29,858.98,1137.1,1.2,62.9,144.9,209,0,3.6,7.19,4.657,3.95,0,0.7,4.65,1.9016,0,0.225,0,0,0.0421,0.587,0.63,0.3672,1.4892,0.2969,0,0,0,2.1533,0,0,0,0,0,0,0,0,2.1533,1.219,0.2,0,0.0104,0.2104,0,0,0.0018,0,0,0.0002,0.0003,0.0023,0,0,0.0021,0.2292,0.2145,0.4458,0,0.0645,0.498,0.5625,0,0.633,0.0513,0.6843,0,0.248,0,0.248,0,2.1533,0,1.219,3.3723,2.1532999999999998,2.1533,0,,,
45,温州市,龙湾区,瓯江温溪以下,瓯江下游干流,5,332.8,66.2,6.56,72.76,2.66,402.98,298.86,704.5,1.1,151.46,178.76,331.32,34.2,0,5.36,4.005,3.21,0,0.06,3.27,0.7475,0,0,0,0,0.0835,1.241,1.32,0.2979,1.1085,0.2196,0,0,0,1.626,0,0,0,0,0,0,0,0,1.626,0.685,0.178,0,0.001,0.179,0,0,0,0,0,0.0004,0.0012,0.0016,0,0.0012,0,0.3725,0.3167,0.6904,0,0.0288,0.2,0.2288,0,0.352,0.0312,0.3832,0,0.143,0,0.143,0,1.626,0,0.685,2.311,1.6260000000000001,1.626,0,,,
46,温州市,瓯海区,瓯江温溪以下,瓯江下游干流,5,461.4,83.76,11.61,95.37,6.8,315.35,338.95,661.1,0,109.19,99.11,208.3,0,0,12.51,7.56,6.2881,0,1.15,7.4381,2.1965,0.06,0.09,0,0,0.0755,1.121,1.2,0.4109,1.2529,0.2395,0,0,0,1.9033,0,0,0,0,0,0,0,0,1.9033,1.495,0.2994,0,0.023,0.3224,0,0.0003,0.0007,0,0,0.0003,0.0008,0.0021,0,0,0,0.2099,0.2084,0.4183,0,0.2002,0.208,0.4082,0,0.474,0.0613,0.5353,0,0.217,0,0.217,0,1.9033,0,1.495,3.3983,1.9033000000000002,1.9033,0,,,
47,温州市,瓯海区,瓯江温溪以下,飞云江,5,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
48,温州市,洞头区,瓯江温溪以下,瓯江下游干流,5,231,5.88,4.94,10.82,5.67,38.48,63.65,107.8,0,18.5,7.5,26,0,0,3.74,0.135,0.09,0,0.03,0.12,0.3703,0,0.015,0,0,0,0.692,0.69,0.0296,0.0984,0.0179,0,0,0,0.1459,0,0,0,0,0,0,0,0,0.1459,0,0.0038,0,0.0007,0.0045,0,0,0.0001,0,0,0,0.0002,0.0003,0,0,0,0.0132,0.011,0.0242,0,0.0128,0.0287,0.0415,0,0.0326,0.0218,0.0544,0,0.014,0.007,0.021,0,0.1459,0,0,0.1459,0.1459,0.1459,0,,,
49,温州市,乐清市,瓯江温溪以下,楠溪江,5,30.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
50,温州市,乐清市,瓯江温溪以下,瓯江下游干流,5,1354.1,82.3,60.55,142.85,21.08,504.49,684.33,1209.9,55.36,283.27,178.07,516.7,315,2.4,39.84,26.61,23.1309,0,2.965,26.0959,14.4535,5.925,2.295,0,0,0.4935,3.861,4.35,2.4372,0.3854,0.05,0,0,0,2.8726,0.005,0,0,0.005,0,0,0,0,2.8776,0.4362,0.799,0,0.0348,0.8338,0,0.0185,0.0098,0,0,0.0018,0.004,0.0341,0,0.1042,0.0062,0.6454,0.1369,0.8927,0.005,0.046,0.315,0.361,0,0.399,0.255,0.654,0,0.102,0,0.102,0,2.8776,0.005,0.4362,3.3138,2.8775999999999997,2.8775999999999997,0,,,
51,温州市,瑞安市,瓯江温溪以下,飞云江,5,1340.9,97.49,46.3,143.79,23.52,401.94,578.54,1004,0,204,191.9,395.9,0,0,57.61,29.2803,15.84,7.76,3.58,27.18,10.7616,3.825,3.765,0,0,0.4363,5.441,5.88,1.8327,0.0643,0.7431,0,0,0,2.6401,0,0,0,0,0,0,0,0,2.6401,1.4424,0.6101,0.1442,0.0205,0.7748,0,0.0157,0.0146,0,0,0.0017,0.0043,0.0363,0,0,0,0.3738,0.194,0.5678,3.3e-05,0.0352,0.233,0.2682,0,0.4613,0.1947,0.656,0,0.337,0,0.337,0,2.6401,0,1.4424,4.0825,2.6401000000000003,2.6401,0,,,
52,温州市,瑞安市,瓯江温溪以下,鳌江,5,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
53,温州市,永嘉县,瓯江温溪以下,永安溪,5,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
