序号,市,县（市、区）,水资源分区,nan,水资源利用分区,面积（km2）,人口（万人）,nan,nan,国内地区生产总值  （亿元）,nan,nan,nan,工业增加值（亿元）,nan,nan,nan,火(核)电装机(万kW),nan,总耕地面积      （万亩）,有效灌溉面积   （万亩）,农田实灌面积（万亩）,nan,nan,nan,粮食产量（万吨）,林牧渔面积（万亩）,nan,nan,nan,牲畜(万头),nan,nan,地表水源供水量,nan,nan,nan,nan,nan,nan,地下水源供水量,nan,nan,nan,其他水源供水量,nan,nan,nan,总供水量,环境配水量,农田灌溉用水量,nan,nan,nan,nan,林牧渔畜用水量,nan,nan,nan,nan,nan,nan,nan,工业用水量,nan,nan,nan,nan,nan,城镇公共用水量,nan,nan,nan,居民生活用水量,nan,nan,nan,生态与环境用水量,nan,nan,nan,总用水量,nan,环境配水量,总计,总用水量（核算）,总供水量（核算）,总供水-总用水,nan,nan,nan
76,湖州市,吴兴区,湖西及湖区,西苕溪及长兴平原,1,173.2,12.66,4.74,17.4,2.75,96.13,124.2,223.08,0.85,46.3,52.17,99.32,0,2.7,3.26,3.26,2.14,0.63,0.49,3.26,0.93,1.13,0,0,0.57,0.002,3.23,3.232,0.1553,0.0124,0.1903,0,0,0,0.358,0,0,0,0,0,0,0,0,0.358,0,0.0885,0.0046,0.009,0.1021,0,0.0027,0,0,0.0373,0,0.0016,0.0416,0,0,0.0171,0.0279,0.0102,0.0552,0,0.0042,0.0514,0.0556,0,0.0717,0.0259,0.0976,0,0.0043,0.0016,0.0059,0,0.358,0,0,0.358,0.35800000000000004,0.358,0,,,
77,湖州市,吴兴区,湖西及湖区,东苕溪,1,360,8.44,2.27,10.71,5.97,46.09,59.53,111.59,0,12.72,14.37,27.09,0,0,7.08,7.08,4.69,1.35,1.04,7.08,2.04,0.52,0,0,1.17,0.001,1.63,1.631,0.0753,0.0276,0.4097,0,0,0,0.5126,0,0,0,0,0,0,0,0,0.5126,0,0.1923,0.0098,0.0188,0.2209,0,0.0052,0,0,0.0746,0,0.0012,0.081,0,0,0,0.0558,0.02,0.0758,0,0.0085,0.0571,0.0656,0,0.0478,0.0101,0.0579,0,0.0084,0.003,0.0114,0,0.5126,0,0,0.5126,0.5126,0.5126,0,,,
78,湖州市,吴兴区,湖西及湖区,太湖区,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
79,湖州市,吴兴区,杭嘉湖平原,杭嘉湖平原,1,327.8,39.97,13.32,53.29,14.88,302.18,312.87,629.93,1.57,2.4,134.64,243.79,0,4.8,18.8,18.8,12.04,2.35,4.41,18.8,5.64,0.41,0,0,3.51,0,2.4,2.4,0.7061,0,1.0007,0,0,0,1.7068,0,0,0,0,0,0,0,0,1.7068,0,0.4945,0.0172,0.0799,0.5916,0,0.0018,0,0,0.2617,0,0.0014,0.2649,0,0,0.0159,0.2003,0.0764,0.2926,0,0.0208,0.1644,0.1852,0,0.2405,0.0688,0.3093,0,0.048,0.0152,0.0632,0,1.7068,0,0,1.7068,1.7068,1.7068,0,,,
80,湖州市,南浔区,杭嘉湖平原,杭嘉湖平原,1,702,31.86,23.64,55.5,24,273.4,160.6,458,0.9,152.5,102.1,255.5,0,32.65,44.43,44.43,35.3,2.01,3.96,41.27,11.03,0.83,0,0,6.18,0,18.72,18.72,0,0,2.6076,0,0,0,2.6076,0,0,0,0,0.0022,0,0,0.0022,2.6098,0,1.2233,0.0104,0.0532,1.2869,0,0.0016,0,0,0.4264,0,0.0058,0.4338,0,0,0.0419,0.2088,0.116,0.3667,0,0.0238,0.1081,0.1319,0,0.1916,0.1034,0.295,0,0.0723,0.0232,0.0955,0,2.6098,0,0,2.6098,2.6097999999999995,2.6098000000000003,0,,,
81,湖州市,德清市,湖西及湖区,东苕溪,1,536.5,11.19,6.68,17.87,7.59,104.8,87.07,199.46,0.87,60.4,37.51,98.78,0,3,12.13,12.08,10.12,0,0.28,10.39,1.22,2.02,0,0,2.07,0,4.12,4.12,0.526,0.0199,0.2869,0,0,0,0.8328,0,0,0,0,0,0,0,0,0.8328,0,0.4127,0,0.0046,0.4173,0,0.0084,0,0,0.1254,0,0.0013,0.1351,0,0,0.0066,0.0709,0.0342,0.1117,0,0.008,0.0688,0.0768,0,0.0543,0.0285,0.0828,0,0.0083,0.0008,0.0091,0,0.8328,0,0,0.8328,0.8328,0.8328,0,,,
82,湖州市,德清市,杭嘉湖平原,杭嘉湖平原,1,401.5,21.3,12.73,34.03,15.81,205.4,116.33,337.54,5.43,110.7,69.59,185.72,0,22.95,23.94,23.83,19.35,0.4,0.74,20.5,3.46,0.76,0,0,4.25,0.122,9.14,9.262,0.1033,0,1.607,0,0,0,1.7103,0,0,0,0,0,0,0,0,1.7103,0,0.7897,0.0026,0.0123,0.8046,0,0.0032,0,0,0.2595,0.0004,0.0025,0.2656,0,0,0.0701,0.1808,0.1024,0.3533,0,0.0119,0.1035,0.1154,0,0.1033,0.0544,0.1577,0,0.0126,0.0011,0.0137,0,1.7103,0,0,1.7103,1.7103,1.7103,0,,,
83,湖州市,长兴县,湖西及湖区,西苕溪及长兴平原,1,1428,42.39,25.11,67.5,35,355.7,302.6,693.3,22.6,239.2,57.1,318.9,0,421.2,70.34,50.36,38.73,0.54,9.51,48.78,19.54,6.16,0,0,3.87,0.049,12.28,12.329,0.3333,0.1378,1.8864,0,0,0,2.3575,0.0055,0,0,0.0055,0.487,0,0,0.487,2.85,0,1.4651,0.0034,0.1485,1.617,0,0.0288,0,0,0.2845,0.0002,0.0048,0.3183,0,0,0.198,0.1543,0.1029,0.4552,0.0055,0.0514,0.1069,0.1583,0,0.1895,0.087,0.2765,0,0.0156,0.0091,0.0247,0,2.85,0.0055,0,2.85,2.85,2.85,0,,,
84,湖州市,长兴县,湖西及湖区,太湖区,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
85,湖州市,安吉县,湖西及湖区,西苕溪及长兴平原,1,1815.4,28.46,19.34,47.8,27.03,206.3,224.06,457.39,0.96,145.16,45.52,191.64,0,30,47.33,31.82,0.96,0.96,0.96,29.01,7.74,1.62,0,0,2.51,0.023,4.09,4.113,0.8846,0.2907,0.8662,0,0,0,2.0415,0,0,0,0,0,0,0,0,2.0415,0,0.8557,0.0288,0.0183,0.9028,0,0.0063,0,0,0.1989,0.0001,0.0022,0.2075,0,0,0.002,0.4217,0.0472,0.4709,0,0.0692,0.1115,0.1807,0,0.1638,0.091,0.2548,0,0.0182,0.0066,0.0248,0,2.0415,0,0,2.0415,2.0415,2.0415,0,,,
