序号,市,县（市、区）,水资源分区,nan,水资源利用分区,面积（km2）,人口（万人）,nan,nan,国内地区生产总值  （亿元）,nan,nan,nan,工业增加值（亿元）,nan,nan,nan,火(核)电装机(万kW),nan,总耕地面积      （万亩）,有效灌溉面积   （万亩）,农田实灌面积（万亩）,nan,nan,nan,粮食产量（万吨）,林牧渔面积（万亩）,nan,nan,nan,牲畜(万头),nan,nan,地表水源供水量,nan,nan,nan,nan,nan,nan,地下水源供水量,nan,nan,nan,其他水源供水量,nan,nan,nan,总供水量,环境配水量,农田灌溉用水量,nan,nan,nan,nan,林牧渔畜用水量,nan,nan,nan,nan,nan,nan,nan,工业用水量,nan,nan,nan,nan,nan,城镇公共用水量,nan,nan,nan,居民生活用水量,nan,nan,nan,生态与环境用水量,nan,nan,nan,总用水量,nan,环境配水量,总计,总用水量（核算）,总供水量（核算）,总供水-总用水,nan,nan,nan
87,绍兴市,越城区,富春江坝址以下,萧绍平原,2,493,78.79,19.99,98.78,15.0294,363.851,565.2196,944.1,3.9919,219.4006,50.9075,274.3,1.8,7.2,18.27,15,11.85,0,2.45,14.3,5.05,3.15,1.61,0,2.4,0,65.6,65.6,0.3888,0.4406,0.466,0.8684,0,0,2.1638,0.0101,0,0,0.0101,0,0,0,0,2.1739,1.85,0.5051,0,0.015,0.5201,0.0008,0.0267,0.0108,0,0.135,0,0.0218,0.1943,0,0.0032,0.0456,0.4387,0.0652,0.5527,0.0021,0.0335,0.3703,0.4038,0.0012,0.4045,0.088,0.4925,0.006,0.0105,0,0.0105,0,2.1739,0.0101,1.85,4.0239,2.1739,2.1739,0,,,
88,绍兴市,柯桥区,富春江坝址以下,浦阳江,2,19.7,0.57,0.24,0.81,0.4694,2.9103,1.1161,4.4958,0,1.4669,0.7941,2.261,0,0,0.33,0.25,0.22,0,0.03,0.25,0.02,0,0,0,0.01,0,0.04,0.04,0.009,0.0056,0.0109,0,0,0,0.0255,0.0003,0,0,0.0003,0,0,0,0,0.0258,0,0.0109,0,0.0004,0.0113,0,0,0,0,0.0007,0,0.0001,0.0008,0,0,0,0.0016,0.0002,0.0018,0,0.0018,0.005,0.0068,0,0.0035,0.0011,0.0046,0.0003,0.0005,0,0.0005,0,0.0258,0.0003,0,0.0258,0.0258,0.0258,0,,,
89,绍兴市,柯桥区,富春江坝址以下,萧绍平原,2,758.3,67.86,15.8,83.66,30.7466,751.1403,687.907,1469.79,20.8577,549.1966,59.9748,630.0291,0,107.7,18.78,15.37,13.27,0,2.1,15.37,10.06,0,1.2,0,2.3,0.01,5.76,5.77,1.4187,0.9347,1.6208,0,0,0,3.9742,0.0016,0,0,0.0016,0.0004,0,0,0.0004,3.9762,0,0.6115,0,0.0199,0.6314,0,0,0.0075,0,0.1459,0.0001,0.002,0.1555,0,0,0.3635,1.4809,0.1999,2.0443,0,0.1142,0.4695,0.5837,0,0.383,0.0776,0.4606,0.0016,0.1007,0,0.1007,0,3.9762,0.0016,0,3.9762,3.9761999999999995,3.9762,0,,,
90,绍兴市,柯桥区,富春江坝址以下,曹娥江百官以上,2,288,11.68,3.87,15.55,8.5222,10.379,11.1091,30.01,0,6.3643,1.3456,7.7099,0,0,7.97,5.95,3.59,0,2.36,5.95,1.32,0.27,0,0,0.01,0,1.48,1.48,0.1164,0.0839,0.1205,0,0,0,0.3208,0.015,0,0,0.015,0,0,0,0,0.3358,0,0.1602,0,0.0244,0.1846,0,0.0016,0,0,0.0006,0,0.0005,0.0027,0,0,0,0.0159,0.0019,0.0178,0,0.0135,0.0394,0.0529,0,0.0601,0.0158,0.0759,0.015,0.0019,0,0.0019,0,0.3358,0.015,0,0.3358,0.3358,0.3358,0,,,
91,绍兴市,上虞区,富春江坝址以下,萧绍平原,2,135.9,10.37,4.37,14.74,6.6227,65.9158,52.424,124.96,2.4878,130.0611,39.7154,172.2643,0,5.4,11.85,7.95,6.69,0.78,0.48,7.95,3.28,0.02,0.02,0,0.85,0.01,6.51,6.52,0.1262,0.239,0.2077,0,0,0,0.5729,0.0004,0,0,0.0004,0,0,0,0,0.5733,0,0.1937,0.0089,0.0063,0.2089,0.0004,0.0001,0.0001,0,0.0665,0.0001,0.0017,0.0685,0,0,0.0211,0.0847,0.0733,0.1791,0,0.0039,0.0383,0.0422,0,0.0521,0.0204,0.0725,0,0.0021,0,0.0021,0,0.5733,0.0004,0,0.5733,0.5733,0.5732999999999999,0,,,
92,绍兴市,上虞区,富春江坝址以下,曹娥江百官以上,2,533.4,5.27,9.4,14.67,17.4675,172.6607,137.147,327.2752,0,35.5097,25.1371,60.6468,0,0,14.04,10.38,8.91,1.07,0.4,10.38,5.56,0.05,0.04,0,1.62,0.28,9.72,10,0.1931,0.0551,0.2401,0.0518,0,0,0.5401,0.0095,0,0,0.0095,0,0,0,0,0.5496,0,0.3046,0.0154,0.0054,0.3254,0.006,0.0002,0.0004,0,0.0758,0.0011,0.0032,0.0807,0,0,0,0.027,0.0333,0.0603,0.0034,0.0004,0.0135,0.0139,0,0.0292,0.0398,0.069,0.0001,0.0003,0,0.0003,0,0.5496,0.0095,0,0.5496,0.5496000000000001,0.5496,0,,,
93,绍兴市,上虞区,浙东沿海诸河,姚江,2,736.7,33.98,16.46,50.44,28.0552,277.4696,220.3375,525.86,7.1943,128.1548,58.9398,194.2889,0,10.5,38.74,31.5,14.65,15.49,1.36,31.5,12.69,0.08,0.04,0,4.15,0.05,20.21,20.26,0.6874,1.3435,0.0475,0,0,0,2.0784,0.0022,0,0,0.0022,0,0,0,0,2.0806,0,0.7009,0.2836,0.017,1.0015,0.0006,0.0002,0.0006,0,0.2623,0.0002,0.0096,0.2729,0,0,0.0654,0.2507,0.091,0.4071,0.0002,0.0088,0.0808,0.0896,0,0.1998,0.0754,0.2752,0.0014,0.0343,0,0.0343,0,2.0806,0.0022,0,2.0806,2.0806,2.0806,0,,,
94,绍兴市,诸暨市,富春江坝址以上,金华江上游,3,11.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
95,绍兴市,诸暨市,富春江坝址以下,富春江下游段,3,114.4,1.49,0.76,2.25,1.2159,3.39,2.3699,6.9758,0,0,0,0,0,0,1.59,1.59,1.17,0,0.42,1.59,0.7,0,0,0,0,0,0,0,0.0134,0.039,0.0034,0,0,0,0.0558,0,0,0,0,0,0,0,0,0.0558,0,0.0392,0,0.0035,0.0427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0023,0.0023,0,0.0082,0.0026,0.0108,0,0,0,0,0,0.0558,0,0,0.0558,0.0558,0.0558,0,,,
96,绍兴市,诸暨市,富春江坝址以下,浦阳江,3,2185.1,70.34,46.19,116.53,56.1152,672.439,576.87,1305.42,1.7941,450.7078,88.5981,541.1,0,7.4,75.82,64.46,56.94,0,7.52,64.46,28.62,0.56,0.61,0,7.2,0.18,62.65,62.83,1.1585,2.4215,0.4523,0,0,0,4.0323,0.0004,0,0,0.0004,0.0438,0,0,0.0438,4.0765,0,1.6385,0,0.0581,1.6966,0,0.0163,0.0094,0,0.41,0.0008,0.0234,0.4599,0,0,0.0431,0.3009,0.2036,0.5476,0.0004,0.1201,0.4101,0.5302,0,0.4028,0.2274,0.6302,0,0.2103,0.0017,0.212,0,4.0765,0.0004,0,4.0765,4.0765,4.0765,0,,,
