序号,市,县（市、区）,水资源分区,nan,水资源利用分区,面积（km2）,人口（万人）,nan,nan,国内地区生产总值  （亿元）,nan,nan,nan,工业增加值（亿元）,nan,nan,nan,火(核)电装机(万kW),nan,总耕地面积      （万亩）,有效灌溉面积   （万亩）,农田实灌面积（万亩）,nan,nan,nan,粮食产量（万吨）,林牧渔面积（万亩）,nan,nan,nan,牲畜(万头),nan,nan,地表水源供水量,nan,nan,nan,nan,nan,nan,地下水源供水量,nan,nan,nan,其他水源供水量,nan,nan,nan,总供水量,环境配水量,农田灌溉用水量,nan,nan,nan,nan,林牧渔畜用水量,nan,nan,nan,nan,nan,nan,nan,工业用水量,nan,nan,nan,nan,nan,城镇公共用水量,nan,nan,nan,居民生活用水量,nan,nan,nan,生态与环境用水量,nan,nan,nan,总用水量,nan,环境配水量,总计,总用水量（核算）,总供水量（核算）,总供水-总用水,nan,nan,nan
,衢州市,衢州市本级,,衢江下游,3,0,0,0,0,0.1427,206.3576,110.2997,316.8,0,176.1,0,176.1,0,34.5,3.02,3.02,3.02,0,0,3.02,0.28,0,0,0,0,0,0,0,0.409,2.1132,0,0,0,0,2.5222,0,0,0,0,0,0,0,0,2.5222,0,0.1689,0,0,0.1689,0,0,0,0,0,0,0,0,0,0,0.8059,1.3266,0,2.1325,0,0.0043,0.1667,0.171,0,0,0,0,0,0.0498,0,0.0498,0,2.5222,0,0,2.5222,2.5221999999999993,2.5222,0,,,
129,衢州市,柯城区,富春江坝址以上,衢江上游,3,271.1,4.1,6.3,10.4,3.1745,14.5371,65.6804,83.392,0,6.9,0,6.9,0,23,5.41,5.41,3.79,0.53,0,4.32,0.76,0.6,1.7,0,0.11,0.25,0.49,0.74,0.2661,0.0019,0.0736,0,0,0,0.3416,0,0,0,0,0,0,0,0,0.3416,0,0.204,0.0027,0,0.2067,0,0.0025,0.0055,0,0.0055,0.0008,0.0002,0.0145,0,0,0.0006,0.0066,0,0.0072,0,0.0015,0.0494,0.0509,0,0.0185,0.0208,0.0393,0,0.023,0,0.023,0,0.3416,0,0,0.3416,0.3416,0.3416,0,,,
130,衢州市,柯城区,富春江坝址以上,衢江下游,3,335.9,37.1,1.1,38.2,7.4384,33.3263,101.4433,142.21,0,15.4,0,15.4,0,0,5.75,5.75,3.87,0.79,0,4.66,0.98,0.6,1.8,0,0.02,0.38,1.22,1.6,0.4767,0.0697,0.0522,0,0,0,0.5986,0,0,0,0,0,0,0,0,0.5986,0,0.2244,0.0033,0,0.2277,0,0.0023,0.0065,0,0.0009,0.0008,0.0005,0.011,0,0,0,0.0233,0.0075,0.0308,0,0.0025,0.1489,0.1514,0,0.1178,0.002,0.1198,0,0.0579,0,0.0579,0,0.5986,0,0,0.5986,0.5986,0.5986,0,,,
131,衢州市,衢江区,富春江坝址以上,衢江上游,3,135.3,0.3,4.6,4.9,4.8431,11.8009,10.448,27.092,0,7,0,7,0,0,8.71,6.13,4.66,1.19,0,5.85,2.88,0.18,0.32,0,0.13,0.08,3.28,3.36,0.1085,0.0727,0.0163,0,0,0,0.1975,0,0,0,0,0,0,0,0,0.1975,0,0.1487,0.0079,0.0043,0.1609,0,0.0005,0.0015,0,0.0053,0.0009,0.0012,0.0094,0,0,0,0.0082,0,0.0082,0,0.0001,0.0005,0.0006,0,0.0011,0.0172,0.0183,0,0.0001,0,0.0001,0,0.1975,0,0,0.1975,0.19749999999999998,0.1975,0,,,
132,衢州市,衢江区,富春江坝址以上,衢江下游,3,1611.2,16.6,14.3,30.9,21.3393,73.3404,76.6715,171.3512,0,56.7,0,56.7,0,0,36.86,27.98,23.98,3.67,0,27.65,13.11,1.12,2.88,0,0.8,0.48,12.21,12.69,0.709,0.4253,0.0715,0,0,0,1.2058,0,0,0,0,0,0,0,0,1.2058,0,0.888,0.023,0.0212,0.9322,0,0.003,0.0092,0,0.0316,0.001,0.0042,0.049,0,0,0,0.0644,0,0.0644,0,0.0047,0.0509,0.0556,0,0.0608,0.0431,0.1039,0,0.0007,0,0.0007,0,1.2058,0,0,1.2058,1.2058000000000002,1.2058,0,,,
133,衢州市,衢江区,富春江坝址以上,新安江,3,1.5,0,0.1,0.1,0.0568,0,0,0.0568,0,0,0,0,0,0,0.03,0.03,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0.0003,0.0002,0,0,0,0.0005,0,0,0,0,0,0,0,0,0.0005,0,0,0,0.0003,0.0003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002,0.0002,0,0,0,0,0,0.0005,0,0,0.0005,0.0005,0.0005,0,,,
134,衢州市,龙游县,富春江坝址以上,衢江下游,3,1141,19.9,17.8,37.7,13.9787,112.3375,105.6838,232,0,81.9,0,81.9,0,0,47,36.35,22.47,7.84,0,30.31,16.4,0.1,6.3,0,1.01,0.24,26.11,26.35,1.114,0.6481,0.0977,0,0,0,1.8598,0,0,0,0,0,0,0,0,1.8598,0,1.1043,0.0643,0.0496,1.2182,0,0.0003,0.025,0,0.0456,0.0007,0.0084,0.08,0,0,0.0046,0.3262,0,0.3308,0,0.0062,0.0651,0.0713,0,0.0775,0.054,0.1315,0,0.028,0,0.028,0,1.8598,0,0,1.8598,1.8598,1.8598,0,,,
135,衢州市,龙游县,富春江坝址以上,新安江,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
136,衢州市,江山市,富春江坝址以上,衢江上游,3,1756.9,26.9,16.5,43.4,13.4301,136.5431,120.7602,270.7335,0,96.4,0,96.4,0,24,43.88,29.24,24.36,3.38,1.02,28.76,16.86,1.8,1.9,0,1.15,0.22,34.49,34.71,1.0066,0.5551,0.3154,0,0,0,1.8771,0.0102,0,0,0.0102,0,0,0,0,1.8873,0.0488,1.1404,0.027,0.0144,1.1818,0.0012,0.005,0.005,0,0.05,0.0013,0.014,0.0753,0.0038,0,0.007,0.301,0,0.308,0.0012,0.0031,0.128,0.1311,0,0.1112,0.0563,0.1675,0.004,0.022,0.0016,0.0236,0,1.8873,0.0102,0.0488,1.9361,1.8873,1.8873,0,,,
137,衢州市,江山市,富春江坝址以上,衢江下游,3,47.9,1,0.4,1.4,1.0401,1.3228,0.7775,3.1404,0,0,0,0,0,0,3.67,2.32,0,1.31,0.98,2.29,1.15,0.2,0.2,0,0,0.005,6.97,6.975,0.0119,0.007,0.0005,0,0,0,0.0194,0.0023,0,0,0.0023,0,0,0,0,0.0217,0,0,0.0085,0.0055,0.014,0.0001,0.0007,0.0009,0,0,0.0002,0.0028,0.0046,0.0007,0,0,0,0,0,0.0001,0.0007,0.0005,0.0012,0,0,0.0017,0.0017,0.0014,0.0002,0,0.0002,0,0.0217,0.0023,0,0.0217,0.021699999999999997,0.0217,0,,,
