序号,市,县（市、区）,水资源分区,nan,水资源利用分区,面积（km2）,人口（万人）,nan,nan,国内地区生产总值  （亿元）,nan,nan,nan,工业增加值（亿元）,nan,nan,nan,火(核)电装机(万kW),nan,总耕地面积      （万亩）,有效灌溉面积   （万亩）,农田实灌面积（万亩）,nan,nan,nan,粮食产量（万吨）,林牧渔面积（万亩）,nan,nan,nan,牲畜(万头),nan,nan,地表水源供水量,nan,nan,nan,nan,nan,nan,地下水源供水量,nan,nan,nan,其他水源供水量,nan,nan,nan,总供水量,环境配水量,农田灌溉用水量,nan,nan,nan,nan,林牧渔畜用水量,nan,nan,nan,nan,nan,nan,nan,工业用水量,nan,nan,nan,nan,nan,城镇公共用水量,nan,nan,nan,居民生活用水量,nan,nan,nan,生态与环境用水量,nan,nan,nan,总用水量,nan,环境配水量,总计,总用水量（核算）,总供水量（核算）,总供水-总用水,nan,nan,nan
102,金华市,婺城区,富春江坝址以上,衢江下游,3,332.6,11.32,3.34,14.66,6.4,44.79,34.23,85.42,0,9.2,4.51,13.71,0,0,16.36,14.809,12.74,0.85,1,14.59,3.4,0.19,1.97,0,0.41,5.7,3.8,9.5,0.5638,0.0927,0.0276,0,0,0,0.6841,0.0272,0,0,0.0272,0,0,0,0,0.7113,0,0.4252,0.0055,0.009,0.4397,0,0.0058,0.0145,0,0.0261,0.0166,0.0052,0.0682,0.0011,0,0,0.0613,0.0419,0.1032,0.011,0.0078,0.0076,0.0154,0.0024,0.0265,0.0336,0.0601,0.0127,0.0247,0,0.0247,0,0.7113,0.0272,0,0.7113,0.7113,0.7113,0,,,
103,金华市,婺城区,富春江坝址以上,金华江下游,3,1059.4,49.5,14.62,64.12,13.68,156.82,373.96,544.46,0.83,126.6,20.36,147.79,0,24.525,28.16,27.427,22.65,1.21,3.16,27.02,2.8,0.17,1.24,0,0.35,6.34,7.35,13.69,1.4631,0.214,0.0169,0,0,0,1.694,0.0882,0,0,0.0882,0,0,0,0,1.7822,0,0.7049,0.0058,0.0256,0.7363,0,0.0024,0.0033,0,0.0223,0.0268,0.0092,0.064,0.0039,0,0.0051,0.3349,0.0791,0.4191,0.0519,0.04,0.067,0.107,0.0044,0.3567,0.0401,0.3968,0.028,0.059,0,0.059,0,1.7822,0.0882,0,1.7822,1.7822,1.7822,0,,,
104,金华市,金东区,富春江坝址以上,金华江下游,3,658,23.52,13.28,36.8,13.82,112.62,121.6,248.04,0,89.5,0,89.5,0,0,28.19,22.8917,16.43,2.25,3.06,21.74,1.75,0,2.6,0,0.5,0.52,30.69,31.21,0.4358,0.0918,0.2528,0.1931,0,0,0.9735,0.0229,0,0,0.0229,0,0,0,0,0.9964,0,0.5278,0.0146,0.048,0.5904,0,0.0045,0.005,0,0.032,0.002,0.0075,0.051,0.0056,0,0,0.1198,0.0296,0.1494,0.0034,0.0096,0.0305,0.0401,0.002,0.076,0.0405,0.1165,0.0119,0.0416,0.0074,0.049,0,0.9964,0.0229,0,0.9964,0.9964000000000002,0.9964000000000001,0,,,
105,金华市,兰溪市,富春江坝址以上,衢江下游,3,330.1,5.83,6.64,12.47,9.65,50.85,19.88,80.38,0,33.85,0,33.85,0,0,22.29,19.8911,14.31,2.38,2.77,19.46,4.44,0,1.2,0,3.65,0.19,8.49,8.68,0.4486,0.2113,0.1778,0,0,0,0.8377,0.0039,0,0,0.0039,0,0,0,0,0.8416,0,0.3714,0.0072,0.0085,0.3871,0,0,0.018,0,0.2037,0.0019,0.0058,0.2294,0,0,0,0.1638,0,0.1638,0.0039,0.0026,0.0064,0.009,0,0.0299,0.0224,0.0523,0,0,0,0,0,0.8416,0.0039,0,0.8416,0.8416,0.8416,0,,,
106,金华市,兰溪市,富春江坝址以上,金华江下游,3,126.1,1.91,3.65,5.56,5.87,29.64,11.29,46.8,18.85,29.62,0,48.47,0,264,6.83,6.45,2.25,1,0.99,4.24,1.96,0,0.8,0,0.38,0.16,4.51,4.67,0.1005,0.0183,0.3035,0,0,0,0.4223,0.0035,0,0,0.0035,0,0,0,0,0.4258,0,0.0717,0.0031,0.0031,0.0779,0,0,0.0098,0,0.0184,0.0006,0.0032,0.032,0,0,0.2201,0.0692,0,0.2893,0.0034,0.0007,0.0054,0.0061,0.0001,0.0086,0.0119,0.0205,0,0,0,0,0,0.4258,0.0035,0,0.4258,0.4258,0.4258,0,,,
107,金华市,兰溪市,富春江坝址以上,兰江及富春江上游段,3,851.3,22.67,16.02,38.69,10.52,119.19,127.17,256.88,0,96.22,0,96.22,0,0,31.4,28.782,17.72,2.74,4.25,24.71,5.97,0,0.6,0,1.64,0.19,10.77,10.96,0.7562,0.1062,0.3175,0,0,0,1.1799,0.0026,0,0,0.0026,0,0,0,0,1.1825,0,0.5538,0.0084,0.0131,0.5753,0,0,0.0097,0,0.097,0.0018,0.0073,0.1158,0,0,0,0.3126,0,0.3126,0.0022,0.0004,0.017,0.0174,0.0001,0.0971,0.0642,0.1613,0.0003,0.0001,0,0.0001,0,1.1825,0.0026,0,1.1825,1.1825,1.1824999999999999,0,,,
108,金华市,兰溪市,富春江坝址以下,浦阳江,3,4.5,0.05,0.05,0.1,0.05,0.76,0.83,1.64,0,5.36,0,5.36,0,0,0.16,0.16,0.06,0.06,0.03,0.15,0.03,0,0.5,0,0.01,0.07,0.55,0.62,0.0036,0.0014,0.0101,0,0,0,0.0151,0.0002,0,0,0.0002,0,0,0,0,0.0153,0,0.0019,0.0001,0.0001,0.0021,0,0,0.0087,0,0.0005,0.0005,0.0003,0.01,0,0,0,0.002,0,0.002,0.0002,0.0009,0.0001,0.001,0,0.0001,0.0001,0.0002,0,0,0,0,0,0.0153,0.0002,0,0.0153,0.0153,0.015300000000000001,0,,,
109,金华市,东阳市,富春江坝址以上,金华江上游,3,1528.8,55.11,26.34,81.45,17.22,281.72,337.34,636.28,0,0,206.15,206.15,0,1.8,42.11,30.955,24.96,1.76,2.62,29.34,7.13,1.99,0,0,1.78,0.1,38.56,38.66,2.2524,0.1221,0.0157,0,0,0,2.3902,0.0512,0,0,0.0512,0,0,0,0,2.4414,0,0.9292,0.02,0.0212,0.9704,0,0.0078,0,0,0.1349,0.0002,0.0152,0.1581,0,0,0,0.4897,0.2359,0.7256,0.0512,0.0225,0.1509,0.1734,0,0.2356,0.1097,0.3453,0,0.0395,0.0291,0.0686,0,2.4414,0.0512,0,2.4414,2.4414,2.4414000000000002,0,,,
110,金华市,东阳市,富春江坝址以上,金华江下游,3,30,0,1.18,1.18,0.06,0.12,0,0.18,0,0,0,0,0,0,1.55,0.77,0.41,0.18,0.08,0.62,0.15,0.11,0,0,0.01,0.02,1.53,1.55,0.0192,0,0.0069,0,0,0,0.0261,0,0,0,0,0,0,0,0,0.0261,0,0.0179,0.0013,0.001,0.0202,0,0.001,0,0,0.0005,0.0001,0.0005,0.0021,0,0,0,0,0,0,0,0,0,0,0,0,0.0037,0.0037,0,0,0.0001,0.0001,0,0.0261,0,0,0.0261,0.0261,0.0261,0,,,
111,金华市,东阳市,富春江坝址以下,浦阳江,3,18.6,0,0.28,0.28,0.01,0,0,0.01,0,0,0,0,0,0,0.33,0.09,0.01,0.05,0.01,0.07,0.06,0.02,0,0,0,0.02,0.16,0.18,0.0016,0,0,0,0,0,0.0016,0,0,0,0,0,0,0,0,0.0016,0,0.0003,0.0002,0.0001,0.0006,0,0.0001,0,0,0,0,0.0001,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0.0008,0.0008,0,0,0,0,0,0.0016,0,0,0.0016,0.0015999999999999999,0.0016,0,,,
112,金华市,东阳市,富春江坝址以下,曹娥江百官以上,3,166.5,0,2.13,2.13,0.16,1.26,0.56,1.98,0,0,1.15,1.15,0,1.8,2.84,1.47,0.89,0.23,0.25,1.31,0.76,0.28,0,0,0.03,0.07,1.95,2.02,0.0402,0.0151,0.0008,0,0,0,0.0561,0,0,0,0,0,0,0,0,0.0561,0,0.0285,0.0017,0.0018,0.032,0,0.0019,0,0,0.0021,0.0001,0.001,0.0051,0,0,0.0037,0,0.0081,0.0118,0,0,0,0,0,0,0.007,0.007,0,0,0.0002,0.0002,0,0.0561,0,0,0.0561,0.0561,0.0561,0,,,
113,金华市,东阳市,瓯江温溪以上,大溪,3,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
114,金华市,义乌市,富春江坝址以上,金华江上游,3,349.1,58.68,19.05,77.73,15.35,284.26,666.75,966.36,0,0,252.2,252.2,0,0,14.39,12.47,4.8501,2.9,3.04,10.79,2.65,1.91,0,0,0.53,0,2.5,2.5,0.6345,0.5,0.1935,0,0,0,1.328,0,0,0,0,0.0902,0.003,0,0.0932,1.4212,0.7707,0.1684,0.0295,0.023,0.2209,0,0.0058,0.0046,0,0.04,0,0.001,0.0514,0,0,0,0.3235,0.23,0.5535,0,0.0327,0.123,0.1557,0,0.2978,0.0671,0.3649,0,0.0704,0.0044,0.0748,0,1.4212,0,0.7707,2.1919,1.4212,1.4212,0,,,
115,金华市,义乌市,富春江坝址以上,金华江下游,3,491.7,26.32,4.1,30.42,3.84,71.07,166.69,241.6,0,0,58.38,58.38,0,0,11.88,8.179,2.6,2.9,1.02,6.52,1.61,1.76,0,0,0.47,0,2.3,2.3,0.5545,0,0.0108,0,0,0,0.5653,0,0,0,0,0.0436,0.001,0,0.0446,0.6099,0.0508,0.0925,0.0335,0.02,0.146,0,0.0045,0.0042,0,0.0321,0,0.001,0.0418,0,0,0,0.0591,0.125,0.1841,0,0.006,0.058,0.064,0,0.1118,0.0232,0.135,0,0.0302,0.0088,0.039,0,0.6099,0,0.0508,0.6607,0.6099,0.6099,0,,,
116,金华市,义乌市,富春江坝址以下,浦阳江,3,264.2,17.32,6.39,23.71,3.39,62.7,147.09,213.18,0,0,50.92,50.92,0,0,6.32,5.319,2.53,2.71,0.99,6.23,1.53,1.8,0,0,0.07,0.01,9.15,9.16,0.4385,0,0.021,0,0,0,0.4595,0,0,0,0,0.0691,0,0,0.0691,0.5286,0.1706,0.0712,0.0498,0.0131,0.1341,0,0.0041,0.0046,0,0.0021,0,0.0039,0.0147,0,0,0,0.0995,0.0998,0.1993,0,0.0118,0.0023,0.0141,0,0.0773,0.02,0.0973,0,0.0651,0.004,0.0691,0,0.5286,0,0.1706,0.6992,0.5286,0.5286,0,,,
117,金华市,永康市,富春江坝址以上,金华江上游,3,92.6,0,0.16,0.16,0.28,7.81,4.75,12.84,0,0,7.29,7.29,0,0,1.12,0.93,0.73,0.18,0.02,0.93,0.2,0.17,0,0,0.05,0,0.06,0.06,0.0759,0.0024,0.0033,0,0,0,0.0816,0.0032,0,0,0.0032,0,0,0,0,0.0848,0,0.0124,0.0023,0.0001,0.0148,0,0.0028,0,0,0.0029,0,0.0001,0.0058,0.0004,0,0,0,0.001,0.001,0.0023,0.0015,0.0015,0.003,0.0002,0,0.0005,0.0005,0.0003,0,0.0597,0.0597,0,0.0848,0.0032,0,0.0848,0.0848,0.0848,0,,,
118,金华市,永康市,富春江坝址以上,金华江下游,3,934.9,47.27,25.59,72.86,7.5,321.16,266.73,595.39,0,0,299.98,299.98,0,1.5,33.85,22.93,21.73,1.09,0.11,22.93,5.76,3.92,0,0,1.31,0.03,1.98,2.01,1.6147,0.0325,0.0775,0,0,0,1.7247,0.0632,0,0,0.0632,0.0308,0.0108,0,0.0416,1.8295,0,0.3428,0.0126,0.0013,0.3567,0,0.0311,0,0,0.0369,0.0001,0.0021,0.0702,0.0011,0,0.0044,0.5607,0.1687,0.7338,0.0392,0.0011,0.0781,0.0792,0.0046,0.1743,0.0831,0.2574,0.0183,0.2016,0.1306,0.3322,0,1.8295,0.0632,0,1.8295,1.8295000000000001,1.8295,0,,,
