序号,所属流域_一级,二级,三级,四级,四级编码,行政区_县区代码,县区名称,市,面积,地表水源供水量_蓄 水,引水,提水,跨流域调水_调入量,调出流域,非工程供水,小计,地下水源供水量_潜水,承压水,微咸水,小计,其他水源供水量_污水处理回用,雨  水 利  用,海 水淡 化,小计,总供水量,环境配水量,总计,海水 利用量,环境配水供水量明细表_蓄 水,引水,提水,调水,污水回用,小计,col_35,col_36,col_37,col_38,zjszyreport,12.0
173,东南诸河,浙南诸河,瓯江温溪以上,大溪,G030110,331102,莲都区,丽水市,1374.8,0.6138,0.6448,0.072,,,,1.3306,0.0006,0,,0.0006,,,,0,1.3312,0,1.3312,0,,,,,,0,,,,,,
174,东南诸河,浙南诸河,瓯江温溪以上,小溪及瓯江青田段,G030120,331102,莲都区,丽水市,127.2,0.0188,0.0133,0.0039,,,,0.036,,0,,0,,,,0,0.036,0,0.036,0,,,,,,0,,,,,,
175,东南诸河,浙南诸河,瓯江温溪以上,大溪,G030110,331121,青田县,丽水市,1138.1,0.3869,0,0,0,0,0,0.3869,0,0,0,0,,,,0,0.3869,0,0.3869,0,,,,,,0,0.3869,,,,,
176,东南诸河,浙南诸河,瓯江温溪以上,小溪及瓯江青田段,G030120,331121,青田县,丽水市,1314.6,0.4804,0,0,0,0,0,0.4804,0,0,0,0,,,,0,0.4804,0,0.4804,0,,,,,,0,0.4804,,,,,
177,东南诸河,浙南诸河,瓯江温溪以下,楠溪江,G030260,331121,青田县,丽水市,9.1,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,,,0,0.0,,,,,
178,东南诸河,浙南诸河,瓯江温溪以下,瓯江下游干流,G030270,331121,青田县,丽水市,22.6,0.1196,0,0,0,0,0,0.1196,0,0,0,0,,,,0,0.1196,0,0.1196,0,,,,,,0,0.1196,,,,,
179,东南诸河,浙南诸河,瓯江温溪以下,飞云江,G030280,331121,青田县,丽水市,8.6,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,,,0,0.0,,,,,
180,东南诸河,钱塘江,富春江坝址以上,金华江下游,G010140,331122,缙云县,丽水市,298.7,0.1366,0.1132,0.0382,0,0,0,0.288,0,0,0,0,,,,0,0.288,0,0.288,0,,,,,,0,0.288,,,,,
181,东南诸河,浙南诸河,瓯江温溪以上,大溪,G030110,331122,缙云县,丽水市,981.9,0.3233,0.1694,0.1051,0,0,0,0.5978,0,0,0,0,,,,0,0.5978,0,0.5978,0,,,,,,0,0.5978,,,,,
182,东南诸河,浙南诸河,瓯江温溪以下,永安溪,G030210,331122,缙云县,丽水市,130.9,0.0366,0.0148,0.0034,0,0,0,0.0548,0,0,0,0,,,,0,0.0548,0,0.0548,0,,,,,,0,0.0548,,,,,
