序号,市,县（市、区）,水资源分区,nan,水资源利用分区,面积（km2）,人口（万人）,nan,nan,国内地区生产总值  （亿元）,nan,nan,nan,工业增加值（亿元）,nan,nan,nan,火(核)电装机(万kW),nan,总耕地面积      （万亩）,有效灌溉面积   （万亩）,农田实灌面积（万亩）,nan,nan,nan,粮食产量（万吨）,林牧渔面积（万亩）,nan,nan,nan,牲畜(万头),nan,nan,地表水源供水量,nan,nan,nan,nan,nan,nan,地下水源供水量,nan,nan,nan,其他水源供水量,nan,nan,nan,总供水量,环境配水量,农田灌溉用水量,nan,nan,nan,nan,林牧渔畜用水量,nan,nan,nan,nan,nan,nan,nan,工业用水量,nan,nan,nan,nan,nan,城镇公共用水量,nan,nan,nan,居民生活用水量,nan,nan,nan,生态与环境用水量,nan,nan,nan,总用水量,nan,环境配水量,总计,总用水量（核算）,总供水量（核算）,总供水-总用水,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
173,丽水市,莲都区,瓯江温溪以上,大溪,6,1374.8,42.9533,12.3883,55.3416,20.18,119.27,266.45,405.9,0,79.29,8.04,87.33,0,0,23.78,16.71,14.03,1.86,0.78,16.67,3.4,0,4.12,0,0.42,0.14,9.72,9.86,0.6138,0.6448,0.072,0,,0,1.3306,0.0006,0,0,0.0006,0,0,0,0,1.3312,0,0.5704,0.0158,0.0087,0.5949,0,0,0.0245,0,0.0183,0.0004,0.0027,0.0459,0,0,0,0.1723,0.0175,0.1898,0.0006,0.0543,0.1795,0.2338,0,0.2006,0.0516,0.2522,0,0.0112,0.0034,0.0146,0,1.3312,0.0006,0,1.3312,1.3312,1.3312,0,,,,,,,,,,,,,,,,,,,,,,,
174,丽水市,莲都区,瓯江温溪以上,小溪及瓯江青田段,6,127.2,0.01,0.86,0.87,1.05,0.01,0.01,1.07,0,0,0,0,0,0,1.3,0.87,0.82,0.02,0.03,0.87,0.19,0,0.2,0,0.02,0.02,0.13,0.15,0.0188,0.0133,0.0039,0,,0,0.036,0,0,0,0,0,0,0,0,0.036,0,0.0297,0.0002,0.0005,0.0304,0,0,0.0009,0,0.0009,0.0001,0.0001,0.002,0,0,0,0,0,0,0,0,0,0,0,0.0001,0.0032,0.0033,0,0,0.0003,0.0003,0,0.036,0,0,0.036,0.036,0.036,0,,,,,,,,,,,,,,,,,,,,,,,
175,丽水市,龙泉市,富春江坝址以上,衢江下游,6,316.1,0.32,0.16,0.48,1.63,4.53,7.99,14.15,0,1.65,0,1.65,0,0,2.71,2.43,1.72,0.42,0.2,2.34,0.48,0,0,0,0,0,0.83,0.83,0.0341,0.0267,0.0044,0,,0,0.0652,0,0,0,0,0,0,0,0,0.0652,0,0.0498,0.004,0.0024,0.0562,0,0,0,0,0,0,0.0005,0.0005,0,0,0,0,0.0034,0.0034,0,0,0.0016,0.0016,0,0.0012,0.0005,0.0017,0,0.0018,0,0.0018,0,0.0652,0,0,0.0652,0.0652,0.0652,0,,,,,,,,,,,,,,,,,,,,,,,
176,丽水市,龙泉市,瓯江温溪以上,大溪,6,2438.8,15.6667,7.8899,23.5566,11.29,35.7,57.15,104.14,0.38,30.1,0,30.48,0,3,27.89,16.48,12.64,2.08,0.9,15.62,5.65,0,0,0,0.12,0.06,5.78,5.84,0.3211,0.2332,0.0409,0,,0,0.5952,0,0,0,0,0,0,0,0,0.5952,0,0.3792,0.02,0.0108,0.41,0,0,0,0,0.0044,0.0002,0.0026,0.0072,0,0,0.0069,0.0615,0,0.0684,0,0.0048,0.0162,0.021,0,0.0598,0.0244,0.0842,0,0.0044,0,0.0044,0,0.5952,0,0,0.5952,0.5952,0.5952,0,,,,,,,,,,,,,,,,,,,,,,,
177,丽水市,龙泉市,瓯江温溪以上,小溪及瓯江青田段,6,216.3,0.26,0.13,0.39,1.85,6.11,8.32,16.28,0,4.2,0,4.2,0,0,5.13,2.99,2.1,0.51,0.25,2.86,0.58,0,0,0,0,0.04,0.61,0.65,0.0435,0.034,0.0059,0,,0,0.0834,0,0,0,0,0,0,0,0,0.0834,0,0.0606,0.0051,0.003,0.0687,0,0,0,0,0,0.0001,0.0003,0.0004,0,0,0,0,0.0081,0.0081,0,0.002,0.001,0.003,0,0.001,0.0004,0.0014,0,0.0018,0,0.0018,0,0.0834,0,0,0.0834,0.08339999999999999,0.0834,0,,,,,,,,,,,,,,,,,,,,,,,
178,丽水市,龙泉市,闽江上游,闽江,6,87.8,0.31,0.15,0.46,1.41,4.79,6.39,12.59,0,1.19,0,1.19,0,0,2.95,2.67,1.91,0.46,0.18,2.55,0.35,0,0,0,0.12,0.04,0.38,0.42,0.0405,0.0284,0.0051,0,,0,0.074,0,0,0,0,0,0,0,0,0.074,0,0.0554,0.0045,0.0021,0.062,0,0,0,0,0.0045,0.0001,0.0002,0.0048,0,0,0,0,0.0023,0.0023,0,0,0.0032,0.0032,0,0.0012,0.0005,0.0017,0,0,0,0,0,0.074,0,0,0.074,0.07399999999999998,0.074,0,,,,,,,,,,,,,,,,,,,,,,,
179,丽水市,青田县,瓯江温溪以上,大溪,6,1138.1,6.09,12.5,18.59,4.11,38.5,56.96,99.57,0,30.58,0,30.58,0,0,19.3,6.21,4.63,0.56,0.22,5.41,2.51,0,0.54,0,0.01,0.18,3.98,4.16,0.3869,0,0,0,,0,0.3869,0,0,0,0,0,0,0,0,0.3869,0,0.2197,0.0061,0.003,0.2288,0,0,0.0033,0,0.0005,0.0005,0.0019,0.0062,0,0,0,0.0788,0,0.0788,0,0.0093,0.0171,0.0264,0,0.0191,0.0272,0.0463,0,0,0.0004,0.0004,0,0.3869,0,0,0.3869,0.3869,0.3869,0,,,,,,,,,,,,,,,,,,,,,,,
180,丽水市,青田县,瓯江温溪以上,小溪及瓯江青田段,6,1314.6,13.9019,11.3734,25.2753,4.93,50.02,63.8,118.75,0,34.57,0,34.57,0,0,20.87,6.78,5.308,0.48,0.17,5.958,2.22,0,0.44,0,0.02,0.15,3.76,3.91,0.4804,0,0,0,,0,0.4804,0,0,0,0,0,0,0,0,0.4804,0,0.2541,0.0052,0.0021,0.2614,0,0,0.0028,0,0.001,0.0004,0.0016,0.0058,0,0,0,0.082,0,0.082,0,0.0146,0.0397,0.0543,0,0.0435,0.0262,0.0697,0,0.0072,0,0.0072,0,0.4804,0,0,0.4804,0.4804,0.4804,0,,,,,,,,,,,,,,,,,,,,,,,
181,丽水市,青田县,瓯江温溪以下,楠溪江,6,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
182,丽水市,青田县,瓯江温溪以下,瓯江下游干流,6,22.6,7.04,0,7.04,0.97,9.28,20.56,30.81,0,16.25,0,16.25,0,0,0.84,0.63,0.46,0.17,0,0.63,0.11,0,0.28,0,0,0.04,0.37,0.41,0.1196,0,0,0,,0,0.1196,0,0,0,0,0,0,0,0,0.1196,0,0.0224,0.0019,0,0.0243,0,0,0.0016,0,0,0.0001,0.0001,0.0018,0,0,0,0.0425,0,0.0425,0,0.0073,0.0216,0.0289,0,0.0221,0,0.0221,0,0,0,0,0,0.1196,0,0,0.1196,0.11959999999999998,0.1196,0,,,,,,,,,,,,,,,,,,,,,,,
