序号,所属流域_一级,二级,三级,四级,四级编码,行政区_县区代码,县区名称,市,面积,农田灌溉用水量_水田,旱地,菜田,小计,其中地下水,林牧渔畜用水量_林地灌溉,园地灌溉,草场灌溉,鱼塘补水,大牲畜用水量,小牲畜用水量,小计,其中地下水,工业用水量_火（核）电_直流式,循环式,国有及规模以上,规模以下,小计,其  中       地下水,城镇公共用水量_建筑业,服务业,小计,其中地下水,居民生活用水量_城镇居民,农村居民,小计,其  中地下水,生态与环境用水量_城镇环境,农村生态,小计,其  中地下水,总用水量_合计,其中地下水,环境配水量,总计,地表水用-供 检查,地下水用-供 检查,col_47,col_48,zjszyreport,12.0
173,东南诸河,浙南诸河,瓯江温溪以上,大溪,G030110,331102,莲都区,丽水市,1374.8,0.5704,0.0158,0.0087,0.5949,0,0,0.0245,0,0.0183,0.0004,0.0027,0.0459,,,,0.1723,0.0175,0.1898,0.0006,0.0543,0.1795,0.2338,,0.2006,0.0516,0.2522,0,0.0112,0.0034,0.0146,0,1.3312,0.0006,,1.3312,0,0,,,,
174,东南诸河,浙南诸河,瓯江温溪以上,小溪及瓯江青田段,G030120,331102,莲都区,丽水市,127.2,0.0297,0.0002,0.0005,0.0304,0,0,0.0009,0,0.0009,0.0001,0.0001,0.002,,,,0,0,0,0,0,0,0,,0.0001,0.0032,0.0033,0,0,0.0003,0.0003,0,0.036,0,,0.036,0,0,,,,
175,东南诸河,浙南诸河,瓯江温溪以上,大溪,G030110,331121,青田县,丽水市,1138.1,0.2197,0.0061,0.003,0.2288,0,0,0.0033,0,0.0005,0.0005,0.0019,0.0062,0,,,0.0788,0,0.0788,0,0.0093,0.0171,0.0264,0,0.0191,0.0272,0.0463,0,0,0.0004,0.0004,0,0.3869,0,,0.3869,0,0,,,,
176,东南诸河,浙南诸河,瓯江温溪以上,小溪及瓯江青田段,G030120,331121,青田县,丽水市,1314.6,0.2541,0.0052,0.0021,0.2614,0,0,0.0028,0,0.001,0.0004,0.0016,0.0058,0,,,0.082,0,0.082,0,0.0146,0.0397,0.0543,0,0.0435,0.0262,0.0697,0,0.0072,0,0.0072,0,0.4804,0,,0.4804,0,0,,,,
177,东南诸河,浙南诸河,瓯江温溪以下,楠溪江,G030260,331121,青田县,丽水市,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,,
178,东南诸河,浙南诸河,瓯江温溪以下,瓯江下游干流,G030270,331121,青田县,丽水市,22.6,0.0224,0.0019,0,0.0243,0,0,0.0016,0,0,0.0001,0.0001,0.0018,0,,,0.0425,0,0.0425,0,0.0073,0.0216,0.0289,0,0.0221,0,0.0221,0,0,0,0,0,0.1196,0,,0.1196,0,0,,,,
179,东南诸河,浙南诸河,瓯江温溪以下,飞云江,G030280,331121,青田县,丽水市,8.6,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,,
180,东南诸河,钱塘江,富春江坝址以上,金华江下游,G010140,331122,缙云县,丽水市,298.7,0.1516,0.0048,0.0034,0.1598,0,0.0003,0.0018,0,0.0051,0.0001,0.0013,0.0086,0,,,0.0431,0,0.0431,0,0.0023,0.0238,0.0261,0,0.0282,0.0176,0.0458,0,0.004,0.0006,0.0046,0,0.288,0,,0.288,0,0,,,,
181,东南诸河,浙南诸河,瓯江温溪以上,大溪,G030110,331122,缙云县,丽水市,981.9,0.3605,0.01,0.0077,0.3782,0,0.0003,0.0021,0,0.0091,0.0001,0.0016,0.0132,0,,,0.0876,0,0.0876,0,0.0045,0.028,0.0325,0,0.0547,0.0247,0.0794,0,0.0059,0.001,0.0069,0,0.5978,0,,0.5978,0,0,,,,
182,东南诸河,浙南诸河,瓯江温溪以下,永安溪,G030210,331122,缙云县,丽水市,130.9,0.0386,0.0038,0,0.0424,0,0,0,0,0,0,0.0006,0.0006,0,,,0.0015,0,0.0015,0,0,0,0,0,0,0.0092,0.0092,0,0,0.0011,0.0011,0,0.0548,0,,0.0548,0,0,,,,
183,东南诸河,浙南诸河,瓯江温溪以下,楠溪江,G030260,331122,缙云县,丽水市,82.5,0.013,0.0009,0,0.0139,0,0,0,0,0,0,0.0002,0.0002,0,,,0.0001,0,0.0001,0,0,0,0,0,0,0.0026,0.0026,0,0,0.0011,0.0011,0,0.0179,0,,0.0179,0,0,,,,
184,东南诸河,钱塘江,富春江坝址以上,衢江下游,G010120,331123,遂昌县,丽水市,1822,0.2709,0.0061,0.0015,0.2785,,0.0002,0.0011,,0.01,0.0007,0.001,0.013,,,,0.0032,0.0103,0.0135,,0.0015,0.0169,0.0184,,0.0299,0.0149,0.0448,,0.0008,0.0003,0.0011,,0.3693,0,,0.3693,0,0,,,,
185,东南诸河,钱塘江,富春江坝址以上,金华江下游,G010140,331123,遂昌县,丽水市,27.5,0.0007,0.0001,0,0.0008,,0,0,,0,0,0,0,,,,0,0,0,,0,0,0,,0,0.0001,0.0001,,0,0,0,,0.0009,0,,0.0009,0,0,,,,
