序号,所属流域_一级,二级,三级,四级,四级编码,行政区_县区代码,县区名称,市,面积,人口（万人）_城镇,农村,合计,国内地区生产总值  （亿元）_一产,二产,三产,合计,工业增加值（亿元）_火核电工业,国有及规模以上一般工业,规模以下工业,合计,火(核)电装机(万kW)_直流式,循环式,总耕地面积      （万亩）,有效灌溉面积   （万亩）,农田实灌面积（万亩）_水田,水浇地,菜田,总计,粮食产量（万吨）,林牧渔面积（万亩）_林地灌溉,园地灌溉,草场灌溉,人工鱼塘,牲畜(万头)_大牲畜,小牲畜,合计,col_37,col_38,zjszyreport,12.0
173,东南诸河,浙南诸河,瓯江温溪以上,大溪,G030110,331102,莲都区,丽水市,1374.8,42.9533,12.3883,55.3416,20.18,119.27,266.45,405.9,,79.29,8.04,87.33,,,23.78,16.71,14.03,1.86,0.78,16.67,3.4,,4.12,,0.42,0.14,9.72,9.86,,,,
174,东南诸河,浙南诸河,瓯江温溪以上,小溪及瓯江青田段,G030120,331102,莲都区,丽水市,127.2,0.01,0.86,0.87,1.05,0.01,0.01,1.07,,,,0,,,1.3,0.87,0.82,0.02,0.03,0.87,0.19,,0.2,,0.02,0.02,0.13,0.15,,,,
175,东南诸河,浙南诸河,瓯江温溪以上,大溪,G030110,331121,青田县,丽水市,1138.1,6.09,12.5,18.59,4.11,38.5,56.96,99.57,,30.58,,30.58,,,19.3,6.21,4.63,0.56,0.22,5.41,2.51,0,0.54,0,0.01,0.18,3.98,4.16,,,,
176,东南诸河,浙南诸河,瓯江温溪以上,小溪及瓯江青田段,G030120,331121,青田县,丽水市,1314.6,13.9019,11.3734,25.2753,4.93,50.02,63.8,118.75,,34.57,,34.57,,,20.87,6.78,5.308,0.48,0.17,5.958,2.22,0,0.44,0,0.02,0.15,3.76,3.91,,,,
177,东南诸河,浙南诸河,瓯江温溪以下,楠溪江,G030260,331121,青田县,丽水市,9.1,,,0,,,,0,,0,,0,,,0,,,,,0,0,,,,,,,0,,,,
178,东南诸河,浙南诸河,瓯江温溪以下,瓯江下游干流,G030270,331121,青田县,丽水市,22.6,7.04,0,7.04,0.97,9.28,20.56,30.81,,16.25,,16.25,,,0.84,0.63,0.46,0.17,0,0.63,0.11,0,0.28,0,0,0.04,0.37,0.41,,,,
179,东南诸河,浙南诸河,瓯江温溪以下,飞云江,G030280,331121,青田县,丽水市,8.6,,,0,,,,0,,0,,0,,,0,,,,,0,0,,,,,,,0,,,,
180,东南诸河,钱塘江,富春江坝址以上,金华江下游,G010140,331122,缙云县,丽水市,298.7,7.85,5.77,13.62,3.04,34.29,19.38,56.71,,28.79,,28.79,,,10.65,4.27,3.53,0.44,0.24,4.21,1.08,0.07,0.28,0,0.12,0.03,2.57,2.6,,,,
181,东南诸河,浙南诸河,瓯江温溪以上,大溪,G030110,331122,缙云县,丽水市,981.9,15.1804,7.9514,23.1318,7.38,65.32,97.47,170.17,,55.68,,55.68,,,20.39,9.45,7.814,0.93,0.53,9.274,2.74,0.08,0.31,0,0.2,0.03,3.52,3.55,,,,
182,东南诸河,浙南诸河,瓯江温溪以下,永安溪,G030210,331122,缙云县,丽水市,130.9,0,2.97,2.97,1.12,6.35,5.22,12.69,,1.01,,1.01,,,2.5,1.29,0.9,0.35,0,1.25,0.46,0,0,0,0,0.02,1.07,1.09,,,,
183,东南诸河,浙南诸河,瓯江温溪以下,楠溪江,G030260,331122,缙云县,丽水市,82.5,0,0.81,0.81,0.5,0.75,2.62,3.87,,0.06,,0.06,,,0.93,0.38,0.3,0.08,0,0.38,0.13,0,0,0,0,0,0.61,0.61,,,,
184,东南诸河,钱塘江,富春江坝址以上,衢江下游,G010120,331123,遂昌县,丽水市,1822,7.4469,4.1216,11.5685,7.324,22.5863,40.5011,70.4114,,3.7,,3.7,,,21.14,9.18,7.64,0.62,0.12,8.38,3.49,0.05,0.42,0,0.18,0.21,2.29,2.5,,,,
185,东南诸河,钱塘江,富春江坝址以上,金华江下游,G010140,331123,遂昌县,丽水市,27.5,0,0.03,0.03,0.044,0.058,0.0224,0.1244,,0,,0,,,0.41,0.03,0.02,0.01,0,0.03,0.01,0,0,0,0,0,0,0,,,,
186,东南诸河,浙南诸河,瓯江温溪以上,大溪,G030110,331123,遂昌县,丽水市,689.5,3.25,4.59,7.84,4.813,24.1996,31.2587,60.2713,,34.17,,34.17,,,7.08,5.36,4.1,0.42,0.32,4.84,1.95,0.1,0.84,0,0.2,0.06,1.4,1.46,,,,
187,东南诸河,浙南诸河,瓯江温溪以上,大溪,G030110,331124,松阳县,丽水市,1406,9.7751,10.7129,20.488,13.4,45.17,60.92,119.49,0.21,36.3,,36.51,0,1.5,28.3,14.445,6.125,5.06,2.56,13.745,3.58,0,2.72,0,0.2,0.23,5.22,5.45,,,,
188,东南诸河,浙南诸河,瓯江温溪以上,大溪,G030110,331125,云和县,丽水市,819.7,9.4499,2.9017,12.3516,3.99,43.99,32.59,80.57,,24.51,14.65,39.16,0,0,11.45,8.74,7.024,0.76,0.32,8.104,1.39,,0.25,,0.05,0.1652,1.5,1.6652,,,,
189,东南诸河,浙南诸河,瓯江温溪以上,小溪及瓯江青田段,G030120,331125,云和县,丽水市,164.3,,0.57,0.57,0.92,0,5.5,6.42,,,,0,,,2.49,1.69,1.08,0.27,0.21,1.56,0.42,,0.05,,,0.0124,0.06,0.0724,,,,
190,东南诸河,浙南诸河,瓯江温溪以上,大溪,G030110,331126,庆元县,丽水市,64,0.79,0.47,1.26,0.72,1.99,4.87,7.58,,0,,0,,,2.54,1.85,0.95,0.05,0.12,1.12,0.4,0,0,0,0,0,0,0,,,,
191,东南诸河,浙南诸河,瓯江温溪以上,小溪及瓯江青田段,G030120,331126,庆元县,丽水市,546.7,2.11,1.21,3.32,1.53,7.5,9.98,19.01,,2.48,,2.48,,,6.43,5.942,1.979,0.22,0.65,2.849,0.73,0.01,0.01,0,0,0.19,0.98,1.17,,,,
192,东南诸河,闽东诸河,闽东诸河,闽东诸河,G040100,331126,庆元县,丽水市,247.3,1.18,0.52,1.7,1.25,3.33,5.9,10.48,,0,,0,,,3.67,3.38,1.06,0.18,0.28,1.52,0.44,0,0.01,0,0,0,0.59,0.59,,,,
193,东南诸河,闽江,闽江上游,闽江上游,G050100,331126,庆元县,丽水市,1040,4.9724,3.0027,7.9751,4.06,15.44,22.36,41.86,0.46,17.41,,17.87,0,9,11.18,9.8,3.91,0.24,0.48,4.63,1.73,0.09,0.08,0,0,0.07,2.16,2.23,,,,
194,东南诸河,浙南诸河,瓯江温溪以上,小溪及瓯江青田段,G030120,331127,景宁畲族自治县,丽水市,1682.6,6.4616,3.8695,10.3311,5.99,15.67,47.62,69.28,,8.22,,8.22,,,24.37,9.24,5.94,2.77,0.58,9.29,3.39,0.58,0.14,0,0,0.56,3.33,3.89,,,,
195,东南诸河,浙南诸河,瓯江温溪以下,飞云江,G030280,331127,景宁畲族自治县,丽水市,266.4,0,0.77,0.77,0.81,1.19,3.48,5.48,,1.03,,1.03,,,3.72,0.81,0.61,0.15,0,0.76,0.07,0.02,0,0,0,0.07,0.58,0.65,,,,
196,东南诸河,钱塘江,富春江坝址以上,衢江下游,G010120,331181,龙泉市,丽水市,316.1,0.32,0.16,0.48,1.63,4.53,7.99,14.15,,1.65,,1.65,,,2.71,2.43,1.72,0.42,0.2,2.34,0.48,0,0,0,0,0,0.83,0.83,,,,
197,东南诸河,浙南诸河,瓯江温溪以上,大溪,G030110,331181,龙泉市,丽水市,2438.8,15.6667,7.8899,23.5566,11.29,35.7,57.15,104.14,0.38,30.1,,30.48,0,3,27.89,16.48,12.64,2.08,0.9,15.62,5.65,0,0,0,0.12,0.06,5.78,5.84,,,,
198,东南诸河,浙南诸河,瓯江温溪以上,小溪及瓯江青田段,G030120,331181,龙泉市,丽水市,216.3,0.26,0.13,0.39,1.85,6.11,8.32,16.28,,4.2,,4.2,,,5.13,2.99,2.1,0.51,0.25,2.86,0.58,0,0,0,0,0.04,0.61,0.65,,,,
199,东南诸河,闽江,闽江上游,闽江上游,G050100,331181,龙泉市,丽水市,87.8,0.31,0.15,0.46,1.41,4.79,6.39,12.59,,1.19,,1.19,,,2.95,2.67,1.91,0.46,0.18,2.55,0.35,0,0,0,0.12,0.04,0.38,0.42,,,,
,,,,,,,,丽水市,1392,78.04,19.76,97.8,17.36,260.11,527.35,804.82,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,丽水市,,,,111.41000000000001,,,,738.48,,,,263.96,,,,,,,,36.356,,,,,,,,,,,,
