序号,所属流域_一级,二级,三级,四级,四级编码,行政区_县区代码,县区名称,市,面积,地表水源供水量_蓄 水,引水,提水,跨流域调水_调入量,调出流域,非工程供水,小计,地下水源供水量_潜水,承压水,微咸水,小计,其他水源供水量_污水处理回用,雨  水 利  用,海 水淡 化,小计,总供水量,环境配水量,总计,海水 利用量,环境配水供水量明细表_蓄 水,引水,提水,调水,污水回用,小计,col_35,col_36,col_37,col_38,zjszyreport,12.0
152,东南诸河,浙南诸河,瓯江温溪以下,灵江及椒江左岸,G030230,331002,椒江区,台州市,100.9,0.2483,,0.0754,,,,0.3237,0.0033,0,,0.0033,,,,0,0.327,0.0312,0.3582,4.8316,,,,,0.0312,0.0312,,,,,,
153,东南诸河,浙南诸河,瓯江温溪以下,温黄平原,G030240,331002,椒江区,台州市,174.1,0.8085,,0.3726,,,,1.1811,0.011,0,,0.011,0.0367,0.009,,0.0457,1.2378,0.313,1.5508,0,,,,,0.313,0.313,,,,,,
154,东南诸河,浙南诸河,瓯江温溪以下,永安溪,G030210,331003,黄岩区,台州市,4.3,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,,,,,,0,0.0,,,,,
155,东南诸河,浙南诸河,瓯江温溪以下,温黄平原,G030240,331003,黄岩区,台州市,933.5,1.0743,0,0.2625,0,0,0,1.3368,0.0022,0,,0.0022,0.0807,0.0035,,0.0842,1.4232,0.4179,1.8411,0,,,,,0.4179,0.4179,1.4232,,,,,
156,东南诸河,浙南诸河,瓯江温溪以下,楠溪江,G030260,331003,黄岩区,台州市,50.2,0.0215,0,0,0,0,0,0.0215,,0,,0,,0.0052,,0.0052,0.0267,0,0.0267,0,,,,,,0,0.026699999999999998,,,,,
157,东南诸河,浙南诸河,瓯江温溪以下,温黄平原,G030240,331004,路桥区,台州市,273,0.765,,0.5237,,,,1.2887,0.022,0,,0.022,0.0345,0.007,,0.0415,1.3522,0.322,1.6742,0,,,,,0.322,0.322,,,,,,
158,东南诸河,浙东诸河,浙东沿海诸河,象山港及三门湾,G020130,331022,三门县,台州市,1069.6,0.5921,,0.2591,,,,0.8512,0.0006,0,,0.0006,0.0192,0.005,0.0318,0.056,0.9078,0.0949,1.0027,29.3409,,,,,0.0949,0.0949,,,,,,
159,东南诸河,浙南诸河,瓯江温溪以下,灵江及椒江左岸,G030230,331022,三门县,台州市,2.4,,,,,,,0,,0,,0,,,,0,0,0,0,0,,,,,,0,,,,,,
160,东南诸河,钱塘江,富春江坝址以下,曹娥江百官以上,G010240,331023,天台县,台州市,114.3,0.0079,0.0052,0.0035,,,,0.0166,0.0002,0,,0.0002,0,,,0,0.0168,0,0.0168,0,,,,,,0,,,,,,
161,东南诸河,浙东诸河,浙东沿海诸河,象山港及三门湾,G020130,331023,天台县,台州市,224.7,0.0265,0.0087,0.0054,,,,0.0406,0.0005,0,,0.0005,0,,,0,0.0411,0,0.0411,0,,,,,,0,,,,,,
162,东南诸河,浙南诸河,瓯江温溪以下,始丰溪,G030220,331023,天台县,台州市,1087,0.9082,0.0679,0.0478,,,,1.0239,0.0066,0,,0.0066,0.0057,0.003,,0.0087,1.0392,0.2306,1.2698,0,0.2306,,,,0,0.2306,,,,,,
163,东南诸河,浙南诸河,瓯江温溪以下,永安溪,G030210,331024,仙居县,台州市,1955.3,0.8715,0.1059,0.0085,0,0,0,0.9859,0.0085,0,0,0.0085,0.0102,0.0032,0,0.0134,1.0078,0,1.0078,0,,,,,,0,1.0078,,,,,
164,东南诸河,浙南诸河,瓯江温溪以下,始丰溪,G030220,331024,仙居县,台州市,36.7,,,,,,,0,,0,,0,,,,0,0,0,0,0,,,,,,0,,,,,,
165,东南诸河,浙南诸河,瓯江温溪以下,温黄平原,G030240,331081,温岭市,台州市,638.2,1.076,0.1342,1.5482,0,0,0,2.7584,0.0037,0,0,0.0037,0.0756,0.0043,0,0.0799,2.842,0.0082,2.8502,0,0,0,0,0,0.0082,0.0082,2.8419999999999996,,,,,
166,东南诸河,浙南诸河,瓯江温溪以下,玉环岛,G030250,331081,温岭市,台州市,197.8,0.0371,0.0423,0.1054,0,0,0,0.1848,0.0003,0,0,0.0003,0.0084,0.0007,0,0.0091,0.1942,0.0002,0.1944,0,0,0,0,0,0.0002,0.0002,0.19419999999999998,,,,,
167,东南诸河,浙东诸河,浙东沿海诸河,象山港及三门湾,G020130,331082,临海市,台州市,113.7,0.1528,0.0262,0.0186,0,0,0,0.1976,0.0001,0,0,0.0001,0,0.0009,0,0.0009,0.1986,0,0.1986,0,0,0,0,0,0,0,0.1986,,,,,
168,东南诸河,浙南诸河,瓯江温溪以下,永安溪,G030210,331082,临海市,台州市,397.1,0.1292,0.0968,0.0354,0,0,0,0.2614,0.0001,0,0,0.0001,0,0.0013,0,0.0013,0.2628,0,0.2628,0,0,0,0,0,0,0,0.26280000000000003,,,,,
