序号,所属流域_一级,二级,三级,四级,四级编码,行政区_县区代码,县区名称,市,面积,农田灌溉用水量_水田,旱地,菜田,小计,其中地下水,林牧渔畜用水量_林地灌溉,园地灌溉,草场灌溉,鱼塘补水,大牲畜用水量,小牲畜用水量,小计,其中地下水,工业用水量_火（核）电_直流式,循环式,国有及规模以上,规模以下,小计,其  中       地下水,城镇公共用水量_建筑业,服务业,小计,其中地下水,居民生活用水量_城镇居民,农村居民,小计,其  中地下水,生态与环境用水量_城镇环境,农村生态,小计,其  中地下水,总用水量_合计,其中地下水,环境配水量,总计,地表水用-供 检查,地下水用-供 检查,col_47,col_48,zjszyreport,12.0
152,东南诸河,浙南诸河,瓯江温溪以下,灵江及椒江左岸,G030230,331002,椒江区,台州市,100.9,0.1226,0.0093,0,0.1319,,0.0153,0.0049,,0.0011,0.0002,0.0037,0.0252,,0.0626,0,0.015,0.0086,0.0862,,0.0043,0.0067,0.011,,0.0422,0.0204,0.0626,0.0033,0.0062,0.0039,0.0101,,0.327,0.0033,0.0312,0.3582,0,0,,,,
153,东南诸河,浙南诸河,瓯江温溪以下,温黄平原,G030240,331002,椒江区,台州市,174.1,0.2599,0.0105,0,0.2704,,0.0032,0.0017,,0.0095,0,0.0016,0.016,,0,0.0121,0.3229,0.0851,0.4201,,0.0367,0.1135,0.1502,,0.2067,0.0487,0.2554,0.011,0.0719,0.0538,0.1257,,1.2378,0.011,0.313,1.5508,0,0,,,,
154,东南诸河,浙南诸河,瓯江温溪以下,永安溪,G030210,331003,黄岩区,台州市,4.3,0,0,0,0,,,,,,,,0,,,,,,0,,,,0,,,,0,,,,0,,0,0,,0,0,0,,,,
155,东南诸河,浙南诸河,瓯江温溪以下,温黄平原,G030240,331003,黄岩区,台州市,933.5,0.4844,0.024,0,0.5084,,0.0317,0.009,0,0,0,0.0035,0.0442,,0,0.0038,0.2033,0.1105,0.3176,,0.0145,0.1362,0.1507,,0.1947,0.0911,0.2858,0.0022,0.0714,0.0451,0.1165,,1.4232,0.0022,0.4179,1.8411,0,0,,,,
156,东南诸河,浙南诸河,瓯江温溪以下,楠溪江,G030260,331003,黄岩区,台州市,50.2,0.019,0.0013,0,0.0203,,0.0003,0,0,0,0,0,0.0003,,,,,,0,,,,0,,0,0.004,0.004,,0.0021,,0.0021,,0.0267,0,,0.0267,0,0,,,,
157,东南诸河,浙南诸河,瓯江温溪以下,温黄平原,G030240,331004,路桥区,台州市,273,0.5261,0.0097,0,0.5358,,0.0097,0.0119,,0.0666,,0.0008,0.089,,0,0.0197,0.0719,0.0573,0.1489,,0.0152,0.1321,0.1473,,0.1931,0.0921,0.2852,0.022,0.089,0.057,0.146,,1.3522,0.022,0.322,1.6742,0,0,,,,
158,东南诸河,浙东诸河,浙东沿海诸河,象山港及三门湾,G020130,331022,三门县,台州市,1069.6,0.454,0.0143,0,0.4683,,0.0006,0.0033,,0.003,0.0004,0.0049,0.0122,,0.0557,0,0.0852,0.0508,0.1917,0.0001,0.0061,0.0665,0.0726,,0.0812,0.061,0.1422,0.0005,0.0171,0.0037,0.0208,,0.9078,0.0006,0.0949,1.0027,0,0,,,,
159,东南诸河,浙南诸河,瓯江温溪以下,灵江及椒江左岸,G030230,331022,三门县,台州市,2.4,,,0,0,,,,,,,,0,,,,,,0,,,,0,,,,0,,,,0,,0,0,,0,0,0,,,,
160,东南诸河,钱塘江,富春江坝址以下,曹娥江百官以上,G010240,331023,天台县,台州市,114.3,0.0137,0.0002,0,0.0139,0,0.0002,0.0002,0,0,0.0001,0.0001,0.0006,0,,,0,0.0002,0.0002,0,0,0,0,0,0,0.0021,0.0021,0.0002,0,0,0,0,0.0168,0.0002,,0.0168,0,0,,,,
161,东南诸河,浙东诸河,浙东沿海诸河,象山港及三门湾,G020130,331023,天台县,台州市,224.7,0.0303,0.0005,0,0.0308,0,0.0002,0.0002,0,0,0.0003,0.0002,0.0009,0,,,0.0012,0.0016,0.0028,0,0,0.0005,0.0005,0,0.0007,0.0054,0.0061,0.0005,0,0,0,0,0.0411,0.0005,,0.0411,0,0,,,,
162,东南诸河,浙南诸河,瓯江温溪以下,始丰溪,G030220,331023,天台县,台州市,1087,0.4965,0.003,0.0159,0.5154,0.0002,0.001,0.001,0,0.0145,0.0015,0.0032,0.0212,0,0,0.0037,0.0711,0.098,0.1728,0,0.013,0.0546,0.0676,0.0023,0.1268,0.0829,0.2097,0.0041,0.0321,0.0204,0.0525,0,1.0392,0.0066,0.2306,1.2698,0,0,,,,
163,东南诸河,浙南诸河,瓯江温溪以下,永安溪,G030210,331024,仙居县,台州市,1955.3,0.5553,0.0362,0,0.5915,,0.0061,0.0093,0,0.0092,0.0007,0.0042,0.0295,,,,0.0569,0.0641,0.121,0.0004,0.0097,0.0386,0.0483,,0.0812,0.0545,0.1357,0.0081,0.0597,0.0221,0.0818,,1.0078,0.0085,,1.0078,0,0,,,,
164,东南诸河,浙南诸河,瓯江温溪以下,始丰溪,G030220,331024,仙居县,台州市,36.7,,,0,0,,,,,,,,0,,,,,,0,,,,0,,,,0,,,,0,,0,0,,0,0,0,,,,
165,东南诸河,浙南诸河,瓯江温溪以下,温黄平原,G030240,331081,温岭市,台州市,638.2,1.3508,0.0274,0.0103,1.3885,0,0.0004,0.0687,0,0.0104,0.0008,0.0035,0.0838,0,0,0.0094,0.1056,0.2551,0.3701,,0.0355,0.1767,0.2122,,0.3683,0.1554,0.5237,0.0037,0.1524,0.1113,0.2637,,2.842,0.0037,0.0082,2.8502,0,0,,,,
166,东南诸河,浙南诸河,瓯江温溪以下,玉环岛,G030250,331081,温岭市,台州市,197.8,0.0476,0.0008,0.0006,0.049,0,0,0.0108,0,0.0014,0.0001,0.0005,0.0128,0,0,0.0056,0,0.0021,0.0077,,0.0053,0.0009,0.0062,,0.0026,0.023,0.0256,0.0003,0.0774,0.0155,0.0929,,0.1942,0.0003,0.0002,0.1944,0,0,,,,
167,东南诸河,浙东诸河,浙东沿海诸河,象山港及三门湾,G020130,331082,临海市,台州市,113.7,0.0889,0.005,0.0017,0.0956,0,0.0013,0.0017,0,0.004,0.0001,0.0015,0.0086,0,,,0.028,0.0046,0.0326,0,0.0044,0.0072,0.0116,0,0.0202,0.0173,0.0375,0.0001,0.0069,0.0058,0.0127,,0.1986,0.0001,,0.1986,0,0,,,,
168,东南诸河,浙南诸河,瓯江温溪以下,永安溪,G030210,331082,临海市,台州市,397.1,0.1186,0.007,0.0021,0.1277,0,0.0008,0.0011,0,0.0025,0.0002,0.002,0.0066,0,,,0.0341,0.0062,0.0403,0,0.007,0.0129,0.0199,0,0.0262,0.0209,0.0471,0.0001,0.0136,0.0076,0.0212,,0.2628,0.0001,,0.2628,0,0,,,,
169,东南诸河,浙南诸河,瓯江温溪以下,始丰溪,G030220,331082,临海市,台州市,247,0.1553,0.0158,0.0013,0.1724,0,0.0016,0.0019,0,0.0028,0.0004,0.0025,0.0092,0,,,0.0466,0.0086,0.0552,0,0.0079,0.0162,0.0241,0,0.0361,0.029,0.0651,0.0001,0.0101,0.0068,0.0169,,0.3429,0.0001,,0.3429,0,0,,,,
