序号,市,县（市、区）,水资源分区,nan,水资源利用分区,面积（km2）,人口（万人）,nan,nan,国内地区生产总值  （亿元）,nan,nan,nan,工业增加值（亿元）,nan,nan,nan,火(核)电装机(万kW),nan,总耕地面积      （万亩）,有效灌溉面积   （万亩）,农田实灌面积（万亩）,nan,nan,nan,粮食产量（万吨）,林牧渔面积（万亩）,nan,nan,nan,牲畜(万头),nan,nan,地表水源供水量,nan,nan,nan,nan,nan,nan,地下水源供水量,nan,nan,nan,其他水源供水量,nan,nan,nan,总供水量,环境配水量,农田灌溉用水量,nan,nan,nan,nan,林牧渔畜用水量,nan,nan,nan,nan,nan,nan,nan,工业用水量,nan,nan,nan,nan,nan,城镇公共用水量,nan,nan,nan,居民生活用水量,nan,nan,nan,生态与环境用水量,nan,nan,nan,总用水量,nan,环境配水量,总计,总用水量（核算）,总供水量（核算）,总供水-总用水,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
70,嘉兴市,南湖区,杭嘉湖平原,杭嘉湖平原,1,439,73.55,10.39,83.94,13.4,350.47,433.98,797.85,10.88,284.14,0,295.02,0,10,33.21,24.34,13.39,2.74,3.84,19.97,10.0413,0,0.69,0,0.78,0,82.4882,82.4882,0,0,1.8711,0,,0,1.8711,0,0,0,0,0,0,0,0,1.8711,0,0.7854,0.0274,0.0576,0.8704,0,0,0.0078,0,0.039,0,0.0052,0.052,0,0,0.0354,0.2606,0,0.296,0,0.038,0.1976,0.2356,0,0.318,0.0401,0.3581,0,0.059,0,0.059,0,1.8711,0,0,1.8711,1.8711,1.8711,0,,,,,,,,,,,,,,,,,,,,,,,
71,嘉兴市,秀洲区,杭嘉湖平原,杭嘉湖平原,1,548,45.29,22.63,67.92,14.17,338.91,351.45,704.53,6.36,297.79,0,304.15,0,20.3,43.44,33.98,23.65,3.02,0.69,27.36,14.7931,0,0,0,2.29,0.1343,46.9671,47.1014,0,0,2.2982,0,,0,2.2982,0,0,0,0,0.1011,0,0,0.1011,2.3993,0,1.1128,0.0302,0.0103,1.1533,0,0,0,0,0.039,0.0004,0.0019,0.0413,0,0,0.1237,0.5481,0,0.6718,0,0.0201,0.1724,0.1925,0,0.2192,0.1046,0.3238,0,0.0166,0,0.0166,0,2.3993,0,0,2.3993,2.3992999999999998,2.3993,0,,,,,,,,,,,,,,,,,,,,,,,
72,嘉兴市,嘉善县,杭嘉湖平原,杭嘉湖平原,1,507,47.36,17.46,64.82,22.1,347.98,285.69,655.77,4.76,311.63,0,316.39,0,11.1,39.86,33.6,29.67,1.09,0.02,30.78,14.4065,0,0.45,0,3.52,0.0003,29.6368,29.6371,0,0,2.408,0,,0,2.408,0,0,0,0,0,0,0,0,2.408,0,1.2995,0.0133,0.0002,1.313,0,0,0.0027,0,0.1162,0.0002,0.0013,0.1204,0,0,0.0578,0.3986,0,0.4564,0,0.0532,0.0975,0.1507,0,0.2405,0.0825,0.323,0,0.037,0.0075,0.0445,0,2.408,0,0,2.408,2.408,2.408,0,,,,,,,,,,,,,,,,,,,,,,,
73,嘉兴市,平湖市,杭嘉湖平原,杭嘉湖平原,1,554,44.96,22.17,67.13,14.16,452.98,311.86,779,26.22,395.98,0,422.2,530,18.2,43.85,34.69,23.19,3.17,1.78,28.14,18.8307,0,0,0,1.42,0.0047,43.4817,43.4864,0,0,2.9015,0,,0,2.9015,0,0,0,0,0,0,0,0,2.9015,0,1.2293,0.0898,0.0355,1.3546,0,0,0,0,0.0413,0,0.0022,0.0435,0,0.0764,0.0804,0.8936,0,1.0504,0,0.0365,0.1282,0.1647,0,0.1895,0.0825,0.272,0,0.0163,0,0.0163,0,2.9015,0,0,2.9015,2.9015000000000004,2.9015,0,,,,,,,,,,,,,,,,,,,,,,,
74,嘉兴市,海盐县,杭嘉湖平原,杭嘉湖平原,1,530.8,29.79,15.89,45.68,17.83,313.74,212.95,544.52,123.32,151.5,15.96,290.78,0,498.1,38.92,33.45,27.892,4.3,1,33.192,14.0831,0.09,3.3,0,1.91,0,476.3323,476.3323,0,0,2.1502,0,,0,2.1502,0,0,0,0,0,0,0,0,2.1502,0,1.2302,0.0131,0.0105,1.2538,0,0.0004,0.028,0,0.0554,0,0.0109,0.0947,0,0,0.1342,0.3832,0,0.5174,0,0.0317,0.0437,0.0754,0,0.1272,0.0661,0.1933,0,0.0156,0,0.0156,0,2.1502,0,0,2.1502,2.1502,2.1502,0,,,,,,,,,,,,,,,,,,,,,,,
75,嘉兴市,海盐县,富春江坝址以下,钱塘江河口水域,1,54.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
76,嘉兴市,海宁市,杭嘉湖平原,杭嘉湖平原,1,730.4,75.28,32.34,107.62,18.61,574.81,437.36,1030.78,5.01,504.45,0,509.46,0,13.8,49.68,43.83,30.275,2.72,3.41,36.405,12.1745,0,3.08,0,2.19,0,297.4547,297.4547,0,0,3.0547,0,,0,3.0547,0,0,0,0,0.003,0,0,0.003,3.0577,0,1.2957,0.0201,0.0142,1.33,0,0,0.0246,0,0.1321,0,0.0209,0.1776,0,0,0.0554,0.7888,0,0.8442,0,0.0437,0.1629,0.2066,0,0.3131,0.124,0.4371,0,0.0622,0,0.0622,0,3.0577,0,0,3.0577,3.0576999999999996,3.0547,-0.0029999999999996696,,,,,,,,,,,,,,,,,,,,,,,
77,嘉兴市,海宁市,富春江坝址以下,钱塘江河口水域,1,132.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
78,嘉兴市,桐乡市,杭嘉湖平原,杭嘉湖平原,1,727,69.06,33.92,102.98,24.17,481.42,497.39,1002.98,10.93,410.68,,421.61,0,59.75,58.39,47.17,23,8.46,12.42,43.88,13.1934,0,0.57,0,2.54,0,197.2692,197.2692,0,0,3.207,0,,0,3.207,0,0,0,0,0,0,0,0,3.207,0,1.3564,0.0694,0.0701,1.4959,0,0,0.0028,0,0.0965,0,0.023,0.1223,0,0,0.07,0.6192,0,0.6892,0,0.0634,0.2578,0.3212,0,0.3492,0.1525,0.5017,0,0.0767,0,0.0767,0,3.207,0,0,3.207,3.2070000000000007,3.207,0,,,,,,,,,,,,,,,,,,,,,,,
,嘉兴,嘉兴西片供水区,嘉兴市区,,,987,118.84,33.019999999999996,151.86,27.57,689.3800000000001,785.4300000000001,1502.38,17.240000000000002,581.9300000000001,0,599.17,0,30.3,76.65,58.31999999999999,37.04,5.76,4.529999999999999,47.33,24.834400000000002,0,0.69,0,3.0700000000000003,0.1343,129.45530000000002,129.58960000000002,0,0,4.1693,0,,0,4.1693,0,0,0,0,0.1011,0,0,0.1011,4.2704,0,1.8982,0.0576,0.0679,2.0237,0,0,0.0078,0,0.078,0.0004,0.0070999999999999995,0.0933,0,0,0.15910000000000002,0.8087,0,0.9678,0,0.0581,0.37,0.42810000000000004,0,0.5372,0.1447,0.6819,0,0.0756,0,0.0756,0,4.2704,0,0,4.2704,,,,,,,,,,,,,,,,,,,,,,,,,,
