序号,所属流域_一级,二级,三级,四级,四级编码,行政区_县区代码,县区名称,市,面积,地表水源供水量_蓄 水,引水,提水,跨流域调水_调入量,调出流域,非工程供水,小计,地下水源供水量_潜水,承压水,微咸水,小计,其他水源供水量_污水处理回用,雨  水 利  用,海 水淡 化,小计,总供水量,环境配水量,总计,海水 利用量,环境配水供水量明细表_蓄 水,引水,提水,调水,污水回用,小计,col_35,col_36,col_37,col_38,zjszyreport,12.0
29,东南诸河,浙东诸河,浙东沿海诸河,姚江,G020110,330203,海曙区,宁波市,47,0.0012,0.0067,0,0,,0,0.0079,0,0,0,0,0,0,0,0,0.0079,0,0.0079,0,,,,,,0,0.0079,,,,,
30,东南诸河,浙东诸河,浙东沿海诸河,奉化江及甬江干流,G020120,330203,海曙区,宁波市,547.7,1.8145,0.1453,0.4925,-0.7619,,0,1.6904,0.0057,0,0,0.0057,0,0,0,0,1.6961,0.47,2.1661,0,,,0.47,,,0.47,1.6961000000000002,,,,,
31,东南诸河,浙东诸河,浙东沿海诸河,奉化江及甬江干流,G020120,330205,江北区,宁波市,207.6,0.0491,0.025,1.5809,-0.8912,,0,0.7638,0,0,0,0,0,0,0,0,0.7638,0.36,1.1238,0,,,0.36,,,0.36,0.7638,,,,,
32,东南诸河,浙东诸河,浙东沿海诸河,奉化江及甬江干流,G020120,330206,北仑区,宁波市,399.9,0.2233,0.03,0.4628,1.3521,,0,2.0682,0,0,0,0,0.1991,0,0,0.1991,2.2673,0.23,2.4973,14.8,,0.2089,,,0.0211,0.23,2.2673,,,,,
33,东南诸河,浙东诸河,浙东沿海诸河,象山港及三门湾,G020130,330206,北仑区,宁波市,199.1,0.0084,0.002,0.1286,0.6517,,0,0.7907,0,0,0,0,0,0,0,0,0.7907,0,0.7907,0,,,,,,0,0.7907,,,,,
34,东南诸河,浙东诸河,浙东沿海诸河,奉化江及甬江干流,G020120,330211,镇海区,宁波市,245.7,0.0611,0,0.4663,1.2565,,0,1.7839,0,0,0,0,0.0958,0,0,0.0958,1.8797,0.3,2.1797,0,,,,0.3,,0.3,1.8797000000000001,,,,,
35,东南诸河,浙东诸河,浙东沿海诸河,奉化江及甬江干流,G020120,330212,鄞州区,宁波市,560.3,0.6067,0.08,0.3837,1.2143,,0,2.2847,0.0004,0,0,0.0004,0.0074,0.0003,0,0.0077,2.2928,1.63,3.9228,0,,,1.2274,,0.4026,1.63,2.2927999999999997,,,,,
36,东南诸河,浙东诸河,浙东沿海诸河,象山港及三门湾,G020130,330212,鄞州区,宁波市,253.7,0.231,0.0189,0.0814,0,,0,0.3313,0,0,0,0,0.0025,0,0,0.0025,0.3338,0,0.3338,0,,,,,,0,0.33380000000000004,,,,,
37,东南诸河,浙东诸河,浙东沿海诸河,奉化江及甬江干流,G020120,330213,奉化区,宁波市,999.6,1.8476,0.1198,0.225,-0.8256,,0,1.3668,0.0017,0,0,0.0017,0,0,0,0,1.3685,0.1381,1.5066,0,0.114,,,,0.0241,0.1381,1.3684999999999996,,,,,
38,东南诸河,浙东诸河,浙东沿海诸河,象山港及三门湾,G020130,330213,奉化区,宁波市,268.4,0.2325,0.096,0.02,0,,0,0.3485,0,0,0,0,0,0,0,0,0.3485,0,0.3485,0,,,,,,0,0.34850000000000003,,,,,
39,东南诸河,浙东诸河,浙东沿海诸河,象山港及三门湾,G020130,330225,象山县,宁波市,1382,1.0489,0.199,0.2137,0.0571,,0,1.5187,0,0,0,0,0.0112,0.0001,0.002,0.0133,1.532,0.0515,1.5835,12.422,0.046,,,,0.0055,0.0515,1.532,,,,,
40,东南诸河,浙东诸河,浙东沿海诸河,奉化江及甬江干流,G020120,330226,宁海县,宁波市,2.8,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0.0,,,,,
41,东南诸河,浙东诸河,浙东沿海诸河,象山港及三门湾,G020130,330226,宁海县,宁波市,1840.2,3.6788,0,0,-2.0786,,0,1.6002,0.0022,0,0,0.0022,0.0038,0,0,0.0038,1.6062,0.1224,1.7286,15.543,0.07,,,,0.0524,0.1224,1.6062,,,,,
42,东南诸河,钱塘江,富春江坝址以下,曹娥江百官以上,G010240,330281,余姚市,宁波市,106.7,0.0326,0,0.002,0,,0,0.0346,0,0,0,0,0,0,0,0,0.0346,0,0.0346,0,,,,,,0,0.0346,,,,,
43,东南诸河,浙东诸河,浙东沿海诸河,姚江,G020110,330281,余姚市,宁波市,1236.7,2.3541,0.15,0.6245,0.0026,,0,3.1312,0.0014,0,0,0.0014,0.0148,0.0017,0,0.0165,3.1491,0.43,3.5791,0,0.07,,,0.36,,0.43,3.1491,,,,,
44,东南诸河,浙东诸河,浙东沿海诸河,奉化江及甬江干流,G020120,330281,余姚市,宁波市,157.6,0.0906,0,0.003,0,,0,0.0936,0,0,0,0,0,0,0,0,0.0936,0,0.0936,0,,,,,,0,0.0936,,,,,
45,东南诸河,浙东诸河,浙东沿海诸河,姚江,G020110,330282,慈溪市,宁波市,1361,0.994,0.0504,0.8495,0.8738,,0,2.7677,0.0002,0,0,0.0002,0.0729,0,0,0.0729,2.8408,1.48,4.3208,0,,,,1.48,,1.48,2.8408,,,,,
