序号,市,县（市、区）,水资源分区,nan,水资源利用分区,面积（km2）,人口（万人）,nan,nan,国内地区生产总值  （亿元）,nan,nan,nan,工业增加值（亿元）,nan,nan,nan,火(核)电装机(万kW),nan,总耕地面积      （万亩）,有效灌溉面积   （万亩）,农田实灌面积（万亩）,nan,nan,nan,粮食产量（万吨）,林牧渔面积（万亩）,nan,nan,nan,牲畜(万头),nan,nan,地表水源供水量,nan,nan,nan,nan,nan,nan,地下水源供水量,nan,nan,nan,其他水源供水量,nan,nan,nan,总供水量,环境配水量,农田灌溉用水量,nan,nan,nan,nan,林牧渔畜用水量,nan,nan,nan,nan,nan,nan,nan,工业用水量,nan,nan,nan,nan,nan,城镇公共用水量,nan,nan,nan,居民生活用水量,nan,nan,nan,生态与环境用水量,nan,nan,nan,总用水量,nan,环境配水量,总计,总用水量（核算）,总供水量（核算）,总供水-总用水,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
29,宁波市,海曙区,浙东沿海诸河,姚江,2,25.9,0,0.31,0.31,0.1181,0,0,0.1181,0,0,0,0,0,0,0.87,0.3001,0.1661,0.0291,0,0.1952,0.01,0.01,0,0,0,0,0,0,0.0012,0.0067,0,0,,0,0.0079,0,0,0,0,0,0,0,0,0.0079,0,0.0063,0.0003,0,0.0066,0,0.0001,0,0,0,0,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0.0012,0.0012,0,0,0,0,0,0.0079,0,0,0.0079,0.0079,0.0079,0,,,,,,,,,,,,,,,,,,,,,,,
30,宁波市,海曙区,浙东沿海诸河,奉化江及甬江干流,2,568.8,90.64,13.18,103.82,16.0642,361.0777,823.9236,1201.0655,0,226.8549,56.3575,283.2124,0,10.1,19.15,14.8887,12.0642,2.5461,0,14.6103,6.6177,0.65,0,0,0.2715,0.0202,2.1635,2.1837,1.8145,0.1453,0.4925,-0.7619,,0,1.6904,0.0057,0,0,0.0057,0,0,0,0,1.6961,0.47,0.4548,0.0291,0,0.4839,0,0.0065,0,0,0.0136,0.0001,0.0008,0.021,0,0,0,0.2444,0.0679,0.3123,0.0057,0.0292,0.2176,0.2468,0,0.4971,0.0697,0.5668,0,0.0633,0.002,0.0653,0,1.6961,0.0057,0.47,2.1661,1.6961,1.6961,0,,,,,,,,,,,,,,,,,,,,,,,
31,宁波市,江北区,浙东沿海诸河,奉化江及甬江干流,2,207.6,40.59,8.3,48.89,8.6,204.6,453.5,666.7,0,150.53,16.48,167.01,0,0,8.67,8.67,7.48,1.19,0,8.67,1.9817,0,0.908,0,0.096,0.31,1.04,1.35,0.0491,0.025,1.5809,-0.8912,,0,0.7638,0,0,0,0,0,0,0,0,0.7638,0.36,0.2094,0.008,0,0.2174,0,0,0.0091,0,0.005,0.0011,0.0004,0.0156,0,0,0,0.0993,0.0174,0.1167,0,0.0247,0.1179,0.1426,0,0.2037,0.0388,0.2425,0,0.018,0.011,0.029,0,0.7638,0,0.36,1.1238,0.7638,0.7638,0,,,,,,,,,,,,,,,,,,,,,,,
32,宁波市,镇海区,浙东沿海诸河,奉化江及甬江干流,2,245.7,45.9,5.14,51.04,6.53,657.62,365.92,1030.07,12.26,516.47,79.58,608.31,0,268.2,9,7.64,3.195,2.805,0,6,1.8921,0.12,0.795,0,0.0637,0.07,0.68,0.75,0.0611,0,0.4663,1.2565,,0,1.7839,0,0,0,0,0.0958,0,0,0.0958,1.8797,0.3,0.1275,0.0252,0,0.1527,0,0.0008,0.0056,0,0.0035,0.0003,0.0003,0.0105,0,0,0.1288,0.8608,0.1662,1.1558,0,0.011,0.196,0.207,0,0.2535,0.0282,0.2817,0,0.045,0.027,0.072,0,1.8797,0,0.3,2.1797,1.8797000000000001,1.8797000000000001,0,,,,,,,,,,,,,,,,,,,,,,,
33,宁波市,北仑区,浙东沿海诸河,奉化江及甬江干流,2,399.9,50.09,10.64,60.73,5.07,752.286,664.417,1421.773,34.858,659.193,17.354,711.405,500,90,7.6,5.683,3.321,2.362,0,5.683,0.2008,0.3,0.78,0,0.0264,0.0235,1.7639,1.7874,0.2233,0.03,0.4628,1.3521,,0,2.0682,0,0,0,0,0.1991,0,0,0.1991,2.2673,0.23,0.1179,0.0187,0,0.1366,0,0.0016,0.0043,0,0.0013,0.0001,0.0006,0.0079,0,0.1075,0.2217,0.9341,0.108,1.3713,0,0.0127,0.2615,0.2742,0,0.3272,0.0648,0.392,0,0.0586,0.0267,0.0853,0,2.2673,0,0.23,2.4973,2.2673,2.2673,0,,,,,,,,,,,,,,,,,,,,,,,
34,宁波市,北仑区,浙东沿海诸河,象山港及三门湾,2,199.1,13.55,8.66,22.21,3.38,237.564,357.763,598.707,6.152,202.497,8.166,216.815,0,75,8.18,3.868,2.123,1.745,0,3.868,0.1339,0.2,0.53,0,0.0102,0.0205,0.3682,0.3887,0.0084,0.002,0.1286,0.6517,,0,0.7907,0,0,0,0,0,0,0,0,0.7907,0,0.0754,0.0156,0,0.091,0,0.001,0.0028,0,0.0006,0.0001,0.0001,0.0046,0,0,0.0595,0.3545,0.019,0.433,0,0.0054,0.0779,0.0833,0,0.0871,0.0526,0.1397,0,0.023,0.0161,0.0391,0,0.7907,0,0,0.7907,0.7907000000000001,0.7907,0,,,,,,,,,,,,,,,,,,,,,,,
35,宁波市,鄞州区,浙东沿海诸河,奉化江及甬江干流,2,560.3,117.62,23.59,141.21,18.59,558.59,1543.47,2120.65,1.68,360.18,88.22,450.08,0,3,19.67,16.44,12.916,1.079,0,13.995,6.4102,0.555,1.06,0,0.23,0.027,1.085,1.112,0.6067,0.08,0.3837,1.2143,,0,2.2847,0.0004,0,0,0.0004,0.0074,0.0003,0,0.0077,2.2928,1.63,0.4443,0.0105,0,0.4548,0,0.0033,0.0064,0,0.0133,0.0001,0.0008,0.0239,0,0,0.0141,0.2827,0.1408,0.4376,0.0002,0.0439,0.3912,0.4351,0.0002,0.7368,0.1156,0.8524,0,0.0841,0.0049,0.089,0,2.2928,0.0004,1.63,3.9228,2.2928,2.2927999999999997,0,,,,,,,,,,,,,,,,,,,,,,,
36,宁波市,鄞州区,浙东沿海诸河,象山港及三门湾,2,253.7,14.73,5.02,19.75,8.53,50.35,86.57,145.45,0,19.12,8.41,27.53,0,0,6.87,4.74,3.519,0.909,0,4.428,2.1204,0.12,0.04,0,0.14,0.013,0.545,0.558,0.231,0.0189,0.0814,0,,0,0.3313,0,0,0,0,0.0025,0,0,0.0025,0.3338,0,0.1035,0.0065,0,0.11,0,0.0007,0.0002,0,0.0081,0.0001,0.0004,0.0095,0,0,0,0.038,0.032,0.07,0,0.0037,0.0475,0.0512,0,0.0624,0.0186,0.081,0,0.0106,0.0015,0.0121,0,0.3338,0,0,0.3338,0.3338,0.3338,0,,,,,,,,,,,,,,,,,,,,,,,
37,宁波市,奉化区,浙东沿海诸河,奉化江及甬江干流,2,999.6,29.46,17.14,46.6,17.9,329.8,204.67,552.37,0,251.67,43,294.67,0,0,27.08,27.08,20.56,5.06,0,25.62,5.1111,4.45,0.57,0,0.108,0.057,7.404,7.461,1.8476,0.1198,0.225,-0.8256,,0,1.3668,0.0017,0,0,0.0017,0,0,0,0,1.3685,0.1381,0.6785,0.0453,0,0.7238,0,0.0267,0.0034,0,0.0065,0.0002,0.0054,0.0422,0,0,0,0.1338,0.0708,0.2046,0.001,0.0267,0.098,0.1247,0.0007,0.1695,0.0862,0.2557,0,0.009,0.0085,0.0175,0,1.3685,0.0017,0.1381,1.5066,1.3685,1.3685,0,,,,,,,,,,,,,,,,,,,,,,,
38,宁波市,奉化区,浙东沿海诸河,象山港及三门湾,2,268.4,5.2,5.95,11.15,14.8,82.5,36.1,133.4,0,62.92,10.73,73.65,0,0,7.64,7.64,5.54,1.35,0,6.89,1.2778,2,0.33,0,0,0.023,5.216,5.239,0.2325,0.096,0.02,0,,0,0.3485,0,0,0,0,0,0,0,0,0.3485,0,0.1828,0.0096,0,0.1924,0,0.012,0.002,0,0,0.0001,0.0038,0.0179,0,0,0,0.0316,0.0078,0.0394,0,0.002,0.0271,0.0291,0,0.03,0.0341,0.0641,0,0.0036,0.002,0.0056,0,0.3485,0,0,0.3485,0.3485,0.3485,0,,,,,,,,,,,,,,,,,,,,,,,
39,宁波市,余姚市,富春江坝址以下,曹娥江百官以上,2,106.7,0.38,1.29,1.67,0.1,0.59,1.32,2.01,0,0,0,0,0,0,1.93,1.93,0.4,0.27,0,0.67,0.5103,0.7,0.47,0,0,0.131,0.489,0.62,0.0326,0,0.002,0,,0,0.0346,0,0,0,0,0,0,0,0,0.0346,0,0.012,0.0019,0,0.0139,0,0.0039,0.0026,0,0,0.0005,0.0003,0.0073,0,0,0,0,0,0,0,0.001,0.0011,0.0021,0,0.0021,0.006,0.0081,0,0.0021,0.0011,0.0032,0,0.0346,0,0,0.0346,0.0346,0.0346,0,,,,,,,,,,,,,,,,,,,,,,,
