序号,所属流域_一级,二级,三级,四级,四级编码,行政区_县区代码,县区名称,市,面积,农田灌溉用水量_水田,旱地,菜田,小计,其中地下水,林牧渔畜用水量_林地灌溉,园地灌溉,草场灌溉,鱼塘补水,大牲畜用水量,小牲畜用水量,小计,其中地下水,工业用水量_火（核）电_直流式,循环式,国有及规模以上,规模以下,小计,其  中       地下水,城镇公共用水量_建筑业,服务业,小计,其中地下水,居民生活用水量_城镇居民,农村居民,小计,其  中地下水,生态与环境用水量_城镇环境,农村生态,小计,其  中地下水,总用水量_合计,其中地下水,环境配水量,总计,地表水用-供 检查,地下水用-供 检查,col_47,col_48,zjszyreport,12.0
29,东南诸河,浙东诸河,浙东沿海诸河,姚江,G020110,330203,海曙区,宁波市,47,0.0063,0.0003,0,0.0066,0,0.0001,0,0,0,0,0,0.0001,0,,,0,0,0,0,0,0,0,0,0,0.0012,0.0012,0,0,0,0,0,0.0079,0,,0.0079,0,0,,,,
30,东南诸河,浙东诸河,浙东沿海诸河,奉化江及甬江干流,G020120,330203,海曙区,宁波市,547.7,0.4548,0.0291,0,0.4839,0,0.0065,0,0,0.0136,0.0001,0.0008,0.021,0,0,0,0.2444,0.0679,0.3123,0.0057,0.0292,0.2176,0.2468,0,0.4971,0.0697,0.5668,0,0.0633,0.002,0.0653,0,1.6961,0.0057,0.47,2.1661,0,0,,,,
31,东南诸河,浙东诸河,浙东沿海诸河,奉化江及甬江干流,G020120,330205,江北区,宁波市,207.6,0.2094,0.008,0,0.2174,0,0,0.0091,0,0.005,0.0011,0.0004,0.0156,0,,,0.0993,0.0174,0.1167,0,0.0247,0.1179,0.1426,0,0.2037,0.0388,0.2425,0,0.018,0.011,0.029,0,0.7638,0,0.36,1.1238,0,0,,,,
32,东南诸河,浙东诸河,浙东沿海诸河,奉化江及甬江干流,G020120,330206,北仑区,宁波市,399.9,0.1179,0.0187,0,0.1366,0,0.0016,0.0043,0,0.0013,0.0001,0.0006,0.0079,0,0.1075,0.2217,0.9341,0.108,1.3713,0,0.0127,0.2615,0.2742,0,0.3272,0.0648,0.392,0,0.0586,0.0267,0.0853,0,2.2673,0,0.23,2.4973,0,0,,,,
33,东南诸河,浙东诸河,浙东沿海诸河,象山港及三门湾,G020130,330206,北仑区,宁波市,199.1,0.0754,0.0156,0,0.091,0,0.001,0.0028,0,0.0006,0.0001,0.0001,0.0046,0,0,0.0595,0.3545,0.019,0.433,0,0.0054,0.0779,0.0833,0,0.0871,0.0526,0.1397,0,0.023,0.0161,0.0391,0,0.7907,0,,0.7907,0,0,,,,
34,东南诸河,浙东诸河,浙东沿海诸河,奉化江及甬江干流,G020120,330211,镇海区,宁波市,245.7,0.1275,0.0252,0,0.1527,0,0.0008,0.0056,0,0.0035,0.0003,0.0003,0.0105,0,0,0.1288,0.8608,0.1662,1.1558,0,0.011,0.196,0.207,0,0.2535,0.0282,0.2817,0,0.045,0.027,0.072,0,1.8797,0,0.3,2.1797,0,0,,,,
35,东南诸河,浙东诸河,浙东沿海诸河,奉化江及甬江干流,G020120,330212,鄞州区,宁波市,560.3,0.4443,0.0105,0,0.4548,0,0.0033,0.0064,0,0.0133,0.0001,0.0008,0.0239,0,0,0.0141,0.2827,0.1408,0.4376,0.0002,0.0439,0.3912,0.4351,0.0002,0.7368,0.1156,0.8524,0,0.0841,0.0049,0.089,0,2.2928,0.0004,1.63,3.9228,0,0,,,,
36,东南诸河,浙东诸河,浙东沿海诸河,象山港及三门湾,G020130,330212,鄞州区,宁波市,253.7,0.1035,0.0065,0,0.11,0,0.0007,0.0002,0,0.0081,0.0001,0.0004,0.0095,0,,,0.038,0.032,0.07,0,0.0037,0.0475,0.0512,0,0.0624,0.0186,0.081,0,0.0106,0.0015,0.0121,0,0.3338,0,,0.3338,0,0,,,,
37,东南诸河,浙东诸河,浙东沿海诸河,奉化江及甬江干流,G020120,330213,奉化区,宁波市,999.6,0.6785,0.0453,0,0.7238,0,0.0267,0.0034,0,0.0065,0.0002,0.0054,0.0422,0,,,0.1338,0.0708,0.2046,0.001,0.0267,0.098,0.1247,0.0007,0.1695,0.0862,0.2557,0,0.009,0.0085,0.0175,0,1.3685,0.0017,0.1381,1.5066,0,0,,,,
38,东南诸河,浙东诸河,浙东沿海诸河,象山港及三门湾,G020130,330213,奉化区,宁波市,268.4,0.1828,0.0096,0,0.1924,0,0.012,0.002,0,0,0.0001,0.0038,0.0179,0,,,0.0316,0.0078,0.0394,0,0.002,0.0271,0.0291,0,0.03,0.0341,0.0641,0,0.0036,0.002,0.0056,0,0.3485,0,,0.3485,0,0,,,,
39,东南诸河,浙东诸河,浙东沿海诸河,象山港及三门湾,G020130,330225,象山县,宁波市,1382,0.5223,0.0164,0,0.5387,0,0.0213,0.0111,0,0.0881,0.0004,0.0074,0.1283,0,0.0251,0.0097,0.1424,0.0563,0.2335,0,0.0151,0.2165,0.2316,0,0.2408,0.1381,0.3789,0,0.019,0.002,0.021,0,1.532,0,0.0515,1.5835,0,0,,,,
40,东南诸河,浙东诸河,浙东沿海诸河,奉化江及甬江干流,G020120,330226,宁海县,宁波市,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,,
41,东南诸河,浙东诸河,浙东沿海诸河,象山港及三门湾,G020130,330226,宁海县,宁波市,1840.2,0.5801,0.046,0,0.6261,0,0.0297,0.0167,0,0.0902,0.0011,0.0094,0.1471,0,0.0587,0,0.1215,0.0554,0.2356,0.0013,0.0175,0.1112,0.1287,0.0009,0.2857,0.1467,0.4324,0,0.0283,0.008,0.0363,0,1.6062,0.0022,0.1224,1.7286,0,0,,,,
42,东南诸河,钱塘江,富春江坝址以下,曹娥江百官以上,G010240,330281,余姚市,宁波市,106.7,0.012,0.0019,0,0.0139,0,0.0039,0.0026,0,0,0.0005,0.0003,0.0073,0,,,0,0,0,0,0.001,0.0011,0.0021,0,0.0021,0.006,0.0081,0,0.0021,0.0011,0.0032,0,0.0346,0,,0.0346,0,0,,,,
43,东南诸河,浙东诸河,浙东沿海诸河,姚江,G020110,330281,余姚市,宁波市,1236.7,1.3607,0.1228,0,1.4835,0,0,0.0042,0,0.107,0.0005,0.0082,0.1199,0,0,0.044,0.3103,0.2398,0.5941,0.0013,0.0226,0.2889,0.3115,0.0001,0.5062,0.0978,0.604,0,0.0247,0.0114,0.0361,0,3.1491,0.0014,0.43,3.5791,0,0,,,,
44,东南诸河,浙东诸河,浙东沿海诸河,奉化江及甬江干流,G020120,330281,余姚市,宁波市,157.6,0.0598,0.0168,0,0.0766,0,0.0016,0.0023,0,0,0.0003,0.0003,0.0045,0,,,0,0,0,0,0.0011,0.0007,0.0018,0,0.0015,0.0053,0.0068,0,0.0026,0.0013,0.0039,0,0.0936,0,,0.0936,0,0,,,,
45,东南诸河,浙东诸河,浙东沿海诸河,姚江,G020110,330282,慈溪市,宁波市,1361,0.4514,0.3387,0,0.7901,0,0.0001,0.0112,0,0.1471,0.0003,0.0117,0.1704,0,0,0.0658,0.4183,0.332,0.8161,0.0001,0.0561,0.1819,0.238,0.0001,0.6076,0.1514,0.759,0,0.0475,0.0197,0.0672,0,2.8408,0.0002,1.48,4.3208,0,0,,,,
