序号,所属流域_一级,二级,三级,四级,四级编码,行政区_县区代码,县区名称,市,面积,人口（万人）_城镇,农村,合计,国内地区生产总值  （亿元）_一产,二产,三产,合计,工业增加值（亿元）_火核电工业,国有及规模以上一般工业,规模以下工业,合计,火(核)电装机(万kW)_直流式,循环式,总耕地面积      （万亩）,有效灌溉面积   （万亩）,农田实灌面积（万亩）_水田,水浇地,菜田,总计,粮食产量（万吨）,林牧渔面积（万亩）_林地灌溉,园地灌溉,草场灌溉,人工鱼塘,牲畜(万头)_大牲畜,小牲畜,合计,col_37,col_38,zjszyreport,12.0
29,东南诸河,浙东诸河,浙东沿海诸河,姚江,G020110,330203,海曙区,宁波市,47,0,0.31,0.31,0.1181,0,0,0.1181,0,0,0,0,0,0,0.87,0.3001,0.1661,0.0291,,0.1952,0.01,0.01,0,0,0,0,0,0,,,,
30,东南诸河,浙东诸河,浙东沿海诸河,奉化江及甬江干流,G020120,330203,海曙区,宁波市,547.7,90.64,13.18,103.82,16.0642,361.0777,823.9236,1201.0655,0,226.8549,56.3575,283.2124,0,10.1,19.15,14.8887,12.0642,2.5461,,14.6103,6.6177,0.65,0,0,0.2715,0.0202,2.1635,2.1837,,,,
31,东南诸河,浙东诸河,浙东沿海诸河,奉化江及甬江干流,G020120,330205,江北区,宁波市,207.6,40.59,8.3,48.89,8.6,204.6,453.5,666.7,0,150.53,16.48,167.01,0,0,8.67,8.67,7.48,1.19,,8.67,1.9817,0,0.908,0,0.096,0.31,1.04,1.35,,,,
32,东南诸河,浙东诸河,浙东沿海诸河,奉化江及甬江干流,G020120,330206,北仑区,宁波市,399.9,50.09,10.64,60.73,5.07,752.286,664.417,1421.773,34.858,659.193,17.354,711.405,500,90,7.6,5.683,3.321,2.362,,5.683,0.2008,0.3,0.78,0,0.0264,0.0235,1.7639,1.7874,,,,
33,东南诸河,浙东诸河,浙东沿海诸河,象山港及三门湾,G020130,330206,北仑区,宁波市,199.1,13.55,8.66,22.21,3.38,237.564,357.763,598.707,6.152,202.497,8.166,216.815,0,75,8.18,3.868,2.123,1.745,,3.868,0.1339,0.2,0.53,0,0.0102,0.0205,0.3682,0.3887,,,,
34,东南诸河,浙东诸河,浙东沿海诸河,奉化江及甬江干流,G020120,330211,镇海区,宁波市,245.7,45.9,5.14,51.04,6.53,657.62,365.92,1030.07,12.26,516.47,79.58,608.31,0,268.2,9,7.64,3.195,2.805,,6,1.8921,0.12,0.795,0,0.0637,0.07,0.68,0.75,,,,
35,东南诸河,浙东诸河,浙东沿海诸河,奉化江及甬江干流,G020120,330212,鄞州区,宁波市,560.3,117.62,23.59,141.21,18.59,558.59,1543.47,2120.65,1.68,360.18,88.22,450.08,0,3,19.67,16.44,12.916,1.079,,13.995,6.4102,0.555,1.06,0,0.23,0.027,1.085,1.112,,,,
36,东南诸河,浙东诸河,浙东沿海诸河,象山港及三门湾,G020130,330212,鄞州区,宁波市,253.7,14.73,5.02,19.75,8.53,50.35,86.57,145.45,0,19.12,8.41,27.53,0,0,6.87,4.74,3.519,0.909,,4.428,2.1204,0.12,0.04,0,0.14,0.013,0.545,0.558,,,,
37,东南诸河,浙东诸河,浙东沿海诸河,奉化江及甬江干流,G020120,330213,奉化区,宁波市,999.6,29.46,17.14,46.6,17.9,329.8,204.67,552.37,0,251.67,43,294.67,0,0,27.08,27.08,20.56,5.06,,25.62,5.1111,4.45,0.57,0,0.108,0.057,7.404,7.461,,,,
38,东南诸河,浙东诸河,浙东沿海诸河,象山港及三门湾,G020130,330213,奉化区,宁波市,268.4,5.2,5.95,11.15,14.8,82.5,36.1,133.4,0,62.92,10.73,73.65,0,0,7.64,7.64,5.54,1.35,,6.89,1.2778,2,0.33,0,0,0.023,5.216,5.239,,,,
39,东南诸河,浙东诸河,浙东沿海诸河,象山港及三门湾,G020130,330225,象山县,宁波市,1382,34.84,21.93,56.77,81.69,234.65,246.67,563.01,13.34,123.66,27.89,164.89,240,3.75,35.05,24.465,20.809,2.943,,23.752,7.2802,3.555,1.845,0,2.05,0.1,19.56,19.66,,,,
40,东南诸河,浙东诸河,浙东沿海诸河,奉化江及甬江干流,G020120,330226,宁海县,宁波市,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,,
41,东南诸河,浙东诸河,浙东沿海诸河,象山港及三门湾,G020130,330226,宁海县,宁波市,1840.2,43.8,25.8,69.6,48.2,354.7,319.6,722.5,28.66,200.89,77.04,306.59,452,0,50.61,26.78,19.664,4.86,,24.524,8.556,4.245,2.385,0,1.6395,0.32,12.83,13.15,,,,
42,东南诸河,钱塘江,富春江坝址以下,曹娥江百官以上,G010240,330281,余姚市,宁波市,106.7,0.38,1.29,1.67,0.1,0.59,1.32,2.01,0,0,0,0,0,0,1.93,1.93,0.4,0.27,,0.67,0.5103,0.7,0.47,0,0,0.131,0.489,0.62,,,,
43,东南诸河,浙东诸河,浙东沿海诸河,姚江,G020110,330281,余姚市,宁波市,1236.7,100.66,21.12,121.78,49.89,699.09,465.88,1214.86,2.29,469.23,185.23,656.75,0,87.16,54.28,54.28,35.62,15.426,,51.046,15.4136,0,0.7,0,2.547,0.187,18.8,18.987,,,,
44,东南诸河,浙东诸河,浙东沿海诸河,奉化江及甬江干流,G020120,330281,余姚市,宁波市,157.6,0.35,1.6,1.95,0.2,1.78,1.87,3.85,0,0,0,0,0,0,3.4,3.4,1.36,2,,3.36,1.2137,0.275,0.45,0,0,0.112,0.741,0.853,,,,
45,东南诸河,浙东诸河,浙东沿海诸河,姚江,G020110,330282,慈溪市,宁波市,1361,145.75,37.2,182.95,58.3848,1168.3741,781.5383,2008.2972,0.762,824.1826,258.879,1083.8236,0,12.7,67.14,55.48,12.2,42.15,,54.35,8.7082,0.02,1.5,0,2.4516,0.1,32.07,32.17,,,,
