序号,所属流域_一级,二级,三级,四级,四级编码,行政区_县区代码,县区名称,市,面积,地表水源供水量_蓄 水,引水,提水,跨流域调水_调入量,调出流域,非工程供水,小计,地下水源供水量_潜水,承压水,微咸水,小计,其他水源供水量_污水处理回用,雨  水 利  用,海 水淡 化,小计,总供水量,环境配水量,总计,海水 利用量,环境配水供水量明细表_蓄 水,引水,提水,调水,污水回用,小计,col_35,col_36,col_37,col_38,zjszyreport,12.0
1,长江,太湖水系,杭嘉湖平原,杭嘉湖平原,F120310,330102,上城区,杭州市,18,0,0,0.0544,0.7959,钱塘江,,0.8503,0,0.0001,,0.0001,0,0,,0,0.8504,1.962,2.8124,0,,,,1.962,,1.962,0.8504,,,,,
2,长江,太湖水系,杭嘉湖平原,杭嘉湖平原,F120310,330103,下城区,杭州市,31,0,0,0.0296,0.7215,钱塘江,,0.7511,0,0,,0,0,0,,0,0.7511,0,0.7511,0,,,,,,0,0.7511,,,,,
3,长江,太湖水系,杭嘉湖平原,杭嘉湖平原,F120310,330104,江干区,杭州市,105.3,0,0.0153,0.05,0.6456,钱塘江,,0.7109,0,0,,0,0.295,0,,0.295,1.0059,2.9354,3.9413,0,,,,2.9354,,2.9354,1.0059,,,,,
4,长江,太湖水系,杭嘉湖平原,杭嘉湖平原,F120310,330105,拱墅区,杭州市,88,0,0,0.0826,0.6986,钱塘江,,0.7812,0,0,,0,0,0,,0,0.7812,0,0.7812,0,,,,,,0,0.7812,,,,,
5,东南诸河,钱塘江,富春江坝址以下,萧绍平原,G010230,330108,滨江区,杭州市,73,0,0.0154,0.9734,0,,,0.9888,0,0,,0,0,0,,0,0.9888,0,0.9888,0,,,,,,0,0.9888,,,,,
6,东南诸河,钱塘江,富春江坝址以下,富春江下游段,G010210,330109,萧山区,杭州市,9,,,,,,,0,,0,,0,,,,0,0,0,0,0,,,,,,0,,,,,,
7,东南诸河,钱塘江,富春江坝址以下,浦阳江,G010220,330109,萧山区,杭州市,363.4,0,0.391,0.7651,,,,1.1561,,0,,0,,,,0,1.1561,0.0963,1.2524,0,,,0.0963,,,0.0963,,,,,,
8,东南诸河,钱塘江,富春江坝址以下,萧绍平原,G010230,330109,萧山区,杭州市,363.6,0,1.1065,2.5054,,,,3.6119,,0,,0,0.1517,,,0.1517,3.7636,8.8461,12.6097,0,,,8.8461,,,8.8461,,,,,,
9,长江,太湖水系,湖西及湖区,西苕溪及长兴平原,F120110,330110,余杭区,杭州市,13.5,0,0,0,,,,0,,0,,0,,,,0,0,0,0,0,,,,,,0,,,,,,
10,长江,太湖水系,湖西及湖区,东苕溪,F120120,330110,余杭区,杭州市,555.3,0.1702,0.3611,0.88,,,,1.4113,0.0001,0,,0.0001,,,,0,1.4114,0,1.4114,0,,,,,,0,,,,,,
11,长江,太湖水系,杭嘉湖平原,杭嘉湖平原,F120310,330110,余杭区,杭州市,653.2,0,0.7965,2.654,0.1994,杭州水务趸售,,3.6499,,0,,0,0.2501,,,0.2501,3.9,5.4782,9.3782,0,0,3.814,1.6642,,,5.4782,3.8999999999999995,,,,,
12,东南诸河,钱塘江,富春江坝址以下,富春江下游段,G010210,330111,富阳区,杭州市,1760.1,0.0245,1.255,1.8308,0,,,3.1103,0.0019,0,,0.0019,0.0603,0,,0.0603,3.1725,1.3562,4.5287,0,,,1.3562,,,1.3562,3.1724999999999994,,,,,
13,东南诸河,钱塘江,富春江坝址以下,浦阳江,G010220,330111,富阳区,杭州市,47.9,0,0.0096,0.0102,0,,,0.0198,0,0,,0,0,0,,0,0.0198,0,0.0198,0,,,,,,0,0.019799999999999998,,,,,
14,长江,太湖水系,湖西及湖区,东苕溪,F120120,330112,临安区,杭州市,845,0.5522,0.2686,0.2207,,,,1.0415,0.0003,0,,0.0003,0.0261,0,,0.0261,1.0679,0,1.0679,0,,,,,,0,,,,,,
15,东南诸河,钱塘江,富春江坝址以下,富春江下游段,G010210,330112,临安区,杭州市,2279,0.0437,0.6051,0.4093,,,,1.0581,0.0009,0,,0.0009,0,0,,0,1.059,0,1.059,0,,,,,,0,,,,,,
16,东南诸河,钱塘江,富春江坝址以上,兰江及富春江上游段,G010160,330122,桐庐县,杭州市,146.5,0,0.016,0.0068,0,,,0.0228,0,0,,0,0,0,,0,0.0228,0,0.0228,0,,,,,,0,0.0228,,,,,
17,东南诸河,钱塘江,富春江坝址以下,富春江下游段,G010210,330122,桐庐县,杭州市,1633.5,0.0668,0.7077,0.8134,0,,,1.5879,0.0083,0,,0.0083,0.0302,0.0004,,0.0306,1.6268,0,1.6268,0,,,,,,0,1.6267999999999998,,,,,
18,东南诸河,钱塘江,富春江坝址以上,衢江上游,G010110,330127,淳安县,杭州市,16.4,0.0006,0.0031,0,,,,0.0037,,0,,0,0,,,0,0.0037,0,0.0037,0,,,,,,0,,,,,,
19,东南诸河,钱塘江,富春江坝址以上,新安江,G010150,330127,淳安县,杭州市,4369.3,0.7858,0.4833,0.0149,,,,1.284,,0,,0,0.0136,,,0.0136,1.2976,0,1.2976,0,,,,,,0,,,,,,
20,东南诸河,钱塘江,富春江坝址以下,富春江下游段,G010210,330127,淳安县,杭州市,66.3,0.0027,0.0216,0,,,,0.0243,,0,,0,0,,,0,0.0243,0,0.0243,0,,,,,,0,,,,,,
21,长江,太湖水系,杭嘉湖平原,杭嘉湖平原,F120310,330142,西湖区,杭州市,115.9,0,0.0383,0.0179,0.9617,钱塘江,,1.0179,0,0,,0,0.1807,0,,0.1807,1.1986,0,1.1986,0,,,,,,0,1.1986,,,,,
22,东南诸河,钱塘江,富春江坝址以下,富春江下游段,G010210,330142,西湖区,杭州市,147.1,0,0.1748,0.3258,0,,,0.5006,0,0,,0,0,0,,0,0.5006,4.7975,5.2981,0,,,,4.7975,,4.7975,0.5005999999999999,,,,,
23,长江,太湖水系,杭嘉湖平原,杭嘉湖平原,F120310,330155,钱塘新区,杭州市,104.7,0,0,0,0.8444,钱塘江,,0.8444,0,0,,0,0.025,0,,0.025,0.8694,1.4135,2.2829,0,,,,1.4135,,1.4135,0.8694000000000001,,,,,
24,东南诸河,钱塘江,富春江坝址以下,萧绍平原,G010230,330155,钱塘新区,杭州市,427,0,1.1604,1.1522,,,,2.3126,0,0,,0,0.052,0,,0.052,2.3646,0,2.3646,0,,,,,,0,,,,,,
25,东南诸河,钱塘江,富春江坝址以上,衢江下游,G010120,330182,建德市,杭州市,78.3,0,0.0401,0.0327,,,,0.0728,,0,,0,,,,0,0.0728,0,0.0728,0,,,,,,0,,,,,,
26,东南诸河,钱塘江,富春江坝址以上,新安江,G010150,330182,建德市,杭州市,1326.1,0.4561,0.1727,0.7002,,,,1.329,0.0136,0.0001,,0.0137,0.031,,,0.031,1.3737,0,1.3737,0,,,,,,0,,,,,,
27,东南诸河,钱塘江,富春江坝址以上,兰江及富春江上游段,G010160,330182,建德市,杭州市,871.1,0.0084,0.243,0.1879,,,,0.4393,,0,,0,,,,0,0.4393,0,0.4393,0,,,,,,0,,,,,,
28,东南诸河,钱塘江,富春江坝址以下,富春江下游段,G010210,330182,建德市,杭州市,88.5,0,0.0121,0.0302,,,,0.0423,,0,,0,,,,0,0.0423,0,0.0423,0,,,,,,0,,,,,,
