序号,市,县（市、区）,水资源分区,nan,水资源利用分区,面积（km2）,人口（万人）,nan,nan,国内地区生产总值  （亿元）,nan,nan,nan,工业增加值（亿元）,nan,nan,nan,火(核)电装机(万kW),nan,总耕地面积      （万亩）,有效灌溉面积   （万亩）,农田实灌面积（万亩）,nan,nan,nan,粮食产量（万吨）,林牧渔面积（万亩）,nan,nan,nan,牲畜(万头),nan,nan,地表水源供水量,nan,nan,nan,nan,nan,nan,地下水源供水量,nan,nan,nan,其他水源供水量,nan,nan,nan,总供水量,环境配水量,农田灌溉用水量,nan,nan,nan,nan,林牧渔畜用水量,nan,nan,nan,nan,nan,nan,nan,工业用水量,nan,nan,nan,nan,nan,城镇公共用水量,nan,nan,nan,居民生活用水量,nan,nan,nan,生态与环境用水量,nan,nan,nan,总用水量,nan,环境配水量,总计,总用水量（核算）,总供水量（核算）,总供水-总用水,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,杭州市,上城区,杭嘉湖平原,杭嘉湖平原,1,18,35.77,0,35.77,0,411.54,780.52,1192.06,0,381.9,8.59,390.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0544,0.7959,钱塘江,0,0.8503,0,0.0001,0,0.0001,0,0,0,0,0.8504,1.962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2441,0.0055,0.2496,0.0001,0.0243,0.3486,0.3729,0,0.1966,0,0.1966,0,0.0313,0,0.0313,0,0.8504,0.0001,1.962,2.8124,0.8504,0.8503999999999999,0,,,,,,,,,,,,,,,,,,,,,,,
2,杭州市,下城区,杭嘉湖平原,杭嘉湖平原,1,31,48.58,0,48.58,0,46.85,1087.53,1134.38,0,13.25,3.15,16.4,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0296,0.7215,钱塘江,0,0.7511,0,0,0,0,0,0,0,0,0.7511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018,0.0043,0.0223,0,0.0296,0.3563,0.3859,0,0.3086,0,0.3086,0,0.0343,0,0.0343,0,0.7511,0,0,0.7511,0.7511,0.7511,0,,,,,,,,,,,,,,,,,,,,,,,
3,杭州市,江干区,杭嘉湖平原,杭嘉湖平原,1,105.3,96.58,0,96.58,0,140.15,886.39,1026.54,0,46.99,7.27,54.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0153,0.05,0.6456,钱塘江,0,0.7109,0,0,0,0,0.295,0,0,0.295,1.0059,2.9354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0251,0.0037,0.0288,0,0.0824,0.4229,0.5053,0,0.4226,0,0.4226,0,0.0492,0,0.0492,0,1.0059,0,2.9354,3.9413,1.0059,1.0059,0,,,,,,,,,,,,,,,,,,,,,,,
4,杭州市,拱墅区,杭嘉湖平原,杭嘉湖平原,1,88,63.51,0,63.51,0,125.4,543.2,668.6,9.31,77,9.34,95.65,0,241.5,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0826,0.6986,钱塘江,0,0.7812,0,0,0,0,0,0,0,0,0.7812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0464,0.0517,0.0058,0.1039,0,0.0535,0.2721,0.3256,0,0.3178,0,0.3178,0,0.0339,0,0.0339,0,0.7812,0,0,0.7812,0.7812000000000001,0.7812,0,,,,,,,,,,,,,,,,,,,,,,,
5,杭州市,西湖区,杭嘉湖平原,杭嘉湖平原,1,115.9,88.78,0.9,89.68,2.71,81.29,1052.12,1136.12,0,47.0442,4.1033,51.1475,0,0,1.51,0.91,0.56,0.02,0.34,0.92,0.06,0,0,0,0.14,0,0,0,0,0.0383,0.0179,0.9617,钱塘江,0,1.0179,0,0,0,0,0.1807,0,0,0.1807,1.1986,0,0.029,0.0003,0.0024,0.0317,0,0,0,0,0.017,0,0,0.017,0,0,0,0.0399,0.0048,0.0447,0,0.0515,0.6268,0.6783,0,0.4016,0.0037,0.4053,0,0.0216,0,0.0216,0,1.1986,0,0,1.1986,1.1986,1.1986,0,,,,,,,,,,,,,,,,,,,,,,,
6,杭州市,西湖区,富春江坝址以下,富春江下游段,1,147.1,19.3,2.32,21.62,1.24,35.57,460.54,497.35,0,25.3158,3.1667,28.4825,0,0,3.86,3.13,2.22,0.21,0.55,2.98,0.06,1.81,0,0,0.39,0,0,0,0,0.1748,0.3258,0,,0,0.5006,0,0,0,0,0,0,0,0,0.5006,4.7975,0.1073,0.0035,0.0085,0.1193,0,0.0284,0,0,0.0461,0,0,0.0745,0,0,0,0.0222,0.0032,0.0254,0,0.0623,0.0869,0.1492,0,0.0895,0.0092,0.0987,0,0.0335,0,0.0335,0,0.5006,0,4.7975,5.2981,0.5006,0.5006,0,,,,,,,,,,,,,,,,,,,,,,,
7,杭州市,滨江区,富春江坝址以下,萧绍平原,2,73,50.39,0,50.39,0.64,809,936.11,1745.75,0,704.17,89.98,794.15,0,0,0.22,0.22,0,0,0.3,0.3,0.1,0,0,0,0.09,0,0,0,0,0.0154,0.9734,0,,0,0.9888,0,0,0,0,0,0,0,0,0.9888,0,0,0,0.0058,0.0058,0,0,0,0,0.007,0,0,0.007,0,0,0,0.2537,0.0314,0.2851,0,0.1868,0.2198,0.4066,0,0.2497,0,0.2497,0,0.0346,0,0.0346,0,0.9888,0,0,0.9888,0.9888,0.9888,0,,,,,,,,,,,,,,,,,,,,,,,
8,杭州市,萧山区,富春江坝址以下,浦阳江,2,363.4,22.27,13.87,36.14,13.2,217.5,51.61,282.31,3.17,168.5334,12.1583,183.8617,0,125,16.8,6.9885,7.4313,0,0.2836,7.7149,2.41,0,1.54,0,3.53,0,23.88,23.88,0,0.391,0.7651,0,,0,1.1561,0,0,0,0,0,0,0,0,1.1561,0.0963,0.315,0,0.004,0.319,0,0,0.0231,0,0.2157,0,0.011,0.2498,0,0,0.0247,0.1884,0.0693,0.2824,0,0.0306,0.0571,0.0877,0,0.1187,0.0644,0.1831,0,0.0221,0.012,0.0341,0,1.1561,0,0.0963,1.2524,1.1561,1.1561,0,,,,,,,,,,,,,,,,,,,,,,,
9,杭州市,萧山区,富春江坝址以下,萧绍平原,2,363.6,140.26,24.77,165.03,44.67,475.88,1025.61,1546.16,5.83,330.9966,97.4617,434.2883,0,17.2,36.95,28.8155,26.6393,0,0.9758,27.6151,4.59,0,0.9,0,4.02,0.025,45.84,45.865,0,1.1065,2.5054,0,,0,3.6119,0,0,0,0,0.1517,0,0,0.1517,3.7636,8.8461,1.135,0,0.0138,1.1488,0,0,0.0135,0,0.2451,0.0001,0.0211,0.2798,0,0,0.0454,0.795,0.1321,0.9725,0,0.1752,0.251,0.4262,0,0.7137,0.1076,0.8213,0,0.0949,0.0201,0.115,0,3.7636,0,8.8461,12.6097,3.7636000000000003,3.7636,0,,,,,,,,,,,,,,,,,,,,,,,
10,杭州市,萧山区,富春江坝址以下,富春江下游段,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
11,杭州市,余杭区,湖西及湖区,西苕溪及长兴平原,1,13.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
12,杭州市,余杭区,湖西及湖区,东苕溪,1,555.3,45.91,12.72,58.63,13.62,174.65,599.12,787.39,0,113.01,29.6,142.61,0,0,14.02,11.62,8.48,1.31,1.82,11.61,3.24,0,1.07,0,1.59,0.03,30.49,30.52,0.1702,0.3611,0.88,0,,0,1.4113,0.0001,0,0,0.0001,0,0,0,0,1.4114,0,0.3891,0.0183,0.031,0.4384,0,0,0.0155,0,0.1052,0.0001,0.0198,0.1406,0,0,0,0.1229,0.0273,0.1502,0.0001,0.046,0.2334,0.2794,0,0.239,0.0568,0.2958,0,0.0973,0.0097,0.107,0,1.4114,0.0001,0,1.4114,1.4114,1.4114,0,,,,,,,,,,,,,,,,,,,,,,,
13,杭州市,余杭区,杭嘉湖平原,杭嘉湖平原,1,653.2,148.37,33.25,181.62,39,502.28,1722.94,2264.22,0.06,393.75,89.78,483.59,0,11.2,34.9,28.72,24.65,2.1,1.98,28.73,8.01,8.52,0.57,0,5.82,0,24.35,24.35,0,0.7965,2.654,0.1994,杭州水务趸售,0,3.6499,0,0,0,0,0.2501,0,0,0.2501,3.9,5.4782,1.0725,0.0283,0.0345,1.1353,0,0.088,0.0087,0,0.3904,0,0.016,0.5031,0,0,0.0009,0.4281,0.0746,0.5036,0,0.1178,0.623,0.7408,0,0.7318,0.1508,0.8826,0,0.1075,0.0271,0.1346,0,3.9,0,5.4782,9.3782,3.9,3.9000000000000004,0,,,,,,,,,,,,,,,,,,,,,,,
14,杭州市,富阳区,富春江坝址以下,富春江下游段,3,1760.1,58.27,23.53,81.8,49.21,343.17,415.32,807.7,2.45,235.75,57.7976,295.9976,0,10.85,36.66,33.69,31.94,1.04,0.72,33.7,9.67,0.18,0.45,0,2.91,0.32,77.63,77.95,0.0245,1.255,1.8308,0,,0,3.1103,0.0019,0,0,0.0019,0.0603,0,0,0.0603,3.1725,1.3562,1.2878,0.0119,0.0106,1.3103,0,0.0022,0.0056,0,0.3254,0.0013,0.0484,0.3829,0,0,0.039,0.309,0.1359,0.4839,0.0019,0.1634,0.1638,0.3272,0,0.3149,0.1072,0.4221,0,0.1678,0.0783,0.2461,0,3.1725,0.0019,1.3562,4.5287,3.1725000000000003,3.1725,0,,,,,,,,,,,,,,,,,,,,,,,
15,杭州市,富阳区,富春江坝址以下,浦阳江,3,47.9,0.15,1.25,1.4,0.3,1.85,2.21,4.36,0,0,0.7824,0.7824,0,0,0.37,0.3,0.14,0.13,0.02,0.29,0.13,0,0,0,0,0,0,0,0,0.0096,0.0102,0,,0,0.0198,0,0,0,0,0,0,0,0,0.0198,0,0.007,0.0006,0.0001,0.0077,0,0,0,0,0,0,0,0,0,0,0,0,0.0042,0.0042,0,0,0.0012,0.0012,0,0.0009,0.0058,0.0067,0,0,0,0,0,0.0198,0,0,0.0198,0.0198,0.0198,0,,,,,,,,,,,,,,,,,,,,,,,
16,杭州市,临安区,湖西及湖区,东苕溪,1,845,28.93,10.99,39.92,25.66,156.3,153.14,335.1,0.8552,158.4493,19.2529,178.5574,0,1.35,15.24,10.42,7.88,0.47,0.64,8.99,1.3,0.29,0.3,0,0.085,0.09,8.8209,8.9109,0.5522,0.2686,0.2207,0,,0,1.0415,0.0003,0,0,0.0003,0.0261,0,0,0.0261,1.0679,0,0.3391,0.0066,0.0102,0.3559,0,0.0029,0.0035,0,0.0066,0.0003,0.0027,0.016,0,0,0.0066,0.1061,0.0246,0.1373,0.0003,0.0915,0.1508,0.2423,0,0.1599,0.0505,0.2104,0,0.073,0.033,0.106,0,1.0679,0.0003,0,1.0679,1.0679,1.0679,0,,,,,,,,,,,,,,,,,,,,,,,
17,杭州市,临安区,富春江坝址以下,富春江下游段,1,2279,8.7,14.83,23.53,20.35,123.75,121.21,265.31,0,24.9207,32.8619,57.7826,0,0,28.14,19.46,15.64,1.04,1.21,17.89,2.6,0.25,0.27,0,0.085,0.12,25.1291,25.2491,0.0437,0.6051,0.4093,0,,0,1.0581,0.0009,0,0,0.0009,0,0,0,0,1.059,0,0.6801,0.0145,0.0191,0.7137,0,0.0024,0.0029,0,0.0087,0.0004,0.0083,0.0227,0,0,0,0.0219,0.0135,0.0354,0,0.0314,0.0599,0.0913,0.0009,0.0526,0.0743,0.1269,0,0.049,0.02,0.069,0,1.059,0.0009,0,1.059,1.0590000000000002,1.059,0,,,,,,,,,,,,,,,,,,,,,,,
18,杭州市,桐庐县,富春江坝址以上,兰江及富春江上游段,3,146.5,0,0.31,0.31,0.3,1.72,1.97,3.99,0,0,0.2693,0.2693,0,0,0.6,0.4499,0.29,0.09,0.0601,0.4401,0.09,0.04,0,0,0.01,0,0,0,0,0.016,0.0068,0,,0,0.0228,0,0,0,0,0,0,0,0,0.0228,0,0.0121,0.0013,0.0011,0.0145,0,0.0005,0,0,0.0012,0,0,0.0017,0,0,0,0,0.0012,0.0012,0,0.0012,0.0027,0.0039,0,0,0.0015,0.0015,0,0,0,0,0,0.0228,0,0,0.0228,0.0228,0.0228,0,,,,,,,,,,,,,,,,,,,,,,,
