序号,所属流域_一级,二级,三级,四级,四级编码,行政区_县区代码,县区名称,市,面积,农田灌溉用水量_水田,旱地,菜田,小计,其中地下水,林牧渔畜用水量_林地灌溉,园地灌溉,草场灌溉,鱼塘补水,大牲畜用水量,小牲畜用水量,小计,其中地下水,工业用水量_火（核）电_直流式,循环式,国有及规模以上,规模以下,小计,其  中       地下水,城镇公共用水量_建筑业,服务业,小计,其中地下水,居民生活用水量_城镇居民,农村居民,小计,其  中地下水,生态与环境用水量_城镇环境,农村生态,小计,其  中地下水,总用水量_合计,其中地下水,环境配水量,总计,地表水用-供 检查,地下水用-供 检查,col_47,col_48,zjszyreport,12.0
1,长江,太湖水系,杭嘉湖平原,杭嘉湖平原,F120310,330102,上城区,杭州市,18,0,0,0,0,,0,0,0,0,0,0,0,,,,0.2441,0.0055,0.2496,0.0001,0.0243,0.3486,0.3729,,0.1966,0,0.1966,0,0.0313,0,0.0313,,0.8504,0.0001,1.962,2.8124,0,0,,,,
2,长江,太湖水系,杭嘉湖平原,杭嘉湖平原,F120310,330103,下城区,杭州市,31,0,0,0,0,,0,0,0,0,0,0,0,,,,0.018,0.0043,0.0223,,0.0296,0.3563,0.3859,,0.3086,0,0.3086,,0.0343,0,0.0343,,0.7511,0,,0.7511,0,0,,,,
3,长江,太湖水系,杭嘉湖平原,杭嘉湖平原,F120310,330104,江干区,杭州市,105.3,0,0,0,0,,0,0,0,0,0,0,0,,,,0.0251,0.0037,0.0288,,0.0824,0.4229,0.5053,,0.4226,0,0.4226,,0.0492,0,0.0492,,1.0059,0,2.9354,3.9413,0,0,,,,
4,长江,太湖水系,杭嘉湖平原,杭嘉湖平原,F120310,330105,拱墅区,杭州市,88,0,0,0,0,,0,0,0,0,0,0,0,,0,0.0464,0.0517,0.0058,0.1039,,0.0535,0.2721,0.3256,,0.3178,0,0.3178,,0.0339,0,0.0339,,0.7812,0,,0.7812,0,0,,,,
5,东南诸河,钱塘江,富春江坝址以下,萧绍平原,G010230,330108,滨江区,杭州市,73,0,0,0.0058,0.0058,,0,0,0,0.007,0,0,0.007,,,,0.2537,0.0314,0.2851,,0.1868,0.2198,0.4066,,0.2497,0,0.2497,,0.0346,0,0.0346,,0.9888,0,,0.9888,0,0,,,,
6,东南诸河,钱塘江,富春江坝址以下,富春江下游段,G010210,330109,萧山区,杭州市,9,0,0,0,0,,,0,,0,,0,0,,,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,0,0,0,,,,
7,东南诸河,钱塘江,富春江坝址以下,浦阳江,G010220,330109,萧山区,杭州市,363.4,0.315,0,0.004,0.319,,,0.0231,,0.2157,,0.011,0.2498,,0,0.0247,0.1884,0.0693,0.2824,,0.0306,0.0571,0.0877,,0.1187,0.0644,0.1831,,0.0221,0.012,0.0341,,1.1561,0,0.0963,1.2524,0,0,,,,
8,东南诸河,钱塘江,富春江坝址以下,萧绍平原,G010230,330109,萧山区,杭州市,363.6,1.135,0,0.0138,1.1488,,,0.0135,,0.2451,0.0001,0.0211,0.2798,,0,0.0454,0.795,0.1321,0.9725,,0.1752,0.251,0.4262,,0.7137,0.1076,0.8213,,0.0949,0.0201,0.115,,3.7636,0,8.8461,12.6097,0,0,,,,
9,长江,太湖水系,湖西及湖区,西苕溪及长兴平原,F120110,330110,余杭区,杭州市,13.5,0,0,0,0,,0,0,0,0,0,0,0,,,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,0,0,0,,,,
10,长江,太湖水系,湖西及湖区,东苕溪,F120120,330110,余杭区,杭州市,555.3,0.3891,0.0183,0.031,0.4384,,0,0.0155,0,0.1052,0.0001,0.0198,0.1406,,,,0.1229,0.0273,0.1502,0.0001,0.046,0.2334,0.2794,,0.239,0.0568,0.2958,,0.0973,0.0097,0.107,,1.4114,0.0001,,1.4114,0,0,,,,
