序号,所属流域_一级,二级,三级,四级,四级编码,行政区_县区代码,县区名称,市,面积,人口（万人）_城镇,农村,合计,国内地区生产总值  （亿元）_一产,二产,三产,合计,工业增加值（亿元）_火核电工业,国有及规模以上一般工业,规模以下工业,合计,火(核)电装机(万kW)_直流式,循环式,总耕地面积      （万亩）,有效灌溉面积   （万亩）,农田实灌面积（万亩）_水田,水浇地,菜田,总计,粮食产量（万吨）,林牧渔面积（万亩）_林地灌溉,园地灌溉,草场灌溉,人工鱼塘,牲畜(万头)_大牲畜,小牲畜,合计,col_37,col_38,zjszyreport,12.0
1,长江,太湖水系,杭嘉湖平原,杭嘉湖平原,F120310,330102,上城区,杭州市,18,35.77,,35.77,0,411.54,780.52,1192.06,,381.9,8.59,390.49,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2,长江,太湖水系,杭嘉湖平原,杭嘉湖平原,F120310,330103,下城区,杭州市,31,48.58,,48.58,0,46.85,1087.53,1134.38,,13.25,3.15,16.4,,,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
3,长江,太湖水系,杭嘉湖平原,杭嘉湖平原,F120310,330104,江干区,杭州市,105.3,96.58,,96.58,0,140.15,886.39,1026.54,,46.99,7.27,54.26,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
4,长江,太湖水系,杭嘉湖平原,杭嘉湖平原,F120310,330105,拱墅区,杭州市,88,63.51,,63.51,0,125.4,543.2,668.6,9.31,77,9.34,95.65,0,241.5,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
5,东南诸河,钱塘江,富春江坝址以下,萧绍平原,G010230,330108,滨江区,杭州市,73,50.39,,50.39,0.64,809,936.11,1745.75,,704.17,89.98,794.15,,,0.22,0.22,0,0,0.3,0.3,0.1,0,0,0,0.09,0,0,0,,,,
6,东南诸河,钱塘江,富春江坝址以下,富春江下游段,G010210,330109,萧山区,杭州市,9,0,0,0,0,0,0,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
7,东南诸河,钱塘江,富春江坝址以下,浦阳江,G010220,330109,萧山区,杭州市,363.4,22.27,13.87,36.14,13.2,217.5,51.61,282.31,3.17,168.5334,12.1583,183.8617,0,125,16.8,6.9885,7.4313,0,0.2836,7.7149,2.41,0,1.54,0,3.53,0,23.88,23.88,,,,
8,东南诸河,钱塘江,富春江坝址以下,萧绍平原,G010230,330109,萧山区,杭州市,363.6,140.26,24.77,165.03,44.67,475.88,1025.61,1546.16,5.83,330.9966,97.4617,434.2883,0,17.2,36.95,28.8155,26.6393,0,0.9758,27.6151,4.59,0,0.9,0,4.02,0.025,45.84,45.865,,,,
9,长江,太湖水系,湖西及湖区,西苕溪及长兴平原,F120110,330110,余杭区,杭州市,13.5,0,0,0,0,0,0,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
10,长江,太湖水系,湖西及湖区,东苕溪,F120120,330110,余杭区,杭州市,555.3,45.91,12.72,58.63,13.62,174.65,599.12,787.39,,113.01,29.6,142.61,0,0,14.02,11.62,8.48,1.31,1.82,11.61,3.24,0,1.07,0,1.59,0.03,30.49,30.52,,,,
11,长江,太湖水系,杭嘉湖平原,杭嘉湖平原,F120310,330110,余杭区,杭州市,653.2,148.37,33.25,181.62,39,502.28,1722.94,2264.22,0.06,393.75,89.78,483.59,0,11.2,34.9,28.72,24.65,2.1,1.98,28.73,8.01,8.52,0.57,0,5.82,0,24.35,24.35,,,,
