序号,所属流域_一级,二级,三级,四级,四级编码,行政区_县区代码,县区名称,市,面积,地表水源供水量_蓄 水,引水,提水,跨流域调水_调入量,调出流域,非工程供水,小计,地下水源供水量_潜水,承压水,微咸水,小计,其他水源供水量_污水处理回用,雨  水 利  用,海 水淡 化,小计,总供水量,环境配水量,总计,海水 利用量,环境配水供水量明细表_蓄 水,引水,提水,调水,污水回用,小计,col_35,col_36,col_37,col_38,zjszyreport,12.0
46,东南诸河,浙南诸河,瓯江温溪以下,瓯江下游干流,G030270,330302,鹿城区,温州市,289.9,1.3236,0.3125,0.2617,,,,1.8978,0,0,,0,,,,0,1.8978,1.0566,2.9544,0,0.4032,,0.6534,,,1.0566,,,,,,
47,东南诸河,浙南诸河,瓯江温溪以下,瓯江下游干流,G030270,330303,龙湾区,温州市,332.8,0.966,0.2896,0.196,,,,1.4516,0,0,,0,,,,0,1.4516,0.5448,1.9964,0.0548,0.2571,,0.2877,,,0.5448,,,,,,
48,东南诸河,浙南诸河,瓯江温溪以下,瓯江下游干流,G030270,330304,瓯海区,温州市,461.4,1.3563,0.126,0.2153,,,,1.6976,0,0,,0,,,,0,1.6976,1.31,3.0076,0,0.4382,,0.8718,,,1.31,,,,,,
49,东南诸河,浙南诸河,瓯江温溪以下,飞云江,G030280,330304,瓯海区,温州市,1.9,,,,,,,0,0,0,,0,,,,0,0,0,0,0,,,,,,0,,,,,,
50,东南诸河,浙南诸河,瓯江温溪以下,瓯江下游干流,G030270,330305,洞头区,温州市,231,0.029,0.0965,0.0176,,,,0.1431,0,0,,0,,,,0,0.1431,0,0.1431,0,,,,,,0,,,,,,
51,东南诸河,浙南诸河,瓯江温溪以下,永安溪,G030210,330324,永嘉县,温州市,6.9,,,,,,,0,0,0,,0,,,,0,0,0,0,0,,,,,,0,,,,,,
52,东南诸河,浙南诸河,瓯江温溪以下,温黄平原,G030240,330324,永嘉县,温州市,2.8,,,,,,,0,0,0,,0,,,,0,0,0,0,0,,,,,,0,,,,,,
53,东南诸河,浙南诸河,瓯江温溪以下,楠溪江,G030260,330324,永嘉县,温州市,2272.3,0.5881,0.4432,0.1092,,,,1.1405,0.0102,0,,0.0102,,,,0,1.1507,0,1.1507,0,,,,,,0,,,,,,
54,东南诸河,浙南诸河,瓯江温溪以下,瓯江下游干流,G030270,330324,永嘉县,温州市,395,0.1177,0.1133,0.1084,,,,0.3394,0.0052,0,,0.0052,,,,0,0.3446,0,0.3446,0,,,,,,0,,,,,,
55,东南诸河,浙南诸河,瓯江温溪以下,飞云江,G030280,330326,平阳县,温州市,209.7,0.1552,0.2465,0.1002,,,,0.5019,0.001,0,,0.001,,,,0,0.5029,0,0.5029,0,,,,,,0,,,,,,
56,东南诸河,浙南诸河,瓯江温溪以下,鳌江,G030290,330326,平阳县,温州市,832.3,0.5825,0.4348,0.3732,,,,1.3905,0.006,0,,0.006,,,,0,1.3965,0,1.3965,0,,,,,,0,,,,,,
57,东南诸河,浙南诸河,瓯江温溪以下,鳌江,G030290,330327,苍南县,温州市,956.31,0.8168,0.2295,0.0226,,,,1.0689,0.0019,0,,0.0019,,,,0,1.0708,0,1.0708,0,,,,,,0,,,,,,
58,东南诸河,闽东诸河,闽东诸河,闽东诸河,G040100,330327,苍南县,温州市,112.7,0.0513,0.0555,,,,,0.1068,0.0005,0,,0.0005,0,,,0,0.1073,0,0.1073,0,,,,,,0,,,,,,
59,东南诸河,浙南诸河,瓯江温溪以上,小溪及瓯江青田段,G030120,330328,文成县,温州市,104.9,0.0056,,,,,,0.0056,0,0,,0,,,,0,0.0056,0,0.0056,0,,,,,,0,,,,,,
60,东南诸河,浙南诸河,瓯江温溪以下,飞云江,G030280,330328,文成县,温州市,1170.4,0.3478,0.1466,0.0046,,,,0.499,0,0,,0,,,,0,0.499,0,0.499,0,,,,,,0,,,,,,
61,东南诸河,浙南诸河,瓯江温溪以下,鳌江,G030290,330328,文成县,温州市,20.7,,,,,,,0,0,0,,0,,,,0,0,0,0,0,,,,,,0,,,,,,
62,东南诸河,浙南诸河,瓯江温溪以下,飞云江,G030280,330329,泰顺县,温州市,863.3,0.1136,0.0684,0.0058,,,,0.1878,0.0009,0,,0.0009,,,,0,0.1887,0,0.1887,0,,,,,,0,,,,,,
63,东南诸河,浙南诸河,瓯江温溪以下,鳌江,G030290,330329,泰顺县,温州市,36.6,0.0064,0.003,,,,,0.0094,0,0,,0,,,,0,0.0094,0,0.0094,0,,,,,,0,,,,,,
64,东南诸河,闽东诸河,闽东诸河,闽东诸河,G040100,330329,泰顺县,温州市,868.1,0.1661,0.0893,0.0053,,,,0.2607,0,0,,0,,,,0,0.2607,0,0.2607,0,,,,,,0,,,,,,
65,东南诸河,浙南诸河,瓯江温溪以下,飞云江,G030280,330381,瑞安市,温州市,1340.9,1.7372,0.0609,0.7043,,,,2.5024,0,0,,0,,,,0,2.5024,1.3832,3.8856,0,1.18,,0.2032,,,1.3832,,,,,,
66,东南诸河,浙南诸河,瓯江温溪以下,鳌江,G030290,330381,瑞安市,温州市,9.1,,,,,,,0,0,0,,0,,,,0,0,0,0,0,,,,,,0,,,,,,
67,东南诸河,浙南诸河,瓯江温溪以下,楠溪江,G030260,330382,乐清市,温州市,30.9,,,,,,,0,0,0,,0,,,,0,0,0,0,0,,,,,,0,,,,,,
