序号,所属流域_一级,二级,三级,四级,四级编码,行政区_县区代码,县区名称,市,面积,农田灌溉用水量_水田,旱地,菜田,小计,其中地下水,林牧渔畜用水量_林地灌溉,园地灌溉,草场灌溉,鱼塘补水,大牲畜用水量,小牲畜用水量,小计,其中地下水,工业用水量_火（核）电_直流式,循环式,国有及规模以上,规模以下,小计,其  中       地下水,城镇公共用水量_建筑业,服务业,小计,其中地下水,居民生活用水量_城镇居民,农村居民,小计,其  中地下水,生态与环境用水量_城镇环境,农村生态,小计,其  中地下水,总用水量_合计,其中地下水,环境配水量,总计,地表水用-供 检查,地下水用-供 检查,col_47,col_48,zjszyreport,12.0
46,东南诸河,浙南诸河,瓯江温溪以下,瓯江下游干流,G030270,330302,鹿城区,温州市,289.9,0.203,,0.0112,0.2142,,,0.0018,,,0.0001,0.0004,0.0023,,0,0.0025,0.1196,0.15,0.2721,,0.184,0.275,0.459,,0.6202,0.052,0.6722,,0.278,,0.278,,1.8978,0,1.0566,2.9544,0,0,,,,
47,东南诸河,浙南诸河,瓯江温溪以下,瓯江下游干流,G030270,330303,龙湾区,温州市,332.8,0.1857,,0.001,0.1867,,,,,,0.0003,0.0013,0.0016,,0.0012,0,0.113,0.256,0.3702,,0.15,0.1715,0.3215,,0.3681,0.0005,0.3686,,0.203,,0.203,,1.4516,0,0.5448,1.9964,0,0,,,,
48,东南诸河,浙南诸河,瓯江温溪以下,瓯江下游干流,G030270,330304,瓯海区,温州市,461.4,0.3144,,0.0234,0.3378,,0.0005,0.0007,,0.0015,0.0002,0.0009,0.0038,,,,0.12,0.175,0.295,,0.15,0.205,0.355,,0.43,0.072,0.502,,0.204,,0.204,,1.6976,0,1.31,3.0076,0,0,,,,
49,东南诸河,浙南诸河,瓯江温溪以下,飞云江,G030280,330304,瓯海区,温州市,1.9,,,0,0,,,,,,,,0,,,,,,0,,,,0,,,,0,,,,0,,0,0,,0,0,0,,,,
50,东南诸河,浙南诸河,瓯江温溪以下,瓯江下游干流,G030270,330305,洞头区,温州市,231,0.0039,,0.0007,0.0046,,,0.0001,,,,0.0002,0.0003,,,,0.0122,0.011,0.0232,,0.0128,0.0297,0.0425,,0.0301,0.0214,0.0515,,0.014,0.007,0.021,,0.1431,0,,0.1431,0,0,,,,
51,东南诸河,浙南诸河,瓯江温溪以下,永安溪,G030210,330324,永嘉县,温州市,6.9,,,0,0,,,,,,,,0,,,,,,0,,,,0,,,,0,,,,0,,0,0,,0,0,0,,,,
52,东南诸河,浙南诸河,瓯江温溪以下,温黄平原,G030240,330324,永嘉县,温州市,2.8,,,0,0,,,,,,,,0,,,,,,0,,,,0,,,,0,,,,0,,0,0,,0,0,0,,,,
53,东南诸河,浙南诸河,瓯江温溪以下,楠溪江,G030260,330324,永嘉县,温州市,2272.3,0.5837,,0.0308,0.6145,0.0075,,,,0.0036,0.0023,0.0048,0.0107,,0,0.0019,0.0977,0.1246,0.2242,0.0011,0.0142,0.0571,0.0713,,0.1206,0.0978,0.2184,0.0016,0.0067,0.0049,0.0116,,1.1507,0.0102,,1.1507,0,0,,,,
54,东南诸河,浙南诸河,瓯江温溪以下,瓯江下游干流,G030270,330324,永嘉县,温州市,395,0.1085,,0.0037,0.1122,0.0008,,,,,0.0008,0.0047,0.0055,,,,0.0101,0.0159,0.026,0.0036,0.02,0.0674,0.0874,,0.0703,0.0308,0.1011,0.0008,0.0097,0.0027,0.0124,,0.3446,0.0052,,0.3446,0,0,,,,
55,东南诸河,浙南诸河,瓯江温溪以下,飞云江,G030280,330326,平阳县,温州市,209.7,0.186,,0.0007,0.1867,,0.0002,0.0002,,,0.0002,0.002,0.0026,,,,0.0341,0.0531,0.0872,,0.0289,0.0646,0.0935,,0.0722,0.0407,0.1129,0.001,0.02,,0.02,,0.5029,0.001,,0.5029,0,0,,,,
56,东南诸河,浙南诸河,瓯江温溪以下,鳌江,G030290,330326,平阳县,温州市,832.3,0.6138,,0.0025,0.6163,,0.0014,0.0013,0.005,0.0315,0.001,0.0023,0.0425,,0,0.0049,0.098,0.1726,0.2755,0.001,0.051,0.1025,0.1535,,0.1889,0.099,0.2879,0.005,0.0208,,0.0208,,1.3965,0.006,,1.3965,0,0,,,,
57,东南诸河,浙南诸河,瓯江温溪以下,鳌江,G030290,330327,苍南县,温州市,956.31,0.587,,0.006,0.593,,0.0075,0.0057,,0.0136,0.0007,0.0044,0.0319,,,,0.0181,0.0634,0.0815,,0.009,0.0523,0.0613,,0.2135,0.0745,0.288,0.0019,0.009,0.0061,0.0151,,1.0708,0.0019,,1.0708,0,0,,,,
58,东南诸河,闽东诸河,闽东诸河,闽东诸河,G040100,330327,苍南县,温州市,112.7,0.045,,0.0035,0.0485,,0.0015,0.001,,,0.0002,0.001,0.0037,,,,0.0027,0.0041,0.0068,,0.001,0.0061,0.0071,,0.0142,0.0221,0.0363,0.0005,0.0009,0.004,0.0049,,0.1073,0.0005,,0.1073,0,0,,,,
59,东南诸河,浙南诸河,瓯江温溪以上,小溪及瓯江青田段,G030120,330328,文成县,温州市,104.9,0.0048,,0,0.0048,,,0,,,0,0,0,,,,,,0,,0,0,0,,0,0.0008,0.0008,,0,,0,,0.0056,0,,0.0056,0,0,,,,
60,东南诸河,浙南诸河,瓯江温溪以下,飞云江,G030280,330328,文成县,温州市,1170.4,0.321,,0.0221,0.3431,,,0.0045,,,0.0004,0.0011,0.006,,,,0.0119,0.0145,0.0264,,0.0065,0.0243,0.0308,,0.0421,0.0468,0.0889,,0.0038,,0.0038,,0.499,0,,0.499,0,0,,,,
61,东南诸河,浙南诸河,瓯江温溪以下,鳌江,G030290,330328,文成县,温州市,20.7,0,,0,0,,,0,,,0,0,0,,,,,,0,,0,0,0,,0,0,0,,0,,0,,0,0,,0,0,0,,,,
62,东南诸河,浙南诸河,瓯江温溪以下,飞云江,G030280,330329,泰顺县,温州市,863.3,0.1215,,0.0036,0.1251,,,0.0008,,,0.0003,0.0016,0.0027,,,,0.0074,0.0055,0.0129,,0.0044,0.0041,0.0085,0.0009,0.0186,0.0199,0.0385,,0.001,,0.001,,0.1887,0.0009,,0.1887,0,0,,,,
63,东南诸河,浙南诸河,瓯江温溪以下,鳌江,G030290,330329,泰顺县,温州市,36.6,0.0069,,0.0001,0.007,,,,,,,0.0001,0.0001,,,,,,0,,0.0003,0.0003,0.0006,,0.0009,0.0008,0.0017,,,,0,,0.0094,0,,0.0094,0,0,,,,
64,东南诸河,闽东诸河,闽东诸河,闽东诸河,G040100,330329,泰顺县,温州市,868.1,0.1802,,0.0071,0.1873,,,0.0004,,,0.0003,0.0017,0.0024,,,,0.0071,0.0088,0.0159,,0.0054,0.0058,0.0112,,0.0224,0.0205,0.0429,,0.001,,0.001,,0.2607,0,,0.2607,0,0,,,,
65,东南诸河,浙南诸河,瓯江温溪以下,飞云江,G030280,330381,瑞安市,温州市,1340.9,0.6405,0.1442,0.0205,0.8052,,0.0161,0.0158,,0.0412,0.0016,0.0044,0.0791,,0,0.008,0.2438,0.2531,0.5049,,0.0354,0.1157,0.1511,,0.4431,0.19,0.6331,,0.329,,0.329,,2.5024,0,1.3832,3.8856,0,0,,,,
66,东南诸河,浙南诸河,瓯江温溪以下,鳌江,G030290,330381,瑞安市,温州市,9.1,0,,0,0,,0,,,,0,0,0,,,,,,0,,0,0,0,,0,0,0,,0,,0,,0,0,,0,0,0,,,,
67,东南诸河,浙南诸河,瓯江温溪以下,楠溪江,G030260,330382,乐清市,温州市,30.9,,,0,0,,,,,,,,0,,,,,,0,,,,0,,,,0,,,,0,,0,0,,0,0,0,,,,
