序号,所属流域_一级,二级,三级,四级,四级编码,行政区_县区代码,县区名称,市,面积,地表水源供水量_蓄 水,引水,提水,跨流域调水_调入量,调出流域,非工程供水,小计,地下水源供水量_潜水,承压水,微咸水,小计,其他水源供水量_污水处理回用,雨  水 利  用,海 水淡 化,小计,总供水量,环境配水量,总计,海水 利用量,环境配水供水量明细表_蓄 水,引水,提水,调水,污水回用,小计,col_35,col_36,col_37,col_38,zjszyreport,12.0
79,长江,太湖水系,湖西及湖区,西苕溪及长兴平原,F120110,330502,吴兴区,湖州市,173.2,0.157,0.0118,0.1799,0,0.0000,0,0.3487,0,0,0,0,0,0,0,0,0.3487,0.6411,0.9898,0,,,0.6411,,,0.6411,0.3487,,,,,
80,长江,太湖水系,湖西及湖区,东苕溪,F120120,330502,吴兴区,湖州市,360,0.0752,0.0259,0.3971,0,0.0000,0,0.4982,0,0,0,0,0,0,0,0,0.4982,0,0.4982,0,,,,,,0,0.4982,,,,,
81,长江,太湖水系,湖西及湖区,太湖区,F120130,330502,吴兴区,湖州市,2,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0.0,,,,,
82,长江,太湖水系,杭嘉湖平原,杭嘉湖平原,F120310,330502,吴兴区,湖州市,327.8,0.6989,0,0.9486,0,0.0000,0,1.6475,0,0,0,0,0.008,0,0,0.008,1.6555,0,1.6555,0,,,,,,0,1.6555,,,,,
83,长江,太湖水系,杭嘉湖平原,杭嘉湖平原,F120310,330503,南浔区,湖州市,702,0,0,2.5235,0,0.0000,0,2.5235,0,0,0,0,0.0194,0,0,0.0194,2.5429,0,2.5429,0,0,0,0,0,0,0,2.5429,,,,,
84,长江,太湖水系,湖西及湖区,东苕溪,F120120,330521,德清县,湖州市,536.5,0.5458,0.0652,0.1838,0,0.0000,0,0.7948,0,0,0,0,0.0028,0,0,0.0028,0.7976,0,0.7976,0,,,,,,0,0.7976,,,,,
85,长江,太湖水系,杭嘉湖平原,杭嘉湖平原,F120310,330521,德清县,湖州市,401.5,0.1473,0,1.4991,0,0.0000,0,1.6464,0,0,0,0,0.0059,0,0,0.0059,1.6523,0,1.6523,0,,,,,,0,1.6523,,,,,
86,长江,太湖水系,湖西及湖区,西苕溪及长兴平原,F120110,330522,长兴县,湖州市,1428,0.6717,0.1252,1.7139,0,0.0000,0,2.5108,0.0007,0,0,0.0007,0.4914,0,0,0.4914,3.0029,0,3.0029,0,0,0,0,0,0,0,3.0029,,,,,
87,长江,太湖水系,湖西及湖区,太湖区,F120130,330522,长兴县,湖州市,3,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,
88,长江,太湖水系,湖西及湖区,西苕溪及长兴平原,F120110,330523,安吉县,湖州市,1815.4,1.1028,0.259,0.5013,0,0.0000,0,1.8631,0,0,0,0,0.0219,0,0,0.0219,1.885,0,1.885,0,0,0,0,0,0,0,1.8850000000000002,,,,,
89,长江,太湖水系,湖西及湖区,东苕溪,F120120,330523,安吉县,湖州市,70.6,0,0,0.056,0,0.0000,0,0.056,0,0,0,0,0,0,0,0,0.056,0,0.056,0,0,0,0,0,0,0,0.056,,,,,
