序号,市,县（市、区）,水资源分区,nan,水资源利用分区,面积（km2）,人口（万人）,nan,nan,国内地区生产总值  （亿元）,nan,nan,nan,工业增加值（亿元）,nan,nan,nan,火(核)电装机(万kW),nan,总耕地面积      （万亩）,有效灌溉面积   （万亩）,农田实灌面积（万亩）,nan,nan,nan,粮食产量（万吨）,林牧渔面积（万亩）,nan,nan,nan,牲畜(万头),nan,nan,地表水源供水量,nan,nan,nan,nan,nan,nan,地下水源供水量,nan,nan,nan,其他水源供水量,nan,nan,nan,总供水量,环境配水量,农田灌溉用水量,nan,nan,nan,nan,林牧渔畜用水量,nan,nan,nan,nan,nan,nan,nan,工业用水量,nan,nan,nan,nan,nan,城镇公共用水量,nan,nan,nan,居民生活用水量,nan,nan,nan,生态与环境用水量,nan,nan,nan,总用水量,nan,环境配水量,总计,总用水量（核算）,总供水量（核算）,总供水-总用水,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
79,湖州市,吴兴区,湖西及湖区,西苕溪及长兴平原,1,173.2,15.801,5.9197,21.7207,2.78,96.8,132.6,232.18,0.83,48.79,51.66,101.28,0,2.7,3.44,3.44,2.14,0.63,0.49,3.26,0.86,1.13,0,0,0.57,0.0867,6.1809,6.2676,0.157,0.0118,0.1799,0,,0,0.3487,0,0,0,0,0,0,0,0,0.3487,0.6411,0.0882,0.0046,0.009,0.1018,0,0.0027,0,0,0.0346,0.0003,0.0023,0.0399,0,0,0.0189,0.0241,0.0088,0.0518,0,0.004,0.0485,0.0525,0,0.0711,0.0257,0.0968,0,0.0043,0.0016,0.0059,0,0.3487,0,0.6411,0.9898,0.3487,0.3487,0,,,,,,,,,,,,,,,,,,,,,,,
80,湖州市,吴兴区,湖西及湖区,东苕溪,1,360,10.5307,2.8299,13.3606,6.05,46.41,63.56,116.02,0,13.41,14.23,27.64,0,0,7.47,7.47,4.69,1.35,1.04,7.08,1.9,0.52,0,0,1.17,0.0433,3.1191,3.1624,0.0752,0.0259,0.3971,0,,0,0.4982,0,0,0,0,0,0,0,0,0.4982,0,0.1916,0.0098,0.0187,0.2201,0,0.0052,0,0,0.0692,0,0.0019,0.0763,0,0,0,0.0523,0.0188,0.0711,0,0.008,0.0539,0.0619,0,0.0474,0.01,0.0574,0,0.0084,0.003,0.0114,0,0.4982,0,0,0.4982,0.49820000000000003,0.4982,0,,,,,,,,,,,,,,,,,,,,,,,
81,湖州市,吴兴区,湖西及湖区,太湖区,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
82,湖州市,吴兴区,杭嘉湖平原,杭嘉湖平原,1,327.8,51.3432,15.1692,66.5124,15.07,304.29,334.04,653.4,1.66,113.21,133.31,248.18,0,5.5,19.84,19.84,12.04,2.35,4.41,18.8,5.24,0.41,0,0,3.51,0,4.59,4.59,0.6989,0,0.9486,0,,0,1.6475,0,0,0,0,0.008,0,0,0.008,1.6555,0,0.4927,0.0171,0.0796,0.5894,0,0.0018,0,0,0.2426,0,0.0023,0.2467,0,0,0.0093,0.1921,0.0733,0.2747,0,0.0196,0.1551,0.1747,0,0.2386,0.0682,0.3068,0,0.048,0.0152,0.0632,0,1.6555,0,0,1.6555,1.6555,1.6555,0,,,,,,,,,,,,,,,,,,,,,,,
83,湖州市,南浔区,杭嘉湖平原,杭嘉湖平原,1,702,30.7204,23.5685,54.2889,26.7,270.7,170.4,467.8,4.84,150.86,97.4,253.1,0,32.65,52.29,52.29,35.3,2.01,3.96,41.27,11.03,0.83,0,0,6.18,0.0573,18.57,18.6273,0,0,2.5235,0,,0,2.5235,0,0,0,0,0.0194,0,0,0.0194,2.5429,0,1.2121,0.0104,0.0527,1.2752,0,0.0016,0,0,0.3739,0.0001,0.0049,0.3805,0,0,0.0403,0.2087,0.1161,0.3651,0,0.023,0.1046,0.1276,0,0.1973,0.1065,0.3038,0,0.0687,0.022,0.0907,0,2.5429,0,0,2.5429,2.5429,2.5429,0,,,,,,,,,,,,,,,,,,,,,,,
84,湖州市,德清市,湖西及湖区,东苕溪,1,536.5,11.8275,7.0614,18.8889,8.11,103.18,91.52,202.81,0.16,69.6,28.47,98.23,0,2.93,12.13,12.08,10.12,0,0.28,10.4,1.18,2.02,0,0,2.07,0,2.45,2.45,0.5458,0.0652,0.1838,0,,0,0.7948,0,0,0,0,0.0028,0,0,0.0028,0.7976,0,0.4085,0,0.0045,0.413,0,0.0084,0,0,0.1153,0,0.0012,0.1249,0,0,0.0063,0.0704,0.034,0.1107,0,0.0059,0.0517,0.0576,0,0.0542,0.0285,0.0827,0,0.0079,0.0008,0.0087,0,0.7976,0,0,0.7976,0.7976,0.7976,0,,,,,,,,,,,,,,,,,,,,,,,
85,湖州市,德清市,杭嘉湖平原,杭嘉湖平原,1,401.5,22.2853,13.6826,35.9679,16.89,202.22,122.28,341.39,6.39,121.46,52.83,180.68,0,27.14,23.94,23.83,19.35,0.4,0.74,20.49,3.33,0.76,0,0,4.25,0.0206,5.5,5.5206,0.1473,0,1.4991,0,,0,1.6464,0,0,0,0,0.0059,0,0,0.0059,1.6523,0,0.7816,0.0026,0.0122,0.7964,0,0.0032,0,0,0.2386,0.0001,0.0028,0.2447,0,0,0.0704,0.1801,0.102,0.3525,0,0.0087,0.077,0.0857,0,0.1041,0.0548,0.1589,0,0.013,0.0011,0.0141,0,1.6523,0,0,1.6523,1.6522999999999999,1.6523,0,,,,,,,,,,,,,,,,,,,,,,,
86,湖州市,长兴县,湖西及湖区,西苕溪及长兴平原,1,1428,43.0311,24.3465,67.3776,36.9,347.5,318.1,702.5,19.36,217.24,77.4,314,0,432,70.34,50.36,38.73,0.54,9.51,48.78,20.23,6.16,0,0,3.87,0,19.64,19.64,0.6717,0.1252,1.7139,0,,0,2.5108,0.0007,0,0,0.0007,0.4914,0,0,0.4914,3.0029,0,1.4497,0.0034,0.1474,1.6005,0,0.0288,0,0,0.2497,0,0.0058,0.2843,0,0,0.2109,0.2043,0.135,0.5502,0.0007,0.0608,0.1266,0.1874,0,0.2431,0.1116,0.3547,0,0.0163,0.0095,0.0258,0,3.0029,0.0007,0,3.0029,3.0029,3.0029000000000003,0,,,,,,,,,,,,,,,,,,,,,,,
87,湖州市,长兴县,湖西及湖区,太湖区,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
88,湖州市,安吉县,湖西及湖区,西苕溪及长兴平原,1,1815.4,33.578,22.823,56.401,27.22,210.68,236.43,474.33,0.96,181.89,12.91,195.76,0,15.8,47.33,31.82,23.02,4.88,1.11,29.01,7.78,1.62,0,0,2.51,0.0034,11.3483,11.3517,1.1028,0.259,0.5013,0,,0,1.8631,0,0,0,0,0.0219,0,0,0.0219,1.885,0,0.8533,0.0287,0.0182,0.9002,0,0.0069,0,0,0.1867,0,0.0025,0.1961,0,0,0.0031,0.2688,0.0301,0.302,0,0.0727,0.1182,0.1909,0,0.172,0.0955,0.2675,0,0.0209,0.0074,0.0283,0,1.885,0,0,1.885,1.8850000000000002,1.885,0,,,,,,,,,,,,,,,,,,,,,,,
