序号,所属流域_一级,二级,三级,四级,四级编码,行政区_县区代码,县区名称,市,面积,农田灌溉用水量_水田,旱地,菜田,小计,其中地下水,林牧渔畜用水量_林地灌溉,园地灌溉,草场灌溉,鱼塘补水,大牲畜用水量,小牲畜用水量,小计,其中地下水,工业用水量_火（核）电_直流式,循环式,国有及规模以上,规模以下,小计,其  中       地下水,城镇公共用水量_建筑业,服务业,小计,其中地下水,居民生活用水量_城镇居民,农村居民,小计,其  中地下水,生态与环境用水量_城镇环境,农村生态,小计,其  中地下水,总用水量_合计,其中地下水,环境配水量,总计,地表水用-供 检查,地下水用-供 检查,col_47,col_48,zjszyreport,12.0
79,长江,太湖水系,湖西及湖区,西苕溪及长兴平原,F120110,330502,吴兴区,湖州市,173.2,0.0882,0.0046,0.009,0.1018,0,0.0027,0,0,0.0346,0.0003,0.0023,0.0399,0,0,0.0189,0.0241,0.0088,0.0518,0,0.004,0.0485,0.0525,0,0.0711,0.0257,0.0968,0,0.0043,0.0016,0.0059,0,0.3487,0,0.6411,0.9898,0,0,,,,
80,长江,太湖水系,湖西及湖区,东苕溪,F120120,330502,吴兴区,湖州市,360,0.1916,0.0098,0.0187,0.2201,0,0.0052,0,0,0.0692,0,0.0019,0.0763,0,,,0.0523,0.0188,0.0711,0,0.008,0.0539,0.0619,0,0.0474,0.01,0.0574,0,0.0084,0.003,0.0114,0,0.4982,0,,0.4982,0,0,,,,
81,长江,太湖水系,湖西及湖区,太湖区,F120130,330502,吴兴区,湖州市,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,,
82,长江,太湖水系,杭嘉湖平原,杭嘉湖平原,F120310,330502,吴兴区,湖州市,327.8,0.4927,0.0171,0.0796,0.5894,0,0.0018,0,0,0.2426,0,0.0023,0.2467,0,0,0.0093,0.1921,0.0733,0.2747,0,0.0196,0.1551,0.1747,0,0.2386,0.0682,0.3068,0,0.048,0.0152,0.0632,0,1.6555,0,,1.6555,0,0,,,,
83,长江,太湖水系,杭嘉湖平原,杭嘉湖平原,F120310,330503,南浔区,湖州市,702,1.2121,0.0104,0.0527,1.2752,0,0.0016,0,0,0.3739,0.0001,0.0049,0.3805,0,0,0.0403,0.2087,0.1161,0.3651,0,0.023,0.1046,0.1276,0,0.1973,0.1065,0.3038,0,0.0687,0.022,0.0907,0,2.5429,0,,2.5429,0,0,,,,
84,长江,太湖水系,湖西及湖区,东苕溪,F120120,330521,德清县,湖州市,536.5,0.4085,0,0.0045,0.413,0,0.0084,0,0,0.1153,0,0.0012,0.1249,0,0,0.0063,0.0704,0.034,0.1107,0,0.0059,0.0517,0.0576,0,0.0542,0.0285,0.0827,0,0.0079,0.0008,0.0087,0,0.7976,0,,0.7976,0,0,,,,
85,长江,太湖水系,杭嘉湖平原,杭嘉湖平原,F120310,330521,德清县,湖州市,401.5,0.7816,0.0026,0.0122,0.7964,0,0.0032,0,0,0.2386,0.0001,0.0028,0.2447,0,0,0.0704,0.1801,0.102,0.3525,0,0.0087,0.077,0.0857,0,0.1041,0.0548,0.1589,0,0.013,0.0011,0.0141,0,1.6523,0,,1.6523,0,0,,,,
86,长江,太湖水系,湖西及湖区,西苕溪及长兴平原,F120110,330522,长兴县,湖州市,1428,1.4497,0.0034,0.1474,1.6005,0,0.0288,0,0,0.2497,0,0.0058,0.2843,0,0,0.2109,0.2043,0.135,0.5502,0.0007,0.0608,0.1266,0.1874,0,0.2431,0.1116,0.3547,0,0.0163,0.0095,0.0258,0,3.0029,0.0007,,3.0029,0,0,,,,
87,长江,太湖水系,湖西及湖区,太湖区,F120130,330522,长兴县,湖州市,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,,
88,长江,太湖水系,湖西及湖区,西苕溪及长兴平原,F120110,330523,安吉县,湖州市,1815.4,0.8533,0.0287,0.0182,0.9002,0,0.0069,0,0,0.1867,0,0.0025,0.1961,0,0,0.0031,0.2688,0.0301,0.302,0,0.0727,0.1182,0.1909,0,0.172,0.0955,0.2675,0,0.0209,0.0074,0.0283,0,1.885,0,,1.885,0,0,,,,
89,长江,太湖水系,湖西及湖区,东苕溪,F120120,330523,安吉县,湖州市,70.6,0.0347,0.0012,0.0007,0.0366,0,0.0002,0,0,0.006,0,0.0001,0.0063,0,,,0.0005,0.0008,0.0013,0,0.0011,0.0005,0.0016,0,0.0056,0.0032,0.0088,0,0.001,0.0004,0.0014,0,0.056,0,,0.056,0,0,,,,
