序号,所属流域_一级,二级,三级,四级,四级编码,行政区_县区代码,县区名称,市,面积,人口（万人）_城镇,农村,合计,国内地区生产总值  （亿元）_一产,二产,三产,合计,工业增加值（亿元）_火核电工业,国有及规模以上一般工业,规模以下工业,合计,火(核)电装机(万kW)_直流式,循环式,总耕地面积      （万亩）,有效灌溉面积   （万亩）,农田实灌面积（万亩）_水田,水浇地,菜田,总计,粮食产量（万吨）,林牧渔面积（万亩）_林地灌溉,园地灌溉,草场灌溉,人工鱼塘,牲畜(万头)_大牲畜,小牲畜,合计,col_37,col_38,zjszyreport,12.0
79,长江,太湖水系,湖西及湖区,西苕溪及长兴平原,F120110,330502,吴兴区,湖州市,173.2,15.801,5.9197,21.7207,2.78,96.8,132.6,232.18,0.83,48.79,51.66,101.28,0,2.7,3.44,3.44,2.14,0.63,0.49,3.26,0.86,1.13,0,0,0.57,0.0867,6.1809,6.2676,,,,
80,长江,太湖水系,湖西及湖区,东苕溪,F120120,330502,吴兴区,湖州市,360,10.5307,2.8299,13.3606,6.05,46.41,63.56,116.02,0,13.41,14.23,27.64,0,0,7.47,7.47,4.69,1.35,1.04,7.08,1.9,0.52,0,0,1.17,0.0433,3.1191,3.1624,,,,
81,长江,太湖水系,湖西及湖区,太湖区,F120130,330502,吴兴区,湖州市,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
82,长江,太湖水系,杭嘉湖平原,杭嘉湖平原,F120310,330502,吴兴区,湖州市,327.8,51.3432,15.1692,66.5124,15.07,304.29,334.04,653.4,1.66,113.21,133.31,248.18,0,5.5,19.84,19.84,12.04,2.35,4.41,18.8,5.24,0.41,0,0,3.51,0,4.59,4.59,,,,
83,长江,太湖水系,杭嘉湖平原,杭嘉湖平原,F120310,330503,南浔区,湖州市,702,30.7204,23.5685,54.2889,26.7,270.7,170.4,467.8,4.84,150.86,97.4,253.1,0,32.65,52.29,52.29,35.3,2.01,3.96,41.27,11.03,0.83,0,0,6.18,0.0573,18.57,18.6273,,,,
84,长江,太湖水系,湖西及湖区,东苕溪,F120120,330521,德清县,湖州市,536.5,11.8275,7.0614,18.8889,8.11,103.18,91.52,202.81,0.16,69.6,28.47,98.23,0,2.93,12.13,12.08,10.12,0,0.28,10.4,1.18,2.02,0,0,2.07,0,2.45,2.45,,,,
85,长江,太湖水系,杭嘉湖平原,杭嘉湖平原,F120310,330521,德清县,湖州市,401.5,22.2853,13.6826,35.9679,16.89,202.22,122.28,341.39,6.39,121.46,52.83,180.68,0,27.14,23.94,23.83,19.35,0.4,0.74,20.49,3.33,0.76,0,0,4.25,0.0206,5.5,5.5206,,,,
86,长江,太湖水系,湖西及湖区,西苕溪及长兴平原,F120110,330522,长兴县,湖州市,1428,43.0311,24.3465,67.3776,36.9,347.5,318.1,702.5,19.36,217.24,77.4,314,0,432,70.34,50.36,38.73,0.54,9.51,48.78,20.23,6.16,0,0,3.87,0,19.64,19.64,,,,
87,长江,太湖水系,湖西及湖区,太湖区,F120130,330522,长兴县,湖州市,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
88,长江,太湖水系,湖西及湖区,西苕溪及长兴平原,F120110,330523,安吉县,湖州市,1815.4,33.578,22.823,56.401,27.22,210.68,236.43,474.33,0.96,181.89,12.91,195.76,0,15.8,47.33,31.82,23.02,4.88,1.11,29.01,7.78,1.62,0,0,2.51,0.0034,11.3483,11.3517,,,,
89,长江,太湖水系,湖西及湖区,东苕溪,F120120,330523,安吉县,湖州市,70.6,1.9399,0.3,2.2399,0.78,5.62,6.27,12.67,0,0.55,0.29,0.84,0,0,1.02,1.3735,0.76,0.36,0.107,1.227,0.32,0.06,0,0,0.55,0,0.4717,0.4717,,,,
