序号,所属流域_一级,二级,三级,四级,四级编码,行政区_县区代码,县区名称,市,面积,地表水源供水量_蓄 水,引水,提水,跨流域调水_调入量,调出流域,非工程供水,小计,地下水源供水量_潜水,承压水,微咸水,小计,其他水源供水量_污水处理回用,雨  水 利  用,海 水淡 化,小计,总供水量,环境配水量,总计,海水 利用量,环境配水供水量明细表_蓄 水,引水,提水,调水,污水回用,小计,col_35,col_36,col_37,col_38,zjszyreport,12.0
90,东南诸河,钱塘江,富春江坝址以下,萧绍平原,G010230,330602,越城区,绍兴市,493,1.1985,0.4325,0.4575,0,,,2.0885,0.0072,0,,0.0072,0.0591,,,0.0591,2.1548,1.8,3.9548,0,,1.8,,,,1.8,2.1548,,,,,
91,东南诸河,钱塘江,富春江坝址以下,浦阳江,G010220,330603,柯桥区,绍兴市,19.7,0.0137,0.0036,0.0075,,,,0.0248,0.0003,0,,0.0003,,,,0,0.0251,0,0.0251,0,,,,,,0,,,,,,
92,东南诸河,钱塘江,富春江坝址以下,萧绍平原,G010230,330603,柯桥区,绍兴市,758.3,1.4189,0.8263,1.6293,,,,3.8745,0.0016,0,,0.0016,0.0503,,,0.0503,3.9264,0,3.9264,0,,,,,,0,,,,,,
93,东南诸河,钱塘江,富春江坝址以下,曹娥江百官以上,G010240,330603,柯桥区,绍兴市,288,0.1335,0.0789,0.1137,,,,0.3261,0.0082,0,,0.0082,0.0306,,,0.0306,0.3649,0,0.3649,0,,,,,,0,,,,,,
94,东南诸河,钱塘江,富春江坝址以下,萧绍平原,G010230,330604,上虞区,绍兴市,135.9,0.1353,0.1843,0.2111,,,,0.5307,0.0004,0,,0.0004,0.0101,,,0.0101,0.5412,0,0.5412,0,,,,,,0,,,,,,
95,东南诸河,钱塘江,富春江坝址以下,曹娥江百官以上,G010240,330604,上虞区,绍兴市,533.4,0.2122,0.0379,0.2253,0.0449,,,0.5203,0.0056,0,,0.0056,0.0258,,,0.0258,0.5517,0,0.5517,0,,,,,,0,0.5517000000000001,,,,,
96,东南诸河,浙东诸河,浙东沿海诸河,姚江,G020110,330604,上虞区,绍兴市,736.7,0.6733,1.3114,0.0531,,,,2.0378,0.0022,0,,0.0022,0.0514,,,0.0514,2.0914,0,2.0914,0,,,,,,0,,,,,,
97,东南诸河,钱塘江,富春江坝址以下,曹娥江百官以上,G010240,330624,新昌县,绍兴市,1207.6,0.7406,0.2428,0.2843,,,,1.2677,0.0068,0,,0.0068,0.0443,,,0.0443,1.3188,0,1.3188,0,,,,,,0,,,,,,
98,东南诸河,浙东诸河,浙东沿海诸河,奉化江及甬江干流,G020120,330624,新昌县,绍兴市,2,,,,,,,0,,0,,0,,,,0,0,0,0,0,,,,,,0,,,,,,
99,东南诸河,浙南诸河,瓯江温溪以下,始丰溪,G030220,330624,新昌县,绍兴市,4.4,,,,,,,0,,0,,0,,,,0,0,0,0,0,,,,,,0,,,,,,
100,东南诸河,钱塘江,富春江坝址以上,金华江上游,G010130,330681,诸暨市,绍兴市,11.5,,,,,,,0,,0,,0,,,,0,0,0,0,0,,,,,,0,,,,,,
101,东南诸河,钱塘江,富春江坝址以下,富春江下游段,G010210,330681,诸暨市,绍兴市,114.4,0.0156,0.0385,0.002,,,,0.0561,,0,,0,,,,0,0.0561,0,0.0561,0,,,,,,0,,,,,,
102,东南诸河,钱塘江,富春江坝址以下,浦阳江,G010220,330681,诸暨市,绍兴市,2185.1,1.1509,2.2135,0.5243,,,,3.8887,0.0086,0,,0.0086,0.1019,,,0.1019,3.9992,0,3.9992,0,,,,,,0,,,,,,
103,东南诸河,钱塘江,富春江坝址以下,曹娥江百官以上,G010240,330683,嵊州市,绍兴市,1779.2,0.7133,1.3898,0.1321,,,,2.2352,0.0265,0,,0.0265,0.0612,,,0.0612,2.3229,0,2.3229,0,,,,,,0,,,,,,
104,东南诸河,浙东诸河,浙东沿海诸河,奉化江及甬江干流,G020120,330683,嵊州市,绍兴市,9.8,,,,,,,0,,0,,0,,,,0,0,0,0,0,,,,,,0,,,,,,
