序号,市,县（市、区）,水资源分区,nan,水资源利用分区,面积（km2）,人口（万人）,nan,nan,国内地区生产总值  （亿元）,nan,nan,nan,工业增加值（亿元）,nan,nan,nan,火(核)电装机(万kW),nan,总耕地面积      （万亩）,有效灌溉面积   （万亩）,农田实灌面积（万亩）,nan,nan,nan,粮食产量（万吨）,林牧渔面积（万亩）,nan,nan,nan,牲畜(万头),nan,nan,地表水源供水量,nan,nan,nan,nan,nan,nan,地下水源供水量,nan,nan,nan,其他水源供水量,nan,nan,nan,总供水量,环境配水量,农田灌溉用水量,nan,nan,nan,nan,林牧渔畜用水量,nan,nan,nan,nan,nan,nan,nan,工业用水量,nan,nan,nan,nan,nan,城镇公共用水量,nan,nan,nan,居民生活用水量,nan,nan,nan,生态与环境用水量,nan,nan,nan,总用水量,nan,环境配水量,总计,总用水量（核算）,总供水量（核算）,总供水-总用水,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
90,绍兴市,越城区,富春江坝址以下,萧绍平原,2,493,86.087,15.9167,102.0037,13.087,360.9062,634.5274,1008.5206,4.9415,217.1506,49.4285,271.5206,1.8,4.8,18.27,15,11.85,0,2.45,14.3,7.1,3.15,1.61,0,1.1,0,62.15,62.15,1.1985,0.4325,0.4575,0,,0,2.0885,0.0072,0,0,0.0072,0.0591,0,0,0.0591,2.1548,1.8,0.5121,0,0.0181,0.5302,0.0008,0.0284,0.0129,0,0.131,0,0.0216,0.1939,0,0.0147,0.0448,0.5315,0.1083,0.6993,0.0021,0.0929,0.1049,0.1978,0.0012,0.4138,0.0693,0.4831,0.0031,0.041,0.0095,0.0505,0,2.1548,0.0072,1.8,3.9548,2.1548,2.1548,0,,,,,,,,,,,,,,,,,,,,,,,
91,绍兴市,柯桥区,富春江坝址以下,浦阳江,2,19.7,0.6211,0.2688,0.8899,0.3584,1.257,2.543,4.1584,0,1.2159,0.7814,1.9973,0,0,0.33,0.25,0.22,0,0.03,0.25,0.02,0,0,0,0.01,0,0.15,0.15,0.0137,0.0036,0.0075,0,,0,0.0248,0.0003,0,0,0.0003,0,0,0,0,0.0251,0,0.0106,0,0.0004,0.011,0,0,0,0,0.0007,0,0.0001,0.0008,0,0,0,0.0015,0.0001,0.0016,0,0.0025,0.0049,0.0074,0,0.0028,0.001,0.0038,0.0003,0.0004,0.0001,0.0005,0,0.0251,0.0003,0,0.0251,0.0251,0.0251,0,,,,,,,,,,,,,,,,,,,,,,,
92,绍兴市,柯桥区,富春江坝址以下,萧绍平原,2,758.3,76.8245,15.0877,91.9122,30.0109,717.2549,731.5351,1478.8009,22.3742,535.7844,53.1173,611.2759,0,130.5,18.78,15.37,13.27,0,2.1,15.37,10.5,0,1.2,0,1.08,0.03,5.23,5.26,1.4189,0.8263,1.6293,0,,0,3.8745,0.0016,0,0,0.0016,0.0503,0,0,0.0503,3.9264,0,0.592,0,0.0199,0.6119,0.0003,0,0.0096,0,0.1759,0.0001,0.0019,0.1875,0,0,0.3852,1.4918,0.1971,2.0741,0.0005,0.1901,0.2522,0.4423,0,0.3966,0.068,0.4646,0.0008,0.1207,0.0253,0.146,0,3.9264,0.0016,0,3.9264,3.9263999999999997,3.9263999999999997,0,,,,,,,,,,,,,,,,,,,,,,,
93,绍兴市,柯桥区,富春江坝址以下,曹娥江百官以上,2,288,12.8605,4.2233,17.0838,8.3215,15.4238,10.0258,33.7711,0,6.0578,1.1246,7.1824,0,0,7.97,5.95,3.59,0,2.36,5.95,1.1,0.27,0,0,0.01,0,1.32,1.32,0.1335,0.0789,0.1137,0,,0,0.3261,0.0082,0,0,0.0082,0.0306,0,0,0.0306,0.3649,0,0.1537,0,0.0234,0.1771,0,0.0024,0,0,0.0006,0,0.0005,0.0035,0,0,0,0.0152,0.0019,0.0171,0,0.0455,0.0344,0.0799,0,0.0596,0.0158,0.0754,0.0082,0.0109,0.001,0.0119,0,0.3649,0.0082,0,0.3649,0.3649,0.3649,0,,,,,,,,,,,,,,,,,,,,,,,
94,绍兴市,上虞区,富春江坝址以下,萧绍平原,2,135.9,10.9009,4.6005,15.5014,6.5227,70.0538,105.3895,181.966,2.8878,107.2751,17.1554,127.3183,4.5,0,11.85,7.95,6.69,0.78,0.48,7.95,3.5,0.02,0.02,0,0.4,0.03,4.98,5.01,0.1353,0.1843,0.2111,0,,0,0.5307,0.0004,0,0,0.0004,0.0101,0,0,0.0101,0.5412,0,0.1927,0.0089,0.0063,0.2079,0.0004,0.0003,0.0001,0,0.0524,0.0001,0.0016,0.0545,0,0.0237,0,0.0614,0.0561,0.1412,0,0.0217,0.0371,0.0588,0,0.0519,0.0198,0.0717,0,0.0061,0.001,0.0071,0,0.5412,0.0004,0,0.5412,0.5412,0.5411999999999999,0,,,,,,,,,,,,,,,,,,,,,,,
95,绍兴市,上虞区,富春江坝址以下,曹娥江百官以上,2,533.4,5.5412,9.8866,15.4278,17.5675,117.3427,40.4387,175.3489,0,27.5097,17.1371,44.6468,0,0,14.04,10.38,8.91,1.07,0.4,10.38,5.7,0.05,0.04,0,0.8,0.29,8.45,8.74,0.2122,0.0379,0.2253,0.0449,,0,0.5203,0.0056,0,0,0.0056,0.0258,0,0,0.0258,0.5517,0,0.3021,0.0154,0.0054,0.3229,0.0036,0.0005,0.0004,0,0.0899,0.0011,0.0032,0.0951,0,0,0,0.0218,0.0287,0.0505,0.0019,0.0018,0.0134,0.0152,0,0.0285,0.0387,0.0672,0.0001,0.0007,0.0001,0.0008,0,0.5517,0.0056,0,0.5517,0.5517000000000001,0.5517000000000001,0,,,,,,,,,,,,,,,,,,,,,,,
96,绍兴市,上虞区,浙东沿海诸河,姚江,2,736.7,40.4728,12.5727,53.0455,28.0508,327.1825,331.2706,686.5039,8.1943,157.3489,88.8154,254.3586,3.6,7.8,38.74,31.5,14.65,15.49,1.36,31.5,13.6,0.08,0.04,0,1.9,0.06,26.45,26.51,0.6733,1.3114,0.0531,0,,0,2.0378,0.0022,0,0,0.0022,0.0514,0,0,0.0514,2.0914,0,0.6959,0.2814,0.0168,0.9941,0.0006,0.0006,0.0005,0,0.2612,0.0002,0.0095,0.272,0,0.0195,0.056,0.2265,0.071,0.373,0.0002,0.0364,0.0808,0.1172,0,0.2066,0.0604,0.267,0.0014,0.0586,0.0095,0.0681,0,2.0914,0.0022,0,2.0914,2.0913999999999997,2.0914,0,,,,,,,,,,,,,,,,,,,,,,,
97,绍兴市,诸暨市,富春江坝址以上,金华江上游,3,11.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
98,绍兴市,诸暨市,富春江坝址以下,富春江下游段,3,114.4,1.5309,0.7806,2.3115,1.2159,2.2875,3.4243,6.9277,0,0,0,0,0,0,1.59,1.59,1.17,0,0.42,1.59,0.7,0,0,0,0,0,0,0,0.0156,0.0385,0.002,0,,0,0.0561,0,0,0,0,0,0,0,0,0.0561,0,0.0396,0,0.0037,0.0433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0021,0.0021,0,0.0079,0.0028,0.0107,0,0,0,0,0,0.0561,0,0,0.0561,0.0561,0.0561,0,,,,,,,,,,,,,,,,,,,,,,,
99,绍兴市,诸暨市,富春江坝址以下,浦阳江,3,2185.1,74.7608,44.7349,119.4957,49.6982,615.3293,690.4031,1355.4306,1.0441,424.43,80.5981,506.0722,0,7.4,75.82,64.46,56.94,0,7.52,64.46,21.9,0.56,0.61,0,3.4,0.3,60.52,60.82,1.1509,2.2135,0.5243,0,,0,3.8887,0.0086,0,0,0.0086,0.1019,0,0,0.1019,3.9992,0,1.6465,0,0.0593,1.7058,0.0015,0.0056,0.0067,0,0.512,0.001,0.023,0.5483,0,0,0.0251,0.2539,0.148,0.427,0.0012,0.1959,0.2345,0.4304,0,0.3941,0.1996,0.5937,0.0059,0.2521,0.0419,0.294,0,3.9992,0.0086,0,3.9992,3.9992000000000005,3.9992,0,,,,,,,,,,,,,,,,,,,,,,,
100,绍兴市,嵊州市,富春江坝址以下,曹娥江百官以上,2,1779.2,38.6087,28.9139,67.5226,42.0226,259.3689,299.8823,601.2738,2.8574,94.7431,124.6766,222.2771,0,7.05,67.29,59.84,55.39,0,1.51,56.9,15.1,1.275,2.49,0,0.23,0.11,68.54,68.65,0.7133,1.3898,0.1321,0,,0,2.2352,0.0265,0,0,0.0265,0.0612,0,0,0.0612,2.3229,0,1.4838,0,0.0033,1.4871,0.0027,0.0115,0.0199,0,0.0276,0.0004,0.0227,0.0821,0,0,0.0309,0.1015,0.1535,0.2859,0.0109,0.0096,0.074,0.0836,0,0.2131,0.146,0.3591,0.0129,0.022,0.0031,0.0251,0,2.3229,0.0265,0,2.3229,2.3229,2.3228999999999997,0,,,,,,,,,,,,,,,,,,,,,,,
101,绍兴市,嵊州市,浙东沿海诸河,奉化江及甬江干流,2,9.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
