序号,所属流域_一级,二级,三级,四级,四级编码,行政区_县区代码,县区名称,市,面积,农田灌溉用水量_水田,旱地,菜田,小计,其中地下水,林牧渔畜用水量_林地灌溉,园地灌溉,草场灌溉,鱼塘补水,大牲畜用水量,小牲畜用水量,小计,其中地下水,工业用水量_火（核）电_直流式,循环式,国有及规模以上,规模以下,小计,其  中       地下水,城镇公共用水量_建筑业,服务业,小计,其中地下水,居民生活用水量_城镇居民,农村居民,小计,其  中地下水,生态与环境用水量_城镇环境,农村生态,小计,其  中地下水,总用水量_合计,其中地下水,环境配水量,总计,地表水用-供 检查,地下水用-供 检查,col_47,col_48,zjszyreport,12.0
90,东南诸河,钱塘江,富春江坝址以下,萧绍平原,G010230,330602,越城区,绍兴市,493,0.5121,,0.0181,0.5302,0.0008,0.0284,0.0129,,0.131,,0.0216,0.1939,,0.0147,0.0448,0.5315,0.1083,0.6993,0.0021,0.0929,0.1049,0.1978,0.0012,0.4138,0.0693,0.4831,0.0031,0.041,0.0095,0.0505,0,2.1548,0.0072,1.8,3.9548,0,0,,,,
91,东南诸河,钱塘江,富春江坝址以下,浦阳江,G010220,330603,柯桥区,绍兴市,19.7,0.0106,0,0.0004,0.011,0,0,0,0,0.0007,0,0.0001,0.0008,0,,,0.0015,0.0001,0.0016,0,0.0025,0.0049,0.0074,0,0.0028,0.001,0.0038,0.0003,0.0004,0.0001,0.0005,0,0.0251,0.0003,,0.0251,0,0,,,,
92,东南诸河,钱塘江,富春江坝址以下,萧绍平原,G010230,330603,柯桥区,绍兴市,758.3,0.592,0,0.0199,0.6119,0.0003,0,0.0096,0,0.1759,0.0001,0.0019,0.1875,0,0,0.3852,1.4918,0.1971,2.0741,0.0005,0.1901,0.2522,0.4423,0,0.3966,0.068,0.4646,0.0008,0.1207,0.0253,0.146,0,3.9264,0.0016,,3.9264,0,0,,,,
93,东南诸河,钱塘江,富春江坝址以下,曹娥江百官以上,G010240,330603,柯桥区,绍兴市,288,0.1537,0,0.0234,0.1771,0,0.0024,0,0,0.0006,0,0.0005,0.0035,0,,,0.0152,0.0019,0.0171,0,0.0455,0.0344,0.0799,0,0.0596,0.0158,0.0754,0.0082,0.0109,0.001,0.0119,0,0.3649,0.0082,,0.3649,0,0,,,,
94,东南诸河,钱塘江,富春江坝址以下,萧绍平原,G010230,330604,上虞区,绍兴市,135.9,0.1927,0.0089,0.0063,0.2079,0.0004,0.0003,0.0001,,0.0524,0.0001,0.0016,0.0545,,0.0237,0,0.0614,0.0561,0.1412,,0.0217,0.0371,0.0588,,0.0519,0.0198,0.0717,,0.0061,0.001,0.0071,,0.5412,0.0004,,0.5412,0,0,,,,
95,东南诸河,钱塘江,富春江坝址以下,曹娥江百官以上,G010240,330604,上虞区,绍兴市,533.4,0.3021,0.0154,0.0054,0.3229,0.0036,0.0005,0.0004,,0.0899,0.0011,0.0032,0.0951,,,,0.0218,0.0287,0.0505,0.0019,0.0018,0.0134,0.0152,,0.0285,0.0387,0.0672,0.0001,0.0007,0.0001,0.0008,,0.5517,0.0056,,0.5517,0,0,,,,
96,东南诸河,浙东诸河,浙东沿海诸河,姚江,G020110,330604,上虞区,绍兴市,736.7,0.6959,0.2814,0.0168,0.9941,0.0006,0.0006,0.0005,,0.2612,0.0002,0.0095,0.272,,0.0195,0.056,0.2265,0.071,0.373,0.0002,0.0364,0.0808,0.1172,,0.2066,0.0604,0.267,0.0014,0.0586,0.0095,0.0681,,2.0914,0.0022,,2.0914,0,0,,,,
97,东南诸河,钱塘江,富春江坝址以下,曹娥江百官以上,G010240,330624,新昌县,绍兴市,1207.6,0.6837,0.0169,0.0346,0.7352,0.0005,0.0105,0.0033,,0.027,0.0009,0.0028,0.0445,,0.0206,0,0.1634,0.0437,0.2277,0.0017,0.0116,0.0657,0.0773,,0.1401,0.0782,0.2183,0.0046,0.0137,0.0021,0.0158,,1.3188,0.0068,,1.3188,0,0,,,,
98,东南诸河,浙东诸河,浙东沿海诸河,奉化江及甬江干流,G020120,330624,新昌县,绍兴市,2,,,0,0,,,,,,,,0,,,,,,0,,,,0,,,,0,,,,0,,0,0,,0,0,0,,,,
99,东南诸河,浙南诸河,瓯江温溪以下,始丰溪,G030220,330624,新昌县,绍兴市,4.4,,,0,0,,,,,,,,0,,,,,,0,,,,0,,,,0,,,,0,,0,0,,0,0,0,,,,
100,东南诸河,钱塘江,富春江坝址以上,金华江上游,G010130,330681,诸暨市,绍兴市,11.5,,,0,0,,,,,,,,0,,,,,,0,,,,0,,,,0,,,,0,,0,0,,0,0,0,,,,
101,东南诸河,钱塘江,富春江坝址以下,富春江下游段,G010210,330681,诸暨市,绍兴市,114.4,0.0396,,0.0037,0.0433,,,,,,,,0,,,,,,0,,,0.0021,0.0021,,0.0079,0.0028,0.0107,,,,0,,0.0561,0,,0.0561,0,0,,,,
102,东南诸河,钱塘江,富春江坝址以下,浦阳江,G010220,330681,诸暨市,绍兴市,2185.1,1.6465,,0.0593,1.7058,0.0015,0.0056,0.0067,,0.512,0.001,0.023,0.5483,,0,0.0251,0.2539,0.148,0.427,0.0012,0.1959,0.2345,0.4304,,0.3941,0.1996,0.5937,0.0059,0.2521,0.0419,0.294,,3.9992,0.0086,,3.9992,0,0,,,,
103,东南诸河,钱塘江,富春江坝址以下,曹娥江百官以上,G010240,330683,嵊州市,绍兴市,1779.2,1.4838,,0.0033,1.4871,0.0027,0.0115,0.0199,,0.0276,0.0004,0.0227,0.0821,,0,0.0309,0.1015,0.1535,0.2859,0.0109,0.0096,0.074,0.0836,,0.2131,0.146,0.3591,0.0129,0.022,0.0031,0.0251,,2.3229,0.0265,,2.3229,0,0,,,,
104,东南诸河,浙东诸河,浙东沿海诸河,奉化江及甬江干流,G020120,330683,嵊州市,绍兴市,9.8,,,0,0,,,,,,,,0,,,,,,0,,,,0,,,,0,,,,0,,0,0,,0,0,0,,,,
