序号,所属流域_一级,二级,三级,四级,四级编码,行政区_县区代码,县区名称,市,面积,地表水源供水量_蓄 水,引水,提水,跨流域调水_调入量,调出流域,非工程供水,小计,地下水源供水量_潜水,承压水,微咸水,小计,其他水源供水量_污水处理回用,雨  水 利  用,海 水淡 化,小计,总供水量,环境配水量,总计,海水 利用量,环境配水供水量明细表_蓄 水,引水,提水,调水,污水回用,小计,col_35,col_36,col_37,col_38,zjszyreport,12.0
132,东南诸河,钱塘江,富春江坝址以上,衢江下游,G010120,330800,衢州市,衢州市,0,0.433638587,2.217661413,,,,,2.6513,,0,,0,,,,0,2.6513,0,2.6513,0,,,,,,0,,,,,,
133,东南诸河,钱塘江,富春江坝址以上,衢江上游,G010110,330802,柯城区,衢州市,271.1,0.2563,0.0017,0.0699,,,,0.3279,,0,,0,,,,0,0.3279,0,0.3279,0,,,,,,0,,,,,,
134,东南诸河,钱塘江,富春江坝址以上,衢江下游,G010120,330802,柯城区,衢州市,335.9,0.4423,0.0617,0.0469,,,,0.5509,,0,,0,,,,0,0.5509,0,0.5509,0,,,,,,0,,,,,,
135,东南诸河,钱塘江,富春江坝址以上,衢江上游,G010110,330803,衢江区,衢州市,135.3,0.1054,0.0711,0.0159,,,,0.1924,,0,,0,,,,0,0.1924,0,0.1924,0,,,,,,0,,,,,,
136,东南诸河,钱塘江,富春江坝址以上,衢江下游,G010120,330803,衢江区,衢州市,1611.2,0.7169,0.4047,0.0721,,,,1.1937,0.0002,0,,0.0002,,,,0,1.1939,0,1.1939,0,,,,,,0,,,,,,
137,东南诸河,钱塘江,富春江坝址以上,新安江,G010150,330803,衢江区,衢州市,1.5,0,0.0004,0.0002,,,,0.0006,,0,,0,,,,0,0.0006,0,0.0006,0,,,,,,0,,,,,,
138,长江,鄱阳湖水系,信江,信江,F090600,330822,常山县,衢州市,71.3,0.0682,0.0097,0.0115,,,,0.0894,0,0,,0,,,,0,0.0894,0,0.0894,0,,,,,,0,,,,,,
139,东南诸河,钱塘江,富春江坝址以上,衢江上游,G010110,330822,常山县,衢州市,1025.7,0.528978056,0.254751806,0.054323447,0.036246691,,,0.8743,0,0,,0,,,,0,0.8743,0,0.8743,0,,,,,,0,0.8743000000000001,,,,,
140,长江,鄱阳湖水系,饶河,饶河,F090700,330824,开化县,衢州市,272,0.0472,,,,,,0.0472,,0,,0,,,,0,0.0472,0,0.0472,0,,,,,,0,,,,,,
141,东南诸河,钱塘江,富春江坝址以上,衢江上游,G010110,330824,开化县,衢州市,1934.4,0.569905501,0.215893139,0.162801359,,,,0.9486,0.0023,0,,0.0023,,,,0,0.9509,0,0.9509,0,,,,,,0,,,,,,
142,东南诸河,钱塘江,富春江坝址以上,新安江,G010150,330824,开化县,衢州市,24.6,0.0022,,,,,,0.0022,,0,,0,,,,0,0.0022,0,0.0022,0,,,,,,0,,,,,,
143,东南诸河,钱塘江,富春江坝址以上,衢江下游,G010120,330825,龙游县,衢州市,1141,1.106210125,0.643614972,0.096974903,,,,1.8468,,0,,0,,,,0,1.8468,0,1.8468,0,,,,,,0,,,,,,
144,东南诸河,钱塘江,富春江坝址以上,新安江,G010150,330825,龙游县,衢州市,2,,,,,,,0,,0,,0,,,,0,0,0,0,0,,,,,,0,,,,,,
145,长江,鄱阳湖水系,信江,信江,F090600,330881,江山市,衢州市,214.2,0.1682,0.0305,0.0164,,,,0.2151,0.003,0,0,0.003,,,,0,0.2181,0,0.2181,0,,,,,,0,,,,,,
146,东南诸河,钱塘江,富春江坝址以上,衢江上游,G010110,330881,江山市,衢州市,1756.9,0.8872,0.5351,0.3054,,,,1.7277,0.0079,0,0,0.0079,,,,0,1.7356,0.0488,1.7844,0,,0.0488,,,,0.0488,,,,,,
147,东南诸河,钱塘江,富春江坝址以上,衢江下游,G010120,330881,江山市,衢州市,47.9,0.0221,0.0111,0.001,,,,0.0342,0.0005,0,0,0.0005,,,,0,0.0347,0,0.0347,0,,,,,,0,,,,,,
