序号,市,县（市、区）,水资源分区,nan,水资源利用分区,面积（km2）,人口（万人）,nan,nan,国内地区生产总值  （亿元）,nan,nan,nan,工业增加值（亿元）,nan,nan,nan,火(核)电装机(万kW),nan,总耕地面积      （万亩）,有效灌溉面积   （万亩）,农田实灌面积（万亩）,nan,nan,nan,粮食产量（万吨）,林牧渔面积（万亩）,nan,nan,nan,牲畜(万头),nan,nan,地表水源供水量,nan,nan,nan,nan,nan,nan,地下水源供水量,nan,nan,nan,其他水源供水量,nan,nan,nan,总供水量,环境配水量,农田灌溉用水量,nan,nan,nan,nan,林牧渔畜用水量,nan,nan,nan,nan,nan,nan,nan,工业用水量,nan,nan,nan,nan,nan,城镇公共用水量,nan,nan,nan,居民生活用水量,nan,nan,nan,生态与环境用水量,nan,nan,nan,总用水量,nan,环境配水量,总计,总用水量（核算）,总供水量（核算）,总供水-总用水,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
132,衢州市,调入量,富春江坝址以上,衢江下游,3,0,0,0,0,1.5,178.05,144.03,323.58,0,170.24,0,170.24,34.5,0,3.02,3.02,3.02,0,0,3.02,0.28,0,0,0,0,0,0,0,0.433638587,2.217661413,0,0,,0,2.6513,0,0,0,0,0,0,0,0,2.6513,0,0.1656,0,0,0.1656,0,0,0,0,0.4927,0,0,0.4927,0,0.7896,0,0.89024942,0,1.6798,0,0.024,0.255293,0.2793,0,0,0,0,0,0.0339,0,0.0339,0,2.6513,0,0,2.6513,2.6513,2.6513,0,,,,,,,,,,,,,,,,,,,,,,,
133,衢州市,柯城区,富春江坝址以上,衢江上游,3,271.1,4.0379,10.4792,14.5171,2.5,13.7,71.9,88.1,0,7.3641,0,7.3641,0,23,5.41,5.41,3.79,0.53,0,4.32,0.8945,0.6,1.7,0,0.02,0.24,0.38,0.62,0.2563,0.0017,0.0699,0,,0,0.3279,0,0,0,0,0,0,0,0,0.3279,0,0.2085,0.0024,0,0.2109,0,0.0024,0.005,0,0.0009,0.0009,0.0003,0.0095,0,0,0.001,0.0111,0,0.0121,0,0.0007,0.035,0.0357,0,0.017,0.0342,0.0512,0,0.0085,0,0.0085,0,0.3279,0,0,0.3279,0.3279,0.3279,0,,,,,,,,,,,,,,,,,,,,,,,
134,衢州市,柯城区,富春江坝址以上,衢江下游,3,335.9,36.5379,1.8297,38.3676,4.3,31.5,111.1,146.9,0,16.4359,0,16.4359,0,0,5.75,5.745,3.87,0.79,0,4.66,1.1535,0.6,1.8,0,0.004,0.19,1.28,1.47,0.4423,0.0617,0.0469,0,,0,0.5509,0,0,0,0,0,0,0,0,0.5509,0,0.2129,0.0036,0,0.2165,0,0.0024,0.0053,0,0.0002,0.0007,0.0004,0.009,0,0,0,0.0247,0,0.0247,0,0.0011,0.105,0.1061,0,0.167,0.0061,0.1731,0,0.0205,0.001,0.0215,0,0.5509,0,0,0.5509,0.5509,0.5509,0,,,,,,,,,,,,,,,,,,,,,,,
135,衢州市,衢江区,富春江坝址以上,衢江上游,3,135.3,0.3034,4.9145,5.2179,4.02,10.51,13.4,27.93,0,7.05,0,7.05,0,0,8.71,6.13,4.66,1.19,0,5.85,2.295,0.18,0.32,0,0.13,0.22,3.27,3.49,0.1054,0.0711,0.0159,0,,0,0.1924,0,0,0,0,0,0,0,0,0.1924,0,0.1453,0.0077,0.0042,0.1572,0,0.0005,0.0015,0,0.0053,0.0009,0.0012,0.0094,0,0,0,0.0083,0,0.0083,0,0.0001,0.0002,0.0003,0,0.0012,0.015,0.0162,0,0.0009,0.0001,0.001,0,0.1924,0,0,0.1924,0.1924,0.1924,0,,,,,,,,,,,,,,,,,,,,,,,
136,衢州市,衢江区,富春江坝址以上,衢江下游,3,1611.2,16.7896,15.2837,32.0733,17.71,65.33,98.33,181.37,0,57.1,0,57.1,0,0,36.86,27.98,23.975,3.67,0,27.645,10.4469,1.12,2.88,0,0.8,0.38,12.2,12.58,0.7169,0.4047,0.0721,0,,0,1.1937,0.0002,0,0,0.0002,0,0,0,0,1.1939,0,0.8673,0.0224,0.0208,0.9105,0,0.003,0.0092,0,0.0316,0.001,0.0042,0.049,0,0,0,0.0834,0,0.0834,0.0002,0.0047,0.0309,0.0356,0,0.0595,0.0469,0.1064,0,0.0078,0.0012,0.009,0,1.1939,0.0002,0,1.1939,1.1939,1.1939,0,,,,,,,,,,,,,,,,,,,,,,,
137,衢州市,衢江区,富春江坝址以上,新安江,3,1.5,0,0.1008,0.1008,0.05,0,0,0.05,0,0,0,0,0,0,0.03,0.03,0,0,0,0,0.008,0,0,0,0,0,0,0,0,0.0004,0.0002,0,,0,0.0006,0,0,0,0,0,0,0,0,0.0006,0,0,0,0.0003,0.0003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0003,0.0003,0,0,0,0,0,0.0006,0,0,0.0006,0.0006,0.0006,0,,,,,,,,,,,,,,,,,,,,,,,
138,衢州市,龙游县,富春江坝址以上,衢江下游,3,1141,18.5813,17.4416,36.0229,15.23,104.17,128.21,247.61,0,83.7,0,83.7,0,22.7,47,36.35,22.4666,7.84,0,30.3066,12.1419,0.1,6.3,0,1.01,0.23,26.08,26.31,1.106210125,0.643614972,0.096974903,0,,0,1.8468,0,0,0,0,0,0,0,0,1.8468,0,1.0883,0.0634,0.0489,1.2006,0,0.0003,0.025,0,0.0356,0.0007,0.0084,0.07,0,0,0.0127,0.3155,0,0.3282,0,0.0068,0.0654,0.0722,0,0.087,0.0605,0.1475,0,0.0268,0.0015,0.0283,0,1.8468,0,0,1.8468,1.8468,1.8468,0,,,,,,,,,,,,,,,,,,,,,,,
139,衢州市,龙游县,富春江坝址以上,新安江,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
140,衢州市,江山市,富春江坝址以上,衢江上游,3,1756.9,27.2075,17.95,45.1575,14.6,125.8,138,278.4,0,96.4,0,96.4,0,26.1,43.88,29.232,24.3591,3.38,1.02,28.7591,13.1666,1.8,1.9,0,1.15,0.39,34.49,34.88,0.8872,0.5351,0.3054,0,,0,1.7277,0.0079,0,0,0.0079,0,0,0,0,1.7356,0.0488,1.1167,0.0264,0.0141,1.1572,0.0012,0.005,0.005,0,0.05,0.0014,0.015,0.0764,0.001,0,0.0089,0.1697,0,0.1786,0.0005,0.0063,0.0641,0.0704,0,0.1116005,0.0598,0.1714,0.0052,0.08,0.0016,0.0816,0,1.7356,0.0079,0.0488,1.7844,1.7356000000000003,1.7356,0,,,,,,,,,,,,,,,,,,,,,,,
141,衢州市,江山市,富春江坝址以上,衢江下游,3,47.9,1.0114,1.5386,2.55,1.1289,1.219,0.8882,3.2361,0,0,0,0,0,0,3.67,2.32,0,1.31,0.98,2.29,0.8981,0.2,0.2,0,0,0.05,6.97,7.02,0.0221,0.0111,0.001,0,,0,0.0342,0.0005,0,0,0.0005,0,0,0,0,0.0347,0,0,0.0083,0.0054,0.0137,0.0001,0.0007,0.0009,0,0,0.0002,0.0028,0.0046,0.0003,0,0,0.0071,0,0.0071,0,0.0007,0.0001,0.0008,0,0.0037,0.0046,0.0083,0.0001,0.0002,0,0.0002,0,0.0347,0.0005,0,0.0347,0.034699999999999995,0.0347,0,,,,,,,,,,,,,,,,,,,,,,,
