序号,所属流域_一级,二级,三级,四级,四级编码,行政区_县区代码,县区名称,市,面积,农田灌溉用水量_水田,旱地,菜田,小计,其中地下水,林牧渔畜用水量_林地灌溉,园地灌溉,草场灌溉,鱼塘补水,大牲畜用水量,小牲畜用水量,小计,其中地下水,工业用水量_火（核）电_直流式,循环式,国有及规模以上,规模以下,小计,其  中       地下水,城镇公共用水量_建筑业,服务业,小计,其中地下水,居民生活用水量_城镇居民,农村居民,小计,其  中地下水,生态与环境用水量_城镇环境,农村生态,小计,其  中地下水,总用水量_合计,其中地下水,环境配水量,总计,地表水用-供 检查,地下水用-供 检查,col_47,col_48,zjszyreport,12.0
132,东南诸河,钱塘江,富春江坝址以上,衢江下游,G010120,330800,衢州市,衢州市,0,0.1656,0,0,0.1656,,,,,0.4927,,,0.4927,,0.7896,0,0.89024942,,1.6798,,0.024,0.255293,0.2793,,,,0,,0.0339,0,0.0339,,2.6513,0,,2.6513,0,0,,,,
133,东南诸河,钱塘江,富春江坝址以上,衢江上游,G010110,330802,柯城区,衢州市,271.1,0.2085,0.0024,0,0.2109,0,0.0024,0.005,0,0.0009,0.0009,0.0003,0.0095,0,0,0.001,0.0111,,0.0121,0,0.0007,0.035,0.0357,0,0.017,0.0342,0.0512,0,0.0085,0,0.0085,0,0.3279,0,,0.3279,0,0,,,,
134,东南诸河,钱塘江,富春江坝址以上,衢江下游,G010120,330802,柯城区,衢州市,335.9,0.2129,0.0036,0,0.2165,0,0.0024,0.0053,0,0.0002,0.0007,0.0004,0.009,0,,,0.0247,,0.0247,0,0.0011,0.105,0.1061,0,0.167,0.0061,0.1731,,0.0205,0.001,0.0215,0,0.5509,0,,0.5509,0,0,,,,
135,东南诸河,钱塘江,富春江坝址以上,衢江上游,G010110,330803,衢江区,衢州市,135.3,0.1453,0.0077,0.0042,0.1572,,0.0005,0.0015,0,0.0053,0.0009,0.0012,0.0094,,,,0.0083,,0.0083,,0.0001,0.0002,0.0003,,0.0012,0.015,0.0162,,0.0009,0.0001,0.001,,0.1924,0,,0.1924,0,0,,,,
136,东南诸河,钱塘江,富春江坝址以上,衢江下游,G010120,330803,衢江区,衢州市,1611.2,0.8673,0.0224,0.0208,0.9105,,0.003,0.0092,0,0.0316,0.001,0.0042,0.049,,,,0.0834,,0.0834,0.0002,0.0047,0.0309,0.0356,,0.0595,0.0469,0.1064,,0.0078,0.0012,0.009,,1.1939,0.0002,,1.1939,0,0,,,,
137,东南诸河,钱塘江,富春江坝址以上,新安江,G010150,330803,衢江区,衢州市,1.5,0,0,0.0003,0.0003,,0,0,0,0,0,0,0,,,,0,,0,,0,0,0,,,0.0003,0.0003,,0,0,0,,0.0006,0,,0.0006,0,0,,,,
138,长江,鄱阳湖水系,信江,信江,F090600,330822,常山县,衢州市,71.3,0.0579,0.0003,0.0005,0.0587,,,0.0006,,0.0025,0.0001,0.0006,0.0038,,,,0.0148,,0.0148,,0,0.0021,0.0021,,0.0055,0.0045,0.01,,0,0,0,,0.0894,0,,0.0894,0,0,,,,
139,东南诸河,钱塘江,富春江坝址以上,衢江上游,G010110,330822,常山县,衢州市,1025.7,0.5198,0.0154,0.0005,0.5357,,,0.0078,,0.0058,0.0002,0.0088,0.0226,,,,0.1524,,0.1524,,0.009,0.0287,0.0377,,0.0622,0.0457,0.1079,,0.017,0.001,0.018,,0.8743,0,,0.8743,0,0,,,,
140,长江,鄱阳湖水系,饶河,饶河,F090700,330824,开化县,衢州市,,0.028,0,0.0005,0.0285,,,0.0016,,0.0013,0.0001,0.0002,0.0032,,,,0.0075,,0.0075,,0.0001,0.0003,0.0004,,0.0004,0.0063,0.0067,,0.0009,,0.0009,,0.0472,0,,0.0472,0,0,,,,
141,东南诸河,钱塘江,富春江坝址以上,衢江上游,G010110,330824,开化县,衢州市,1934.4,0.7205,0,0.0167,0.7372,,,0.0169,,0.0125,0.0005,0.0013,0.0312,,,,0.0444,,0.0444,0.0017,0.0017,0.0241,0.0258,0.0006,0.0608,0.0402,0.101,,0.0108,0.0005,0.0113,,0.9509,0.0023,,0.9509,0,0,,,,
142,东南诸河,钱塘江,富春江坝址以上,新安江,G010150,330824,开化县,衢州市,24.6,0.0017,0,0,0.0017,,,0.0001,,,,,0.0001,,,,,,0,,,,0,,,0.0004,0.0004,,,,0,,0.0022,0,,0.0022,0,0,,,,
