序号,所属流域_一级,二级,三级,四级,四级编码,行政区_县区代码,县区名称,市,面积,人口（万人）_城镇,农村,合计,国内地区生产总值  （亿元）_一产,二产,三产,合计,工业增加值（亿元）_火核电工业,国有及规模以上一般工业,规模以下工业,合计,火(核)电装机(万kW)_直流式,循环式,总耕地面积      （万亩）,有效灌溉面积   （万亩）,农田实灌面积（万亩）_水田,水浇地,菜田,总计,粮食产量（万吨）,林牧渔面积（万亩）_林地灌溉,园地灌溉,草场灌溉,人工鱼塘,牲畜(万头)_大牲畜,小牲畜,合计,col_37,col_38,zjszyreport,12.0
132,东南诸河,钱塘江,富春江坝址以上,衢江下游,G010120,330800,衢州市,衢州市,0,0,0,0,1.5,178.05,144.03,323.58,,170.24,,170.24,34.5,0,3.02,3.02,3.02,0,0,3.02,0.28,0,0,0,0,0,0,0,,,,
133,东南诸河,钱塘江,富春江坝址以上,衢江上游,G010110,330802,柯城区,衢州市,271.1,4.0379,10.4792,14.5171,2.5,13.7,71.9,88.1,,7.3641,,7.3641,0,23,5.41,5.41,3.79,0.53,0,4.32,0.8945,0.6,1.7,0,0.02,0.24,0.38,0.62,,,,
134,东南诸河,钱塘江,富春江坝址以上,衢江下游,G010120,330802,柯城区,衢州市,335.9,36.5379,1.8297,38.3676,4.3,31.5,111.1,146.9,,16.4359,,16.4359,,,5.75,5.745,3.87,0.79,0,4.66,1.1535,0.6,1.8,0,0.004,0.19,1.28,1.47,,,,
135,东南诸河,钱塘江,富春江坝址以上,衢江上游,G010110,330803,衢江区,衢州市,135.3,0.3034,4.9145,5.2179,4.02,10.51,13.4,27.93,,7.05,,7.05,,,8.71,6.13,4.66,1.19,0,5.85,2.295,0.18,0.32,0,0.13,0.22,3.27,3.49,,,,
136,东南诸河,钱塘江,富春江坝址以上,衢江下游,G010120,330803,衢江区,衢州市,1611.2,16.7896,15.2837,32.0733,17.71,65.33,98.33,181.37,,57.1,,57.1,,,36.86,27.98,23.975,3.67,0,27.645,10.4469,1.12,2.88,0,0.8,0.38,12.2,12.58,,,,
137,东南诸河,钱塘江,富春江坝址以上,新安江,G010150,330803,衢江区,衢州市,1.5,0,0.1008,0.1008,0.05,0,0,0.05,,0,,0,,,0.03,0.03,0,0,0,0,0.008,0,0,0,0,0,0,0,,,,
138,长江,鄱阳湖水系,信江,信江,F090600,330822,常山县,衢州市,71.3,1.0562,1.0841,2.1403,0.7,5.1,5.5,11.3,,3.5565,,3.5565,,,1.63,1.35,1.79,0.04,0.03,1.86,0.5939,0,0.2,0,0.06,0.03,2.1,2.13,,,,
139,东南诸河,钱塘江,富春江坝址以上,衢江上游,G010110,330822,常山县,衢州市,1025.7,11.7143,12.142,23.8563,7.7,62.6,78.5,148.8,,46.4435,,46.4435,,,22.57,17.63,12.64,2.96,0.06,15.66,5.0003,0,2.8,0,0.12,0.07,20.68,20.75,,,,
140,长江,鄱阳湖水系,饶河,饶河,F090700,330824,开化县,衢州市,272,0.0993,1.8701,1.9694,4.4481,1.6751,1.1906,7.3138,,2.6888,,2.6888,,,1.22,0.66,0.54,0,0.06,0.6,0.2957,0,0.56,0,0.03,0.03,0.55,0.58,,,,
141,东南诸河,钱塘江,富春江坝址以上,衢江上游,G010110,330824,开化县,衢州市,1934.4,13.003,10.8047,23.8077,9.4193,51.1638,82.3094,142.8925,,27.2112,,27.2112,,,32.53,17.09,13.62,0,1.98,15.6,5.6552,0,5.01,0,0.32,0.13,5.1,5.23,,,,
142,东南诸河,钱塘江,富春江坝址以上,新安江,G010150,330824,开化县,衢州市,24.6,0,0.1039,0.1039,0.2826,0.0111,0,0.2937,,0,,0,,,0.07,0.04,0.03,0,0,0.03,0.0185,0,0.03,0,0,0,0,0,,,,
143,东南诸河,钱塘江,富春江坝址以上,衢江下游,G010120,330825,龙游县,衢州市,1141,18.5813,17.4416,36.0229,15.23,104.17,128.21,247.61,,83.7,,83.7,0,22.7,47,36.35,22.4666,7.84,0,30.3066,12.1419,0.1,6.3,0,1.01,0.23,26.08,26.31,,,,
144,东南诸河,钱塘江,富春江坝址以上,新安江,G010150,330825,龙游县,衢州市,2,0,0,0,0,0,0,0,,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
145,长江,鄱阳湖水系,信江,信江,F090600,330881,江山市,衢州市,214.2,0.708,1.0257,1.7337,8.3,9.3,13.4,31,,13,,13,,,4.59,4.13,2.99,0.54,0.41,3.94,1.476,0.4,0.3,0,0.23,0.08,10.74,10.82,,,,
146,东南诸河,钱塘江,富春江坝址以上,衢江上游,G010110,330881,江山市,衢州市,1756.9,27.2075,17.95,45.1575,14.6,125.8,138,278.4,,96.4,,96.4,0,26.1,43.88,29.232,24.3591,3.38,1.02,28.7591,13.1666,1.8,1.9,0,1.15,0.39,34.49,34.88,,,,
147,东南诸河,钱塘江,富春江坝址以上,衢江下游,G010120,330881,江山市,衢州市,47.9,1.0114,1.5386,2.55,1.1289,1.219,0.8882,3.2361,,0,,0,,,3.67,2.32,0,1.31,0.98,2.29,0.8981,0.2,0.2,0,0,0.05,6.97,7.02,,,,
