序号,所属流域_一级,二级,三级,四级,四级编码,行政区_县区代码,县区名称,市,面积,地表水源供水量_蓄 水,引水,提水,跨流域调水_调入量,调出流域,非工程供水,小计,地下水源供水量_潜水,承压水,微咸水,小计,其他水源供水量_污水处理回用,雨  水 利  用,海 水淡 化,小计,总供水量,环境配水量,总计,海水 利用量,环境配水供水量明细表_蓄 水,引水,提水,调水,污水回用,小计,col_35,col_36,col_37,col_38,zjszyreport,12.0
105,东南诸河,钱塘江,富春江坝址以上,衢江下游,G010120,330702,婺城区,金华市,332.6,0.582,0.0755,0.0105,,,,0.668,0.0187,0,,0.0187,,,,,0.6867,0,0.6867,0,,,,,,,,,,,,
106,东南诸河,钱塘江,富春江坝址以上,金华江下游,G010140,330702,婺城区,金华市,1059.4,1.4844,0.2384,0.0189,,,,1.7417,0.0463,0,,0.0463,,,,,1.788,0,1.788,0,,,,,,,,,,,,
107,东南诸河,钱塘江,富春江坝址以上,金华江下游,G010140,330703,金东区,金华市,658,0.7091,0.1476,0.3035,0,,,1.1602,0.0188,0,,0.0188,,,,,1.179,0,1.179,0,,,,,,0,,,,,,
108,东南诸河,钱塘江,富春江坝址以上,金华江下游,G010140,330723,武义县,金华市,929.4,1.0844,0.0067,0.002,,,,1.0931,0.0043,0,,0.0043,,,,,1.0974,0,1.0974,0,,,,,,,,,,,,
109,东南诸河,浙南诸河,瓯江温溪以上,大溪,G030110,330723,武义县,金华市,638.6,0.0681,0.0987,0.0765,,,,0.2433,0.0011,0,,0.0011,,,,,0.2444,0,0.2444,0,,,,,,,,,,,,
110,东南诸河,钱塘江,富春江坝址以下,富春江下游段,G010210,330726,浦江县,金华市,400.6,0.1023,0.0183,0.0078,,,,0.1284,,0,,0,,,,0,0.1284,0,0.1284,0,,,,,,0,,,,,,
111,东南诸河,钱塘江,富春江坝址以下,浦阳江,G010220,330726,浦江县,金华市,517.4,0.7632,0.0698,0.038,,,,0.871,,0,,0,,,,0,0.871,0,0.871,0,,,,,,0,,,,,,
112,东南诸河,钱塘江,富春江坝址以上,金华江上游,G010130,330727,磐安县,金华市,418.5,0.1011,0.008,,,,,0.1091,0,0,,0,,,,0,0.1091,0,0.1091,0,,,,,,0,,,,,,
113,东南诸河,钱塘江,富春江坝址以下,曹娥江百官以上,G010240,330727,磐安县,金华市,207.4,0.1097,0.0025,,,,,0.1122,0,0,,0,,,,0,0.1122,0,0.1122,0,,,,,,0,,,,,,
114,东南诸河,浙南诸河,瓯江温溪以上,大溪,G030110,330727,磐安县,金华市,224,0.0359,0.0129,,,,,0.0488,0.0001,0,,0.0001,,,,0,0.0489,0,0.0489,0,,,,,,0,,,,,,
115,东南诸河,浙南诸河,瓯江温溪以下,永安溪,G030210,330727,磐安县,金华市,140.2,0.0193,0.0001,,,,,0.0194,0.0001,0,,0.0001,,,,0,0.0195,0,0.0195,0,,,,,,0,,,,,,
116,东南诸河,浙南诸河,瓯江温溪以下,始丰溪,G030220,330727,磐安县,金华市,204.9,0.0261,0.00415,,,,,0.0303,0.0002,0,,0.0002,,,,0,0.0305,0,0.0305,0,,,,,,0,,,,,,
117,东南诸河,钱塘江,富春江坝址以上,衢江下游,G010120,330781,兰溪市,金华市,330.1,0.4273,0.2013,0.1694,,,,0.798,0.0003,0,,0.0003,,,,,0.7983,0,0.7983,0,,,,,,,,,,,,
118,东南诸河,钱塘江,富春江坝址以上,金华江下游,G010140,330781,兰溪市,金华市,126.1,0.0904,0.0165,0.273,,,,0.3799,0.0003,0,,0.0003,,,,,0.3802,0,0.3802,0,,,,,,,,,,,,
119,东南诸河,钱塘江,富春江坝址以上,兰江及富春江上游段,G010160,330781,兰溪市,金华市,851.3,0.6831,0.096,0.2868,,,,1.0659,0.0013,0,,0.0013,,,,,1.0672,0,1.0672,0,,,,,,,,,,,,
120,东南诸河,钱塘江,富春江坝址以下,浦阳江,G010220,330781,兰溪市,金华市,4.5,0.0035,0.0014,0.0098,,,,0.0147,0,0,,0,,,,,0.0147,0,0.0147,0,,,,,,,,,,,,
121,东南诸河,钱塘江,富春江坝址以上,金华江上游,G010130,330782,义乌市,金华市,349.1,0.6599,0.5,0.1966,0,0,0,1.3565,0,0,0,0,0.0914,0.0031,0,0.0945,1.451,0.2582,1.7092,0,,0,0.2431,0,0.0151,0.2582,1.451,,,,,
122,东南诸河,钱塘江,富春江坝址以上,金华江下游,G010140,330782,义乌市,金华市,491.7,0.5659,0,0.0109,0,0,0,0.5768,0,0,0,0,0.0442,0.0011,0,0.0453,0.6221,0,0.6221,0,,0,0,0,0,0,0.6221,,,,,
