序号,市,县（市、区）,水资源分区,nan,水资源利用分区,面积（km2）,人口（万人）,nan,nan,国内地区生产总值  （亿元）,nan,nan,nan,工业增加值（亿元）,nan,nan,nan,火(核)电装机(万kW),nan,总耕地面积      （万亩）,有效灌溉面积   （万亩）,农田实灌面积（万亩）,nan,nan,nan,粮食产量（万吨）,林牧渔面积（万亩）,nan,nan,nan,牲畜(万头),nan,nan,地表水源供水量,nan,nan,nan,nan,nan,nan,地下水源供水量,nan,nan,nan,其他水源供水量,nan,nan,nan,总供水量,环境配水量,农田灌溉用水量,nan,nan,nan,nan,林牧渔畜用水量,nan,nan,nan,nan,nan,nan,nan,工业用水量,nan,nan,nan,nan,nan,城镇公共用水量,nan,nan,nan,居民生活用水量,nan,nan,nan,生态与环境用水量,nan,nan,nan,总用水量,nan,环境配水量,总计,总用水量（核算）,总供水量（核算）,总供水-总用水,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
105,金华市,婺城区,富春江坝址以上,衢江下游,3,332.6,13.6932,4.1164,17.8096,6.9,44.33,36.34,87.57,0.7,10.056,2.564,13.32,0,1.5,16.36,15.521,12.74,0.85,1,14.59,3.4,1.18,2.36,0.053,0.41,5.7,11.4,17.1,0.582,0.0755,0.0105,0,,0,0.668,0.0187,0,0,0.0187,0,0,0,0,0.6867,0,0.3353,0.0043,0.0071,0.3467,0,0.0027,0.0113,0.0003,0.028,0.017,0.0054,0.0647,0.0012,0,0.0086,0.0855,0.0585,0.1526,0.002,0.014,0.01368,0.0277,0.0025,0.055,0.015,0.07,0.013,0.025,0,0.025,0,0.6867,0.0187,0,0.6867,0.6867,0.6867000000000001,0,,,,,,,,,,,,,,,,,,,,,,,
106,金华市,婺城区,富春江坝址以上,金华江下游,3,1059.4,59.8773,18.0186,77.8959,14.74,155.22,396.96,566.92,0.85,113.416,29.314,143.58,0,25.625,28.16,26.715,22.65,1.21,3.16,27.02,2.8,1.06,1.49,0.107,0.35,6.34,20.5,26.84,1.4844,0.2384,0.0189,0,,0,1.7417,0.0463,0,0,0.0463,0,0,0,0,1.788,0,0.8329,0.0069,0.0302,0.87,0,0.0068,0.0285,0.0006,0.0229,0.0268,0.0094,0.095,0.004,0,0.0091,0.2987,0.0751,0.3829,0.01,0.0271,0.0453,0.0724,0.0043,0.2467,0.06,0.3067,0.028,0.061,0,0.061,0,1.788,0.0463,0,1.788,1.788,1.788,0,,,,,,,,,,,,,,,,,,,,,,,
107,金华市,金东区,富春江坝址以上,金华江下游,3,658,30.5243,20.1692,50.6935,14.9,112.62,131.75,259.27,0,59.5,30,89.5,0,0,28.19,22.8917,16.43,2.25,3.06,21.74,1.84,0,2.6,0,0.4,0.525,22,22.525,0.7091,0.1476,0.3035,0,,0,1.1602,0.0188,0,0,0.0188,0,0,0,0,1.179,0,0.546,0.0151,0.05,0.6111,0,0.0046,0.0052,0,0.0307,0.0019,0.0072,0.0496,0.0055,0,0,0.1505,0.0444,0.1949,0.0016,0.007,0.0702,0.0772,0.0019,0.1398,0.0663,0.2061,0.0098,0.0401,0,0.0401,0,1.179,0.0188,0,1.179,1.179,1.1789999999999998,0,,,,,,,,,,,,,,,,,,,,,,,
108,金华市,兰溪市,富春江坝址以上,衢江下游,3,330.1,6.0896,6.4646,12.5542,10.47,50.29,22.63,83.39,0,23.76,9.7,33.46,0,0,22.29,19.8911,14.31,2.38,2.77,19.46,3.55,0,1.2,0,3.95,0.875,9.17,10.045,0.4273,0.2013,0.1694,0,,0,0.798,0.0003,0,0,0.0003,0,0,0,0,0.7983,0,0.3917,0.0076,0.009,0.4083,0,0,0.0184,0,0.2151,0.0038,0.0073,0.2446,0,0,0,0.0763,0.0085,0.0848,0,0.003,0.0063,0.0093,0.0003,0.029,0.0189,0.0479,0,0.0027,0.0007,0.0034,0,0.7983,0.0003,0,0.7983,0.7982999999999999,0.7983,0,,,,,,,,,,,,,,,,,,,,,,,
109,金华市,兰溪市,富春江坝址以上,金华江下游,3,126.1,1.9951,3.5536,5.5487,6.37,29.31,12.88,48.56,36.05,4.02,7.85,47.92,0,264,6.83,6.45,2.25,1,0.99,4.24,1.57,0,0.8,0,0.41,0.27,4.87,5.14,0.0904,0.0165,0.273,0,,0,0.3799,0.0003,0,0,0.0003,0,0,0,0,0.3802,0,0.0756,0.0033,0.0033,0.0822,0,0,0.0099,0,0.0194,0.0012,0.004,0.0345,0,0,0.202,0.0322,0.0036,0.2378,0.0003,0.0008,0.0053,0.0061,0,0.0083,0.0101,0.0184,0,0.001,0.0002,0.0012,0,0.3802,0.0003,0,0.3802,0.3802,0.38020000000000004,0,,,,,,,,,,,,,,,,,,,,,,,
110,金华市,兰溪市,富春江坝址以上,兰江及富春江上游段,3,851.3,23.6796,15.5968,39.2764,11.41,117.88,137.22,266.51,0.04,67.49,27.59,95.12,0,1.5,31.4,28.782,17.72,2.74,4.25,24.71,4.78,0,0.6,0,1.78,0.775,11.63,12.405,0.6831,0.096,0.2868,0,,0,1.0659,0.0013,0,0,0.0013,0,0,0,0,1.0672,0,0.5841,0.0089,0.0138,0.6068,0,0,0.0098,0,0.1024,0.0036,0.0091,0.1249,0,0,0.0004,0.1452,0.0162,0.1618,0.0012,0.0005,0.0151,0.0156,0,0.0956,0.054,0.1496,0.0001,0.0068,0.0017,0.0085,0,1.0672,0.0013,0,1.0672,1.0672,1.0672000000000001,0,,,,,,,,,,,,,,,,,,,,,,,
111,金华市,兰溪市,富春江坝址以下,浦阳江,3,4.5,0.0522,0.0487,0.1009,0.05,0.75,0.9,1.7,0,3.76,1.54,5.3,0,0,0.16,0.16,0.06,0.06,0.03,0.15,0.02,0,0.5,0,0.01,0.23,0.59,0.82,0.0035,0.0014,0.0098,0,,0,0.0147,0,0,0,0,0,0,0,0,0.0147,0,0.002,0.0001,0.0001,0.0022,0,0,0.0088,0,0.0005,0.001,0.0004,0.0107,0,0,0,0.0009,0.0001,0.001,0,0.0002,0.0001,0.0003,0,0.0002,0.0001,0.0003,0,0.0001,0.0001,0.0002,0,0.0147,0,0,0.0147,0.0147,0.0147,0,,,,,,,,,,,,,,,,,,,,,,,
112,金华市,东阳市,富春江坝址以上,金华江上游,3,1528.8,73.8721,30.734,104.6061,18.5,271.54,345.98,636.02,0.73,114.88,85.39,201,0,3.1,43.91,30.955,24.85,1.76,2.62,29.23,7.84,1.99,0,0,1.78,0.08,36.32,36.4,2.1605,0.1171,0.0151,0,,0,2.2927,0.0002,0,0,0.0002,0,0,0,0,2.2929,0,0.9605,0.0207,0.0219,1.0031,0,0.0081,0,0,0.1417,0.0003,0.0197,0.1698,0,0,0.0102,0.3234,0.1456,0.4792,0.0002,0.0122,0.0818,0.094,0,0.2847,0.0967,0.3814,0,0.0952,0.0702,0.1654,0,2.2929,0.0002,0,2.2929,2.2929000000000004,2.2929,0,,,,,,,,,,,,,,,,,,,,,,,
113,金华市,东阳市,富春江坝址以上,金华江下游,3,30,0,1.3768,1.3768,0.06,0.12,0,0.18,0,0,0,0,0,0,1.62,0.77,0.41,0.18,0.08,0.67,0.16,0.11,0,0,0.01,0.02,1.44,1.46,0.0197,0,0.0071,0,,0,0.0268,0,0,0,0,0,0,0,0,0.0268,0,0.0185,0.0013,0.001,0.0208,0,0.001,0,0,0.0005,0.0001,0.0006,0.0022,0,0,0,0,0,0,0,0,0,0,0,0,0.0036,0.0036,0,0,0.0002,0.0002,0,0.0268,0,0,0.0268,0.026799999999999997,0.0268,0,,,,,,,,,,,,,,,,,,,,,,,
114,金华市,东阳市,富春江坝址以下,浦阳江,3,18.6,0,0.3267,0.3267,0.01,0,0,0.01,0,0,0,0,0,0,0.34,0.09,0.01,0.05,0.01,0.07,0.07,0.02,0,0,0,0.02,0.15,0.17,0.0016,0,0,0,,0,0.0016,0,0,0,0,0,0,0,0,0.0016,0,0.0003,0.0002,0.0001,0.0006,0,0.0001,0,0,0,0,0.0001,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0.0008,0.0008,0,0,0,0,0,0.0016,0,0,0.0016,0.0015999999999999999,0.0016,0,,,,,,,,,,,,,,,,,,,,,,,
