序号,所属流域_一级,二级,三级,四级,四级编码,行政区_县区代码,县区名称,市,面积,农田灌溉用水量_水田,旱地,菜田,小计,其中地下水,林牧渔畜用水量_林地灌溉,园地灌溉,草场灌溉,鱼塘补水,大牲畜用水量,小牲畜用水量,小计,其中地下水,工业用水量_火（核）电_直流式,循环式,国有及规模以上,规模以下,小计,其  中       地下水,城镇公共用水量_建筑业,服务业,小计,其中地下水,居民生活用水量_城镇居民,农村居民,小计,其  中地下水,生态与环境用水量_城镇环境,农村生态,小计,其  中地下水,总用水量_合计,其中地下水,环境配水量,总计,地表水用-供 检查,地下水用-供 检查,col_47,col_48,zjszyreport,12.0
105,东南诸河,钱塘江,富春江坝址以上,衢江下游,G010120,330702,婺城区,金华市,332.6,0.3353,0.0043,0.0071,0.3467,,0.0027,0.0113,0.0003,0.028,0.017,0.0054,0.0647,0.0012,0,0.0086,0.0855,0.0585,0.1526,0.002,0.014,0.01368,0.0277,0.0025,0.055,0.015,0.07,0.013,0.025,,0.025,,0.6867,0.0187,,0.6867,0,0,,,,
106,东南诸河,钱塘江,富春江坝址以上,金华江下游,G010140,330702,婺城区,金华市,1059.4,0.8329,0.0069,0.0302,0.87,,0.0068,0.0285,0.0006,0.0229,0.0268,0.0094,0.095,0.004,0,0.0091,0.2987,0.0751,0.3829,0.01,0.0271,0.0453,0.0724,0.0043,0.2467,0.06,0.3067,0.028,0.061,,0.061,,1.788,0.0463,,1.788,0,0,,,,
107,东南诸河,钱塘江,富春江坝址以上,金华江下游,G010140,330703,金东区,金华市,658,0.546,0.0151,0.05,0.6111,0,0.0046,0.0052,,0.0307,0.0019,0.0072,0.0496,0.0055,,,0.1505,0.0444,0.1949,0.0016,0.007,0.0702,0.0772,0.0019,0.1398,0.0663,0.2061,0.0098,0.0401,0,0.0401,0,1.179,0.0188,,1.179,0,0,,,,
108,东南诸河,钱塘江,富春江坝址以上,金华江下游,G010140,330723,武义县,金华市,929.4,0.6262,0.0127,0.0115,0.6504,0,0.004,0.0032,0,0.0264,0.0003,0.0097,0.0436,0.004,0,0.007,0.1526,0.03,0.1896,0.0003,0.0059,0.0271,0.033,0,0.1068,0.0388,0.1456,0,0.0255,0.0097,0.0352,0,1.0974,0.0043,,1.0974,0,0,,,,
109,东南诸河,浙南诸河,瓯江温溪以上,大溪,G030110,330723,武义县,金华市,638.6,0.1503,0.0038,0.0009,0.155,0,0.0031,0.0018,0,0.0036,0.0002,0.0058,0.0145,0.0011,,,0.024,0.0013,0.0253,0,0.001,0.0062,0.0072,0,0.0137,0.0186,0.0323,0,0.0041,0.006,0.0101,0,0.2444,0.0011,,0.2444,0,0,,,,
110,东南诸河,钱塘江,富春江坝址以下,富春江下游段,G010210,330726,浦江县,金华市,400.6,0.0307,0.0078,0.0008,0.0393,0,0.0001,0.0221,0,0.0104,0.0006,0.0004,0.0336,0,,,0.014,0.0056,0.0196,0,0.0018,0.003,0.0048,,0.0139,0.0118,0.0257,,0.0023,0.0031,0.0054,,0.1284,0,,0.1284,0,0,,,,
111,东南诸河,钱塘江,富春江坝址以下,浦阳江,G010220,330726,浦江县,金华市,517.4,0.3195,0.0103,0.0042,0.334,0,0.0002,0.0182,0,0.0135,0.0016,0.0011,0.0346,0,,,0.1899,0.077,0.2669,0,0.0191,0.03,0.0491,,0.0888,0.0814,0.1702,0,0.0126,0.0036,0.0162,,0.871,0,,0.871,0,0,,,,
112,东南诸河,钱塘江,富春江坝址以上,金华江上游,G010130,330727,磐安县,金华市,418.5,0.0088,0.0043,0.0019,0.015,,0.0014,,,0.0004,0.0001,0.0008,0.0027,,,,0.0066,0.0087,0.0153,0,0.0223,0.0155,0.0378,0,0.0284,0.0078,0.0362,0,0.0021,,0.0021,0,0.1091,0,,0.1091,0,0,,,,
113,东南诸河,钱塘江,富春江坝址以下,曹娥江百官以上,G010240,330727,磐安县,金华市,207.4,0.0096,0.00415,0.04035,0.0541,,0.0017,,,0.0002,0.0001,0.0006,0.0026,,,,0.0042,0.0071,0.0113,0,0.0158,0.0051,0.0209,0,0.0104,0.0122,0.0226,0,0.0007,,0.0007,0,0.1122,0,,0.1122,0,0,,,,
114,东南诸河,浙南诸河,瓯江温溪以上,大溪,G030110,330727,磐安县,金华市,224,0.012885,0.005856,0.001859,0.0206,,0.0009,,,,0.0001,0.0005,0.0015,,,,0.0015,0.0026,0.0041,3e-05,0.0049,0.0029,0.0078,0,0.0053,0.0096,0.0149,4e-05,0,,0,0,0.0489,0.0001,,0.0489,0,0,,,,
115,东南诸河,浙南诸河,瓯江温溪以下,永安溪,G030210,330727,磐安县,金华市,140.2,0.0078,0.0012,0.0006,0.0096,,0.0003,,,0.0001,0.0001,0.0004,0.0009,,,,0.0009,0.0011,0.002,0,0.0018,0.0012,0.003,0,0.0015,0.0024,0.0039,5e-05,0.0001,,0.0001,0,0.0195,0.0001,,0.0195,0,0,,,,
116,东南诸河,浙南诸河,瓯江温溪以下,始丰溪,G030220,330727,磐安县,金华市,204.9,0.01075,0.00415,0.0006,0.0155,,0.0003,,,0.0001,0.0001,0.0005,0.001,,,,0.001,0.0019,0.0029,0.000188,0.0026,0.0016,0.0042,0,0.0025,0.0043,0.0068,0,0.0001,,0.0001,0,0.0305,0.0002,,0.0305,0,0,,,,
117,东南诸河,钱塘江,富春江坝址以上,衢江下游,G010120,330781,兰溪市,金华市,330.1,0.3917,0.0076,0.009,0.4083,0,0,0.0184,0,0.2151,0.0038,0.0073,0.2446,0,,,0.0763,0.0085,0.0848,0,0.003,0.0063,0.0093,0.0003,0.029,0.0189,0.0479,0,0.0027,0.0007,0.0034,0,0.7983,0.0003,,0.7983,0,0,,,,
118,东南诸河,钱塘江,富春江坝址以上,金华江下游,G010140,330781,兰溪市,金华市,126.1,0.0756,0.0033,0.0033,0.0822,0,0,0.0099,0,0.0194,0.0012,0.004,0.0345,0,0,0.202,0.0322,0.0036,0.2378,0.0003,0.0008,0.0053,0.0061,0,0.0083,0.0101,0.0184,0,0.001,0.0002,0.0012,0,0.3802,0.0003,,0.3802,0,0,,,,
119,东南诸河,钱塘江,富春江坝址以上,兰江及富春江上游段,G010160,330781,兰溪市,金华市,851.3,0.5841,0.0089,0.0138,0.6068,0,0,0.0098,0,0.1024,0.0036,0.0091,0.1249,0,0,0.0004,0.1452,0.0162,0.1618,0.0012,0.0005,0.0151,0.0156,0,0.0956,0.054,0.1496,0.0001,0.0068,0.0017,0.0085,0,1.0672,0.0013,,1.0672,0,0,,,,
120,东南诸河,钱塘江,富春江坝址以下,浦阳江,G010220,330781,兰溪市,金华市,4.5,0.002,0.0001,0.0001,0.0022,0,0,0.0088,0,0.0005,0.001,0.0004,0.0107,0,,,0.0009,0.0001,0.001,0,0.0002,0.0001,0.0003,0,0.0002,0.0001,0.0003,0,0.0001,0.0001,0.0002,0,0.0147,0,,0.0147,0,0,,,,
121,东南诸河,钱塘江,富春江坝址以上,金华江上游,G010130,330782,义乌市,金华市,349.1,0.1733,0.0303,0.0236,0.2272,0,0.0059,0.0046,0,0.04,0,0.001,0.0515,0,,,0.3317,0.2358,0.5675,0,0.028,0.1071,0.1351,0,0.3271,0.0715,0.3986,0,0.0669,0.0042,0.0711,0,1.451,0,0.2582,1.7092,0,0,,,,
