序号,市,县（市、区）,水资源分区,nan,水资源利用分区,面积（km2）,人口（万人）,nan,nan,国内地区生产总值  （亿元）,nan,nan,nan,工业增加值（亿元）,nan,nan,nan,火(核)电装机(万kW),nan,总耕地面积      （万亩）,有效灌溉面积   （万亩）,农田实灌面积（万亩）,nan,nan,nan,粮食产量（万吨）,林牧渔面积（万亩）,nan,nan,nan,牲畜(万头),nan,nan,地表水源供水量,nan,nan,nan,nan,nan,nan,地下水源供水量,nan,nan,nan,其他水源供水量,nan,nan,nan,总供水量,环境配水量,农田灌溉用水量,nan,nan,nan,nan,林牧渔畜用水量,nan,nan,nan,nan,nan,nan,nan,工业用水量,nan,nan,nan,nan,nan,城镇公共用水量,nan,nan,nan,居民生活用水量,nan,nan,nan,生态与环境用水量,nan,nan,nan,总用水量,nan,环境配水量,总计,总用水量（核算）,总供水量（核算）,总供水-总用水,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
173,丽水市,莲都区,瓯江温溪以上,大溪,6,1374.8,43.5419,12.1374,55.6793,20.1296,140.2312,289.956,450.3168,0.5214,97.0787,9.5609,107.161,0,0.75,23.78,16.71,14.03,1.86,0.78,16.67,3.91,0,4.12,0,0.42,0.14,29.7,29.84,0.7457,0.5933,0.079,0,0,0,1.418,0.0002,0,0,0.0002,0.021,0,0,0.021,1.4392,0,0.5589,0.0155,0.0085,0.5829,0,0,0.024,0,0.0183,0.0005,0.0129,0.0557,0,0,0.0053,0.1683,0.0171,0.1907,0.0001,0.0475,0.1895,0.237,0.0001,0.2633,0.0561,0.3194,0,0.041,0.0125,0.0535,0,1.4392,0.0002,0,1.4392,1.4392,1.4391999999999998,0,340.59462233621804,154.84799502319447,,,,,,,,
174,丽水市,莲都区,瓯江温溪以上,小溪及瓯江青田段,6,127.2,0.0181,0.8426,0.8607,1.0474,2.1519,0.0109,3.2102,2.3524,0,0,2.3524,0,70,1.3,0.87,0.82,0.02,0.03,0.87,0.22,0,0.2,0,0.02,0.03,1.11,1.14,0.049,0.0084,0.0043,0,0,0,0.0617,0,0,0,0,0,0,0,0,0.0617,0,0.0291,0.0002,0.0005,0.0298,0,0,0.0009,0,0.0009,0.0001,0.0005,0.0024,0,0,0.0248,0,0,0.0248,0,0,0,0,0,0.0001,0.0035,0.0036,0,0,0.0011,0.0011,0,0.0617,0,0,0.0617,0.06169999999999999,0.0617,0,151.36607886172706,149.56966207010916,,,,,,,,
175,丽水市,龙泉市,富春江坝址以上,衢江下游,6,316.1,0.3104,0.1757,0.4861,1.6984,5.0713,8.7711,15.5408,0,1.9047,0,1.9047,0,0,2.71,2.43,1.72,0.42,0.2,2.34,0.53,0,0,0,0,0,1.68,1.68,0.0359,0.0283,0.0045,0,0,0,0.0687,0,0,0,0,0,0,0,0,0.0687,0,0.049,0.0039,0.0024,0.0553,0,0,0,0,0,0,0.0009,0.0009,0,0,0,0.0032,0,0.0032,0,0,0.0021,0.0021,0,0.0012,0.0006,0.0018,0,0.0054,0,0.0054,0,0.0687,0,0,0.0687,0.0687,0.0687,0,767.900014122299,93.55922688892181,,,,,,,,
176,丽水市,龙泉市,瓯江温溪以上,大溪,6,2438.8,15.8099,7.7962,23.6061,11.7641,39.9662,62.7371,114.4674,0.5454,34.639,0,35.1844,0,3,27.89,16.48,12.64,2.08,0.9,15.62,6.28,0,0,0,0.06,0.08,11.67,11.75,0.3147,0.2385,0.0419,0,0,0,0.5951,0,0,0,0,0.0133,0,0,0.0133,0.6084,0,0.3729,0.0197,0.0105,0.4031,0,0,0,0,0.0024,0.0003,0.0047,0.0074,0,0,0.0085,0.0569,0,0.0654,0,0.009,0.0216,0.0306,0,0.0616,0.0269,0.0885,0,0.0134,0,0.0134,0,0.6084,0,0,0.6084,0.6084,0.6083999999999999,0,182.9961407049701,94.53147704905763,,,,,,,,
177,丽水市,龙泉市,瓯江温溪以上,小溪及瓯江青田段,6,216.3,0.2572,0.1178,0.375,1.9277,6.8401,9.1334,17.9012,0,4.8483,0,4.8483,0,0,5.13,2.99,2.1,0.51,0.25,2.86,0.64,0,0,0,0,0.03,1.23,1.26,0.0458,0.0358,0.006,0,0,0,0.0876,0,0,0,0,0,0,0,0,0.0876,0,0.0596,0.005,0.003,0.0676,0,0,0,0,0,0.0001,0.0006,0.0007,0,0,0,0.0075,0,0.0075,0,0.0037,0.0013,0.005,0,0.001,0.0004,0.0014,0,0.0054,0,0.0054,0,0.0876,0,0,0.0876,0.08760000000000001,0.0876,0,1214.3420183642602,93.02974626136707,,,,,,,,
178,丽水市,龙泉市,闽江上游,闽江上游,6,87.8,0.3125,0.1703,0.4828,1.4692,5.3624,7.0147,13.8463,0,1.3737,0,1.3737,0,0,2.95,2.67,1.91,0.46,0.18,2.55,0.39,0,0,0,0.07,0.03,0.77,0.8,0.0392,0.0276,0.0052,0,0,0,0.072,0,0,0,0,0,0,0,0,0.072,0,0.0545,0.0044,0.0021,0.061,0,0,0,0,0.0024,0.0001,0.0004,0.0029,0,0,0,0.0021,0,0.0021,0,0,0.0042,0.0042,0,0.0012,0.0006,0.0018,0,0,0,0,0,0.072,0,0,0.072,0.072,0.072,0,473.4246575342465,96.52587295586353,,,,,,,,
179,丽水市,青田县,瓯江温溪以上,大溪,6,1138.1,6.1279,12.4563,18.5842,4.1853,41.9463,62.9739,109.1055,0.4,33.4001,0,33.8001,0,1.2,19.3,6.21,4.63,0.56,0.22,5.41,2.82,0,0.54,0,0.01,0.17,7.56,7.73,0.1342,0.2369,0.0085,0,0,0,0.3796,0,0,0,0,0,0,0,0,0.3796,0,0.2151,0.006,0.0029,0.224,0,0,0.0032,0,0.0005,0.0006,0.0035,0.0078,0,0,0.0023,0.0721,0,0.0744,0,0.005,0.0177,0.0227,0,0.0224,0.0279,0.0503,0,0,0.0004,0.0004,0,0.3796,0,0,0.3796,0.37960000000000005,0.3796,0,201.637826719784,62.245005800552704,,,,,,,,
180,丽水市,青田县,瓯江温溪以上,小溪及瓯江青田段,6,1314.6,13.9883,11.3337,25.322,5.0203,54.4975,70.5361,130.0539,0,38.2102,0,38.2102,0,0,20.87,6.78,5.308,0.48,0.17,5.958,2.49,0,0.44,0,0.02,0.14,7.35,7.49,0.1839,0.2784,0.0035,0,0,0,0.4658,0,0,0,0,0.0171,0,0,0.0171,0.4829,0,0.2488,0.005,0.0021,0.2559,0,0,0.0027,0,0.001,0.0005,0.003,0.0072,0,0,0,0.0751,0,0.0751,0,0.0079,0.0411,0.049,0,0.051,0.0269,0.0779,0,0.0178,0,0.0178,0,0.4829,0,0,0.4829,0.48289999999999994,0.4829,0,230.72119273063723,65.02609927648192,,,,,,,,
181,丽水市,青田县,瓯江温溪以下,楠溪江,6,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
182,丽水市,青田县,瓯江温溪以下,瓯江下游干流,6,22.6,7.0838,0,7.0838,0.9878,10.1107,22.7307,33.8292,0,17.9611,0,17.9611,0,0,0.84,0.63,0.46,0.17,0,0.63,0.12,0,0.28,0,0,0.03,0.5,0.53,0.0894,0.0271,0.0003,0,0,0,0.1168,0,0,0,0,0,0,0,0,0.1168,0,0.0219,0.0019,0,0.0238,0,0,0.0016,0,0,0.0001,0.0002,0.0019,0,0,0,0.0389,0,0.0389,0,0.0039,0.0224,0.0263,0,0.0259,0,0.0259,0,0,0,0,0,0.1168,0,0,0.1168,0.11679999999999999,0.1168,0,201.88839130147235,,,,,,,,,
