序号,所属流域_一级,二级,三级,四级,四级编码,行政区_县区代码,县区名称,市,面积,人口（万人）_城镇,农村,合计,国内地区生产总值  （亿元）_一产,二产,三产,合计,工业增加值（亿元）_火核电工业,国有及规模以上一般工业,规模以下工业,合计,火(核)电装机(万kW)_直流式,循环式,总耕地面积      （万亩）,有效灌溉面积   （万亩）,农田实灌面积（万亩）_水田,水浇地,菜田,总计,粮食产量（万吨）,林牧渔面积（万亩）_林地灌溉,园地灌溉,草场灌溉,人工鱼塘,牲畜(万头)_大牲畜,小牲畜,合计
172,东南诸河,浙南诸河,瓯江温溪以上,大溪,G030110,331102,莲都区,丽水市,1374.8,43.5419,12.1374,55.6793,20.1296,140.2312,289.956,450.3168,0.5214,97.0787,9.5609,107.161,0,0.75,23.78,16.71,14.03,1.86,0.78,16.67,3.91,0,4.12,0,0.42,0.14,29.7,29.84
173,东南诸河,浙南诸河,瓯江温溪以上,小溪及瓯江青田段,G030120,331102,莲都区,丽水市,127.2,0.0181,0.8426,0.8607,1.0474,2.1519,0.0109,3.2102,2.3524,0,0,2.3524,0,70,1.3,0.87,0.82,0.02,0.03,0.87,0.22,0,0.2,0,0.02,0.03,1.11,1.14
174,东南诸河,浙南诸河,瓯江温溪以上,大溪,G030110,331121,青田县,丽水市,1138.1,6.1279,12.4563,18.5842,4.1853,41.9463,62.9739,109.1055,0.4,33.4001,0,33.8001,0,1.2,19.3,6.21,4.63,0.56,0.22,5.41,2.82,0,0.54,0,0.01,0.17,7.56,7.73
175,东南诸河,浙南诸河,瓯江温溪以上,小溪及瓯江青田段,G030120,331121,青田县,丽水市,1314.6,13.9883,11.3337,25.322,5.0203,54.4975,70.5361,130.0539,0,38.2102,0,38.2102,0,0,20.87,6.78,5.308,0.48,0.17,5.958,2.49,0,0.44,0,0.02,0.14,7.35,7.49
176,东南诸河,浙南诸河,瓯江温溪以下,楠溪江,G030260,331121,青田县,丽水市,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,东南诸河,浙南诸河,瓯江温溪以下,瓯江下游干流,G030270,331121,青田县,丽水市,22.6,7.0838,0,7.0838,0.9878,10.1107,22.7307,33.8292,0,17.9611,0,17.9611,0,0,0.84,0.63,0.46,0.17,0,0.63,0.12,0,0.28,0,0,0.03,0.5,0.53
178,东南诸河,浙南诸河,瓯江温溪以下,飞云江,G030280,331121,青田县,丽水市,8.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,东南诸河,钱塘江,富春江坝址以上,金华江下游,G010140,331122,缙云县,丽水市,298.7,7.9998,5.6541,13.6539,3.1725,40.3825,21.0901,64.6451,0,34.5278,0,34.5278,0,0,10.65,4.27,3.53,0.44,0.24,4.21,1.22,0.07,0.28,0,0.12,0.03,5.92,5.95
180,东南诸河,浙南诸河,瓯江温溪以上,大溪,G030110,331122,缙云县,丽水市,981.9,15.4702,7.7918,23.262,7.7018,76.9258,106.0707,190.6983,0,66.7768,0,66.7768,0,0,20.39,9.45,7.814,0.93,0.53,9.274,3.08,0.08,0.31,0,0.2,0.02,8.11,8.13
181,东南诸河,浙南诸河,瓯江温溪以下,永安溪,G030210,331122,缙云县,丽水市,130.9,0,2.9104,2.9104,1.1688,7.4782,5.6806,14.3276,0,1.2113,0,1.2113,0,0,2.5,1.29,0.9,0.35,0,1.25,0.52,0,0,0,0,0.02,2.87,2.89
182,东南诸河,浙南诸河,瓯江温溪以下,楠溪江,G030260,331122,缙云县,丽水市,82.5,0,0.7937,0.7937,0.5218,0.8833,2.8512,4.2563,0,0.072,0,0.072,0,0,0.93,0.38,0.3,0.08,0,0.38,0.15,0,0,0,0,0,1.01,1.01
183,东南诸河,钱塘江,富春江坝址以上,衢江下游,G010120,331123,遂昌县,丽水市,1822,2.4783,3.7819,6.2602,8.0025,28.3462,45.6454,81.9941,0,4.6834,0,4.6834,0,0,21.14,9.18,7.64,0.62,0.12,8.38,4.07,0.0333,0.28,0,0.1847,0.1244,3.885,4.0094
184,东南诸河,钱塘江,富春江坝址以上,金华江下游,G010140,331123,遂昌县,丽水市,27.5,0,0.0299,0.0299,0.0481,0.0728,0.0252,0.1461,0,0,0,0,0,0,0.41,0.03,0.02,0.01,0,0.03,0.01,0,0,0,0,0,0,0
185,东南诸河,浙南诸河,瓯江温溪以上,大溪,G030110,331123,遂昌县,丽水市,689.5,8.4617,4.7582,13.2199,5.2589,30.3708,35.2292,70.8589,0,43.2521,0,43.2521,0,0,7.08,5.36,4.1,0.42,0.32,4.84,2.27,0.0667,0.56,0,0.2053,0.0356,2.39,2.4256
