序号,市,县（市、区）,水资源分区,nan,水资源利用分区,面积（km2）,人口（万人）,nan,nan,国内地区生产总值  （亿元）,nan,nan,nan,工业增加值（亿元）,nan,nan,nan,火(核)电装机(万kW),nan,总耕地面积      （万亩）,有效灌溉面积   （万亩）,农田实灌面积（万亩）,nan,nan,nan,粮食产量（万吨）,林牧渔面积（万亩）,nan,nan,nan,牲畜(万头),nan,nan,地表水源供水量,nan,nan,nan,nan,nan,nan,地下水源供水量,nan,nan,nan,其他水源供水量,nan,nan,nan,总供水量,环境配水量,农田灌溉用水量,nan,nan,nan,nan,林牧渔畜用水量,nan,nan,nan,nan,nan,nan,nan,工业用水量,nan,nan,nan,nan,nan,城镇公共用水量,nan,nan,nan,居民生活用水量,nan,nan,nan,生态与环境用水量,nan,nan,nan,总用水量,nan,环境配水量,总计,总用水量（核算）,总供水量（核算）,总供水-总用水,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
152,台州市,椒江区,瓯江温溪以下,灵江及椒江左岸,4,100.9,10.37,5.29,15.66,4.42,58.14,82.27,144.83,32.54,13.21,4.12,49.87,136,0,8,4.49,2.645,1.322,0,3.967,0.78,0.56,0.99,0,0.012,0.12,2.41,2.53,0.2387,0,0.0896,0,,0,0.3283,0.0004,0,0,0.0004,0,0,0,0,0.3287,0.0322,0.1207,0.0092,0,0.1299,0,0.0112,0.0049,0,0.0013,0.0005,0.0009,0.0188,0,0.0707,0,0.0137,0.0079,0.0923,0,0.0048,0.0054,0.0102,0,0.0491,0.0201,0.0692,0.0004,0.0051,0.0032,0.0083,0,0.3287,0.0004,0.0322,0.3609,0.32869999999999994,0.3287,0,170.1430628393284,120.67224279462413,,,,,,,,
153,台州市,椒江区,瓯江温溪以下,温黄平原,4,174.1,53.93,15.01,68.94,14.56,222.6,370.15,607.31,2.49,130.75,62.02,195.26,0,2.7,13.42,8.38,6.513,1.468,0,7.981,2.41,0.11,0.34,0,0.115,0.0115,1.205,1.2165,0.8495,0,0.2946,0,,0,1.1441,0.0012,0,0,0.0012,0.0374,0.0092,0,0.0466,1.1919,0.3765,0.2559,0.0103,0,0.2662,0,0.0023,0.0017,0,0.0114,0.0001,0.0004,0.0159,0,0,0.013,0.2952,0.0778,0.386,0,0.0409,0.0922,0.1331,0,0.2403,0.048,0.2883,0.0012,0.0586,0.0438,0.1024,0,1.1919,0.0012,0.3765,1.5684,1.1919000000000002,1.1919,0,219.46257070936701,167.55952652569516,,,,,,,,
154,台州市,黄岩区,瓯江温溪以下,永安溪,4,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
155,台州市,黄岩区,瓯江温溪以下,温黄平原,4,933.5,45.13,25.08,70.21,20.27,274.4,292.28,586.95,0.36,110.51,140.16,251.03,0,35,24.06,14.26,10.445,2.485,0,12.93,3.38,2.1,0.53,0,0.204,0.1619,6.46,6.6219,0.9719,0,0.2459,0,0,0,1.2178,0.0021,0,0,0.0021,0.0823,0.0036,0,0.0859,1.3058,0.4255,0.4801,0.0238,0,0.5039,0,0.0203,0.0057,0,0.0204,0.0004,0.0029,0.0497,0,0,0.0086,0.1441,0.0814,0.2341,0,0.0179,0.1306,0.1485,0,0.193,0.0784,0.2714,0.0021,0.0602,0.038,0.0982,0,1.3058,0.0021,0.4255,1.7313,1.3057999999999998,1.3058,0,243.86172063050725,127.15474863996856,,,,,,,,
156,台州市,黄岩区,瓯江温溪以下,楠溪江,4,50.2,0,1.09,1.09,0.52,0,0,0.52,0,0,0,0,0,0,0.59,0.59,0.41,0.13,0,0.54,0.37,0.02,0,0,0,0,0,0,0.0202,0,0,0,0,0,0.0202,0,0,0,0,0,0.0053,0,0.0053,0.0255,0,0.0188,0.0013,0,0.0201,0,0.0002,0,0,0,0,0,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0.0034,0.0034,0,0.0018,0,0.0018,0,0.0255,0,0,0.0255,0.0255,0.0255,0,,85.45934397385949,,,,,,,,
157,台州市,路桥区,瓯江温溪以下,温黄平原,4,273,41.71,21.59,63.3,14.19,278.82,423.65,716.66,0.67,108.36,115.59,224.62,0,3.9,18.115,15.5,13.75,0.99,0,14.74,3.66,0.55,0.46,0,0.702,0.018,5.087,5.105,0.6726,0,0.5474,0,,0,1.22,0.0176,0,0,0.0176,0.0345,0.007,0,0.0415,1.2791,0.2741,0.5113,0.0094,0,0.5207,0,0.0065,0.0079,0,0.0702,0.0001,0.0018,0.0865,0,0,0.0264,0.0694,0.0553,0.1511,0,0.0168,0.1315,0.1483,0,0.2185,0.0769,0.2954,0.0176,0.047,0.0301,0.0771,0,1.2791,0.0176,0.2741,1.5532,1.2791,1.2791000000000001,0,271.80499403907606,135.78077115864141,,,,,,,,
158,台州市,临海市,浙东沿海诸河,象山港及三门湾,4,113.7,4.3,4.12,8.42,4.06,27.44,30.25,61.75,0,18.61,4.55,23.16,0,0,4.34,3.19,2.243,0.508,0.316,3.067,0.91,0.02,0.14,0,0.06,0.04,4.65,4.69,0.1565,0.027,0.0192,0,0,0,0.2027,0.0001,0,0,0.0001,0,0,0,0,0.2028,0,0.0886,0.005,0.0017,0.0953,0,0.0012,0.0015,0,0.004,0.0001,0.0021,0.0089,0,0,0,0.0314,0.0052,0.0366,0,0.0042,0.0077,0.0119,0,0.0227,0.0173,0.04,0.0001,0.0055,0.0046,0.0101,0,0.2028,0.0001,0,0.2028,0.2028,0.20279999999999998,0,255.49538069448874,145.63106796116503,,,,,,,,
159,台州市,临海市,瓯江温溪以下,永安溪,4,397.1,5.29,5.08,10.37,5.02,33.64,37.18,75.84,0,22.87,5.59,28.46,0,0,6.05,4.283,2.991,0.738,0.393,4.122,1.12,0.02,0.18,0,0.04,0.06,9.52,9.58,0.1311,0.0999,0.0365,0,0,0,0.2675,0.0001,0,0,0.0001,0,0,0,0,0.2676,0,0.1182,0.007,0.0021,0.1273,0,0.0007,0.0009,0,0.0025,0.0003,0.0028,0.0072,0,0,0,0.0383,0.0069,0.0452,0,0.0067,0.0138,0.0205,0,0.0295,0.0209,0.0504,0.0001,0.0109,0.0061,0.017,0,0.2676,0.0001,0,0.2676,0.2676,0.2676,0,315.4051324546184,145.61535972387014,,,,,,,,
160,台州市,临海市,瓯江温溪以下,始丰溪,4,247,7.24,6.96,14.2,6.88,46.12,50.88,103.88,0,31.3,7.66,38.96,0,0,9.07,5.838,3.912,1.63,0.24,5.782,1.53,0.04,0.24,0,0.04,0.08,13.05,13.13,0.1914,0.1121,0.048,0,0,0,0.3515,0.0001,0,0,0.0001,0,0,0,0,0.3516,0,0.1548,0.0157,0.0013,0.1718,0,0.0014,0.0016,0,0.0027,0.0006,0.0035,0.0098,0,0,0,0.0523,0.0097,0.062,0,0.0076,0.0173,0.0249,0,0.0406,0.029,0.0696,0.0001,0.0081,0.0054,0.0135,0,0.3516,0.0001,0,0.3516,0.3516,0.35159999999999997,0,278.5135851055778,135.41174618170368,,,,,,,,
161,台州市,临海市,瓯江温溪以下,灵江及椒江左岸,4,1381.2,39.39,37.84,77.23,37.49,251.17,278.91,567.57,0.37,170.05,41.7,212.12,0,6.2,41.15,22.75,15.8,3.375,3.442,22.617,8.18,0.08,1.01,0,1.36,0.41,69.52,69.93,1.5976,0.2164,0.1239,0,0,0,1.9379,0.0014,0,0,0.0014,0,0,0,0,1.9393,0,0.9017,0.0307,0.0179,0.9503,0,0.0046,0.0064,0,0.0844,0.0025,0.0189,0.1168,0,0,0.0214,0.2545,0.0473,0.3232,0,0.0318,0.0676,0.0994,0,0.2146,0.1634,0.378,0.0014,0.043,0.0286,0.0716,0,1.9393,0.0014,0,1.9393,1.9392999999999998,1.9393,0,248.30723325230312,139.01358278548466,,,,,,,,
