序号,所属流域_一级,二级,三级,四级,四级编码,行政区_县区代码,县区名称,市,面积,农田灌溉用水量_水田,旱地,菜田,小计,其中地下水,林牧渔畜用水量_林地灌溉,园地灌溉,草场灌溉,鱼塘补水,大牲畜用水量,小牲畜用水量,小计,其中地下水,工业用水量_火（核）电_直流式,循环式,国有及规模以上,规模以下,小计,其  中       地下水,城镇公共用水量_建筑业,服务业,小计,其中地下水,居民生活用水量_城镇居民,农村居民,小计,其  中地下水,生态与环境用水量_城镇环境,农村生态,小计,其  中地下水,总用水量_合计,其中地下水,环境配水量,总计,地表水用-供 检查,地下水用-供 检查
151,东南诸河,浙南诸河,瓯江温溪以下,灵江及椒江左岸,G030230,331002,椒江区,台州市,100.9,0.1207,0.0092,0,0.1299,0,0.0112,0.0049,0,0.0013,0.0005,0.0009,0.0188,0,0.0707,0,0.0137,0.0079,0.0923,0,0.0048,0.0054,0.0102,0,0.0491,0.0201,0.0692,0.0004,0.0051,0.0032,0.0083,0,0.3287,0.0004,0.0322,0.3609,0,0
152,东南诸河,浙南诸河,瓯江温溪以下,温黄平原,G030240,331002,椒江区,台州市,174.1,0.2559,0.0103,0,0.2662,0,0.0023,0.0017,0,0.0114,0.0001,0.0004,0.0159,0,0,0.013,0.2952,0.0778,0.386,0,0.0409,0.0922,0.1331,0,0.2403,0.048,0.2883,0.0012,0.0586,0.0438,0.1024,0,1.1919,0.0012,0.3765,1.5684,0,0
153,东南诸河,浙南诸河,瓯江温溪以下,永安溪,G030210,331003,黄岩区,台州市,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,东南诸河,浙南诸河,瓯江温溪以下,温黄平原,G030240,331003,黄岩区,台州市,933.5,0.4801,0.0238,0,0.5039,0,0.0203,0.0057,0,0.0204,0.0004,0.0029,0.0497,0,0,0.0086,0.1441,0.0814,0.2341,0,0.0179,0.1306,0.1485,0,0.193,0.0784,0.2714,0.0021,0.0602,0.038,0.0982,0,1.3058,0.0021,0.4255,1.7313,0,0
155,东南诸河,浙南诸河,瓯江温溪以下,楠溪江,G030260,331003,黄岩区,台州市,50.2,0.0188,0.0013,0,0.0201,0,0.0002,0,0,0,0,0,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0.0034,0.0034,0,0.0018,0,0.0018,0,0.0255,0,0,0.0255,0,0
156,东南诸河,浙南诸河,瓯江温溪以下,温黄平原,G030240,331004,路桥区,台州市,273,0.5113,0.0094,0,0.5207,0,0.0065,0.0079,0,0.0702,0.0001,0.0018,0.0865,0,0,0.0264,0.0694,0.0553,0.1511,0,0.0168,0.1315,0.1483,0,0.2185,0.0769,0.2954,0.0176,0.047,0.0301,0.0771,0,1.2791,0.0176,0.2741,1.5532,0,0
157,东南诸河,浙东诸河,浙东沿海诸河,象山港及三门湾,G020130,331022,三门县,台州市,1069.6,0.4421,0.0139,0,0.456,0,0.0005,0.0023,0,0.0029,0.0002,0.0078,0.0137,0,0.0625,0,0.06,0.0475,0.17,0,0.0064,0.0804,0.0868,0,0.0804,0.0593,0.1397,0.0006,0.0178,0.0039,0.0217,0,0.8879,0.0006,0.1076,0.9955,0,0
158,东南诸河,浙南诸河,瓯江温溪以下,灵江及椒江左岸,G030230,331022,三门县,台州市,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,东南诸河,钱塘江,富春江坝址以下,曹娥江百官以上,G010240,331023,天台县,台州市,114.3,0.0089,0.0001,0,0.009,0,0.0001,0.0001,0,0,0.0001,0.0001,0.0004,0,0,0,0,0.0002,0.0002,0,0,0,0,0,0,0.0016,0.0016,0.0001,0,0,0,0,0.0112,0.0001,0,0.0112,0,0
160,东南诸河,浙东诸河,浙东沿海诸河,象山港及三门湾,G020130,331023,天台县,台州市,224.7,0.0296,0.0005,0,0.0301,0,0.0002,0.0002,0,0,0.0003,0.0002,0.0009,0,0,0,0.0011,0.0015,0.0026,0,0,0.0005,0.0005,0,0.0009,0.0073,0.0082,0.0002,0,0,0,0,0.0423,0.0002,0,0.0423,0,0
