序号,所属流域_一级,二级,三级,四级,四级编码,行政区_县区代码,县区名称,市,面积,人口（万人）_城镇,农村,合计,国内地区生产总值  （亿元）_一产,二产,三产,合计,工业增加值（亿元）_火核电工业,国有及规模以上一般工业,规模以下工业,合计,火(核)电装机(万kW)_直流式,循环式,总耕地面积      （万亩）,有效灌溉面积   （万亩）,农田实灌面积（万亩）_水田,水浇地,菜田,总计,粮食产量（万吨）,林牧渔面积（万亩）_林地灌溉,园地灌溉,草场灌溉,人工鱼塘,牲畜(万头)_大牲畜,小牲畜,合计
151,东南诸河,浙南诸河,瓯江温溪以下,灵江及椒江左岸,G030230,331002,椒江区,台州市,100.9,10.37,5.29,15.66,4.42,58.14,82.27,144.83,32.54,13.21,4.12,49.87,136,0,8,4.49,2.645,1.322,0,3.967,0.78,0.56,0.99,0,0.012,0.12,2.41,2.53
152,东南诸河,浙南诸河,瓯江温溪以下,温黄平原,G030240,331002,椒江区,台州市,174.1,53.93,15.01,68.94,14.56,222.6,370.15,607.31,2.49,130.75,62.02,195.26,0,2.7,13.42,8.38,6.513,1.468,0,7.981,2.41,0.11,0.34,0,0.115,0.0115,1.205,1.2165
153,东南诸河,浙南诸河,瓯江温溪以下,永安溪,G030210,331003,黄岩区,台州市,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,东南诸河,浙南诸河,瓯江温溪以下,温黄平原,G030240,331003,黄岩区,台州市,933.5,45.13,25.08,70.21,20.27,274.4,292.28,586.95,0.36,110.51,140.16,251.03,0,35,24.06,14.26,10.445,2.485,0,12.93,3.38,2.1,0.53,0,0.204,0.1619,6.46,6.6219
155,东南诸河,浙南诸河,瓯江温溪以下,楠溪江,G030260,331003,黄岩区,台州市,50.2,0,1.09,1.09,0.52,0,0,0.52,0,0,0,0,0,0,0.59,0.59,0.41,0.13,0,0.54,0.37,0.02,0,0,0,0,0,0
156,东南诸河,浙南诸河,瓯江温溪以下,温黄平原,G030240,331004,路桥区,台州市,273,41.71,21.59,63.3,14.19,278.82,423.65,716.66,0.67,108.36,115.59,224.62,0,3.9,18.115,15.5,13.75,0.99,0,14.74,3.66,0.55,0.46,0,0.702,0.018,5.087,5.105
157,东南诸河,浙东诸河,浙东沿海诸河,象山港及三门湾,G020130,331022,三门县,台州市,1069.6,20.54,17.36,37.9,36.62,154.45,128.43,319.5,36.08,75.9,24.89,136.87,950,0,32.47,19.7,11.05,3.3,0,14.35,5.13,0.03,0.21,0,0.029,0.1473,17.454,17.6013
158,东南诸河,浙南诸河,瓯江温溪以下,灵江及椒江左岸,G030230,331022,三门县,台州市,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,东南诸河,钱塘江,富春江坝址以下,曹娥江百官以上,G010240,331023,天台县,台州市,114.3,0,0.55,0.55,0.57,0.07,0.01,0.65,0,0,0.11,0.11,0,0,5,0.59,0.45,0.02,0,0.47,0.42,0.02,0.02,0,0,0.02,0.8,0.82
160,东南诸河,浙东诸河,浙东沿海诸河,象山港及三门湾,G020130,331023,天台县,台州市,224.7,0.15,1.35,1.5,1.51,6.22,2.03,9.76,0,0.6,0.81,1.41,0,0,8,1.37,1.04,0.07,0,1.11,0.71,0.02,0.02,0,0,0.08,1.25,1.33
161,东南诸河,浙南诸河,瓯江温溪以下,始丰溪,G030220,331023,天台县,台州市,1087,25.18,19.77,44.95,14.04,131.23,183.87,329.14,0.35,75.4,36.41,112.16,0,2.25,27.66,20.02,12.433,0.35,3.05,15.833,6.33,0.13,0.13,0,0.58,0.52,19.61,20.13
162,东南诸河,浙南诸河,瓯江温溪以下,永安溪,G030210,331024,仙居县,台州市,1955.3,22.49,20.51,43,16.86,114.36,151.62,282.84,0.752,56.568,37.11,94.43,0,0.75,38.28,20.402,16.298,3.62,0,19.918,8.23,0.87,1.35,0,0.4,0.4632,15.32,15.7832
163,东南诸河,浙南诸河,瓯江温溪以下,始丰溪,G030220,331024,仙居县,台州市,36.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,东南诸河,浙南诸河,瓯江温溪以下,温黄平原,G030240,331081,温岭市,台州市,638.2,92.61,42.48,135.09,80.93,543.77,604.76,1229.46,0.73,185.35,240.55,426.63,0,4.5,48.16,33.77,30.4613,2.001,1.1747,33.637,10.78,0.094,9.8,0,0.851,0.1754,110.7687,110.9441
165,东南诸河,浙南诸河,瓯江温溪以下,玉环岛,G030250,331081,温岭市,台州市,197.8,0.73,6.68,7.41,4.78,15.45,7.27,27.5,0,3.74,3.98,7.72,0,0.032,3.11,2.63,1.4236,0.0697,0.0896,1.5829,0.66,0,1.6,0,0.1135,0.0146,16.4733,16.4879
166,东南诸河,浙东诸河,浙东沿海诸河,象山港及三门湾,G020130,331082,临海市,台州市,113.7,4.3,4.12,8.42,4.06,27.44,30.25,61.75,0,18.61,4.55,23.16,0,0,4.34,3.19,2.243,0.508,0.316,3.067,0.91,0.02,0.14,0,0.06,0.04,4.65,4.69
167,东南诸河,浙南诸河,瓯江温溪以下,永安溪,G030210,331082,临海市,台州市,397.1,5.29,5.08,10.37,5.02,33.64,37.18,75.84,0,22.87,5.59,28.46,0,0,6.05,4.283,2.991,0.738,0.393,4.122,1.12,0.02,0.18,0,0.04,0.06,9.52,9.58
168,东南诸河,浙南诸河,瓯江温溪以下,始丰溪,G030220,331082,临海市,台州市,247,7.24,6.96,14.2,6.88,46.12,50.88,103.88,0,31.3,7.66,38.96,0,0,9.07,5.838,3.912,1.63,0.24,5.782,1.53,0.04,0.24,0,0.04,0.08,13.05,13.13
169,东南诸河,浙南诸河,瓯江温溪以下,灵江及椒江左岸,G030230,331082,临海市,台州市,1381.2,39.39,37.84,77.23,37.49,251.17,278.91,567.57,0.37,170.05,41.7,212.12,0,6.2,41.15,22.75,15.8,3.375,3.442,22.617,8.18,0.08,1.01,0,1.36,0.41,69.52,69.93
170,东南诸河,浙南诸河,瓯江温溪以下,温黄平原,G030240,331082,临海市,台州市,32,0.75,0.73,1.48,0.71,4.81,5.31,10.83,0,3.28,0.8,4.08,0,0,0.96,0.895,0.518,0.221,0.029,0.768,0.16,0.01,0.13,0,0.01,0.01,1.39,1.4
171,东南诸河,浙南诸河,瓯江温溪以下,玉环岛,G030250,331083,玉环市,台州市,378,47.24,17.56,64.8,40.92,380.14,290.33,711.39,25.86,220.63,108.65,355.14,0,400,15.85,8.37,6.5031,0,1.7709,8.274,1.23,0.28,2.5842,0,0.102,0.0709,7.5,7.5709
