序号,市,县（市、区）,水资源分区,nan,水资源利用分区,面积（km2）,人口（万人）,nan,nan,国内地区生产总值  （亿元）,nan,nan,nan,工业增加值（亿元）,nan,nan,nan,火(核)电装机(万kW),nan,总耕地面积      （万亩）,有效灌溉面积   （万亩）,农田实灌面积（万亩）,nan,nan,nan,粮食产量（万吨）,林牧渔面积（万亩）,nan,nan,nan,牲畜(万头),nan,nan,地表水源供水量,nan,nan,nan,nan,nan,nan,地下水源供水量,nan,nan,nan,其他水源供水量,nan,nan,nan,总供水量,环境配水量,农田灌溉用水量,nan,nan,nan,nan,林牧渔畜用水量,nan,nan,nan,nan,nan,nan,nan,工业用水量,nan,nan,nan,nan,nan,城镇公共用水量,nan,nan,nan,居民生活用水量,nan,nan,nan,生态与环境用水量,nan,nan,nan,总用水量,nan,环境配水量,总计,总用水量（核算）,总供水量（核算）,总供水-总用水,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
70,嘉兴市,南湖区,杭嘉湖平原,杭嘉湖平原,1,439,75.68,10.6,86.28,13.65,426.44,455.92,896.01,2.8754,319.3712,44.3234,366.57,0,10,24.34,24.34,13.39,2.74,3.84,19.97,10.0583,0,0.69,0,0.4725,0,143.9593,143.9593,0,0,1.7739,0.1516,,0,1.9255,0,0,0,0,0,0,0,0,1.9255,0,0.7865,0.0274,0.0577,0.8716,0,0,0.0076,0,0.0236,0,0.0045,0.0357,0,0,0.0404,0.2603,0,0.3007,0,0.0453,0.2222,0.2675,0,0.351,0.0416,0.3926,0,0.0574,0,0.0574,0,1.9255,0,0,1.9255,1.9255,1.9255,0,244.68562657476326,107.52132333936417,,,,,,,,
71,嘉兴市,秀洲区,杭嘉湖平原,杭嘉湖平原,1,548,46.87,22.7,69.57,15.01,417.35,369.96,802.32,6.99,308.86,66.47,382.32,0,20.3,33.98,33.98,24.65,3.02,0.69,28.36,14.8777,0,0,0,1.62,0.1646,119.91,120.0746,0,0,2.2732,0.1562,,0,2.4294,0,0,0,0,0.1298,0.0002,0,0.13,2.5594,0,1.1542,0.0301,0.0102,1.1945,0,0,0,0,0.0301,0.0004,0.0019,0.0324,0,0,0.1118,0.5963,0,0.7081,0,0.0194,0.2057,0.2251,0,0.2528,0.1191,0.3719,0,0.0274,0,0.0274,0,2.5594,0,0,2.5594,2.5594,2.5593999999999997,0,295.3666655950151,143.7450968559532,,,,,,,,
72,嘉兴市,嘉善县,杭嘉湖平原,杭嘉湖平原,1,507,48.6,17.3,65.9,24.31,441.38,323.57,789.26,2.576,353.0545,51.8895,407.52,0,11.1,33.6,33.6,29.67,1.09,0.02,30.78,14.4243,0,0.45,0,3.4018,0,62.0741,62.0741,0,0,2.5189,0,,0,2.5189,0,0,0,0,0,0,0,0,2.5189,0,1.2992,0.0135,0.0002,1.3129,0,0,0.0027,0,0.1174,0,0.0017,0.1218,0,0,0.058,0.4035,0,0.4615,0,0.055,0.1849,0.2399,0,0.2477,0.0854,0.3331,0,0.0424,0.0073,0.0497,0,2.5189,0,0,2.5189,2.5189,2.5189,0,298.7767066914708,146.80497268192258,,,,,,,,
73,嘉兴市,平湖市,杭嘉湖平原,杭嘉湖平原,1,554,46.18,22.17,68.35,15.08,548.28,344.14,907.5,0,488.9665,24.7335,513.7,0,542,36.56,34.69,23.19,3.17,1.78,28.14,18.8823,0,0,0,1.248,0,93.9988,93.9988,0,0,3.0503,0.0331,,0,3.0834,0,0,0,0,0,0,0,0,3.0834,0,1.1816,0.0909,0.0358,1.3083,0,0,0,0,0.0399,0,0.003,0.0429,0,0,0.1491,1.0713,0,1.2204,0,0.0358,0.1298,0.1656,0,0.2164,0.1005,0.3169,0,0.0293,0,0.0293,0,3.0834,0,0,3.0834,3.0834,3.0834,0,244.01241123180878,124.19597011882033,,,,,,,,
74,嘉兴市,海盐县,杭嘉湖平原,杭嘉湖平原,1,530.8,30.42,16.15,46.57,18.74,365.17,237.65,621.56,141.2,153.9684,47.0516,342.22,0,278.1,33.45,33.45,27.892,4.3,1,33.192,14.1225,0.09,3.3,0,1.67,0,806.8401,806.8401,0,0,2.1787,0.0518,0,0,2.2305,0,0,0,0,0,0,0,0,2.2305,0,1.2338,0.0133,0.011,1.2581,0,0.0004,0.028,0,0.0534,0,0.0113,0.0931,0,0,0.1376,0.4015,0,0.5391,0,0.035,0.072,0.107,0,0.1378,0.0691,0.2069,0,0.0263,0,0.0263,0,2.2305,0,0,2.2305,2.2304999999999997,2.2305,0,244.16164563688272,117.22295262733788,,,,,,,,
75,嘉兴市,海盐县,富春江坝址以下,钱塘江河口水域,1,54.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
76,嘉兴市,海宁市,杭嘉湖平原,杭嘉湖平原,1,730.4,77.41,32.53,109.94,19.42,692.03,484.85,1196.3,2.6813,442.1124,175.2563,620.05,0,141.5,43.83,43.83,30.275,2.72,3.41,36.405,12.1978,0,3.08,0,1.5747,0,512.4135,512.4135,0,0,3.0643,0.032,,0,3.0963,0,0,0,0,0.0035,0,0,0.0035,3.0998,0,1.305,0.0203,0.0142,1.3395,0,0,0.0246,0,0.0945,0,0.0102,0.1293,0,0,0.0838,0.7615,0,0.8453,0,0.0508,0.201,0.2518,0,0.3547,0.1192,0.4739,0,0.06,0,0.06,0,3.0998,0,0,3.0998,3.0998,3.0997999999999997,0,235.89037556649973,100.39205117299522,,,,,,,,
77,嘉兴市,海宁市,富春江坝址以下,钱塘江河口水域,1,132.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
78,嘉兴市,桐乡市,杭嘉湖平原,杭嘉湖平原,1,727,71.25,33.74,104.99,25.95,564.33,551.41,1141.69,5.92,390.1771,99.9228,496.0199,0,59.75,47.17,47.17,23,8.46,12.42,43.88,13.2276,0,0.57,0,2.615,0,345.038,345.038,0,0,3.2484,0.0771,,0,3.3255,0,0,0,0,0,0,0,0,3.3255,0,1.3576,0.0694,0.0701,1.4971,0,0,0.0046,0,0.1046,0,0.0092,0.1184,0,0,0.0834,0.6405,0,0.7239,0,0.0653,0.2648,0.3301,0,0.4028,0.1787,0.5815,0,0.0745,0,0.0745,0,3.3255,0,0,3.3255,3.3255000000000003,3.3255,0,310.4638308099015,145.10641407702738,,,,,,,,
,嘉兴,嘉兴西片供水区,嘉兴市区,,,987,122.55000000000001,33.3,155.85,28.66,843.79,825.88,1698.33,9.865400000000001,628.2312,110.79339999999999,748.89,0,30.3,58.31999999999999,58.31999999999999,38.04,5.76,4.529999999999999,48.33,24.936,0,0.69,0,2.0925000000000002,0.1646,263.8693,264.0339,0,0,4.0471,0.3078,,0,4.3549,0,0,0,0,0.1298,0.0002,0,0.13,4.4849,0,1.9406999999999999,0.057499999999999996,0.0679,2.0661,0,0,0.0076,0,0.0537,0.0004,0.0063999999999999994,0.0681,0,0,0.1522,0.8566,0,1.0088,0,0.06470000000000001,0.4279,0.49260000000000004,0,0.6038,0.1607,0.7645,0,0.0848,0,0.0848,0,4.4849,0,0,4.4849,4.4849,4.4849,0,,4.0471,4.0471,1.3418999999999999,1.0088,2.1342,,,,
,嘉兴,,海盐县,,,585,30.42,16.15,46.57,18.74,365.17,237.65,621.56,141.2,153.9684,47.0516,342.22,0,278.1,33.45,33.45,27.892,4.3,1,33.192,14.1225,0.09,3.3,0,1.67,0,806.8401,806.8401,0,0,2.1787,0.0518,,0,2.2305,0,0,0,0,0,0,0,0,2.2305,0,1.2338,0.0133,0.011,1.2581,0,0.0004,0.028,0,0.0534,0,0.0113,0.0931,0,0,0.1376,0.4015,0,0.5391,0,0.035,0.072,0.107,0,0.1378,0.0691,0.2069,0,0.0263,0,0.0263,0,2.2305,0,0,2.2305,2.2304999999999997,2.2305,0,,2.1787,2.1787,0.3402,0.5391,1.3512,,,,
