序号,市,县（市、区）,水资源分区,nan,水资源利用分区,面积（km2）,人口（万人）,nan,nan,国内地区生产总值  （亿元）,nan,nan,nan,工业增加值（亿元）,nan,nan,nan,火(核)电装机(万kW),nan,总耕地面积      （万亩）,有效灌溉面积   （万亩）,农田实灌面积（万亩）,nan,nan,nan,粮食产量（万吨）,林牧渔面积（万亩）,nan,nan,nan,牲畜(万头),nan,nan,地表水源供水量,nan,nan,nan,nan,nan,nan,地下水源供水量,nan,nan,nan,其他水源供水量,nan,nan,nan,总供水量,环境配水量,农田灌溉用水量,nan,nan,nan,nan,林牧渔畜用水量,nan,nan,nan,nan,nan,nan,nan,工业用水量,nan,nan,nan,nan,nan,城镇公共用水量,nan,nan,nan,居民生活用水量,nan,nan,nan,生态与环境用水量,nan,nan,nan,总用水量,nan,环境配水量,总计,总用水量（核算）,总供水量（核算）,总供水-总用水,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
29,宁波市,海曙区,浙东沿海诸河,姚江,2,47,0,0.3,0.3,0.1195,0,0,0.1195,0,0,0,0,0,0,0.87,0.3001,0.1661,0.0291,0,0.1952,0.01,0.01,0,0,0,0,0,0,0.0013,0.0065,0,0,,0,0.0078,0,0,0,0,0,0,0,0,0.0078,0,0.0062,0.0003,0,0.0065,0,0.0001,0,0,0,0,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0.0012,0.0012,0,0,0,0,0,0.0078,0,0,0.0078,0.0078,0.0078,0,,109.58904109589042,,,,,,,,
30,宁波市,海曙区,浙东沿海诸河,奉化江及甬江干流,2,547.7,92.2,12.8,105,16.2514,427.512,956.7455,1400.5089,0,345.4076,0,345.4076,0,10.1,19.15,14.8887,12.0642,2.5461,0,14.6103,6.33,0.65,0,0,0.2625,0.0515,3.3681,3.4196,1.3482,0.1673,0.3633,-0.1684,,0,1.7104,0.0058,0,0,0.0058,0,0,0,0,1.7162,0.44,0.4464,0.0284,0,0.4748,0,0.0065,0,0,0.0153,0.0002,0.0009,0.0229,0,0,0.0001,0.2339,0.0701,0.3041,0.0058,0.0283,0.2293,0.2576,0,0.5277,0.067,0.5947,0,0.0601,0.002,0.0621,0,1.7162,0.0058,0.44,2.1562,1.7162,1.7162,0,251.21088758803072,147.68835616438355,,,,,,,,
31,宁波市,江北区,浙东沿海诸河,奉化江及甬江干流,2,207.6,41.4,8.1,49.5,8.53,259.57,561.33,829.43,0,216.14,0,216.14,0,0,8.67,8.67,7.48,1.19,0,8.67,1.9,0,0.908,0,0.096,0.4572,2.4076,2.8648,0.0924,0.0725,1.8536,-1.2274,,0,0.7911,0,0,0,0,0,0,0,0,0.7911,0.31,0.2031,0.008,0,0.2111,0,0,0.0091,0,0.005,0.0017,0.0007,0.0165,0,0,0,0.1034,0.0198,0.1232,0,0.0259,0.1169,0.1428,0,0.226,0.0431,0.2691,0,0.0176,0.0108,0.0284,0,0.7911,0,0.31,1.1011,0.7911,0.7911,0,255.70776255707767,182.3101640453239,,,,,,,,
32,宁波市,镇海区,浙东沿海诸河,奉化江及甬江干流,2,245.7,46.3,4.9,51.2,7.06,839.66,405.68,1252.4,21.85,767.09,0,788.94,0,268.2,9,7.64,3.193,2.807,0,6,1.81,0.12,0.795,0,0.044,0.0846,2.4412,2.5258,0.0911,0,0.4989,1.3828,,0,1.9728,0,0,0,0,0.1213,0,0,0.1213,2.0941,0.25,0.1207,0.0241,0,0.1448,0,0.0008,0.0056,0,0.0035,0.0003,0.0003,0.0105,0,0,0.1428,1.0261,0.1818,1.3507,0,0.0133,0.191,0.2043,0,0.2869,0.0249,0.3118,0,0.045,0.027,0.072,0,2.0941,0,0.25,2.3441,2.0941,2.0941,0,317.28749371283175,290.18730779983224,,,,,,,,
33,宁波市,北仑区,浙东沿海诸河,奉化江及甬江干流,2,399.9,51.55,10.74,62.29,5.23,918.432,758.128,1681.79,46.1904,791.7381,0,837.9285,500,90,7.6,5.683,3.321,2.362,0,5.683,0.27,0.3,0.78,0,0.0268,0.0295,3.126,3.1555,0.2533,0.04,0.5674,1.2922,,0,2.1529,0,0,0,0,0.1928,0,0,0.1928,2.3457,0.29,0.1179,0.0185,0,0.1364,0,0.0016,0.0043,0,0.0013,0.0001,0.0006,0.0079,0,0.1136,0.2304,0.9945,0.0751,1.4136,0,0.0311,0.2755,0.3066,0,0.3283,0.0676,0.3959,0,0.0586,0.0267,0.0853,0,2.3457,0,0.29,2.6357,2.3457000000000003,2.3457,0,368.57419980601355,240.5550878804112,,,,,,,,
34,宁波市,北仑区,浙东沿海诸河,象山港及三门湾,2,199.1,13.95,8.76,22.71,3.48,289.798,407.432,700.71,7.5638,298.6077,0,306.1715,0,75,8.18,3.868,2.123,1.745,0,3.868,0.19,0.195,0.525,0,0.0112,0.0258,0.652,0.6778,0.0075,0.0018,0.088,0.8084,,0,0.9057,0,0,0,0,0,0,0,0,0.9057,0,0.0754,0.0154,0,0.0908,0,0.001,0.0027,0,0.0007,0.0001,0.0001,0.0046,0,0,0.058,0.4438,0.0232,0.525,0,0.0133,0.0887,0.102,0,0.0891,0.0551,0.1442,0,0.023,0.0161,0.0391,0,0.9057,0,0,0.9057,0.9057000000000001,0.9057,0,420.4841164629056,222.68092825420655,,,,,,,,
35,宁波市,鄞州区,浙东沿海诸河,奉化江及甬江干流,2,560.3,120.67,23.33,144,19.48,584.27,1673.47,2277.22,1.81,479.7,0,481.51,0,3,19.67,16.44,12.9162,1.0791,0,13.9953,6.5445,0.555,1.06,0,0.183,0.061,1.21,1.271,0.6378,0.08,0.3152,1.3332,,0,2.3662,0.0003,0,0,0.0003,0,0.0002,0,0.0002,2.3667,1.4462,0.434,0.0101,0,0.4441,0,0.0033,0.0064,0,0.0131,0.0002,0.0007,0.0237,0,0,0.0134,0.2792,0.1464,0.439,0.0003,0.0446,0.4509,0.4955,0,0.7562,0.1196,0.8758,0,0.0838,0.0048,0.0886,0,2.3667,0.0003,1.4462,3.8129,2.3667000000000002,2.3667000000000002,0,303.21572135485553,146.0874058329272,,,,,,,,
36,宁波市,鄞州区,浙东沿海诸河,象山港及三门湾,2,253.7,15.63,5.17,20.8,9.53,80.82,132.76,223.11,0,44.18,0,44.18,0,0,6.87,4.74,3.5191,0.9091,0,4.4282,2.0455,0.12,0.04,0,0.141,0.0307,0.8439,0.8746,0.2245,0.0226,0.0921,0,,0,0.3392,0,0,0,0,0,0,0,0,0.3392,0.0438,0.1035,0.0065,0,0.11,0,0.0007,0.0002,0,0.0082,0.0001,0.0006,0.0098,0,0,0,0.0453,0.0343,0.0796,0,0.0034,0.0177,0.0211,0,0.0854,0.0214,0.1068,0,0.0103,0.0016,0.0119,0,0.3392,0,0.0438,0.383,0.33920000000000006,0.3392,0,204.7344849648113,121.88336292096129,,,,,,,,
37,宁波市,奉化区,浙东沿海诸河,奉化江及甬江干流,2,999.6,30.1,17.14,47.24,18.5,389.8,234.67,642.97,0,378.4,0,378.4,0,0,27.08,27.08,20.56,5.06,0,25.62,4.1,4.45,0.57,0,0.108,0.08,10.9,10.98,2.2257,0.1871,0.2925,-1.2773,,0,1.428,0.0014,0,0,0.0014,0,0,0,0,1.4294,0.3,0.6682,0.0486,0,0.7168,0,0.0267,0.0034,0,0.0065,0.0003,0.0058,0.0427,0,0,0,0.1434,0.0761,0.2195,0.001,0.0267,0.1338,0.1605,0.0004,0.1839,0.0885,0.2724,0,0.009,0.0085,0.0175,0,1.4294,0.0014,0.3,1.7294,1.4294,1.4294,0,321.66750102398396,155.04867249564424,,,,,,,,
38,宁波市,奉化区,浙东沿海诸河,象山港及三门湾,2,268.4,5.2,5.96,11.16,15.29,134.03,56.15,205.47,0,94.78,0,94.78,0,0,7.64,7.64,5.54,1.35,0,6.89,2.22,2,0.33,0,0,0.03,7.512,7.542,0.2785,0.0162,0.028,0,,0,0.3227,0,0,0,0,0,0,0,0,0.3227,0,0.1773,0.0082,0,0.1855,0,0.012,0.002,0,0,0.0001,0.0039,0.018,0,0,0,0.0297,0.0071,0.0368,0,0.002,0.0178,0.0198,0,0.0292,0.0278,0.057,0,0.0036,0.002,0.0056,0,0.3227,0,0,0.3227,0.3227,0.3227,0,277.13382507903054,136.986301369863,,,,,,,,
