序号,所属流域_一级,二级,三级,四级,四级编码,行政区_县区代码,县区名称,市,面积,人口（万人）_城镇,农村,合计,国内地区生产总值  （亿元）_一产,二产,三产,合计,工业增加值（亿元）_火核电工业,国有及规模以上一般工业,规模以下工业,合计,火(核)电装机(万kW)_直流式,循环式,总耕地面积      （万亩）,有效灌溉面积   （万亩）,农田实灌面积（万亩）_水田,水浇地,菜田,总计,粮食产量（万吨）,林牧渔面积（万亩）_林地灌溉,园地灌溉,草场灌溉,人工鱼塘,牲畜(万头)_大牲畜,小牲畜,合计
28,东南诸河,浙东诸河,浙东沿海诸河,姚江,G020110,330203,海曙区,宁波市,47,0,0.3,0.3,0.1195,0,0,0.1195,0,0,0,0,0,0,0.87,0.3001,0.1661,0.0291,0,0.1952,0.01,0.01,0,0,0,0,0,0
29,东南诸河,浙东诸河,浙东沿海诸河,奉化江及甬江干流,G020120,330203,海曙区,宁波市,547.7,92.2,12.8,105,16.2514,427.512,956.7455,1400.5089,0,345.4076,0,345.4076,0,10.1,19.15,14.8887,12.0642,2.5461,0,14.6103,6.33,0.65,0,0,0.2625,0.0515,3.3681,3.4196
30,东南诸河,浙东诸河,浙东沿海诸河,奉化江及甬江干流,G020120,330205,江北区,宁波市,207.6,41.4,8.1,49.5,8.53,259.57,561.33,829.43,0,216.14,0,216.14,0,0,8.67,8.67,7.48,1.19,0,8.67,1.9,0,0.908,0,0.096,0.4572,2.4076,2.8648
31,东南诸河,浙东诸河,浙东沿海诸河,奉化江及甬江干流,G020120,330206,北仑区,宁波市,399.9,51.55,10.74,62.29,5.23,918.432,758.128,1681.79,46.1904,791.7381,0,837.9285,500,90,7.6,5.683,3.321,2.362,0,5.683,0.27,0.3,0.78,0,0.0268,0.0295,3.126,3.1555
32,东南诸河,浙东诸河,浙东沿海诸河,象山港及三门湾,G020130,330206,北仑区,宁波市,199.1,13.95,8.76,22.71,3.48,289.798,407.432,700.71,7.5638,298.6077,0,306.1715,0,75,8.18,3.868,2.123,1.745,0,3.868,0.19,0.195,0.525,0,0.0112,0.0258,0.652,0.6778
33,东南诸河,浙东诸河,浙东沿海诸河,奉化江及甬江干流,G020120,330211,镇海区,宁波市,245.7,46.3,4.9,51.2,7.06,839.66,405.68,1252.4,21.85,767.09,0,788.94,0,268.2,9,7.64,3.193,2.807,0,6,1.81,0.12,0.795,0,0.044,0.0846,2.4412,2.5258
34,东南诸河,浙东诸河,浙东沿海诸河,奉化江及甬江干流,G020120,330212,鄞州区,宁波市,560.3,120.67,23.33,144,19.48,584.27,1673.47,2277.22,1.81,479.7,0,481.51,0,3,19.67,16.44,12.9162,1.0791,0,13.9953,6.5445,0.555,1.06,0,0.183,0.061,1.21,1.271
35,东南诸河,浙东诸河,浙东沿海诸河,象山港及三门湾,G020130,330212,鄞州区,宁波市,253.7,15.63,5.17,20.8,9.53,80.82,132.76,223.11,0,44.18,0,44.18,0,0,6.87,4.74,3.5191,0.9091,0,4.4282,2.0455,0.12,0.04,0,0.141,0.0307,0.8439,0.8746
36,东南诸河,浙东诸河,浙东沿海诸河,奉化江及甬江干流,G020120,330213,奉化区,宁波市,999.6,30.1,17.14,47.24,18.5,389.8,234.67,642.97,0,378.4,0,378.4,0,0,27.08,27.08,20.56,5.06,0,25.62,4.1,4.45,0.57,0,0.108,0.08,10.9,10.98
37,东南诸河,浙东诸河,浙东沿海诸河,象山港及三门湾,G020130,330213,奉化区,宁波市,268.4,5.2,5.96,11.16,15.29,134.03,56.15,205.47,0,94.78,0,94.78,0,0,7.64,7.64,5.54,1.35,0,6.89,2.22,2,0.33,0,0,0.03,7.512,7.542
