序号,所属流域_一级,二级,三级,四级,四级编码,行政区_县区代码,县区名称,市,面积,地表水源供水量_蓄 水,引水,提水,跨流域调水_调入量,调出流域,非工程供水,小计,地下水源供水量_潜水,承压水,微咸水,小计,其他水源供水量_污水处理回用,雨  水 利  用,海 水淡 化,小计,总供水量,环境配水量,总计,海水 利用量,环境配水供水量明细表_蓄 水,引水,提水,调水,污水回用,小计
1,长江,太湖水系,杭嘉湖平原,杭嘉湖平原,F120310,330102,上城区,杭州市,123.3,0,0,0.0456,1.279,钱塘江,0,1.3246,0,0.0001,0,0.0001,0.2356,0,0,0.2356,1.5603,6.6777,8.238,0,0,0,0,6.6777,0,6.6777
2,长江,太湖水系,杭嘉湖平原,杭嘉湖平原,F120310,330105,拱墅区,杭州市,119,0,0,0.1268,1.3099,钱塘江,0,1.4367,0,0,0,0,0,0,0,0,1.4367,0,1.4367,0,0,0,0,0,0,0
3,长江,太湖水系,杭嘉湖平原,杭嘉湖平原,F120310,330106,西湖区,杭州市,115.9,0,0.0533,0.0189,1.0814,钱塘江,0,1.1536,0,0,0,0,0.2031,0,0,0.2031,1.3567,0,1.3567,0,0,0,0,0,0,0
4,东南诸河,钱塘江,富春江坝址以下,富春江下游段,G010210,330106,西湖区,杭州市,147.1,0,0.1942,0.3746,0,,0,0.5688,0,0,0,0,0,0,0,0,0.5688,3.2391,3.8079,0,0,0,0,3.2391,0,3.2391
5,东南诸河,钱塘江,富春江坝址以下,萧绍平原,G010230,330108,滨江区,杭州市,73,0,0.0124,0.7748,0,,0,0.7872,0,0,0,0,0,0,0,0,0.7872,1.7063,2.4935,0,0,0,1.7063,0,0,1.7063
6,东南诸河,钱塘江,富春江坝址以下,富春江下游段,G010210,330109,萧山区,杭州市,9,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,东南诸河,钱塘江,富春江坝址以下,浦阳江,G010220,330109,萧山区,杭州市,363.4,0,0.418,0.7722,0,,0,1.1902,0,0,0,0,0,0,0,0,1.1902,0.2781,1.4683,0,0,0,0.2781,0,0,0.2781
8,东南诸河,钱塘江,富春江坝址以下,萧绍平原,G010230,330109,萧山区,杭州市,363.6,0,1.0459,2.6627,0,,0,3.7086,0,0,0,0,0.1624,0,0,0.1624,3.871,7.2648,11.1358,0,0,0,7.2648,0,0,7.2648
9,长江,太湖水系,湖西及湖区,西苕溪及长兴平原,F120110,330110,余杭区,杭州市,13.5,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,长江,太湖水系,湖西及湖区,东苕溪,F120120,330110,余杭区,杭州市,555.3,0.1652,0.2323,0.9369,0,,0,1.3344,0,0,0,0,0,0,0,0,1.3344,0,1.3344,0,0,0,0,0,0,0
11,长江,太湖水系,杭嘉湖平原,杭嘉湖平原,F120310,330110,余杭区,杭州市,367.2,0,0.6114,0.6675,0.75,千岛湖供水,0,2.0289,0,0,0,0,0.106,0,0,0.106,2.1349,0,2.1349,0,0,0,0,0,0,0
