序号,市,县（市、区）,水资源分区,nan,水资源利用分区,面积（km2）,人口（万人）,nan,nan,国内地区生产总值  （亿元）,nan,nan,nan,工业增加值（亿元）,nan,nan,nan,火(核)电装机(万kW),nan,总耕地面积      （万亩）,有效灌溉面积   （万亩）,农田实灌面积（万亩）,nan,nan,nan,粮食产量（万吨）,林牧渔面积（万亩）,nan,nan,nan,牲畜(万头),nan,nan,地表水源供水量,nan,nan,nan,nan,nan,nan,地下水源供水量,nan,nan,nan,其他水源供水量,nan,nan,nan,总供水量,环境配水量,农田灌溉用水量,nan,nan,nan,nan,林牧渔畜用水量,nan,nan,nan,nan,nan,nan,nan,工业用水量,nan,nan,nan,nan,nan,城镇公共用水量,nan,nan,nan,居民生活用水量,nan,nan,nan,生态与环境用水量,nan,nan,nan,总用水量,nan,环境配水量,总计,总用水量（核算）,总供水量（核算）,总供水-总用水,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,杭州市,上城区,杭嘉湖平原,杭嘉湖平原,1,123.3,133.5,0,133.5,0,604.66,1812.85,2417.51,0,466.65,21.16,487.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0456,1.279,钱塘江,0,1.3246,0,0.0001,0,0.0001,0.2356,0,0,0.2356,1.5603,6.6777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1444,0,0.1444,0.0001,0.1018,0.5691,0.6709,0,0.6851,0,0.6851,0,0.0599,0,0.0599,0,1.5603,0.0001,6.6777,8.238,1.5603,1.5603,0,290.57513724283007,,,,,,,,,
2,杭州市,拱墅区,杭嘉湖平原,杭嘉湖平原,1,119,114.5,0,114.5,0,193.79,1774.77,1968.56,10.52,100.3,16.22,127.04,0,241.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1268,1.3099,钱塘江,0,1.4367,0,0,0,0,0,0,0,0,1.4367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.064,0.1525,0,0.2165,0,0.1174,0.4637,0.5811,0,0.5681,0,0.5681,0,0.071,0,0.071,0,1.4367,0,0,1.4367,1.4366999999999999,1.4367,0,291.966261889095,,,,,,,,,
3,杭州市,西湖区,杭嘉湖平原,杭嘉湖平原,1,115.9,91.15,0.9,92.05,3.27,100.18,1256.28,1359.73,0,59.65,7.43,67.08,0,0,0.92,0.92,0.56,0.02,0.34,0.92,0.04,0,0,0,0.12,0,0,0,0,0.0533,0.0189,1.0814,钱塘江,0,1.1536,0,0,0,0,0.2031,0,0,0.2031,1.3567,0,0.029,0.0003,0.0024,0.0317,0,0,0,0,0.0121,0,0,0.0121,0,0,0,0.106,0,0.106,0,0.0502,0.6282,0.6784,0,0.4462,0.0037,0.4499,0,0.0786,0,0.0786,0,1.3567,0,0,1.3567,1.3567,1.3567,0,361.6498470833114,112.63318112633182,,,,,,,,
4,杭州市,西湖区,富春江坝址以下,富春江下游段,1,147.1,19.81,2.34,22.15,1.49,43.84,549.91,595.24,0,32.1,5.74,37.84,0,0,3.6,3.6,2.22,0.24,0.58,3.04,0.16,1.81,0,0,0.36,0,0,0,0,0.1942,0.3746,0,,0,0.5688,0,0,0,0,0,0,0,0,0.5688,3.2391,0.1073,0.0035,0.0085,0.1193,0,0.0284,0,0,0.0466,0,0,0.075,0,0,0,0.0542,0,0.0542,0,0.0705,0.0975,0.168,0,0.0971,0.0097,0.1068,0,0.0455,0,0.0455,0,0.5688,0,3.2391,3.8079,0.5688,0.5688,0,429.5602746641036,113.56983959723688,,,,,,,,
5,杭州市,滨江区,富春江坝址以下,萧绍平原,2,73,52.5,0,52.5,0.48,859.05,1163.07,2022.6,0,771.06,69.93,840.99,0,0,0.3,0.3,0,0,0.3,0.3,0.1,0,0,0,0.08,0,0,0,0,0.0124,0.7748,0,,0,0.7872,0,0,0,0,0,0,0,0,0.7872,1.7063,0,0,0.0058,0.0058,0,0,0,0,0.0065,0,0,0.0065,0,0,0,0.1882,0,0.1882,0,0.0988,0.2019,0.3007,0,0.2547,0,0.2547,0,0.0313,0,0.0313,0,0.7872,0,1.7063,2.4935,0.7872,0.7872,0,306.17090671885194,,,,,,,,,
6,杭州市,萧山区,富春江坝址以下,浦阳江,2,363.4,22.79,14.15,36.94,13.32,243.19,56.44,312.95,12.76,174.18,14.65,201.59,0,125,7.7149,7.7149,7.4313,0,0.2836,7.7149,2.5,0,1.54,0,2.96,0,28.88,28.88,0,0.418,0.7722,0,,0,1.1902,0,0,0,0,0,0,0,0,1.1902,0.2781,0.314,0,0.004,0.318,0,0,0.0234,0,0.204,0,0.0124,0.2398,0,0,0.0372,0.2031,0.0693,0.3096,0,0.0357,0.0571,0.0928,0,0.1245,0.0672,0.1917,0,0.0255,0.0128,0.0383,0,1.1902,0,0.2781,1.4683,1.1902000000000001,1.1902,0,291.8848088863777,154.89617116026912,,,,,,,,
7,杭州市,萧山区,富春江坝址以下,萧绍平原,2,363.6,143.54,25.12,168.66,45.09,532.08,1121.5,1698.67,17.02,350.13,117.4,484.55,0,17.2,28.0851,28.0851,26.6393,0,0.9758,27.6151,4.75,0,0.9,0,3.25,0.32,50.34,50.66,0,1.0459,2.6627,0,,0,3.7086,0,0,0,0,0.1624,0,0,0.1624,3.871,7.2648,1.1316,0,0.0137,1.1453,0,0,0.0137,0,0.2242,0.0011,0.0201,0.2591,0,0,0.0496,0.7885,0.1334,0.9715,0,0.1802,0.2954,0.4756,0,0.784,0.1205,0.9045,0,0.0949,0.0201,0.115,0,3.871,0,7.2648,11.1358,3.871,3.871,0,258.53134346590423,153.34613035511734,,,,,,,,
8,杭州市,萧山区,富春江坝址以下,富春江下游段,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
9,杭州市,余杭区,湖西及湖区,西苕溪及长兴平原,1,13.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
10,杭州市,余杭区,湖西及湖区,东苕溪,1,555.3,49.44,13.35,62.79,14.28,217.46,656.45,888.19,0,57.44,13.16,70.6,0,0,11.62,11.62,8.49,1.31,1.82,11.62,2.44,0,0.68,0,1.7,0.025,27.56,27.585,0.1652,0.2323,0.9369,0,,0,1.3344,0,0,0,0,0,0,0,0,1.3344,0,0.4279,0.0154,0.0262,0.4695,0,0,0.0101,0,0.1052,0.0001,0.0147,0.1301,0,0,0,0.0579,0,0.0579,0,0.0362,0.2684,0.3046,0,0.2371,0.0599,0.297,0,0.0656,0.0097,0.0753,0,1.3344,0,0,1.3344,1.3343999999999998,1.3344,0,336.53633018575164,142.8351546867785,,,,,,,,
11,杭州市,余杭区,杭嘉湖平原,杭嘉湖平原,1,367.2,46.01,22.1,68.11,25.46,119.52,1469.03,1614.01,0,191,37.79,228.79,0,0,17.94,17.94,15.39,1.31,1.24,17.94,6.03,7.67,0.34,0,3.68,0,13.79,13.79,0,0.6114,0.6675,0.75,千岛湖供水,0,2.0289,0,0,0,0,0.106,0,0,0.106,2.1349,0,0.8038,0.0238,0.0291,0.8567,0,0.079,0.0049,0,0.256,0,0.0074,0.3473,0,0,0,0.1942,0,0.1942,0,0.086,0.2624,0.3484,0,0.2226,0.0984,0.321,0,0.0553,0.012,0.0673,0,2.1349,0,0,2.1349,2.1349,2.1349,0,372.9385809517288,136.86233186636088,,,,,,,,
12,杭州市,临平区,杭嘉湖平原,杭嘉湖平原,1,286,106.61,12.49,119.1,15.42,505.89,418.78,940.09,0.11,409.99,68.62,478.72,0,11.2,10.78,10.78,9.25,0.79,0.74,10.78,3.09,0.87,0.62,0,1.8,0,9.85,9.85,0,0.1078,1.0462,0.78,千岛湖供水,0,1.934,0,0,0,0,0.1281,0,0,0.1281,2.0621,6.2913,0.2391,0.0063,0.0077,0.2531,0,0.009,0.0092,0,0.129,0,0.004,0.1512,0,0,0.0014,0,0.3498,0.3512,0,0.0579,0.5174,0.5753,0,0.5428,0.0585,0.6013,0,0.1102,0.0198,0.13,0,2.0621,0,6.2913,8.3534,2.0621,2.0621,0,315.6557057923323,171.75384142930784,,,,,,,,
13,杭州市,钱塘区,杭嘉湖平原,杭嘉湖平原,1,104.7,49.17,0,49.17,0.36,526.71,290.37,817.44,4.49,438.37,74.24,517.1,0,5.7,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0.8503,钱塘江,0,0.8503,0,0,0,0,0.0272,0,0,0.0272,0.8775,1.136,0,0,0,0,0,0,0.0006,0,0,0,0,0.0006,0,0,0.0214,0.3843,0.0186,0.4243,0,0.0159,0.1655,0.1814,0,0.2522,0,0.2522,0,0.019,0,0.019,0,0.8775,0,1.136,2.0135,0.8775000000000001,0.8775,0,252.18629245474884,,,,,,,,,
14,杭州市,钱塘区,富春江坝址以下,萧绍平原,2,427,20.93,9.2,30.13,13.6,301.92,85.28,400.8,30.29,208.51,27.11,265.91,0,111.9,30.26,30.26,26.355,0,0.555,26.91,3.35,0,0.4,0,1.95,0.18,16.1,16.28,0,0.9213,1.4474,0,,0,2.3687,0,0,0,0,0.052,0,0,0.052,2.4207,0,1.1598,0,0.01,1.1698,0,0,0.006,0,0.1673,0.0005,0.0063,0.1801,0,0,0.1144,0.5652,0.134,0.8136,0,0.0301,0.0888,0.1189,0,0.0835,0.0328,0.1163,0,0.012,0.01,0.022,0,2.4207,0,0,2.4207,2.4206999999999996,2.4207,0,280.64847600285367,127.45681953543777,,,,,,,,
15,杭州市,富阳区,富春江坝址以下,富春江下游段,3,1760.1,59.95,22.55,82.5,49.22,389.34,430.05,868.61,0,269.85,62.85,332.7,0,10.85,33.7,33.7,31.94,1.04,0.72,33.7,9.96,0.18,0.45,0,3.43,0.2209,48.7462,48.9671,0.0257,1.0538,1.835,0,,0,2.9145,0.0007,0,0,0.0007,0.0944,0,0,0.0944,3.0096,1.3279,1.2848,0.012,0.0105,1.3073,0,0.0022,0.0054,0,0.3773,0.0008,0.0264,0.4121,0,0,0.0033,0.2912,0.1275,0.422,0.0007,0.0581,0.1666,0.2247,0,0.3254,0.1086,0.434,0,0.137,0.0725,0.2095,0,3.0096,0.0007,1.3279,4.3375,3.0096,3.0096,0,314.0059638740046,220.02855146857817,,,,,,,,
16,杭州市,富阳区,富春江坝址以下,浦阳江,3,47.9,0.15,1.25,1.4,0.3,2.1,2.29,4.69,0,0,2.88,2.88,0,0,0.29,0.29,0.14,0.13,0.02,0.29,0.13,0,0,0,0,0,0,0,0.0034,0,0.0279,0,,0,0.0313,0,0,0,0,0,0,0,0,0.0313,0,0.006,0.0016,0.0001,0.0077,0,0,0,0,0,0,0,0,0,0,0,0,0.0145,0.0145,0,0,0.0022,0.0022,0,0.0008,0.0061,0.0069,0,0,0,0,0,0.0313,0,0,0.0313,0.0313,0.0313,0,547.945205479452,133.6986301369863,,,,,,,,
17,杭州市,临安区,湖西及湖区,东苕溪,1,845,29.51,11,40.51,25.41,185.29,156.73,367.43,0.55,199.45,21.17,221.17,0,1.35,10.42,10.42,7.88,0.47,0.64,8.99,1.33,0.29,0.3,0,0.07,0.1498,4.7371,4.8869,0.5893,0.2494,0.1898,0,,0,1.0285,0.0004,0,0,0.0004,0.0303,0,0,0.0303,1.0592,0,0.3366,0.0091,0.0112,0.3569,0,0.002,0.003,0,0.0055,0.0005,0.0025,0.0135,0,0,0.0061,0.1403,0.0075,0.1539,0.0004,0.0562,0.1481,0.2043,0,0.1621,0.0547,0.2168,0,0.0781,0.0357,0.1138,0,1.0592,0.0004,0,1.0592,1.0592,1.0592,0,412.67645516031246,225.15566625155668,,,,,,,,
18,杭州市,临安区,富春江坝址以下,富春江下游段,1,2279,8.88,14.81,23.69,20.16,146.7,124.06,290.92,0,31.37,37.06,68.43,0,0,19.46,19.46,15.64,1.04,1.21,17.89,2.66,0.25,0.27,0,0.1,0.1605,15.0816,15.2421,0.1043,0.5135,0.417,0,,0,1.0348,0.0005,0,0,0.0005,0,0,0,0,1.0353,0,0.6712,0.0195,0.0201,0.7108,0,0.0032,0.0033,0,0.0082,0.0005,0.0088,0.024,0,0,0,0.0205,0.0051,0.0256,0,0.0187,0.0593,0.078,0.0005,0.0492,0.0736,0.1228,0,0.0525,0.0216,0.0741,0,1.0353,0.0005,0,1.0353,1.0352999999999999,1.0352999999999999,0,554.4242873009996,176.11203093060038,,,,,,,,
19,杭州市,建德市,富春江坝址以上,衢江下游,3,78.3,0.7,0.62,1.32,1.6,9.29,7.54,18.43,0,6.69,0.33,7.02,0,0,1.1002,1.1002,1.01,0.06,0.03,1.1,0.38,0.04,0.26,0,0.0266,0,2.28,2.28,0,0.0547,0.0229,0,,0,0.0776,0,0,0,0,0,0,0,0,0.0776,0,0.0458,0.0009,0.0005,0.0472,0,0.0003,0.0009,0,0.0022,0,0.0012,0.0046,0,0,0,0.0112,0,0.0112,0,0.0005,0.0067,0.0072,0,0.0038,0.0031,0.0069,0,0.0002,0.0003,0.0005,0,0.0776,0,0,0.0776,0.0776,0.0776,0,438.3561643835617,150.2430402121078,,,,,,,,
