序号,所属流域_一级,二级,三级,四级,四级编码,行政区_县区代码,县区名称,市,面积,农田灌溉用水量_水田,旱地,菜田,小计,其中地下水,林牧渔畜用水量_林地灌溉,园地灌溉,草场灌溉,鱼塘补水,大牲畜用水量,小牲畜用水量,小计,其中地下水,工业用水量_火（核）电_直流式,循环式,国有及规模以上,规模以下,小计,其  中       地下水,城镇公共用水量_建筑业,服务业,小计,其中地下水,居民生活用水量_城镇居民,农村居民,小计,其  中地下水,生态与环境用水量_城镇环境,农村生态,小计,其  中地下水,总用水量_合计,其中地下水,环境配水量,总计,地表水用-供 检查,地下水用-供 检查
1,长江,太湖水系,杭嘉湖平原,杭嘉湖平原,F120310,330102,上城区,杭州市,123.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1444,0,0.1444,0.0001,0.1018,0.5691,0.6709,0,0.6851,0,0.6851,0,0.0599,0,0.0599,0,1.5603,0.0001,6.6777,8.238,0,0
2,长江,太湖水系,杭嘉湖平原,杭嘉湖平原,F120310,330105,拱墅区,杭州市,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.064,0.1525,0,0.2165,0,0.1174,0.4637,0.5811,0,0.5681,0,0.5681,0,0.071,0,0.071,0,1.4367,0,0,1.4367,0,0
3,长江,太湖水系,杭嘉湖平原,杭嘉湖平原,F120310,330106,西湖区,杭州市,115.9,0.029,0.0003,0.0024,0.0317,0,0,0,0,0.0121,0,0,0.0121,0,0,0,0.106,0,0.106,0,0.0502,0.6282,0.6784,0,0.4462,0.0037,0.4499,0,0.0786,0,0.0786,0,1.3567,0,0,1.3567,0,0
4,东南诸河,钱塘江,富春江坝址以下,富春江下游段,G010210,330106,西湖区,杭州市,147.1,0.1073,0.0035,0.0085,0.1193,0,0.0284,0,0,0.0466,0,0,0.075,0,0,0,0.0542,0,0.0542,0,0.0705,0.0975,0.168,0,0.0971,0.0097,0.1068,0,0.0455,0,0.0455,0,0.5688,0,3.2391,3.8079,0,0
5,东南诸河,钱塘江,富春江坝址以下,萧绍平原,G010230,330108,滨江区,杭州市,73,0,0,0.0058,0.0058,0,0,0,0,0.0065,0,0,0.0065,0,0,0,0.1882,0,0.1882,0,0.0988,0.2019,0.3007,0,0.2547,0,0.2547,0,0.0313,0,0.0313,0,0.7872,0,1.7063,2.4935,0,0
6,东南诸河,钱塘江,富春江坝址以下,富春江下游段,G010210,330109,萧山区,杭州市,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,东南诸河,钱塘江,富春江坝址以下,浦阳江,G010220,330109,萧山区,杭州市,363.4,0.314,0,0.004,0.318,0,0,0.0234,0,0.204,0,0.0124,0.2398,0,0,0.0372,0.2031,0.0693,0.3096,0,0.0357,0.0571,0.0928,0,0.1245,0.0672,0.1917,0,0.0255,0.0128,0.0383,0,1.1902,0,0.2781,1.4683,0,0
8,东南诸河,钱塘江,富春江坝址以下,萧绍平原,G010230,330109,萧山区,杭州市,363.6,1.1316,0,0.0137,1.1453,0,0,0.0137,0,0.2242,0.0011,0.0201,0.2591,0,0,0.0496,0.7885,0.1334,0.9715,0,0.1802,0.2954,0.4756,0,0.784,0.1205,0.9045,0,0.0949,0.0201,0.115,0,3.871,0,7.2648,11.1358,0,0
9,长江,太湖水系,湖西及湖区,西苕溪及长兴平原,F120110,330110,余杭区,杭州市,13.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,长江,太湖水系,湖西及湖区,东苕溪,F120120,330110,余杭区,杭州市,555.3,0.4279,0.0154,0.0262,0.4695,0,0,0.0101,0,0.1052,0.0001,0.0147,0.1301,0,0,0,0.0579,0,0.0579,0,0.0362,0.2684,0.3046,0,0.2371,0.0599,0.297,0,0.0656,0.0097,0.0753,0,1.3344,0,0,1.3344,0,0
11,长江,太湖水系,杭嘉湖平原,杭嘉湖平原,F120310,330110,余杭区,杭州市,367.2,0.8038,0.0238,0.0291,0.8567,0,0.079,0.0049,0,0.256,0,0.0074,0.3473,0,0,0,0.1942,0,0.1942,0,0.086,0.2624,0.3484,0,0.2226,0.0984,0.321,0,0.0553,0.012,0.0673,0,2.1349,0,0,2.1349,0,0
12,东南诸河,钱塘江,富春江坝址以下,富春江下游段,G010210,330111,富阳区,杭州市,1760.1,1.2848,0.012,0.0105,1.3073,0,0.0022,0.0054,0,0.3773,0.0008,0.0264,0.4121,0,0,0.0033,0.2912,0.1275,0.422,0.0007,0.0581,0.1666,0.2247,0,0.3254,0.1086,0.434,0,0.137,0.0725,0.2095,0,3.0096,0.0007,1.3279,4.3375,0,0
13,东南诸河,钱塘江,富春江坝址以下,浦阳江,G010220,330111,富阳区,杭州市,47.9,0.006,0.0016,0.0001,0.0077,0,0,0,0,0,0,0,0,0,0,0,0,0.0145,0.0145,0,0,0.0022,0.0022,0,0.0008,0.0061,0.0069,0,0,0,0,0,0.0313,0,0,0.0313,0,0
14,长江,太湖水系,湖西及湖区,东苕溪,F120120,330112,临安区,杭州市,845,0.3366,0.0091,0.0112,0.3569,0,0.002,0.003,0,0.0055,0.0005,0.0025,0.0135,0,0,0.0061,0.1403,0.0075,0.1539,0.0004,0.0562,0.1481,0.2043,0,0.1621,0.0547,0.2168,0,0.0781,0.0357,0.1138,0,1.0592,0.0004,0,1.0592,0,0
