序号,市,县（市、区）,水资源分区,nan,水资源利用分区,面积（km2）,人口（万人）,nan,nan,国内地区生产总值  （亿元）,nan,nan,nan,工业增加值（亿元）,nan,nan,nan,火(核)电装机(万kW),nan,总耕地面积      （万亩）,有效灌溉面积   （万亩）,农田实灌面积（万亩）,nan,nan,nan,粮食产量（万吨）,林牧渔面积（万亩）,nan,nan,nan,牲畜(万头),nan,nan,地表水源供水量,nan,nan,nan,nan,nan,nan,地下水源供水量,nan,nan,nan,其他水源供水量,nan,nan,nan,总供水量,环境配水量,农田灌溉用水量,nan,nan,nan,nan,林牧渔畜用水量,nan,nan,nan,nan,nan,nan,nan,工业用水量,nan,nan,nan,nan,nan,城镇公共用水量,nan,nan,nan,居民生活用水量,nan,nan,nan,生态与环境用水量,nan,nan,nan,总用水量,nan,环境配水量,总计,总用水量（核算）,总供水量（核算）,总供水-总用水,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
46,温州市,鹿城区,瓯江温溪以下,瓯江下游干流,5,289.9,107.8876,11.0624,118.95,2.2075,309.2589,950.5592,1262.0256,1,65.9528,152.6492,219.602,0,3.6,7.19,4.657,3.95,0,0.7,4.65,1.9016,0,0.225,0,0,0.1103,7.6931,7.8034,1.3317,0.3144,0.2633,0,,0,1.9094,0,0,0,0,0,0,0,0,1.9094,1.0471,0.2003,0,0.011,0.2113,0,0,0.0016,0,0,0.0003,0.0026,0.0045,0,0,0.0009,0.1106,0.1354,0.2469,0,0.1382,0.3205,0.4587,0,0.6495,0.0549,0.7044,0,0.2836,0,0.2836,0,1.9094,0,1.0471,2.9565,1.9094,1.9094,0,353.4373445077569,135.96593768450748,,,,,,,,
47,温州市,龙湾区,瓯江温溪以下,瓯江下游干流,5,332.8,73.2167,0.0733,73.29,3.0733,445.6133,345.1563,793.8429,11.2238,170.1643,210.3458,391.7339,34.2,2,5.36,4.005,3.21,0,0.06,3.27,0.7475,0,0,0,0,0.075,4.2592,4.3342,0.9713,0.2912,0.1971,0,,0,1.4596,0,0,0,0,0,0,0,0,1.4596,0.5399,0.1797,0,0.001,0.1807,0,0,0,0,0,0.0002,0.0018,0.002,0,0.0011,0.012,0.112,0.2428,0.3679,0,0.0878,0.2162,0.304,0,0.4114,0.0003,0.4117,0,0.1933,0,0.1933,0,1.4596,0,0.5399,1.9995,1.4596,1.4596,0,340.0302172995902,112.130669606982,,,,,,,,
48,温州市,瓯海区,瓯江温溪以下,瓯江下游干流,5,461.4,81.9732,15.8468,97.82,6.9391,324.165,439.2739,770.378,0,119.4898,108.4589,227.9487,0,0,12.51,7.56,6.2881,0,1.15,7.4381,2.1965,0.06,0.09,0,0.0039,0.2306,4.0649,4.2955,1.3636,0.1267,0.2164,0,,0,1.7067,0,0,0,0,0,0,0,0,1.7067,1.2983,0.3061,0,0.0234,0.3295,0,0.0004,0.0006,0,0.0015,0.0007,0.0014,0.0046,0,0,0,0.115,0.1593,0.2743,0,0.0974,0.2371,0.3345,0,0.4557,0.0675,0.5232,0,0.2406,0,0.2406,0,1.7067,0,1.2983,3.005,1.7066999999999999,1.7067,0,344.51620639929826,116.69959035850462,,,,,,,,
49,温州市,瓯海区,瓯江温溪以下,飞云江,5,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
50,温州市,洞头区,瓯江温溪以下,瓯江下游干流,5,231,8.1613,6.8687,15.03,7.2108,51.1693,67.6899,126.07,0,22.1428,9.3904,31.5332,0,0,3.74,0.135,0.0766,0,0.026,0.1026,0,0,0.02,0,0,0.0084,1.3377,1.3461,0.0304,0.1013,0.0185,0,,0,0.1502,0,0,0,0,0,0,0,0,0.1502,0,0.0039,0,0.0007,0.0046,0,0,0.0001,0,0,0,0.0004,0.0005,0,0,0,0.0135,0.0125,0.026,0,0.0203,0.0253,0.0456,0,0.033,0.0215,0.0545,0,0.013,0.006,0.019,0,0.1502,0,0,0.1502,0.1502,0.1502,0,307.49868784334484,109.68955661686296,,,,,,,,
51,温州市,乐清市,瓯江温溪以下,楠溪江,5,30.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
52,温州市,乐清市,瓯江温溪以下,瓯江下游干流,5,1354.1,96.4776,49.9224,146.4,22.1966,672.2255,739.0558,1433.4779,71.646,340.0549,210.4046,622.1055,315,2.4,39.84,26.61,23.1309,0,2.965,26.0959,14.4535,6,3,0,0.0052,1.1951,18.3303,19.5254,1.7699,0.718,0.045,0,,0,2.5329,0.0045,0,0,0.0045,0,0,0.0277,0.0277,2.5651,0,0.816,0,0.0338,0.8498,0,0.0202,0.0098,0,0.0066,0.0036,0.0073,0.0475,0.0005,0.0662,0.0094,0.274,0.16,0.5096,0.0005,0.1192,0.1628,0.282,0.0005,0.4398,0.1816,0.6214,0.003,0.2548,0,0.2548,0,2.5651,0.0045,0,2.5651,2.5650999999999997,2.5651,0,277.33032728386326,99.66152400031699,,,,,,,,
53,温州市,瑞安市,瓯江温溪以下,飞云江,5,1340.9,102.5338,50.0462,152.58,27.2305,533.3434,588.4093,1148.9832,8.5275,223.6055,210.6074,442.7404,0,4.4,57.61,29.37,15.84,7.76,3.58,27.18,10.7616,3.825,3.765,0,0.2326,1.1465,17.5455,18.692,1.7137,0.06,0.6942,0,,0,2.4679,0.0006,0,0,0.0006,0,0,0,0,2.4685,0.9408,0.62,0.134,0.02,0.774,0,0.0153,0.015,0,0.0412,0.0034,0.0072,0.0821,0,0,0.009,0.2212,0.2415,0.4717,0.0002,0.0819,0.104,0.1859,0.0004,0.5349,0.2077,0.7426,0,0.2122,0,0.2122,0,2.4685,0.0006,0.9408,3.4093,2.4685,2.4685,0,249.29968298859927,113.70315746058863,,,,,,,,
54,温州市,瑞安市,瓯江温溪以下,鳌江,5,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
55,温州市,永嘉县,瓯江温溪以下,永安溪,5,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
56,温州市,永嘉县,瓯江温溪以下,温黄平原,5,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
57,温州市,永嘉县,瓯江温溪以下,楠溪江,5,2272.3,29.0618,26.968,56.0298,13.377,162.3642,201.9836,377.7248,3.8218,66,75,144.8218,0,1,50,18.3136,16.012,0,2.301,18.313,9.5051,0,0,0,0.0252,0.9675,12.37,13.3375,0.5861,0.4422,0.1,0,,0,1.1283,0.0097,0,0,0.0097,0,0,0,0,1.138,0,0.5715,0,0.0305,0.602,0.0074,0,0,0,0.0036,0.0034,0.0049,0.0119,0.0008,0,0.0046,0.0936,0.123,0.2212,0,0.0242,0.0481,0.0723,0,0.1192,0.0938,0.213,0.0015,0.0127,0.0049,0.0176,0,1.138,0.0097,0,1.138,1.1380000000000001,1.1380000000000001,0,192.5042684192034,100.2710467606458,,,,,,,,
