序号,所属流域_一级,二级,三级,四级,四级编码,行政区_县区代码,县区名称,市,面积,农田灌溉用水量_水田,旱地,菜田,小计,其中地下水,林牧渔畜用水量_林地灌溉,园地灌溉,草场灌溉,鱼塘补水,大牲畜用水量,小牲畜用水量,小计,其中地下水,工业用水量_火（核）电_直流式,循环式,国有及规模以上,规模以下,小计,其  中       地下水,城镇公共用水量_建筑业,服务业,小计,其中地下水,居民生活用水量_城镇居民,农村居民,小计,其  中地下水,生态与环境用水量_城镇环境,农村生态,小计,其  中地下水,总用水量_合计,其中地下水,环境配水量,总计,地表水用-供 检查,地下水用-供 检查
45,东南诸河,浙南诸河,瓯江温溪以下,瓯江下游干流,G030270,330302,鹿城区,温州市,289.9,0.2003,0,0.011,0.2113,0,0,0.0016,0,0,0.0003,0.0026,0.0045,0,0,0.0009,0.1106,0.1354,0.2469,0,0.1382,0.3205,0.4587,0,0.6495,0.0549,0.7044,0,0.2836,0,0.2836,0,1.9094,0,1.0471,2.9565,0,0
46,东南诸河,浙南诸河,瓯江温溪以下,瓯江下游干流,G030270,330303,龙湾区,温州市,332.8,0.1797,0,0.001,0.1807,0,0,0,0,0,0.0002,0.0018,0.002,0,0.0011,0.012,0.112,0.2428,0.3679,0,0.0878,0.2162,0.304,0,0.4114,0.0003,0.4117,0,0.1933,0,0.1933,0,1.4596,0,0.5399,1.9995,0,0
47,东南诸河,浙南诸河,瓯江温溪以下,瓯江下游干流,G030270,330304,瓯海区,温州市,461.4,0.3061,0,0.0234,0.3295,0,0.0004,0.0006,0,0.0015,0.0007,0.0014,0.0046,0,0,0,0.115,0.1593,0.2743,0,0.0974,0.2371,0.3345,0,0.4557,0.0675,0.5232,0,0.2406,0,0.2406,0,1.7067,0,1.2983,3.005,0,0
48,东南诸河,浙南诸河,瓯江温溪以下,飞云江,G030280,330304,瓯海区,温州市,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,东南诸河,浙南诸河,瓯江温溪以下,瓯江下游干流,G030270,330305,洞头区,温州市,231,0.0039,0,0.0007,0.0046,0,0,0.0001,0,0,0,0.0004,0.0005,0,0,0,0.0135,0.0125,0.026,0,0.0203,0.0253,0.0456,0,0.033,0.0215,0.0545,0,0.013,0.006,0.019,0,0.1502,0,0,0.1502,0,0
50,东南诸河,浙南诸河,瓯江温溪以下,永安溪,G030210,330324,永嘉县,温州市,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,东南诸河,浙南诸河,瓯江温溪以下,温黄平原,G030240,330324,永嘉县,温州市,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,东南诸河,浙南诸河,瓯江温溪以下,楠溪江,G030260,330324,永嘉县,温州市,2272.3,0.5715,0,0.0305,0.602,0.0074,0,0,0,0.0036,0.0034,0.0049,0.0119,0.0008,0,0.0046,0.0936,0.123,0.2212,0,0.0242,0.0481,0.0723,0,0.1192,0.0938,0.213,0.0015,0.0127,0.0049,0.0176,0,1.138,0.0097,0,1.138,0,0
53,东南诸河,浙南诸河,瓯江温溪以下,瓯江下游干流,G030270,330324,永嘉县,温州市,395,0.1063,0,0.0037,0.11,0.0008,0,0,0,0,0.0013,0.0049,0.0062,0,0,0,0.0098,0.0132,0.023,0,0.031,0.0576,0.0886,0,0.087,0.0402,0.1272,0.0008,0.0148,0.0027,0.0175,0,0.3725,0.0016,0,0.3725,0,0
54,东南诸河,浙南诸河,瓯江温溪以下,飞云江,G030280,330326,平阳县,温州市,209.7,0.178,0,0.0007,0.1787,0,0.0002,0.0002,0,0,0.0004,0.0043,0.0051,0,0,0,0.034,0.053,0.087,0,0.0259,0.0585,0.0844,0,0.072,0.0402,0.1122,0.001,0.0201,0,0.0201,0,0.4875,0.001,0,0.4875,0,0
55,东南诸河,浙南诸河,瓯江温溪以下,鳌江,G030290,330326,平阳县,温州市,832.3,0.5908,0,0.0024,0.5932,0,0.0009,0.0009,0,0.0315,0.0023,0.0056,0.0412,0,0,0.0051,0.0959,0.1668,0.2678,0,0.026,0.0963,0.1223,0,0.1738,0.0929,0.2667,0.0031,0.0208,0,0.0208,0,1.312,0.0031,0,1.312,0,0
56,东南诸河,浙南诸河,瓯江温溪以下,鳌江,G030290,330327,苍南县,温州市,956.31,0.558,0,0.006,0.564,0,0.0098,0.0087,0,0.0136,0.002,0.0054,0.0395,0,0,0,0.0193,0.0674,0.0867,0.0001,0.0044,0.0763,0.0807,0,0.2382,0.075,0.3132,0.0019,0.0225,0.0061,0.0286,0,1.1127,0.002,0,1.1127,0,0
57,东南诸河,闽东诸河,闽东诸河,闽东诸河,G040100,330327,苍南县,温州市,112.7,0.0428,0,0.0034,0.0462,0,0.002,0.0014,0,0,0.0003,0.0025,0.0062,0,0,0,0.0034,0.0052,0.0086,0,0.0008,0.0088,0.0096,0,0.016,0.025,0.041,0.0005,0.0023,0.004,0.0063,0,0.1179,0.0005,0,0.1179,0,0
58,东南诸河,浙南诸河,瓯江温溪以上,小溪及瓯江青田段,G030120,330328,文成县,温州市,104.9,0.0047,0,0,0.0047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0008,0.0008,0,0,0,0,0,0.0055,0,0,0.0055,0,0
59,东南诸河,浙南诸河,瓯江温溪以下,飞云江,G030280,330328,文成县,温州市,1170.4,0.2968,0,0.0201,0.3169,0,0,0.0042,0,0,0.0005,0.0009,0.0056,0,0,0,0.0107,0.0135,0.0242,0,0.0071,0.0304,0.0375,0,0.058,0.052,0.11,0,0.0109,0,0.0109,0,0.5051,0,0,0.5051,0,0
60,东南诸河,浙南诸河,瓯江温溪以下,鳌江,G030290,330328,文成县,温州市,20.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,东南诸河,浙南诸河,瓯江温溪以下,飞云江,G030280,330329,泰顺县,温州市,863.3,0.1198,0,0.0035,0.1233,0,0,0.0008,0,0,0.0005,0.0036,0.0049,0,0,0,0.0046,0.0037,0.0083,0,0.0045,0.0051,0.0096,0,0.0226,0.0206,0.0432,0,0.005,0,0.005,0,0.1943,0,0,0.1943,0,0
62,东南诸河,浙南诸河,瓯江温溪以下,鳌江,G030290,330329,泰顺县,温州市,36.6,0.0068,0,0.0001,0.0069,0,0,0,0,0,0,0.0002,0.0002,0,0,0,0,0,0,0,0.0004,0.0003,0.0007,0,0.001,0.0008,0.0018,0,0,0,0,0,0.0096,0,0,0.0096,0,0
63,东南诸河,闽东诸河,闽东诸河,闽东诸河,G040100,330329,泰顺县,温州市,868.1,0.1772,0,0.0068,0.184,0,0,0.0004,0,0,0.0004,0.0026,0.0034,0,0,0,0.0048,0.0048,0.0096,0,0.0053,0.006,0.0113,0.001,0.0244,0.022,0.0464,0,0.0055,0,0.0055,0,0.2602,0.001,0,0.2602,0,0
64,东南诸河,浙南诸河,瓯江温溪以下,飞云江,G030280,330381,瑞安市,温州市,1340.9,0.62,0.134,0.02,0.774,0,0.0153,0.015,0,0.0412,0.0034,0.0072,0.0821,0,0,0.009,0.2212,0.2415,0.4717,0.0002,0.0819,0.104,0.1859,0.0004,0.5349,0.2077,0.7426,0,0.2122,0,0.2122,0,2.4685,0.0006,0.9408,3.4093,0,0
65,东南诸河,浙南诸河,瓯江温溪以下,鳌江,G030290,330381,瑞安市,温州市,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,东南诸河,浙南诸河,瓯江温溪以下,楠溪江,G030260,330382,乐清市,温州市,30.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,东南诸河,浙南诸河,瓯江温溪以下,瓯江下游干流,G030270,330382,乐清市,温州市,1354.1,0.816,0,0.0338,0.8498,0,0.0202,0.0098,0,0.0066,0.0036,0.0073,0.0475,0.0005,0.0662,0.0094,0.274,0.16,0.5096,0.0005,0.1192,0.1628,0.282,0.0005,0.4398,0.1816,0.6214,0.003,0.2548,0,0.2548,0,2.5651,0.0045,0,2.5651,0,0
68,东南诸河,浙南诸河,瓯江温溪以下,鳌江,G030290,330383,龙港市,温州市,183.99,0.2415,0,0.01,0.2515,0,0,0,0,0,0.0001,0.0011,0.0012,0,0.0297,0.0087,0.0303,0.1157,0.1844,0,0.0033,0.0592,0.0625,0,0.2057,0.0045,0.2102,0,0.0123,0.004,0.0163,0,0.7261,0,0,0.7261,0,0
